'Elapsed time','II','III','AVL','V','MCL1','ABP','PAP'
'181:57:38.472',-0.129,-,-,-,-0.244,-,-
'181:57:38.480',-0.155,-,-,-,0.218,-,-
'181:57:38.488',-0.078,-,-,-,0.160,-,-
'181:57:38.496',0.026,-,-,-,-0.025,-,-
'181:57:38.504',0.052,-,-,-,-0.160,-,-
'181:57:38.512',0.052,-,-,-,0.160,-,-
'181:57:38.520',0.052,-,-,-,0.277,-,-
'181:57:38.528',0.000,-,-,-,0.076,-,-
'181:57:38.536',-0.026,-,-,-,0.160,-,-
'181:57:38.544',0.000,-,-,-,0.134,-,-
'181:57:38.552',0.052,-,-,-,0.353,-,-
'181:57:38.560',0.129,-,-,-,0.193,-,-
'181:57:38.568',0.207,-,-,-,0.160,-,-
'181:57:38.576',0.284,-,-,-,0.555,-,-
'181:57:38.584',0.336,-,-,-,0.412,-,-
'181:57:38.592',0.310,-,-,-,0.160,-,-
'181:57:38.600',0.207,-,-,-,0.109,-,-
'181:57:38.608',0.129,-,-,-,0.277,-,-
'181:57:38.616',0.103,-,-,-,0.160,-,-
'181:57:38.624',0.103,-,-,-,0.000,-,-
'181:57:38.632',0.103,-,-,-,-0.109,-,-
'181:57:38.640',0.129,-,-,-,0.244,-,-
'181:57:38.648',0.078,-,-,-,0.555,-,-
'181:57:38.656',0.026,-,-,-,-0.050,-,-
'181:57:38.664',-0.026,-,-,-,-0.471,-,-
'181:57:38.672',-0.078,-,-,-,-0.496,-,-
'181:57:38.680',-0.103,-,-,-,-0.076,-,-
'181:57:38.688',-0.103,-,-,-,0.160,-,-
'181:57:38.696',-0.129,-,-,-,0.244,-,-
'181:57:38.704',-0.129,-,-,-,-0.134,-,-
'181:57:38.712',-0.129,-,-,-,-0.134,-,-
'181:57:38.720',-0.078,-,-,-,0.050,-,-
'181:57:38.728',-0.026,-,-,-,-0.050,-,-
'181:57:38.736',0.026,-,-,-,-0.134,-,-
'181:57:38.744',0.000,-,-,-,-0.050,-,-
'181:57:38.752',-0.026,-,-,-,0.025,-,-
'181:57:38.760',-0.026,-,-,-,-0.076,-,-
'181:57:38.768',-0.026,-,-,-,-0.193,-,-
'181:57:38.776',0.000,-,-,-,-0.218,-,-
'181:57:38.784',-0.078,-,-,-,0.160,-,-
'181:57:38.792',-0.103,-,-,-,0.277,-,-
'181:57:38.800',-0.078,-,-,-,0.000,-,-
'181:57:38.808',0.000,-,-,-,-0.050,-,-
'181:57:38.816',0.103,-,-,-,-0.025,-,-
'181:57:38.824',0.155,-,-,-,-0.050,-,-
'181:57:38.832',0.026,-,-,-,0.076,-,-
'181:57:38.840',-0.052,-,-,-,0.134,-,-
'181:57:38.848',-0.026,-,-,-,-0.076,-,-
'181:57:38.856',0.000,-,-,-,-0.134,-,-
'181:57:38.864',0.000,-,-,-,0.025,-,-
'181:57:38.872',0.026,-,-,-,0.076,-,-
'181:57:38.880',0.052,-,-,-,-0.134,-,-
'181:57:38.888',-0.026,-,-,-,-0.437,-,-
'181:57:38.896',-0.129,-,-,-,-0.244,-,-
'181:57:38.904',-0.181,-,-,-,0.050,-,-
'181:57:38.912',-0.155,-,-,-,0.076,-,-
'181:57:38.920',0.000,-,-,-,0.050,-,-
'181:57:38.928',0.414,-,-,-,0.050,-,-
'181:57:38.936',0.759,-,-,-,-0.193,-,-
'181:57:38.944',0.466,-,-,-,-0.832,-,-
'181:57:38.952',-0.103,-,-,-,-1.025,-,-
'181:57:38.960',-0.259,-,-,-,-0.916,-,-
'181:57:38.968',-0.155,-,-,-,-0.496,-,-
'181:57:38.976',-0.103,-,-,-,-0.050,-,-
'181:57:38.984',-0.103,-,-,-,0.050,-,-
'181:57:38.992',-0.129,-,-,-,0.109,-,-
'181:57:39.000',-0.155,-,-,-,-0.134,-,-
'181:57:39.008',-0.181,-,-,-,0.109,-,-
'181:57:39.016',-0.155,-,-,-,0.134,-,-
'181:57:39.024',-0.129,-,-,-,-0.050,-,-
'181:57:39.032',-0.103,-,-,-,-0.050,-,-
'181:57:39.040',-0.078,-,-,-,0.000,-,-
'181:57:39.048',0.000,-,-,-,0.050,-,-
'181:57:39.056',0.078,-,-,-,0.000,-,-
'181:57:39.064',0.103,-,-,-,0.218,-,-
'181:57:39.072',0.026,-,-,-,-0.025,-,-
'181:57:39.080',0.000,-,-,-,-0.050,-,-
'181:57:39.088',0.026,-,-,-,0.000,-,-
'181:57:39.096',0.000,-,-,-,0.218,-,-
'181:57:39.104',-0.026,-,-,-,0.109,-,-
'181:57:39.112',0.000,-,-,-,0.000,-,-
'181:57:39.120',0.026,-,-,-,0.050,-,-
'181:57:39.128',0.078,-,-,-,0.303,-,-
'181:57:39.136',0.207,-,-,-,0.580,-,-
'181:57:39.144',0.259,-,-,-,0.303,-,-
'181:57:39.152',0.259,-,-,-,0.218,-,-
'181:57:39.160',0.259,-,-,-,0.160,-,-
'181:57:39.168',0.284,-,-,-,0.109,-,-
'181:57:39.176',0.310,-,-,-,0.303,-,-
'181:57:39.184',0.284,-,-,-,0.303,-,-
'181:57:39.192',0.181,-,-,-,0.193,-,-
'181:57:39.200',0.078,-,-,-,0.000,-,-
'181:57:39.208',0.052,-,-,-,-0.050,-,-
'181:57:39.216',0.052,-,-,-,0.000,-,-
'181:57:39.224',0.026,-,-,-,-0.193,-,-
'181:57:39.232',-0.026,-,-,-,-0.218,-,-
'181:57:39.240',-0.078,-,-,-,0.000,-,-
'181:57:39.248',-0.103,-,-,-,0.050,-,-
'181:57:39.256',-0.078,-,-,-,0.076,-,-
'181:57:39.264',-0.026,-,-,-,0.218,-,-
'181:57:39.272',-0.026,-,-,-,-0.109,-,-
'181:57:39.280',-0.103,-,-,-,-0.244,-,-
'181:57:39.288',-0.129,-,-,-,-0.134,-,-
'181:57:39.296',-0.103,-,-,-,0.050,-,-
'181:57:39.304',-0.052,-,-,-,0.160,-,-
'181:57:39.312',0.026,-,-,-,-0.134,-,-
'181:57:39.320',0.052,-,-,-,-0.303,-,-
'181:57:39.328',-0.026,-,-,-,-0.109,-,-
'181:57:39.336',-0.078,-,-,-,0.050,-,-
'181:57:39.344',-0.103,-,-,-,0.328,-,-
'181:57:39.352',-0.129,-,-,-,0.050,-,-
'181:57:39.360',-0.129,-,-,-,-0.244,-,-
'181:57:39.368',-0.052,-,-,-,-0.244,-,-
'181:57:39.376',0.078,-,-,-,0.160,-,-
'181:57:39.384',0.207,-,-,-,-0.193,-,-
'181:57:39.392',0.259,-,-,-,-0.050,-,-
'181:57:39.400',0.103,-,-,-,0.050,-,-
'181:57:39.408',-0.078,-,-,-,0.109,-,-
'181:57:39.416',-0.103,-,-,-,0.160,-,-
'181:57:39.424',-0.078,-,-,-,-0.160,-,-
'181:57:39.432',-0.103,-,-,-,-0.303,-,-
'181:57:39.440',-0.129,-,-,-,0.109,-,-
'181:57:39.448',-0.103,-,-,-,0.218,-,-
'181:57:39.456',-0.026,-,-,-,-0.303,-,-
'181:57:39.464',0.078,-,-,-,-0.244,-,-
'181:57:39.472',0.078,-,-,-,-0.025,-,-
'181:57:39.480',-0.052,-,-,-,0.160,-,-
'181:57:39.488',-0.078,-,-,-,0.160,-,-
'181:57:39.496',0.233,-,-,-,-0.193,-,-
'181:57:39.504',0.681,-,-,-,-0.437,-,-
'181:57:39.512',0.759,-,-,-,-0.244,-,-
'181:57:39.520',0.078,-,-,-,-0.941,-,-
'181:57:39.528',-0.310,-,-,-,-1.076,-,-
'181:57:39.536',-0.310,-,-,-,-0.412,-,-
'181:57:39.544',-0.181,-,-,-,0.000,-,-
'181:57:39.552',-0.207,-,-,-,0.109,-,-
'181:57:39.560',-0.181,-,-,-,-0.109,-,-
'181:57:39.568',-0.103,-,-,-,-0.076,-,-
'181:57:39.576',-0.078,-,-,-,-0.134,-,-
'181:57:39.584',-0.078,-,-,-,-0.050,-,-
'181:57:39.592',-0.052,-,-,-,-0.050,-,-
'181:57:39.600',-0.078,-,-,-,-0.134,-,-
'181:57:39.608',-0.103,-,-,-,-0.025,-,-
'181:57:39.616',-0.155,-,-,-,0.109,-,-
'181:57:39.624',-0.103,-,-,-,0.496,-,-
'181:57:39.632',-0.026,-,-,-,0.521,-,-
'181:57:39.640',0.078,-,-,-,-0.244,-,-
'181:57:39.648',0.103,-,-,-,-0.134,-,-
'181:57:39.656',0.026,-,-,-,0.000,-,-
'181:57:39.664',-0.078,-,-,-,0.000,-,-
'181:57:39.672',-0.078,-,-,-,0.134,-,-
'181:57:39.680',-0.026,-,-,-,0.412,-,-
'181:57:39.688',0.078,-,-,-,0.521,-,-
'181:57:39.696',0.207,-,-,-,0.050,-,-
'181:57:39.704',0.284,-,-,-,0.025,-,-
'181:57:39.712',0.310,-,-,-,0.353,-,-
'181:57:39.720',0.259,-,-,-,0.580,-,-
'181:57:39.728',0.181,-,-,-,0.193,-,-
'181:57:39.736',0.155,-,-,-,0.109,-,-
'181:57:39.744',0.207,-,-,-,0.303,-,-
'181:57:39.752',0.259,-,-,-,0.000,-,-
'181:57:39.760',0.284,-,-,-,0.076,-,-
'181:57:39.768',0.181,-,-,-,0.109,-,-
'181:57:39.776',0.078,-,-,-,0.000,-,-
'181:57:39.784',0.000,-,-,-,0.076,-,-
'181:57:39.792',-0.026,-,-,-,0.050,-,-
'181:57:39.800',-0.026,-,-,-,0.050,-,-
'181:57:39.808',-0.026,-,-,-,-0.076,-,-
'181:57:39.816',-0.052,-,-,-,-0.134,-,-
'181:57:39.824',-0.103,-,-,-,0.218,-,-
'181:57:39.832',-0.103,-,-,-,0.050,-,-
'181:57:39.840',-0.078,-,-,-,-0.193,-,-
'181:57:39.848',-0.052,-,-,-,0.000,-,-
'181:57:39.856',-0.026,-,-,-,0.134,-,-
'181:57:39.864',0.000,-,-,-,-0.134,-,-
'181:57:39.872',-0.078,-,-,-,-0.218,-,-
'181:57:39.880',-0.103,-,-,-,0.193,-,-
'181:57:39.888',-0.052,-,-,-,-0.076,-,-
'181:57:39.896',-0.026,-,-,-,-0.303,-,-
'181:57:39.904',-0.103,-,-,-,0.000,-,-
'181:57:39.912',-0.103,-,-,-,0.000,-,-
'181:57:39.920',-0.026,-,-,-,-0.134,-,-
'181:57:39.928',-0.026,-,-,-,-0.218,-,-
'181:57:39.936',-0.052,-,-,-,-0.076,-,-
'181:57:39.944',-0.026,-,-,-,0.000,-,-
'181:57:39.952',0.000,-,-,-,0.134,-,-
'181:57:39.960',0.026,-,-,-,0.353,-,-
'181:57:39.968',0.078,-,-,-,0.160,-,-
'181:57:39.976',0.052,-,-,-,0.050,-,-
'181:57:39.984',0.026,-,-,-,0.000,-,-
'181:57:39.992',0.000,-,-,-,-0.109,-,-
'181:57:40.000',-0.078,-,-,-,-0.218,-,-
'181:57:40.008',-0.103,-,-,-,-0.193,-,-
'181:57:40.016',-0.078,-,-,-,-0.244,-,-
'181:57:40.024',-0.078,-,-,-,0.160,-,-
'181:57:40.032',-0.078,-,-,-,0.218,-,-
'181:57:40.040',-0.052,-,-,-,0.000,-,-
'181:57:40.048',-0.103,-,-,-,-0.134,-,-
'181:57:40.056',-0.052,-,-,-,-0.218,-,-
'181:57:40.064',0.233,-,-,-,0.000,-,-
'181:57:40.072',0.681,-,-,-,-0.025,-,-
'181:57:40.080',0.810,-,-,-,-0.303,-,-
'181:57:40.088',0.233,-,-,-,-0.832,-,-
'181:57:40.096',-0.284,-,-,-,-0.857,-,-
'181:57:40.104',-0.362,-,-,-,-0.664,-,-
'181:57:40.112',-0.207,-,-,-,-0.303,-,-
'181:57:40.120',-0.155,-,-,-,0.000,-,-
'181:57:40.128',-0.181,-,-,-,0.160,-,-
'181:57:40.136',-0.181,-,-,-,0.076,-,-
'181:57:40.144',-0.181,-,-,-,-0.134,-,-
'181:57:40.152',-0.103,-,-,-,-0.218,-,-
'181:57:40.160',-0.026,-,-,-,0.109,-,-
'181:57:40.168',-0.078,-,-,-,0.134,-,-
'181:57:40.176',-0.129,-,-,-,-0.193,-,-
'181:57:40.184',-0.129,-,-,-,-0.193,-,-
'181:57:40.192',-0.078,-,-,-,0.218,-,-
'181:57:40.200',0.000,-,-,-,0.218,-,-
'181:57:40.208',0.000,-,-,-,-0.050,-,-
'181:57:40.216',-0.078,-,-,-,0.244,-,-
'181:57:40.224',-0.103,-,-,-,0.303,-,-
'181:57:40.232',0.000,-,-,-,-0.109,-,-
'181:57:40.240',0.129,-,-,-,-0.134,-,-
'181:57:40.248',0.129,-,-,-,0.000,-,-
'181:57:40.256',0.052,-,-,-,0.134,-,-
'181:57:40.264',0.026,-,-,-,0.277,-,-
'181:57:40.272',0.103,-,-,-,0.353,-,-
'181:57:40.280',0.181,-,-,-,0.277,-,-
'181:57:40.288',0.284,-,-,-,0.160,-,-
'181:57:40.296',0.336,-,-,-,0.109,-,-
'181:57:40.304',0.310,-,-,-,-0.025,-,-
'181:57:40.312',0.207,-,-,-,0.160,-,-
'181:57:40.320',0.155,-,-,-,0.193,-,-
'181:57:40.328',0.207,-,-,-,0.000,-,-
'181:57:40.336',0.207,-,-,-,0.160,-,-
'181:57:40.344',0.103,-,-,-,0.193,-,-
'181:57:40.352',0.026,-,-,-,-0.025,-,-
'181:57:40.360',0.000,-,-,-,-0.109,-,-
'181:57:40.368',-0.078,-,-,-,0.050,-,-
'181:57:40.376',-0.103,-,-,-,0.050,-,-
'181:57:40.384',-0.052,-,-,-,0.076,-,-
'181:57:40.392',0.026,-,-,-,0.025,-,-
'181:57:40.400',0.052,-,-,-,-0.134,-,-
'181:57:40.408',-0.052,-,-,-,-0.328,-,-
'181:57:40.416',-0.129,-,-,-,-0.109,-,-
'181:57:40.424',-0.181,-,-,-,0.000,-,-
'181:57:40.432',-0.155,-,-,-,0.000,-,-
'181:57:40.440',-0.103,-,-,-,0.134,-,-
'181:57:40.448',-0.026,-,-,-,0.160,-,-
'181:57:40.456',0.052,-,-,-,0.000,-,-
'181:57:40.464',0.026,-,-,-,-0.193,-,-
'181:57:40.472',-0.052,-,-,-,-0.303,-,-
'181:57:40.480',-0.129,-,-,-,-0.134,-,-
'181:57:40.488',-0.129,-,-,-,-0.076,-,-
'181:57:40.496',-0.052,-,-,-,-0.050,-,-
'181:57:40.504',-0.026,-,-,-,-0.076,-,-
'181:57:40.512',-0.026,-,-,-,0.134,-,-
'181:57:40.520',-0.052,-,-,-,0.748,-,-
'181:57:40.528',0.052,-,-,-,0.798,-,-
'181:57:40.536',0.078,-,-,-,-0.303,-,-
'181:57:40.544',0.052,-,-,-,-0.387,-,-
'181:57:40.552',0.052,-,-,-,-0.218,-,-
'181:57:40.560',0.078,-,-,-,-0.134,-,-
'181:57:40.568',-0.078,-,-,-,-0.050,-,-
'181:57:40.576',-0.155,-,-,-,0.050,-,-
'181:57:40.584',-0.103,-,-,-,0.134,-,-
'181:57:40.592',-0.078,-,-,-,0.218,-,-
'181:57:40.600',-0.078,-,-,-,-0.160,-,-
'181:57:40.608',-0.103,-,-,-,-0.244,-,-
'181:57:40.616',-0.078,-,-,-,-0.076,-,-
'181:57:40.624',-0.026,-,-,-,-0.134,-,-
'181:57:40.632',0.233,-,-,-,0.134,-,-
'181:57:40.640',0.655,-,-,-,-0.160,-,-
'181:57:40.648',0.784,-,-,-,-0.437,-,-
'181:57:40.656',0.155,-,-,-,-0.496,-,-
'181:57:40.664',-0.362,-,-,-,-0.555,-,-
'181:57:40.672',-0.414,-,-,-,-0.496,-,-
'181:57:40.680',-0.207,-,-,-,-0.244,-,-
'181:57:40.688',-0.078,-,-,-,-0.218,-,-
'181:57:40.696',-0.052,-,-,-,-0.303,-,-
'181:57:40.704',-0.129,-,-,-,-0.109,-,-
'181:57:40.712',-0.207,-,-,-,0.000,-,-
'181:57:40.720',-0.233,-,-,-,0.025,-,-
'181:57:40.728',-0.129,-,-,-,0.000,-,-
'181:57:40.736',-0.052,-,-,-,0.412,-,-
'181:57:40.744',-0.026,-,-,-,0.109,-,-
'181:57:40.752',-0.078,-,-,-,-0.244,-,-
'181:57:40.760',-0.103,-,-,-,-0.076,-,-
'181:57:40.768',0.026,-,-,-,0.000,-,-
'181:57:40.776',0.078,-,-,-,0.000,-,-
'181:57:40.784',0.052,-,-,-,0.160,-,-
'181:57:40.792',-0.026,-,-,-,0.193,-,-
'181:57:40.800',-0.078,-,-,-,-0.109,-,-
'181:57:40.808',-0.103,-,-,-,0.109,-,-
'181:57:40.816',0.052,-,-,-,0.218,-,-
'181:57:40.824',0.181,-,-,-,-0.050,-,-
'181:57:40.832',0.233,-,-,-,-0.025,-,-
'181:57:40.840',0.207,-,-,-,0.109,-,-
'181:57:40.848',0.181,-,-,-,0.193,-,-
'181:57:40.856',0.207,-,-,-,0.160,-,-
'181:57:40.864',0.233,-,-,-,0.664,-,-
'181:57:40.872',0.207,-,-,-,0.160,-,-
'181:57:40.880',0.181,-,-,-,-0.050,-,-
'181:57:40.888',0.233,-,-,-,-0.025,-,-
'181:57:40.896',0.310,-,-,-,0.050,-,-
'181:57:40.904',0.310,-,-,-,0.076,-,-
'181:57:40.912',0.233,-,-,-,-0.193,-,-
'181:57:40.920',0.052,-,-,-,-0.244,-,-
'181:57:40.928',-0.129,-,-,-,0.412,-,-
'181:57:40.936',-0.155,-,-,-,0.437,-,-
'181:57:40.944',-0.078,-,-,-,0.160,-,-
'181:57:40.952',0.000,-,-,-,0.000,-,-
'181:57:40.960',0.026,-,-,-,-0.193,-,-
'181:57:40.968',0.000,-,-,-,-0.277,-,-
'181:57:40.976',-0.078,-,-,-,-0.160,-,-
'181:57:40.984',-0.078,-,-,-,0.000,-,-
'181:57:40.992',0.000,-,-,-,0.303,-,-
'181:57:41.000',0.000,-,-,-,0.109,-,-
'181:57:41.008',-0.103,-,-,-,-0.303,-,-
'181:57:41.016',-0.155,-,-,-,-0.025,-,-
'181:57:41.024',-0.078,-,-,-,0.193,-,-
'181:57:41.032',0.026,-,-,-,-0.025,-,-
'181:57:41.040',0.026,-,-,-,-0.134,-,-
'181:57:41.048',0.000,-,-,-,0.076,-,-
'181:57:41.056',-0.026,-,-,-,0.244,-,-
'181:57:41.064',-0.026,-,-,-,-0.193,-,-
'181:57:41.072',-0.026,-,-,-,-0.353,-,-
'181:57:41.080',0.000,-,-,-,0.025,-,-
'181:57:41.088',0.078,-,-,-,0.218,-,-
'181:57:41.096',0.155,-,-,-,0.076,-,-
'181:57:41.104',0.078,-,-,-,0.000,-,-
'181:57:41.112',-0.052,-,-,-,0.387,-,-
'181:57:41.120',-0.078,-,-,-,0.109,-,-
'181:57:41.128',0.052,-,-,-,-0.303,-,-
'181:57:41.136',0.078,-,-,-,-0.050,-,-
'181:57:41.144',0.000,-,-,-,0.025,-,-
'181:57:41.152',-0.026,-,-,-,0.000,-,-
'181:57:41.160',-0.078,-,-,-,0.050,-,-
'181:57:41.168',-0.129,-,-,-,-0.303,-,-
'181:57:41.176',-0.129,-,-,-,-0.328,-,-
'181:57:41.184',-0.103,-,-,-,0.109,-,-
'181:57:41.192',0.026,-,-,-,0.496,-,-
'181:57:41.200',0.466,-,-,-,0.050,-,-
'181:57:41.208',0.862,-,-,-,-0.353,-,-
'181:57:41.216',0.681,-,-,-,-0.798,-,-
'181:57:41.224',0.078,-,-,-,-0.916,-,-
'181:57:41.232',-0.310,-,-,-,-0.966,-,-
'181:57:41.240',-0.310,-,-,-,-0.437,-,-
'181:57:41.248',-0.129,-,-,-,-0.109,-,-
'181:57:41.256',-0.129,-,-,-,0.050,-,-
'181:57:41.264',-0.103,-,-,-,0.000,-,-
'181:57:41.272',-0.052,-,-,-,0.109,-,-
'181:57:41.280',-0.078,-,-,-,0.134,-,-
'181:57:41.288',-0.129,-,-,-,-0.193,-,-
'181:57:41.296',-0.155,-,-,-,-0.218,-,-
'181:57:41.304',-0.103,-,-,-,-0.050,-,-
'181:57:41.312',-0.052,-,-,-,0.050,-,-
'181:57:41.320',-0.026,-,-,-,0.639,-,-
'181:57:41.328',0.026,-,-,-,0.303,-,-
'181:57:41.336',0.052,-,-,-,-0.134,-,-
'181:57:41.344',0.000,-,-,-,-0.160,-,-
'181:57:41.352',0.000,-,-,-,0.134,-,-
'181:57:41.360',0.052,-,-,-,0.025,-,-
'181:57:41.368',0.078,-,-,-,-0.050,-,-
'181:57:41.376',0.078,-,-,-,0.000,-,-
'181:57:41.384',0.052,-,-,-,0.160,-,-
'181:57:41.392',0.026,-,-,-,0.555,-,-
'181:57:41.400',0.103,-,-,-,0.639,-,-
'181:57:41.408',0.207,-,-,-,0.160,-,-
'181:57:41.416',0.310,-,-,-,0.160,-,-
'181:57:41.424',0.362,-,-,-,0.353,-,-
'181:57:41.432',0.336,-,-,-,0.218,-,-
'181:57:41.440',0.259,-,-,-,0.134,-,-
'181:57:41.448',0.155,-,-,-,0.303,-,-
'181:57:41.456',0.129,-,-,-,0.471,-,-
'181:57:41.464',0.181,-,-,-,0.134,-,-
'181:57:41.472',0.233,-,-,-,-0.025,-,-
'181:57:41.480',0.129,-,-,-,-0.050,-,-
'181:57:41.488',0.000,-,-,-,-0.076,-,-
'181:57:41.496',-0.026,-,-,-,0.076,-,-
'181:57:41.504',0.000,-,-,-,0.050,-,-
'181:57:41.512',-0.052,-,-,-,0.412,-,-
'181:57:41.520',-0.078,-,-,-,0.471,-,-
'181:57:41.528',0.000,-,-,-,-0.437,-,-
'181:57:41.536',0.000,-,-,-,-0.580,-,-
'181:57:41.544',-0.078,-,-,-,-0.109,-,-
'181:57:41.552',-0.103,-,-,-,0.076,-,-
'181:57:41.560',-0.026,-,-,-,-0.050,-,-
'181:57:41.568',0.000,-,-,-,-0.109,-,-
'181:57:41.576',0.000,-,-,-,0.160,-,-
'181:57:41.584',0.026,-,-,-,0.025,-,-
'181:57:41.592',-0.052,-,-,-,0.000,-,-
'181:57:41.600',-0.129,-,-,-,0.109,-,-
'181:57:41.608',-0.155,-,-,-,-0.160,-,-
'181:57:41.616',-0.052,-,-,-,-0.025,-,-
'181:57:41.624',0.052,-,-,-,-0.076,-,-
'181:57:41.632',0.052,-,-,-,-0.076,-,-
'181:57:41.640',0.000,-,-,-,0.025,-,-
'181:57:41.648',0.052,-,-,-,0.050,-,-
'181:57:41.656',0.078,-,-,-,0.160,-,-
'181:57:41.664',0.078,-,-,-,-0.050,-,-
'181:57:41.672',0.078,-,-,-,-0.160,-,-
'181:57:41.680',0.026,-,-,-,0.353,-,-
'181:57:41.688',0.000,-,-,-,0.412,-,-
'181:57:41.696',0.000,-,-,-,-0.160,-,-
'181:57:41.704',0.026,-,-,-,-0.025,-,-
'181:57:41.712',0.000,-,-,-,0.000,-,-
'181:57:41.720',-0.052,-,-,-,-0.437,-,-
'181:57:41.728',-0.103,-,-,-,-0.471,-,-
'181:57:41.736',-0.103,-,-,-,0.000,-,-
'181:57:41.744',-0.078,-,-,-,0.000,-,-
'181:57:41.752',-0.026,-,-,-,0.000,-,-
'181:57:41.760',0.155,-,-,-,0.353,-,-
'181:57:41.768',0.552,-,-,-,-0.193,-,-
'181:57:41.776',0.759,-,-,-,-0.437,-,-
'181:57:41.784',0.414,-,-,-,-1.109,-,-
'181:57:41.792',-0.078,-,-,-,-1.160,-,-
'181:57:41.800',-0.284,-,-,-,-0.689,-,-
'181:57:41.808',-0.310,-,-,-,-0.218,-,-
'181:57:41.816',-0.259,-,-,-,0.109,-,-
