'Elapsed time','II','AVR','AVL','V','ABP'
'58:05:11.512',0.000,-,-,-,62.400
'58:05:11.520',-0.009,-,-,-,62.400
'58:05:11.528',0.000,-,-,-,62.400
'58:05:11.536',0.000,-,-,-,62.400
'58:05:11.544',0.000,-,-,-,62.400
'58:05:11.552',-0.009,-,-,-,62.400
'58:05:11.560',0.000,-,-,-,62.400
'58:05:11.568',-0.009,-,-,-,62.400
'58:05:11.576',0.000,-,-,-,62.400
'58:05:11.584',0.000,-,-,-,62.400
'58:05:11.592',0.000,-,-,-,62.400
'58:05:11.600',0.000,-,-,-,62.400
'58:05:11.608',0.000,-,-,-,62.400
'58:05:11.616',0.027,-,-,-,62.400
'58:05:11.624',0.027,-,-,-,62.400
'58:05:11.632',0.027,-,-,-,61.600
'58:05:11.640',0.009,-,-,-,61.600
'58:05:11.648',0.009,-,-,-,60.800
'58:05:11.656',0.000,-,-,-,60.800
'58:05:11.664',0.000,-,-,-,60.800
'58:05:11.672',-0.009,-,-,-,60.000
'58:05:11.680',0.000,-,-,-,60.000
'58:05:11.688',-0.009,-,-,-,59.200
'58:05:11.696',-0.009,-,-,-,59.200
'58:05:11.704',-0.027,-,-,-,58.400
'58:05:11.712',-0.009,-,-,-,58.400
'58:05:11.720',-0.134,-,-,-,58.400
'58:05:11.728',-0.179,-,-,-,57.600
'58:05:11.736',-0.045,-,-,-,57.600
'58:05:11.744',0.321,-,-,-,56.800
'58:05:11.752',0.536,-,-,-,56.800
'58:05:11.760',0.536,-,-,-,56.800
'58:05:11.768',0.384,-,-,-,56.000
'58:05:11.776',0.161,-,-,-,55.200
'58:05:11.784',0.054,-,-,-,55.200
'58:05:11.792',0.009,-,-,-,54.400
'58:05:11.800',-0.009,-,-,-,53.600
'58:05:11.808',-0.027,-,-,-,53.600
'58:05:11.816',-0.027,-,-,-,52.800
'58:05:11.824',-0.027,-,-,-,52.800
'58:05:11.832',-0.027,-,-,-,52.000
'58:05:11.840',-0.027,-,-,-,52.000
'58:05:11.848',-0.027,-,-,-,51.200
'58:05:11.856',-0.027,-,-,-,51.200
'58:05:11.864',-0.027,-,-,-,51.200
'58:05:11.872',-0.027,-,-,-,52.800
'58:05:11.880',-0.009,-,-,-,54.400
'58:05:11.888',0.000,-,-,-,58.400
'58:05:11.896',0.000,-,-,-,62.400
'58:05:11.904',0.000,-,-,-,68.000
'58:05:11.912',0.000,-,-,-,73.600
'58:05:11.920',0.009,-,-,-,79.200
'58:05:11.928',0.009,-,-,-,84.800
'58:05:11.936',0.027,-,-,-,90.400
'58:05:11.944',0.045,-,-,-,95.200
'58:05:11.952',0.054,-,-,-,99.200
'58:05:11.960',0.054,-,-,-,102.400
'58:05:11.968',0.054,-,-,-,104.800
'58:05:11.976',0.054,-,-,-,106.400
'58:05:11.984',0.045,-,-,-,107.200
'58:05:11.992',0.027,-,-,-,108.000
'58:05:12.000',0.027,-,-,-,107.200
'58:05:12.008',0.009,-,-,-,106.400
'58:05:12.016',0.000,-,-,-,105.600
'58:05:12.024',0.000,-,-,-,104.000
'58:05:12.032',-0.009,-,-,-,102.400
'58:05:12.040',-0.027,-,-,-,100.800
'58:05:12.048',-0.027,-,-,-,99.200
'58:05:12.056',-0.027,-,-,-,97.600
'58:05:12.064',-0.027,-,-,-,95.200
'58:05:12.072',-0.027,-,-,-,93.600
'58:05:12.080',-0.045,-,-,-,91.200
'58:05:12.088',-0.045,-,-,-,88.800
'58:05:12.096',-0.027,-,-,-,86.400
'58:05:12.104',-0.027,-,-,-,83.200
'58:05:12.112',-0.009,-,-,-,80.000
'58:05:12.120',-0.027,-,-,-,76.800
'58:05:12.128',-0.045,-,-,-,73.600
'58:05:12.136',-0.027,-,-,-,71.200
'58:05:12.144',-0.054,-,-,-,68.800
'58:05:12.152',-0.045,-,-,-,67.200
'58:05:12.160',-0.027,-,-,-,65.600
'58:05:12.168',-0.045,-,-,-,64.000
'58:05:12.176',-0.027,-,-,-,63.200
'58:05:12.184',-0.027,-,-,-,62.400
'58:05:12.192',-0.027,-,-,-,62.400
'58:05:12.200',-0.045,-,-,-,62.400
'58:05:12.208',-0.134,-,-,-,62.400
'58:05:12.216',-0.196,-,-,-,62.400
'58:05:12.224',-0.089,-,-,-,62.400
'58:05:12.232',0.241,-,-,-,63.200
'58:05:12.240',0.491,-,-,-,63.200
'58:05:12.248',0.518,-,-,-,64.000
'58:05:12.256',0.330,-,-,-,64.000
'58:05:12.264',0.134,-,-,-,64.000
'58:05:12.272',0.054,-,-,-,64.000
'58:05:12.280',0.009,-,-,-,64.000
'58:05:12.288',-0.009,-,-,-,64.000
'58:05:12.296',-0.027,-,-,-,64.000
'58:05:12.304',-0.027,-,-,-,63.200
'58:05:12.312',-0.027,-,-,-,63.200
'58:05:12.320',-0.045,-,-,-,62.400
'58:05:12.328',-0.027,-,-,-,61.600
'58:05:12.336',-0.027,-,-,-,61.600
'58:05:12.344',-0.027,-,-,-,60.800
'58:05:12.352',-0.045,-,-,-,60.800
'58:05:12.360',-0.027,-,-,-,60.800
'58:05:12.368',-0.027,-,-,-,61.600
'58:05:12.376',-0.027,-,-,-,62.400
'58:05:12.384',-0.009,-,-,-,64.800
'58:05:12.392',-0.009,-,-,-,68.000
'58:05:12.400',-0.027,-,-,-,72.000
'58:05:12.408',0.000,-,-,-,76.000
'58:05:12.416',0.000,-,-,-,80.800
'58:05:12.424',0.009,-,-,-,85.600
'58:05:12.432',0.009,-,-,-,89.600
'58:05:12.440',0.009,-,-,-,93.600
'58:05:12.448',0.009,-,-,-,96.800
'58:05:12.456',0.009,-,-,-,99.200
'58:05:12.464',0.009,-,-,-,100.800
'58:05:12.472',0.000,-,-,-,102.400
'58:05:12.480',0.000,-,-,-,102.400
'58:05:12.488',0.000,-,-,-,102.400
'58:05:12.496',0.000,-,-,-,101.600
'58:05:12.504',-0.027,-,-,-,100.000
'58:05:12.512',-0.027,-,-,-,98.400
'58:05:12.520',-0.027,-,-,-,96.800
'58:05:12.528',-0.027,-,-,-,95.200
'58:05:12.536',-0.045,-,-,-,92.800
'58:05:12.544',-0.045,-,-,-,90.400
'58:05:12.552',-0.045,-,-,-,88.000
'58:05:12.560',-0.045,-,-,-,85.600
'58:05:12.568',-0.045,-,-,-,82.400
'58:05:12.576',-0.027,-,-,-,79.200
'58:05:12.584',-0.045,-,-,-,76.000
'58:05:12.592',-0.045,-,-,-,72.800
'58:05:12.600',-0.045,-,-,-,69.600
'58:05:12.608',-0.045,-,-,-,67.200
'58:05:12.616',-0.027,-,-,-,64.800
'58:05:12.624',-0.045,-,-,-,63.200
'58:05:12.632',-0.027,-,-,-,61.600
'58:05:12.640',-0.045,-,-,-,60.800
'58:05:12.648',-0.027,-,-,-,60.000
'58:05:12.656',-0.027,-,-,-,59.200
'58:05:12.664',-0.045,-,-,-,59.200
'58:05:12.672',-0.027,-,-,-,59.200
'58:05:12.680',-0.027,-,-,-,59.200
'58:05:12.688',-0.027,-,-,-,59.200
'58:05:12.696',-0.027,-,-,-,60.000
'58:05:12.704',-0.027,-,-,-,60.000
'58:05:12.712',-0.027,-,-,-,60.000
'58:05:12.720',-0.027,-,-,-,60.800
'58:05:12.728',-0.027,-,-,-,60.800
'58:05:12.736',-0.027,-,-,-,60.800
'58:05:12.744',-0.027,-,-,-,60.800
'58:05:12.752',-0.027,-,-,-,60.800
'58:05:12.760',-0.027,-,-,-,60.800
'58:05:12.768',-0.027,-,-,-,60.800
'58:05:12.776',-0.027,-,-,-,60.800
'58:05:12.784',-0.027,-,-,-,60.000
'58:05:12.792',-0.027,-,-,-,60.000
'58:05:12.800',-0.027,-,-,-,59.200
'58:05:12.808',-0.027,-,-,-,59.200
'58:05:12.816',-0.027,-,-,-,58.400
'58:05:12.824',-0.027,-,-,-,58.400
'58:05:12.832',-0.027,-,-,-,57.600
'58:05:12.840',-0.027,-,-,-,57.600
'58:05:12.848',-0.027,-,-,-,56.800
'58:05:12.856',-0.027,-,-,-,56.000
'58:05:12.864',-0.027,-,-,-,56.000
'58:05:12.872',-0.027,-,-,-,55.200
'58:05:12.880',-0.027,-,-,-,55.200
'58:05:12.888',-0.027,-,-,-,54.400
'58:05:12.896',-0.027,-,-,-,53.600
'58:05:12.904',-0.027,-,-,-,53.600
'58:05:12.912',0.000,-,-,-,52.800
'58:05:12.920',0.000,-,-,-,52.000
'58:05:12.928',0.000,-,-,-,52.000
'58:05:12.936',0.000,-,-,-,51.200
'58:05:12.944',0.000,-,-,-,51.200
'58:05:12.952',0.000,-,-,-,50.400
'58:05:12.960',0.000,-,-,-,49.600
'58:05:12.968',-0.009,-,-,-,49.600
'58:05:12.976',-0.027,-,-,-,49.600
'58:05:12.984',-0.045,-,-,-,48.800
'58:05:12.992',-0.027,-,-,-,48.800
'58:05:13.000',-0.045,-,-,-,48.000
'58:05:13.008',-0.045,-,-,-,48.000
'58:05:13.016',-0.054,-,-,-,48.000
'58:05:13.024',-0.107,-,-,-,48.000
'58:05:13.032',-0.196,-,-,-,47.200
'58:05:13.040',-0.223,-,-,-,47.200
'58:05:13.048',0.009,-,-,-,47.200
'58:05:13.056',0.393,-,-,-,47.200
'58:05:13.064',0.491,-,-,-,47.200
'58:05:13.072',0.411,-,-,-,46.400
'58:05:13.080',0.223,-,-,-,46.400
'58:05:13.088',0.045,-,-,-,46.400
'58:05:13.096',0.000,-,-,-,46.400
'58:05:13.104',-0.027,-,-,-,45.600
'58:05:13.112',-0.071,-,-,-,45.600
'58:05:13.120',-0.071,-,-,-,45.600
'58:05:13.128',-0.089,-,-,-,44.800
'58:05:13.136',-0.089,-,-,-,44.800
'58:05:13.144',-0.089,-,-,-,44.800
'58:05:13.152',-0.071,-,-,-,44.800
'58:05:13.160',-0.089,-,-,-,44.800
'58:05:13.168',-0.071,-,-,-,44.800
'58:05:13.176',-0.071,-,-,-,45.600
'58:05:13.184',-0.054,-,-,-,48.000
'58:05:13.192',-0.071,-,-,-,51.200
'58:05:13.200',-0.045,-,-,-,56.000
'58:05:13.208',-0.045,-,-,-,61.600
'58:05:13.216',-0.027,-,-,-,68.000
'58:05:13.224',-0.027,-,-,-,74.400
'58:05:13.232',-0.027,-,-,-,80.000
'58:05:13.240',0.000,-,-,-,86.400
'58:05:13.248',0.000,-,-,-,91.200
'58:05:13.256',0.009,-,-,-,96.000
'58:05:13.264',0.009,-,-,-,100.000
'58:05:13.272',0.009,-,-,-,102.400
'58:05:13.280',0.009,-,-,-,104.800
'58:05:13.288',0.027,-,-,-,105.600
'58:05:13.296',0.009,-,-,-,105.600
'58:05:13.304',0.000,-,-,-,104.800
'58:05:13.312',0.000,-,-,-,104.000
'58:05:13.320',-0.009,-,-,-,102.400
'58:05:13.328',-0.009,-,-,-,100.800
'58:05:13.336',-0.027,-,-,-,99.200
'58:05:13.344',-0.045,-,-,-,96.800
'58:05:13.352',-0.045,-,-,-,95.200
'58:05:13.360',-0.054,-,-,-,92.800
'58:05:13.368',-0.071,-,-,-,91.200
'58:05:13.376',-0.071,-,-,-,88.800
'58:05:13.384',-0.071,-,-,-,86.400
'58:05:13.392',-0.071,-,-,-,84.000
'58:05:13.400',-0.071,-,-,-,80.800
'58:05:13.408',-0.071,-,-,-,78.400
'58:05:13.416',-0.071,-,-,-,75.200
'58:05:13.424',-0.071,-,-,-,72.000
'58:05:13.432',-0.089,-,-,-,69.600
'58:05:13.440',-0.071,-,-,-,67.200
'58:05:13.448',-0.071,-,-,-,65.600
'58:05:13.456',-0.071,-,-,-,64.000
'58:05:13.464',-0.054,-,-,-,62.400
'58:05:13.472',-0.071,-,-,-,61.600
'58:05:13.480',-0.045,-,-,-,61.600
'58:05:13.488',-0.054,-,-,-,60.800
'58:05:13.496',-0.045,-,-,-,60.800
'58:05:13.504',-0.054,-,-,-,60.800
'58:05:13.512',-0.045,-,-,-,60.800
'58:05:13.520',-0.054,-,-,-,60.800
'58:05:13.528',-0.045,-,-,-,60.800
'58:05:13.536',-0.054,-,-,-,61.600
'58:05:13.544',-0.045,-,-,-,61.600
'58:05:13.552',-0.045,-,-,-,61.600
'58:05:13.560',-0.045,-,-,-,61.600
'58:05:13.568',-0.027,-,-,-,61.600
'58:05:13.576',-0.027,-,-,-,61.600
'58:05:13.584',-0.009,-,-,-,61.600
'58:05:13.592',0.000,-,-,-,61.600
'58:05:13.600',0.000,-,-,-,61.600
'58:05:13.608',-0.009,-,-,-,61.600
'58:05:13.616',0.000,-,-,-,61.600
'58:05:13.624',-0.027,-,-,-,61.600
'58:05:13.632',-0.027,-,-,-,61.600
'58:05:13.640',-0.045,-,-,-,60.800
'58:05:13.648',-0.045,-,-,-,60.800
'58:05:13.656',-0.045,-,-,-,60.800
'58:05:13.664',-0.027,-,-,-,60.800
'58:05:13.672',-0.045,-,-,-,60.800
'58:05:13.680',-0.045,-,-,-,60.000
'58:05:13.688',-0.107,-,-,-,60.000
'58:05:13.696',-0.196,-,-,-,60.000
'58:05:13.704',-0.196,-,-,-,60.000
'58:05:13.712',0.054,-,-,-,59.200
'58:05:13.720',0.438,-,-,-,59.200
'58:05:13.728',0.536,-,-,-,58.400
'58:05:13.736',0.455,-,-,-,58.400
'58:05:13.744',0.259,-,-,-,57.600
'58:05:13.752',0.089,-,-,-,56.800
'58:05:13.760',0.027,-,-,-,56.000
'58:05:13.768',0.000,-,-,-,56.000
'58:05:13.776',-0.009,-,-,-,55.200
'58:05:13.784',-0.027,-,-,-,55.200
'58:05:13.792',-0.027,-,-,-,54.400
'58:05:13.800',-0.045,-,-,-,54.400
'58:05:13.808',-0.027,-,-,-,53.600
'58:05:13.816',-0.027,-,-,-,53.600
'58:05:13.824',-0.027,-,-,-,52.800
'58:05:13.832',-0.009,-,-,-,52.800
'58:05:13.840',0.000,-,-,-,53.600
'58:05:13.848',0.000,-,-,-,54.400
'58:05:13.856',0.000,-,-,-,56.800
'58:05:13.864',0.000,-,-,-,60.000
'58:05:13.872',0.009,-,-,-,64.000
'58:05:13.880',0.009,-,-,-,69.600
'58:05:13.888',0.027,-,-,-,74.400
'58:05:13.896',0.027,-,-,-,80.000
'58:05:13.904',0.045,-,-,-,85.600
'58:05:13.912',0.054,-,-,-,90.400
'58:05:13.920',0.054,-,-,-,95.200
'58:05:13.928',0.071,-,-,-,99.200
'58:05:13.936',0.071,-,-,-,102.400
'58:05:13.944',0.071,-,-,-,104.000
'58:05:13.952',0.071,-,-,-,105.600
'58:05:13.960',0.054,-,-,-,106.400
'58:05:13.968',0.045,-,-,-,106.400
'58:05:13.976',0.027,-,-,-,105.600
'58:05:13.984',0.027,-,-,-,104.800
'58:05:13.992',0.009,-,-,-,104.000
'58:05:14.000',0.000,-,-,-,102.400
'58:05:14.008',0.000,-,-,-,100.800
'58:05:14.016',0.000,-,-,-,98.400
'58:05:14.024',0.000,-,-,-,96.800
'58:05:14.032',-0.009,-,-,-,95.200
'58:05:14.040',-0.027,-,-,-,92.800
'58:05:14.048',-0.027,-,-,-,90.400
'58:05:14.056',-0.027,-,-,-,88.000
'58:05:14.064',-0.027,-,-,-,85.600
'58:05:14.072',-0.027,-,-,-,82.400
'58:05:14.080',-0.027,-,-,-,80.000
'58:05:14.088',-0.027,-,-,-,76.800
'58:05:14.096',-0.009,-,-,-,73.600
'58:05:14.104',-0.027,-,-,-,71.200
'58:05:14.112',-0.009,-,-,-,68.800
'58:05:14.120',0.000,-,-,-,67.200
'58:05:14.128',-0.009,-,-,-,65.600
'58:05:14.136',0.000,-,-,-,64.800
'58:05:14.144',0.000,-,-,-,64.000
'58:05:14.152',0.000,-,-,-,63.200
'58:05:14.160',0.000,-,-,-,63.200
'58:05:14.168',0.000,-,-,-,62.400
'58:05:14.176',0.000,-,-,-,62.400
'58:05:14.184',0.000,-,-,-,62.400
'58:05:14.192',0.000,-,-,-,62.400
'58:05:14.200',0.000,-,-,-,62.400
'58:05:14.208',0.000,-,-,-,62.400
'58:05:14.216',0.000,-,-,-,62.400
'58:05:14.224',0.000,-,-,-,62.400
'58:05:14.232',0.000,-,-,-,62.400
'58:05:14.240',0.009,-,-,-,62.400
'58:05:14.248',0.009,-,-,-,62.400
'58:05:14.256',0.027,-,-,-,62.400
'58:05:14.264',0.045,-,-,-,62.400
'58:05:14.272',0.027,-,-,-,61.600
'58:05:14.280',0.027,-,-,-,61.600
'58:05:14.288',0.009,-,-,-,61.600
'58:05:14.296',0.009,-,-,-,60.800
'58:05:14.304',0.000,-,-,-,60.800
'58:05:14.312',0.000,-,-,-,60.000
'58:05:14.320',0.000,-,-,-,60.000
'58:05:14.328',0.000,-,-,-,59.200
'58:05:14.336',0.000,-,-,-,59.200
'58:05:14.344',0.000,-,-,-,58.400
'58:05:14.352',-0.027,-,-,-,58.400
'58:05:14.360',-0.116,-,-,-,57.600
'58:05:14.368',-0.179,-,-,-,57.600
'58:05:14.376',-0.071,-,-,-,56.800
'58:05:14.384',0.259,-,-,-,56.800
'58:05:14.392',0.518,-,-,-,56.000
'58:05:14.400',0.536,-,-,-,56.000
'58:05:14.408',0.393,-,-,-,55.200
'58:05:14.416',0.196,-,-,-,55.200
'58:05:14.424',0.054,-,-,-,54.400
'58:05:14.432',0.027,-,-,-,53.600
'58:05:14.440',0.000,-,-,-,53.600
'58:05:14.448',-0.027,-,-,-,52.800
'58:05:14.456',-0.027,-,-,-,52.800
'58:05:14.464',-0.045,-,-,-,52.000
'58:05:14.472',-0.027,-,-,-,52.000
'58:05:14.480',-0.027,-,-,-,51.200
'58:05:14.488',-0.027,-,-,-,51.200
'58:05:14.496',-0.027,-,-,-,51.200
'58:05:14.504',-0.027,-,-,-,51.200
'58:05:14.512',-0.027,-,-,-,52.000
'58:05:14.520',-0.009,-,-,-,54.400
'58:05:14.528',0.000,-,-,-,57.600
'58:05:14.536',0.000,-,-,-,62.400
'58:05:14.544',0.000,-,-,-,67.200
'58:05:14.552',0.000,-,-,-,72.800
'58:05:14.560',0.009,-,-,-,78.400
'58:05:14.568',0.027,-,-,-,84.000
'58:05:14.576',0.045,-,-,-,89.600
'58:05:14.584',0.027,-,-,-,94.400
'58:05:14.592',0.054,-,-,-,98.400
'58:05:14.600',0.071,-,-,-,102.400
'58:05:14.608',0.054,-,-,-,104.800
'58:05:14.616',0.054,-,-,-,106.400
'58:05:14.624',0.054,-,-,-,107.200
'58:05:14.632',0.054,-,-,-,107.200
'58:05:14.640',0.027,-,-,-,107.200
'58:05:14.648',0.009,-,-,-,106.400
'58:05:14.656',0.009,-,-,-,105.600
'58:05:14.664',0.000,-,-,-,104.000
'58:05:14.672',0.000,-,-,-,102.400
'58:05:14.680',-0.027,-,-,-,100.800
'58:05:14.688',-0.027,-,-,-,99.200
'58:05:14.696',-0.027,-,-,-,97.600
'58:05:14.704',-0.027,-,-,-,95.200
'58:05:14.712',-0.027,-,-,-,93.600
'58:05:14.720',-0.027,-,-,-,91.200
'58:05:14.728',-0.027,-,-,-,88.800
'58:05:14.736',-0.027,-,-,-,85.600
'58:05:14.744',-0.027,-,-,-,83.200
'58:05:14.752',-0.009,-,-,-,80.000
'58:05:14.760',-0.009,-,-,-,76.800
'58:05:14.768',-0.027,-,-,-,73.600
'58:05:14.776',-0.027,-,-,-,71.200
'58:05:14.784',-0.027,-,-,-,68.800
'58:05:14.792',-0.045,-,-,-,67.200
'58:05:14.800',-0.027,-,-,-,65.600
'58:05:14.808',-0.045,-,-,-,64.000
'58:05:14.816',-0.027,-,-,-,63.200
'58:05:14.824',-0.027,-,-,-,62.400
'58:05:14.832',-0.027,-,-,-,62.400
'58:05:14.840',-0.027,-,-,-,62.400
'58:05:14.848',-0.027,-,-,-,62.400
'58:05:14.856',-0.152,-,-,-,62.400
'58:05:14.864',-0.196,-,-,-,62.400
'58:05:14.872',-0.045,-,-,-,63.200
'58:05:14.880',0.304,-,-,-,63.200
'58:05:14.888',0.500,-,-,-,63.200
'58:05:14.896',0.518,-,-,-,64.000
'58:05:14.904',0.286,-,-,-,64.000
'58:05:14.912',0.116,-,-,-,64.000
'58:05:14.920',0.027,-,-,-,64.000
'58:05:14.928',0.009,-,-,-,64.000
'58:05:14.936',-0.027,-,-,-,64.000
'58:05:14.944',-0.027,-,-,-,63.200
'58:05:14.952',-0.027,-,-,-,63.200
'58:05:14.960',-0.027,-,-,-,62.400
'58:05:14.968',-0.027,-,-,-,62.400
'58:05:14.976',-0.027,-,-,-,61.600
'58:05:14.984',-0.027,-,-,-,60.800
'58:05:14.992',-0.027,-,-,-,60.800
'58:05:15.000',-0.027,-,-,-,60.000
'58:05:15.008',-0.009,-,-,-,60.000
'58:05:15.016',-0.027,-,-,-,60.800
'58:05:15.024',-0.027,-,-,-,62.400
'58:05:15.032',-0.009,-,-,-,64.800
'58:05:15.040',0.000,-,-,-,68.000
'58:05:15.048',0.000,-,-,-,72.000
'58:05:15.056',0.000,-,-,-,76.800
'58:05:15.064',0.009,-,-,-,81.600
'58:05:15.072',0.009,-,-,-,85.600
'58:05:15.080',0.027,-,-,-,90.400
'58:05:15.088',0.027,-,-,-,94.400
'58:05:15.096',0.027,-,-,-,97.600
'58:05:15.104',0.027,-,-,-,100.000
'58:05:15.112',0.027,-,-,-,101.600
'58:05:15.120',0.009,-,-,-,102.400
'58:05:15.128',0.000,-,-,-,102.400
'58:05:15.136',0.000,-,-,-,102.400
'58:05:15.144',0.000,-,-,-,101.600
'58:05:15.152',-0.009,-,-,-,100.000
'58:05:15.160',-0.027,-,-,-,98.400
