'Elapsed time','II','III','V','MCL1','ABP'
'35:44:48.968',1.979,-,-,-,179.880
'35:44:48.976',1.979,-,-,-,179.880
'35:44:48.984',1.938,-,-,-,179.880
'35:44:48.992',1.938,-,-,-,179.880
'35:44:49.000',1.938,-,-,-,179.880
'35:44:49.008',1.875,-,-,-,179.880
'35:44:49.016',1.771,-,-,-,179.880
'35:44:49.024',1.667,-,-,-,172.680
'35:44:49.032',1.562,-,-,-,163.080
'35:44:49.040',1.458,-,-,-,155.160
'35:44:49.048',1.354,-,-,-,147.120
'35:44:49.056',1.312,-,-,-,139.920
'35:44:49.064',1.250,-,-,-,134.280
'35:44:49.072',1.208,-,-,-,128.760
'35:44:49.080',1.208,-,-,-,124.680
'35:44:49.088',1.146,-,-,-,120.720
'35:44:49.096',1.146,-,-,-,118.320
'35:44:49.104',1.146,-,-,-,115.920
'35:44:49.112',1.104,-,-,-,114.360
'35:44:49.120',1.104,-,-,-,113.520
'35:44:49.128',1.104,-,-,-,112.680
'35:44:49.136',1.042,-,-,-,112.680
'35:44:49.144',0.979,-,-,-,112.680
'35:44:49.152',0.979,-,-,-,112.680
'35:44:49.160',0.938,-,-,-,113.520
'35:44:49.168',0.875,-,-,-,115.080
'35:44:49.176',0.833,-,-,-,116.760
'35:44:49.184',0.771,-,-,-,118.320
'35:44:49.192',0.729,-,-,-,119.160
'35:44:49.200',0.667,-,-,-,120.720
'35:44:49.208',0.625,-,-,-,120.720
'35:44:49.216',0.562,-,-,-,120.720
'35:44:49.224',0.521,-,-,-,119.880
'35:44:49.232',0.458,-,-,-,119.160
'35:44:49.240',0.417,-,-,-,117.480
'35:44:49.248',0.417,-,-,-,115.080
'35:44:49.256',0.417,-,-,-,112.680
'35:44:49.264',0.417,-,-,-,111.120
'35:44:49.272',0.458,-,-,-,108.720
'35:44:49.280',0.417,-,-,-,106.320
'35:44:49.288',0.417,-,-,-,103.920
'35:44:49.296',0.354,-,-,-,102.360
'35:44:49.304',0.312,-,-,-,100.680
'35:44:49.312',0.312,-,-,-,99.120
'35:44:49.320',0.250,-,-,-,97.560
'35:44:49.328',0.354,-,-,-,96.720
'35:44:49.336',0.562,-,-,-,95.160
'35:44:49.344',0.625,-,-,-,95.160
'35:44:49.352',0.625,-,-,-,94.320
'35:44:49.360',0.521,-,-,-,93.480
'35:44:49.368',0.458,-,-,-,93.480
'35:44:49.376',0.417,-,-,-,92.760
'35:44:49.384',0.354,-,-,-,92.760
'35:44:49.392',0.312,-,-,-,91.920
'35:44:49.400',0.250,-,-,-,91.920
'35:44:49.408',0.250,-,-,-,91.080
'35:44:49.416',0.208,-,-,-,91.080
'35:44:49.424',0.146,-,-,-,90.360
'35:44:49.432',0.146,-,-,-,89.520
'35:44:49.440',0.104,-,-,-,89.520
'35:44:49.448',0.104,-,-,-,88.680
'35:44:49.456',0.042,-,-,-,87.960
'35:44:49.464',0.042,-,-,-,87.120
'35:44:49.472',0.000,-,-,-,86.280
'35:44:49.480',0.000,-,-,-,86.280
'35:44:49.488',-0.042,-,-,-,85.560
'35:44:49.496',-0.042,-,-,-,85.560
'35:44:49.504',-0.104,-,-,-,84.720
'35:44:49.512',-0.104,-,-,-,84.720
'35:44:49.520',-0.104,-,-,-,83.880
'35:44:49.528',-0.104,-,-,-,83.880
'35:44:49.536',-0.104,-,-,-,83.880
'35:44:49.544',-0.042,-,-,-,83.880
'35:44:49.552',0.104,-,-,-,83.160
'35:44:49.560',0.417,-,-,-,83.160
'35:44:49.568',0.979,-,-,-,83.160
'35:44:49.576',1.521,-,-,-,83.160
'35:44:49.584',1.667,-,-,-,82.320
'35:44:49.592',1.312,-,-,-,82.320
'35:44:49.600',0.771,-,-,-,82.320
'35:44:49.608',0.521,-,-,-,81.480
'35:44:49.616',0.521,-,-,-,81.480
'35:44:49.624',0.625,-,-,-,80.760
'35:44:49.632',0.729,-,-,-,80.760
'35:44:49.640',0.875,-,-,-,79.920
'35:44:49.648',1.042,-,-,-,79.080
'35:44:49.656',1.208,-,-,-,78.360
'35:44:49.664',1.354,-,-,-,77.520
'35:44:49.672',1.625,-,-,-,77.520
'35:44:49.680',1.833,-,-,-,76.680
'35:44:49.688',2.104,-,-,-,77.520
'35:44:49.696',2.417,-,-,-,79.080
'35:44:49.704',2.833,-,-,-,83.160
'35:44:49.712',3.208,-,-,-,91.080
'35:44:49.720',3.458,-,-,-,105.480
'35:44:49.728',3.562,-,-,-,125.520
'35:44:49.736',3.562,-,-,-,147.960
'35:44:49.744',3.562,-,-,-,171.120
'35:44:49.752',3.562,-,-,-,179.880
'35:44:49.760',3.562,-,-,-,179.880
'35:44:49.768',3.562,-,-,-,179.880
'35:44:49.776',3.562,-,-,-,179.880
'35:44:49.784',3.562,-,-,-,179.880
'35:44:49.792',3.562,-,-,-,179.880
'35:44:49.800',3.562,-,-,-,179.880
'35:44:49.808',3.562,-,-,-,179.880
'35:44:49.816',3.562,-,-,-,173.520
'35:44:49.824',3.562,-,-,-,163.920
'35:44:49.832',3.562,-,-,-,155.880
'35:44:49.840',3.562,-,-,-,147.960
'35:44:49.848',3.562,-,-,-,140.760
'35:44:49.856',3.562,-,-,-,134.280
'35:44:49.864',3.562,-,-,-,129.480
'35:44:49.872',3.562,-,-,-,124.680
'35:44:49.880',3.562,-,-,-,121.560
'35:44:49.888',3.562,-,-,-,118.320
'35:44:49.896',3.562,-,-,-,116.760
'35:44:49.904',3.562,-,-,-,115.080
'35:44:49.912',3.562,-,-,-,114.360
'35:44:49.920',3.562,-,-,-,113.520
'35:44:49.928',3.562,-,-,-,113.520
'35:44:49.936',3.562,-,-,-,113.520
'35:44:49.944',3.562,-,-,-,113.520
'35:44:49.952',3.562,-,-,-,114.360
'35:44:49.960',3.562,-,-,-,115.080
'35:44:49.968',3.562,-,-,-,116.760
'35:44:49.976',3.562,-,-,-,117.480
'35:44:49.984',3.562,-,-,-,119.160
'35:44:49.992',3.562,-,-,-,119.880
'35:44:50.000',3.562,-,-,-,120.720
'35:44:50.008',3.562,-,-,-,120.720
'35:44:50.016',3.562,-,-,-,119.880
'35:44:50.024',3.521,-,-,-,119.160
'35:44:50.032',3.521,-,-,-,117.480
'35:44:50.040',3.521,-,-,-,115.080
'35:44:50.048',3.521,-,-,-,113.520
'35:44:50.056',3.521,-,-,-,111.120
'35:44:50.064',3.521,-,-,-,108.720
'35:44:50.072',3.521,-,-,-,107.160
'35:44:50.080',3.521,-,-,-,104.760
'35:44:50.088',3.417,-,-,-,103.080
'35:44:50.096',2.833,-,-,-,101.520
'35:44:50.104',1.833,-,-,-,99.960
'35:44:50.112',0.562,-,-,-,98.280
'35:44:50.120',-1.417,-,-,-,97.560
'35:44:50.128',-3.250,-,-,-,95.880
'35:44:50.136',-4.042,-,-,-,95.160
'35:44:50.144',-4.146,-,-,-,94.320
'35:44:50.152',-4.042,-,-,-,94.320
'35:44:50.160',-3.771,-,-,-,93.480
'35:44:50.168',-3.417,-,-,-,93.480
'35:44:50.176',-2.938,-,-,-,92.760
'35:44:50.184',-2.521,-,-,-,92.760
'35:44:50.192',-1.979,-,-,-,91.920
'35:44:50.200',-1.354,-,-,-,91.920
'35:44:50.208',-0.458,-,-,-,91.080
'35:44:50.216',0.625,-,-,-,90.360
'35:44:50.224',1.729,-,-,-,90.360
'35:44:50.232',2.312,-,-,-,89.520
'35:44:50.240',2.458,-,-,-,88.680
'35:44:50.248',2.458,-,-,-,87.960
'35:44:50.256',2.354,-,-,-,87.120
'35:44:50.264',2.250,-,-,-,87.120
'35:44:50.272',2.104,-,-,-,86.280
'35:44:50.280',1.938,-,-,-,85.560
'35:44:50.288',1.771,-,-,-,85.560
'35:44:50.296',1.562,-,-,-,85.560
'35:44:50.304',1.417,-,-,-,84.720
'35:44:50.312',1.250,-,-,-,84.720
'35:44:50.320',1.104,-,-,-,84.720
'35:44:50.328',0.458,-,-,-,84.720
'35:44:50.336',-1.458,-,-,-,84.720
'35:44:50.344',-3.562,-,-,-,84.720
'35:44:50.352',-4.208,-,-,-,83.880
'35:44:50.360',-4.208,-,-,-,83.880
'35:44:50.368',-4.208,-,-,-,83.880
'35:44:50.376',-4.208,-,-,-,83.880
'35:44:50.384',-4.208,-,-,-,83.160
'35:44:50.392',-4.208,-,-,-,83.160
'35:44:50.400',-4.208,-,-,-,82.320
'35:44:50.408',-4.208,-,-,-,82.320
'35:44:50.416',-4.208,-,-,-,81.480
'35:44:50.424',-4.208,-,-,-,80.760
'35:44:50.432',-4.208,-,-,-,79.920
'35:44:50.440',-4.208,-,-,-,79.920
'35:44:50.448',-4.208,-,-,-,79.080
'35:44:50.456',-4.146,-,-,-,78.360
'35:44:50.464',-3.562,-,-,-,78.360
'35:44:50.472',-1.938,-,-,-,77.520
'35:44:50.480',0.625,-,-,-,78.360
'35:44:50.488',2.833,-,-,-,79.080
'35:44:50.496',3.562,-,-,-,81.480
'35:44:50.504',3.562,-,-,-,87.960
'35:44:50.512',3.562,-,-,-,99.960
'35:44:50.520',3.562,-,-,-,116.760
'35:44:50.528',3.562,-,-,-,138.360
'35:44:50.536',3.562,-,-,-,161.520
'35:44:50.544',3.562,-,-,-,179.880
'35:44:50.552',3.562,-,-,-,179.880
'35:44:50.560',3.562,-,-,-,179.880
'35:44:50.568',3.521,-,-,-,179.880
'35:44:50.576',3.458,-,-,-,179.880
'35:44:50.584',3.312,-,-,-,179.880
'35:44:50.592',3.042,-,-,-,179.880
'35:44:50.600',2.625,-,-,-,179.880
'35:44:50.608',2.146,-,-,-,179.160
'35:44:50.616',1.729,-,-,-,169.560
'35:44:50.624',1.354,-,-,-,160.680
'35:44:50.632',1.042,-,-,-,152.760
'35:44:50.640',0.729,-,-,-,144.720
'35:44:50.648',0.521,-,-,-,138.360
'35:44:50.656',0.312,-,-,-,132.720
'35:44:50.664',0.146,-,-,-,128.760
'35:44:50.672',0.042,-,-,-,124.680
'35:44:50.680',-0.042,-,-,-,121.560
'35:44:50.688',-0.104,-,-,-,119.160
'35:44:50.696',-0.208,-,-,-,117.480
'35:44:50.704',-0.250,-,-,-,116.760
'35:44:50.712',-0.312,-,-,-,115.920
'35:44:50.720',-0.354,-,-,-,115.080
'35:44:50.728',-0.417,-,-,-,115.080
'35:44:50.736',-0.417,-,-,-,115.080
'35:44:50.744',-0.458,-,-,-,115.080
'35:44:50.752',-0.521,-,-,-,115.920
'35:44:50.760',-0.562,-,-,-,116.760
'35:44:50.768',-0.562,-,-,-,117.480
'35:44:50.776',-0.562,-,-,-,118.320
'35:44:50.784',-0.562,-,-,-,119.160
'35:44:50.792',-0.562,-,-,-,119.160
'35:44:50.800',-0.562,-,-,-,119.160
'35:44:50.808',-0.562,-,-,-,119.160
'35:44:50.816',-0.562,-,-,-,117.480
'35:44:50.824',-0.562,-,-,-,115.920
'35:44:50.832',-0.562,-,-,-,114.360
'35:44:50.840',-0.562,-,-,-,112.680
'35:44:50.848',-0.521,-,-,-,110.280
'35:44:50.856',-0.521,-,-,-,107.880
'35:44:50.864',-0.521,-,-,-,106.320
'35:44:50.872',-0.521,-,-,-,103.920
'35:44:50.880',-0.521,-,-,-,102.360
'35:44:50.888',-0.521,-,-,-,100.680
'35:44:50.896',-0.521,-,-,-,99.120
'35:44:50.904',-0.417,-,-,-,97.560
'35:44:50.912',-0.354,-,-,-,96.720
'35:44:50.920',-0.354,-,-,-,95.160
'35:44:50.928',-0.354,-,-,-,94.320
'35:44:50.936',-0.354,-,-,-,93.480
'35:44:50.944',-0.354,-,-,-,92.760
'35:44:50.952',-0.354,-,-,-,92.760
'35:44:50.960',-0.312,-,-,-,91.920
'35:44:50.968',-0.312,-,-,-,91.920
'35:44:50.976',-0.250,-,-,-,91.080
'35:44:50.984',-0.250,-,-,-,91.080
'35:44:50.992',-0.250,-,-,-,91.080
'35:44:51.000',-0.250,-,-,-,90.360
'35:44:51.008',-0.208,-,-,-,90.360
'35:44:51.016',-0.250,-,-,-,89.520
'35:44:51.024',-0.312,-,-,-,88.680
'35:44:51.032',-0.312,-,-,-,87.960
'35:44:51.040',-0.354,-,-,-,87.960
'35:44:51.048',-0.354,-,-,-,87.120
'35:44:51.056',-0.417,-,-,-,86.280
'35:44:51.064',-0.417,-,-,-,85.560
'35:44:51.072',-0.417,-,-,-,84.720
'35:44:51.080',-0.458,-,-,-,84.720
'35:44:51.088',-0.417,-,-,-,83.880
'35:44:51.096',-0.458,-,-,-,83.880
'35:44:51.104',-0.458,-,-,-,83.160
'35:44:51.112',-0.458,-,-,-,83.160
'35:44:51.120',-0.458,-,-,-,83.160
'35:44:51.128',-0.458,-,-,-,83.160
'35:44:51.136',-0.458,-,-,-,83.160
'35:44:51.144',-0.417,-,-,-,83.160
'35:44:51.152',-0.208,-,-,-,82.320
'35:44:51.160',0.146,-,-,-,82.320
'35:44:51.168',0.667,-,-,-,82.320
'35:44:51.176',1.042,-,-,-,82.320
'35:44:51.184',1.104,-,-,-,82.320
'35:44:51.192',0.250,-,-,-,81.480
'35:44:51.200',-0.354,-,-,-,81.480
'35:44:51.208',-0.625,-,-,-,81.480
'35:44:51.216',-0.667,-,-,-,80.760
'35:44:51.224',-0.667,-,-,-,80.760
'35:44:51.232',-0.667,-,-,-,79.920
'35:44:51.240',-0.667,-,-,-,79.080
'35:44:51.248',-0.667,-,-,-,79.080
'35:44:51.256',-0.667,-,-,-,78.360
'35:44:51.264',-0.667,-,-,-,78.360
'35:44:51.272',-0.667,-,-,-,77.520
'35:44:51.280',-0.667,-,-,-,77.520
'35:44:51.288',-0.667,-,-,-,78.360
'35:44:51.296',-0.667,-,-,-,80.760
'35:44:51.304',-0.667,-,-,-,86.280
'35:44:51.312',-0.667,-,-,-,96.720
'35:44:51.320',-0.667,-,-,-,112.680
'35:44:51.328',-0.667,-,-,-,132.720
'35:44:51.336',-0.729,-,-,-,155.160
'35:44:51.344',-0.729,-,-,-,175.920
'35:44:51.352',-0.729,-,-,-,179.880
'35:44:51.360',-0.729,-,-,-,179.880
'35:44:51.368',-0.729,-,-,-,179.880
'35:44:51.376',-0.771,-,-,-,179.880
'35:44:51.384',-0.771,-,-,-,179.880
'35:44:51.392',-0.833,-,-,-,179.880
'35:44:51.400',-0.833,-,-,-,179.880
'35:44:51.408',-0.875,-,-,-,176.760
'35:44:51.416',-0.938,-,-,-,167.160
'35:44:51.424',-0.979,-,-,-,157.560
'35:44:51.432',-0.979,-,-,-,148.680
'35:44:51.440',-1.042,-,-,-,141.480
'35:44:51.448',-1.104,-,-,-,134.280
'35:44:51.456',-1.104,-,-,-,128.760
'35:44:51.464',-1.042,-,-,-,123.960
'35:44:51.472',-0.979,-,-,-,119.880
'35:44:51.480',-0.938,-,-,-,116.760
'35:44:51.488',-0.833,-,-,-,113.520
'35:44:51.496',-0.729,-,-,-,111.960
'35:44:51.504',-0.667,-,-,-,111.120
'35:44:51.512',-0.562,-,-,-,110.280
'35:44:51.520',-0.521,-,-,-,110.280
'35:44:51.528',-0.458,-,-,-,110.280
'35:44:51.536',-0.458,-,-,-,111.120
'35:44:51.544',-0.458,-,-,-,111.960
'35:44:51.552',-0.458,-,-,-,112.680
'35:44:51.560',-0.458,-,-,-,114.360
'35:44:51.568',-0.458,-,-,-,115.920
'35:44:51.576',-0.458,-,-,-,116.760
'35:44:51.584',-0.458,-,-,-,117.480
'35:44:51.592',-0.521,-,-,-,118.320
'35:44:51.600',-0.521,-,-,-,118.320
'35:44:51.608',-0.521,-,-,-,117.480
'35:44:51.616',-0.521,-,-,-,116.760
'35:44:51.624',-0.521,-,-,-,115.080
'35:44:51.632',-0.562,-,-,-,113.520
'35:44:51.640',-0.562,-,-,-,111.120
'35:44:51.648',-0.562,-,-,-,109.560
'35:44:51.656',-0.562,-,-,-,107.160
'35:44:51.664',-0.562,-,-,-,104.760
'35:44:51.672',-0.562,-,-,-,103.080
'35:44:51.680',-0.562,-,-,-,100.680
'35:44:51.688',-0.562,-,-,-,99.120
'35:44:51.696',-0.562,-,-,-,97.560
'35:44:51.704',-0.562,-,-,-,95.880
'35:44:51.712',-0.562,-,-,-,95.160
'35:44:51.720',-0.562,-,-,-,94.320
'35:44:51.728',-0.562,-,-,-,93.480
'35:44:51.736',-0.562,-,-,-,92.760
'35:44:51.744',-0.562,-,-,-,91.920
'35:44:51.752',-0.562,-,-,-,91.920
'35:44:51.760',-0.521,-,-,-,91.920
'35:44:51.768',-0.458,-,-,-,91.080
'35:44:51.776',-0.458,-,-,-,91.080
'35:44:51.784',-0.458,-,-,-,91.080
'35:44:51.792',-0.458,-,-,-,91.080
'35:44:51.800',-0.458,-,-,-,90.360
'35:44:51.808',-0.458,-,-,-,90.360
'35:44:51.816',-0.458,-,-,-,89.520
'35:44:51.824',-0.521,-,-,-,88.680
'35:44:51.832',-0.521,-,-,-,87.960
'35:44:51.840',-0.562,-,-,-,87.120
'35:44:51.848',-0.562,-,-,-,86.280
'35:44:51.856',-0.625,-,-,-,85.560
'35:44:51.864',-0.625,-,-,-,84.720
'35:44:51.872',-0.625,-,-,-,83.880
'35:44:51.880',-0.667,-,-,-,83.160
'35:44:51.888',-0.667,-,-,-,82.320
'35:44:51.896',-0.667,-,-,-,82.320
'35:44:51.904',-0.667,-,-,-,81.480
'35:44:51.912',-0.667,-,-,-,81.480
'35:44:51.920',-0.667,-,-,-,81.480
'35:44:51.928',-0.625,-,-,-,81.480
'35:44:51.936',-0.625,-,-,-,80.760
'35:44:51.944',-0.521,-,-,-,80.760
'35:44:51.952',-0.208,-,-,-,80.760
'35:44:51.960',0.312,-,-,-,80.760
'35:44:51.968',0.833,-,-,-,79.920
'35:44:51.976',0.979,-,-,-,79.920
'35:44:51.984',0.458,-,-,-,79.920
'35:44:51.992',-0.208,-,-,-,79.080
'35:44:52.000',-0.667,-,-,-,79.080
'35:44:52.008',-0.833,-,-,-,78.360
'35:44:52.016',-0.875,-,-,-,78.360
'35:44:52.024',-0.875,-,-,-,77.520
'35:44:52.032',-0.875,-,-,-,76.680
'35:44:52.040',-0.875,-,-,-,76.680
'35:44:52.048',-0.875,-,-,-,75.960
'35:44:52.056',-0.875,-,-,-,75.960
'35:44:52.064',-0.875,-,-,-,75.960
'35:44:52.072',-0.875,-,-,-,75.120
'35:44:52.080',-0.875,-,-,-,75.960
'35:44:52.088',-0.875,-,-,-,76.680
'35:44:52.096',-0.875,-,-,-,79.920
'35:44:52.104',-0.875,-,-,-,87.120
'35:44:52.112',-0.875,-,-,-,99.120
'35:44:52.120',-0.875,-,-,-,117.480
'35:44:52.128',-0.875,-,-,-,139.080
'35:44:52.136',-0.875,-,-,-,161.520
'35:44:52.144',-0.875,-,-,-,179.880
'35:44:52.152',-0.938,-,-,-,179.880
'35:44:52.160',-0.938,-,-,-,179.880
'35:44:52.168',-0.938,-,-,-,179.880
'35:44:52.176',-0.938,-,-,-,179.880
'35:44:52.184',-0.979,-,-,-,179.880
'35:44:52.192',-0.979,-,-,-,179.880
'35:44:52.200',-1.042,-,-,-,179.880
'35:44:52.208',-1.104,-,-,-,170.280
'35:44:52.216',-1.146,-,-,-,160.680
'35:44:52.224',-1.208,-,-,-,151.080
'35:44:52.232',-1.208,-,-,-,143.160
'35:44:52.240',-1.208,-,-,-,135.960
'35:44:52.248',-1.250,-,-,-,129.480
'35:44:52.256',-1.208,-,-,-,123.960
'35:44:52.264',-1.208,-,-,-,119.160
'35:44:52.272',-1.104,-,-,-,115.080
'35:44:52.280',-1.042,-,-,-,112.680
'35:44:52.288',-0.938,-,-,-,110.280
'35:44:52.296',-0.833,-,-,-,108.720
'35:44:52.304',-0.771,-,-,-,107.880
'35:44:52.312',-0.667,-,-,-,107.880
'35:44:52.320',-0.625,-,-,-,107.880
'35:44:52.328',-0.625,-,-,-,107.880
'35:44:52.336',-0.562,-,-,-,108.720
'35:44:52.344',-0.562,-,-,-,110.280
'35:44:52.352',-0.562,-,-,-,111.960
'35:44:52.360',-0.562,-,-,-,113.520
'35:44:52.368',-0.562,-,-,-,115.080
'35:44:52.376',-0.562,-,-,-,117.480
'35:44:52.384',-0.562,-,-,-,118.320
'35:44:52.392',-0.562,-,-,-,119.160
'35:44:52.400',-0.625,-,-,-,119.160
'35:44:52.408',-0.625,-,-,-,118.320
'35:44:52.416',-0.625,-,-,-,117.480
'35:44:52.424',-0.625,-,-,-,115.920
'35:44:52.432',-0.625,-,-,-,113.520
'35:44:52.440',-0.625,-,-,-,111.120
'35:44:52.448',-0.625,-,-,-,109.560
'35:44:52.456',-0.625,-,-,-,107.160
'35:44:52.464',-0.625,-,-,-,104.760
'35:44:52.472',-0.625,-,-,-,102.360
'35:44:52.480',-0.625,-,-,-,100.680
'35:44:52.488',-0.625,-,-,-,98.280
'35:44:52.496',-0.625,-,-,-,96.720
'35:44:52.504',-0.625,-,-,-,95.160
'35:44:52.512',-0.625,-,-,-,93.480
'35:44:52.520',-0.625,-,-,-,91.920
'35:44:52.528',-0.625,-,-,-,91.080
'35:44:52.536',-0.625,-,-,-,90.360
'35:44:52.544',-0.625,-,-,-,89.520
'35:44:52.552',-0.562,-,-,-,88.680
'35:44:52.560',-0.562,-,-,-,87.960
'35:44:52.568',-0.562,-,-,-,87.960
'35:44:52.576',-0.521,-,-,-,87.960
'35:44:52.584',-0.521,-,-,-,87.120
'35:44:52.592',-0.521,-,-,-,87.120
'35:44:52.600',-0.458,-,-,-,87.120
'35:44:52.608',-0.521,-,-,-,87.120
'35:44:52.616',-0.521,-,-,-,86.280
'35:44:52.624',-0.562,-,-,-,86.280
'35:44:52.632',-0.562,-,-,-,85.560
'35:44:52.640',-0.625,-,-,-,85.560
'35:44:52.648',-0.625,-,-,-,84.720
'35:44:52.656',-0.625,-,-,-,84.720
'35:44:52.664',-0.667,-,-,-,83.880
'35:44:52.672',-0.667,-,-,-,83.880
'35:44:52.680',-0.667,-,-,-,83.880
'35:44:52.688',-0.667,-,-,-,83.880
'35:44:52.696',-0.667,-,-,-,83.160
'35:44:52.704',-0.667,-,-,-,83.160
'35:44:52.712',-0.667,-,-,-,83.160
'35:44:52.720',-0.625,-,-,-,83.160
'35:44:52.728',-0.625,-,-,-,83.160
'35:44:52.736',-0.625,-,-,-,83.160
'35:44:52.744',-0.458,-,-,-,83.160
