'Elapsed time','II','III','AVF','V','ABP'
'13:48:06.880',-0.069,-,-,-0.028,66.400
'13:48:06.888',-0.069,-,-,-0.014,67.200
'13:48:06.896',-0.069,-,-,-0.014,68.000
'13:48:06.904',-0.069,-,-,-0.028,70.400
'13:48:06.912',-0.097,-,-,-0.056,75.200
'13:48:06.920',-0.097,-,-,-0.056,82.400
'13:48:06.928',-0.097,-,-,-0.070,90.400
'13:48:06.936',-0.125,-,-,-0.085,97.600
'13:48:06.944',-0.125,-,-,-0.113,103.200
'13:48:06.952',-0.125,-,-,-0.127,106.400
'13:48:06.960',-0.139,-,-,-0.141,106.400
'13:48:06.968',-0.139,-,-,-0.141,104.800
'13:48:06.976',-0.125,-,-,-0.169,101.600
'13:48:06.984',-0.097,-,-,-0.141,98.400
'13:48:06.992',-0.083,-,-,-0.155,96.000
'13:48:07.000',-0.069,-,-,-0.141,92.800
'13:48:07.008',-0.069,-,-,-0.127,90.400
'13:48:07.016',-0.042,-,-,-0.141,88.800
'13:48:07.024',-0.014,-,-,-0.113,87.200
'13:48:07.032',0.000,-,-,-0.056,85.600
'13:48:07.040',0.028,-,-,-0.028,84.800
'13:48:07.048',0.042,-,-,0.000,82.400
'13:48:07.056',0.042,-,-,0.014,80.800
'13:48:07.064',0.056,-,-,0.042,78.400
'13:48:07.072',0.056,-,-,0.056,76.000
'13:48:07.080',0.069,-,-,0.056,74.400
'13:48:07.088',0.069,-,-,0.085,72.800
'13:48:07.096',0.069,-,-,0.070,72.800
'13:48:07.104',0.069,-,-,0.085,72.800
'13:48:07.112',0.069,-,-,0.070,72.800
'13:48:07.120',0.069,-,-,0.085,73.600
'13:48:07.128',0.069,-,-,0.070,73.600
'13:48:07.136',0.069,-,-,0.085,73.600
'13:48:07.144',0.056,-,-,0.056,73.600
'13:48:07.152',0.042,-,-,0.070,72.800
'13:48:07.160',0.042,-,-,0.070,72.800
'13:48:07.168',0.042,-,-,0.056,72.000
'13:48:07.176',0.056,-,-,0.042,72.000
'13:48:07.184',0.042,-,-,0.028,71.200
'13:48:07.192',0.042,-,-,0.042,70.400
'13:48:07.200',0.042,-,-,0.028,70.400
'13:48:07.208',0.042,-,-,0.042,69.600
'13:48:07.216',0.056,-,-,0.042,69.600
'13:48:07.224',0.153,-,-,0.113,68.800
'13:48:07.232',0.361,-,-,0.296,68.800
'13:48:07.240',0.542,-,-,0.451,68.000
'13:48:07.248',0.569,-,-,0.465,68.000
'13:48:07.256',0.236,-,-,-0.183,67.200
'13:48:07.264',0.042,-,-,-0.310,67.200
'13:48:07.272',-0.056,-,-,-0.239,67.200
'13:48:07.280',-0.083,-,-,-0.169,67.200
'13:48:07.288',-0.069,-,-,-0.042,66.400
'13:48:07.296',-0.042,-,-,0.000,66.400
'13:48:07.304',-0.042,-,-,0.000,65.600
'13:48:07.312',-0.042,-,-,0.000,65.600
'13:48:07.320',-0.056,-,-,0.014,64.800
'13:48:07.328',-0.056,-,-,0.000,64.800
'13:48:07.336',-0.069,-,-,-0.014,64.800
'13:48:07.344',-0.083,-,-,-0.014,64.800
'13:48:07.352',-0.097,-,-,-0.028,67.200
'13:48:07.360',-0.097,-,-,-0.042,71.200
'13:48:07.368',-0.125,-,-,-0.056,79.200
'13:48:07.376',-0.139,-,-,-0.070,90.400
'13:48:07.384',-0.153,-,-,-0.113,102.400
'13:48:07.392',-0.167,-,-,-0.127,112.800
'13:48:07.400',-0.167,-,-,-0.141,120.800
'13:48:07.408',-0.181,-,-,-0.141,124.000
'13:48:07.416',-0.181,-,-,-0.169,123.200
'13:48:07.424',-0.181,-,-,-0.169,120.800
'13:48:07.432',-0.181,-,-,-0.183,117.600
'13:48:07.440',-0.167,-,-,-0.183,113.600
'13:48:07.448',-0.167,-,-,-0.197,110.400
'13:48:07.456',-0.153,-,-,-0.169,108.000
'13:48:07.464',-0.139,-,-,-0.169,105.600
'13:48:07.472',-0.097,-,-,-0.155,104.000
'13:48:07.480',-0.083,-,-,-0.169,102.400
'13:48:07.488',-0.042,-,-,-0.127,101.600
'13:48:07.496',-0.014,-,-,-0.113,100.000
'13:48:07.504',0.000,-,-,-0.070,98.400
'13:48:07.512',0.014,-,-,-0.042,96.800
'13:48:07.520',0.014,-,-,-0.014,94.400
'13:48:07.528',0.028,-,-,0.000,92.000
'13:48:07.536',0.028,-,-,0.028,89.600
'13:48:07.544',0.042,-,-,0.056,87.200
'13:48:07.552',0.056,-,-,0.070,84.000
'13:48:07.560',0.056,-,-,0.085,81.600
'13:48:07.568',0.069,-,-,0.113,80.000
'13:48:07.576',0.056,-,-,0.113,79.200
'13:48:07.584',0.042,-,-,0.085,79.200
'13:48:07.592',0.042,-,-,0.085,80.000
'13:48:07.600',0.042,-,-,0.085,80.800
'13:48:07.608',0.028,-,-,0.056,80.800
'13:48:07.616',0.028,-,-,0.056,81.600
'13:48:07.624',0.028,-,-,0.056,81.600
'13:48:07.632',0.014,-,-,0.056,80.800
'13:48:07.640',0.014,-,-,0.056,80.800
'13:48:07.648',0.000,-,-,0.042,80.000
'13:48:07.656',0.000,-,-,0.042,79.200
'13:48:07.664',0.000,-,-,0.042,77.600
'13:48:07.672',0.000,-,-,0.042,76.800
'13:48:07.680',0.000,-,-,0.042,76.000
'13:48:07.688',0.000,-,-,0.042,75.200
'13:48:07.696',0.000,-,-,0.042,74.400
'13:48:07.704',0.000,-,-,0.042,73.600
'13:48:07.712',0.014,-,-,0.028,73.600
'13:48:07.720',0.014,-,-,0.042,72.800
'13:48:07.728',0.014,-,-,0.042,72.000
'13:48:07.736',0.014,-,-,0.042,71.200
'13:48:07.744',0.000,-,-,0.042,71.200
'13:48:07.752',0.000,-,-,0.056,70.400
'13:48:07.760',0.000,-,-,0.042,70.400
'13:48:07.768',0.000,-,-,0.056,69.600
'13:48:07.776',0.000,-,-,0.042,69.600
'13:48:07.784',0.000,-,-,0.056,68.800
'13:48:07.792',0.000,-,-,0.042,68.800
'13:48:07.800',0.000,-,-,0.056,68.000
'13:48:07.808',0.000,-,-,0.056,68.000
'13:48:07.816',0.000,-,-,0.056,67.200
'13:48:07.824',-0.014,-,-,0.042,67.200
'13:48:07.832',-0.014,-,-,0.028,67.200
'13:48:07.840',-0.014,-,-,0.028,66.400
'13:48:07.848',-0.014,-,-,0.028,66.400
'13:48:07.856',-0.014,-,-,0.028,65.600
'13:48:07.864',-0.014,-,-,0.042,65.600
'13:48:07.872',-0.014,-,-,0.028,64.800
'13:48:07.880',0.000,-,-,0.028,64.800
'13:48:07.888',0.000,-,-,0.028,64.800
'13:48:07.896',0.000,-,-,0.028,64.000
'13:48:07.904',0.000,-,-,0.028,64.000
'13:48:07.912',0.000,-,-,0.028,63.200
'13:48:07.920',0.000,-,-,0.028,63.200
'13:48:07.928',0.000,-,-,0.028,63.200
'13:48:07.936',-0.014,-,-,0.028,62.400
'13:48:07.944',0.000,-,-,0.028,62.400
'13:48:07.952',0.000,-,-,0.028,61.600
'13:48:07.960',0.000,-,-,0.028,61.600
'13:48:07.968',0.000,-,-,0.028,61.600
'13:48:07.976',0.000,-,-,0.028,60.800
'13:48:07.984',0.000,-,-,0.028,60.800
'13:48:07.992',0.000,-,-,0.028,60.800
'13:48:08.000',-0.014,-,-,0.042,60.800
'13:48:08.008',-0.042,-,-,0.028,60.000
'13:48:08.016',-0.042,-,-,-0.042,60.000
'13:48:08.024',-0.028,-,-,0.028,60.000
'13:48:08.032',-0.069,-,-,0.028,60.000
'13:48:08.040',-0.194,-,-,0.028,59.200
'13:48:08.048',-0.389,-,-,-0.014,59.200
'13:48:08.056',-0.597,-,-,-0.268,58.400
'13:48:08.064',-0.833,-,-,-0.592,58.400
'13:48:08.072',-1.083,-,-,-0.958,58.400
'13:48:08.080',-1.264,-,-,-1.268,57.600
'13:48:08.088',-1.278,-,-,-1.338,57.600
'13:48:08.096',-0.972,-,-,-1.183,57.600
'13:48:08.104',-0.625,-,-,-0.915,56.800
'13:48:08.112',-0.319,-,-,-0.493,56.800
'13:48:08.120',-0.125,-,-,-0.254,56.800
'13:48:08.128',0.028,-,-,-0.042,56.800
'13:48:08.136',0.139,-,-,0.085,56.000
'13:48:08.144',0.181,-,-,0.169,56.000
'13:48:08.152',0.194,-,-,0.197,56.000
'13:48:08.160',0.208,-,-,0.197,56.000
'13:48:08.168',0.236,-,-,0.197,56.000
'13:48:08.176',0.250,-,-,0.197,56.000
'13:48:08.184',0.250,-,-,0.183,56.000
'13:48:08.192',0.278,-,-,0.197,57.600
'13:48:08.200',0.292,-,-,0.197,60.800
'13:48:08.208',0.306,-,-,0.197,66.400
'13:48:08.216',0.306,-,-,0.197,74.400
'13:48:08.224',0.319,-,-,0.197,84.800
'13:48:08.232',0.361,-,-,0.183,96.000
'13:48:08.240',0.375,-,-,0.197,104.800
'13:48:08.248',0.389,-,-,0.197,112.000
'13:48:08.256',0.403,-,-,0.225,115.200
'13:48:08.264',0.417,-,-,0.239,116.000
'13:48:08.272',0.431,-,-,0.239,115.200
'13:48:08.280',0.458,-,-,0.254,112.800
'13:48:08.288',0.472,-,-,0.268,110.400
'13:48:08.296',0.472,-,-,0.254,108.000
'13:48:08.304',0.458,-,-,0.268,105.600
'13:48:08.312',0.458,-,-,0.254,104.000
'13:48:08.320',0.431,-,-,0.254,102.400
'13:48:08.328',0.417,-,-,0.254,101.600
'13:48:08.336',0.389,-,-,0.254,100.000
'13:48:08.344',0.361,-,-,0.239,99.200
'13:48:08.352',0.306,-,-,0.197,97.600
'13:48:08.360',0.278,-,-,0.169,96.000
'13:48:08.368',0.250,-,-,0.155,93.600
'13:48:08.376',0.208,-,-,0.127,92.000
'13:48:08.384',0.167,-,-,0.113,89.600
'13:48:08.392',0.139,-,-,0.085,86.400
'13:48:08.400',0.097,-,-,0.056,84.000
'13:48:08.408',0.083,-,-,0.056,80.800
'13:48:08.416',0.056,-,-,0.042,78.400
'13:48:08.424',0.042,-,-,0.028,76.800
'13:48:08.432',0.042,-,-,0.042,76.000
'13:48:08.440',0.028,-,-,0.028,76.000
'13:48:08.448',0.028,-,-,0.042,76.800
'13:48:08.456',0.014,-,-,0.028,77.600
'13:48:08.464',0.014,-,-,0.028,78.400
'13:48:08.472',0.014,-,-,0.028,79.200
'13:48:08.480',0.014,-,-,0.028,80.000
'13:48:08.488',0.014,-,-,0.028,80.000
'13:48:08.496',0.014,-,-,0.028,79.200
'13:48:08.504',0.000,-,-,0.028,78.400
'13:48:08.512',0.014,-,-,0.014,77.600
'13:48:08.520',0.014,-,-,0.028,76.800
'13:48:08.528',0.000,-,-,0.014,76.000
'13:48:08.536',0.000,-,-,0.000,75.200
'13:48:08.544',0.000,-,-,0.014,74.400
'13:48:08.552',0.000,-,-,0.000,72.800
'13:48:08.560',0.000,-,-,0.014,72.800
'13:48:08.568',0.000,-,-,0.014,72.000
'13:48:08.576',-0.014,-,-,0.000,71.200
'13:48:08.584',-0.014,-,-,0.028,70.400
'13:48:08.592',-0.028,-,-,0.000,69.600
'13:48:08.600',-0.028,-,-,0.000,69.600
'13:48:08.608',-0.042,-,-,0.000,68.800
'13:48:08.616',-0.042,-,-,0.000,68.800
'13:48:08.624',-0.056,-,-,0.000,68.000
'13:48:08.632',-0.069,-,-,0.000,68.000
'13:48:08.640',-0.069,-,-,0.000,67.200
'13:48:08.648',-0.056,-,-,0.000,67.200
'13:48:08.656',-0.056,-,-,0.000,66.400
'13:48:08.664',-0.056,-,-,0.000,65.600
'13:48:08.672',-0.069,-,-,0.000,65.600
'13:48:08.680',-0.069,-,-,0.000,64.800
'13:48:08.688',-0.056,-,-,0.000,64.800
'13:48:08.696',-0.056,-,-,0.000,64.000
'13:48:08.704',-0.042,-,-,0.000,64.000
'13:48:08.712',-0.028,-,-,0.000,63.200
'13:48:08.720',-0.028,-,-,0.000,63.200
'13:48:08.728',-0.042,-,-,-0.014,63.200
'13:48:08.736',-0.056,-,-,0.000,62.400
'13:48:08.744',-0.056,-,-,0.000,62.400
'13:48:08.752',-0.042,-,-,-0.014,61.600
'13:48:08.760',-0.069,-,-,-0.028,61.600
'13:48:08.768',-0.042,-,-,-0.113,60.800
'13:48:08.776',-0.042,-,-,0.000,60.800
'13:48:08.784',-0.167,-,-,0.000,60.000
'13:48:08.792',-0.319,-,-,0.000,60.000
'13:48:08.800',-0.528,-,-,-0.169,59.200
'13:48:08.808',-0.750,-,-,-0.479,59.200
'13:48:08.816',-0.986,-,-,-0.817,59.200
'13:48:08.824',-1.194,-,-,-1.127,58.400
'13:48:08.832',-1.292,-,-,-1.296,58.400
'13:48:08.840',-1.167,-,-,-1.338,58.400
'13:48:08.848',-0.903,-,-,-1.113,57.600
'13:48:08.856',-0.542,-,-,-0.761,57.600
'13:48:08.864',-0.292,-,-,-0.394,57.600
'13:48:08.872',-0.097,-,-,-0.197,56.800
'13:48:08.880',0.028,-,-,0.000,56.800
'13:48:08.888',0.139,-,-,0.085,56.800
'13:48:08.896',0.181,-,-,0.169,56.800
'13:48:08.904',0.194,-,-,0.183,56.000
'13:48:08.912',0.208,-,-,0.169,56.000
'13:48:08.920',0.208,-,-,0.155,56.000
'13:48:08.928',0.194,-,-,0.155,55.200
'13:48:08.936',0.194,-,-,0.155,55.200
'13:48:08.944',0.208,-,-,0.141,56.000
'13:48:08.952',0.250,-,-,0.155,56.800
'13:48:08.960',0.292,-,-,0.155,60.800
'13:48:08.968',0.306,-,-,0.155,66.400
'13:48:08.976',0.306,-,-,0.169,75.200
'13:48:08.984',0.319,-,-,0.183,84.800
'13:48:08.992',0.361,-,-,0.169,94.400
'13:48:09.000',0.375,-,-,0.169,102.400
'13:48:09.008',0.389,-,-,0.169,108.000
'13:48:09.016',0.403,-,-,0.183,111.200
'13:48:09.024',0.417,-,-,0.197,111.200
'13:48:09.032',0.417,-,-,0.197,110.400
'13:48:09.040',0.403,-,-,0.197,108.800
'13:48:09.048',0.417,-,-,0.197,106.400
'13:48:09.056',0.403,-,-,0.225,104.000
'13:48:09.064',0.375,-,-,0.183,102.400
'13:48:09.072',0.347,-,-,0.169,100.800
'13:48:09.080',0.292,-,-,0.169,100.000
'13:48:09.088',0.250,-,-,0.127,98.400
'13:48:09.096',0.208,-,-,0.113,97.600
'13:48:09.104',0.167,-,-,0.070,96.800
'13:48:09.112',0.125,-,-,0.056,95.200
'13:48:09.120',0.069,-,-,0.042,93.600
'13:48:09.128',0.056,-,-,0.028,92.000
'13:48:09.136',0.042,-,-,0.000,88.800
'13:48:09.144',0.028,-,-,0.000,86.400
'13:48:09.152',0.014,-,-,0.014,83.200
'13:48:09.160',0.000,-,-,0.000,80.000
'13:48:09.168',0.000,-,-,0.000,77.600
'13:48:09.176',0.014,-,-,0.014,75.200
'13:48:09.184',0.028,-,-,0.014,74.400
'13:48:09.192',0.028,-,-,0.028,74.400
'13:48:09.200',0.028,-,-,0.014,75.200
'13:48:09.208',0.028,-,-,0.028,75.200
'13:48:09.216',0.028,-,-,0.028,76.000
'13:48:09.224',0.014,-,-,0.028,76.800
'13:48:09.232',0.000,-,-,0.028,76.800
'13:48:09.240',0.000,-,-,0.000,76.800
'13:48:09.248',0.000,-,-,0.028,76.000
'13:48:09.256',-0.014,-,-,0.000,75.200
'13:48:09.264',-0.028,-,-,0.000,74.400
'13:48:09.272',-0.028,-,-,0.000,73.600
'13:48:09.280',-0.028,-,-,0.000,73.600
'13:48:09.288',-0.028,-,-,0.000,72.800
'13:48:09.296',-0.014,-,-,0.113,72.000
'13:48:09.304',-0.056,-,-,-0.014,71.200
'13:48:09.312',-0.056,-,-,0.000,71.200
'13:48:09.320',-0.028,-,-,0.000,70.400
'13:48:09.328',-0.028,-,-,0.000,70.400
'13:48:09.336',-0.028,-,-,0.000,69.600
'13:48:09.344',-0.028,-,-,0.000,69.600
'13:48:09.352',-0.028,-,-,0.000,68.800
'13:48:09.360',-0.028,-,-,0.000,68.000
'13:48:09.368',-0.028,-,-,0.000,68.000
'13:48:09.376',-0.014,-,-,0.014,67.200
'13:48:09.384',-0.014,-,-,0.000,66.400
'13:48:09.392',-0.028,-,-,0.014,66.400
'13:48:09.400',-0.028,-,-,0.000,65.600
'13:48:09.408',-0.028,-,-,0.000,65.600
'13:48:09.416',-0.028,-,-,0.000,64.800
'13:48:09.424',-0.042,-,-,0.000,64.800
'13:48:09.432',-0.042,-,-,0.000,64.000
'13:48:09.440',0.028,-,-,0.028,64.000
'13:48:09.448',0.208,-,-,0.197,64.000
'13:48:09.456',0.417,-,-,0.380,64.000
'13:48:09.464',0.458,-,-,0.408,64.000
'13:48:09.472',0.167,-,-,-0.141,64.000
'13:48:09.480',-0.028,-,-,-0.366,64.000
'13:48:09.488',-0.167,-,-,-0.310,63.200
'13:48:09.496',-0.208,-,-,-0.268,63.200
'13:48:09.504',-0.194,-,-,-0.141,63.200
'13:48:09.512',-0.167,-,-,-0.070,63.200
'13:48:09.520',-0.153,-,-,-0.056,62.400
'13:48:09.528',-0.153,-,-,-0.070,62.400
'13:48:09.536',-0.153,-,-,-0.056,62.400
'13:48:09.544',-0.139,-,-,-0.070,61.600
'13:48:09.552',-0.153,-,-,-0.070,61.600
'13:48:09.560',-0.153,-,-,-0.070,61.600
'13:48:09.568',-0.139,-,-,-0.070,62.400
'13:48:09.576',-0.139,-,-,-0.070,64.000
'13:48:09.584',-0.153,-,-,-0.070,69.600
'13:48:09.592',-0.153,-,-,-0.085,76.800
'13:48:09.600',-0.153,-,-,-0.113,87.200
'13:48:09.608',-0.153,-,-,-0.127,97.600
'13:48:09.616',-0.167,-,-,-0.141,107.200
'13:48:09.624',-0.181,-,-,-0.169,114.400
'13:48:09.632',-0.194,-,-,-0.197,118.400
'13:48:09.640',-0.236,-,-,-0.183,119.200
'13:48:09.648',-0.236,-,-,-0.197,118.400
'13:48:09.656',-0.236,-,-,-0.239,116.000
'13:48:09.664',-0.236,-,-,-0.254,112.800
'13:48:09.672',-0.236,-,-,-0.254,110.400
'13:48:09.680',-0.208,-,-,-0.268,108.000
'13:48:09.688',-0.194,-,-,-0.254,106.400
'13:48:09.696',-0.167,-,-,-0.254,105.600
'13:48:09.704',-0.153,-,-,-0.239,104.000
'13:48:09.712',-0.125,-,-,-0.197,103.200
'13:48:09.720',-0.097,-,-,-0.197,101.600
'13:48:09.728',-0.083,-,-,-0.169,100.000
'13:48:09.736',-0.069,-,-,-0.141,98.400
'13:48:09.744',-0.042,-,-,-0.127,96.000
'13:48:09.752',-0.028,-,-,-0.070,93.600
'13:48:09.760',-0.014,-,-,-0.028,91.200
'13:48:09.768',0.000,-,-,0.000,88.800
'13:48:09.776',0.014,-,-,0.000,86.400
'13:48:09.784',0.014,-,-,0.028,83.200
'13:48:09.792',0.028,-,-,0.056,80.800
'13:48:09.800',0.028,-,-,0.070,79.200
'13:48:09.808',0.042,-,-,0.085,78.400
'13:48:09.816',0.056,-,-,0.085,78.400
'13:48:09.824',0.056,-,-,0.113,79.200
'13:48:09.832',0.056,-,-,0.113,80.000
'13:48:09.840',0.056,-,-,0.085,80.000
'13:48:09.848',0.042,-,-,0.085,80.800
'13:48:09.856',0.042,-,-,0.070,80.800
'13:48:09.864',0.042,-,-,0.056,80.000
'13:48:09.872',0.042,-,-,0.070,79.200
'13:48:09.880',0.042,-,-,0.056,78.400
'13:48:09.888',0.028,-,-,0.056,77.600
'13:48:09.896',0.028,-,-,0.056,76.800
'13:48:09.904',0.028,-,-,0.042,76.000
'13:48:09.912',0.014,-,-,0.042,75.200
'13:48:09.920',0.014,-,-,0.056,74.400
'13:48:09.928',0.014,-,-,0.042,73.600
'13:48:09.936',0.014,-,-,0.056,72.800
'13:48:09.944',0.083,-,-,0.056,72.800
'13:48:09.952',0.278,-,-,0.296,72.000
'13:48:09.960',0.514,-,-,0.507,71.200
'13:48:09.968',0.542,-,-,0.254,71.200
'13:48:09.976',0.208,-,-,-0.338,70.400
'13:48:09.984',-0.014,-,-,-0.479,69.600
'13:48:09.992',-0.097,-,-,-0.366,69.600
'13:48:10.000',-0.097,-,-,-0.169,68.800
'13:48:10.008',-0.056,-,-,0.000,68.800
'13:48:10.016',-0.028,-,-,0.042,68.000
'13:48:10.024',-0.028,-,-,0.056,68.000
'13:48:10.032',-0.028,-,-,0.042,67.200
'13:48:10.040',-0.042,-,-,0.028,67.200
'13:48:10.048',-0.056,-,-,0.014,66.400
'13:48:10.056',-0.069,-,-,0.000,66.400
'13:48:10.064',-0.083,-,-,-0.014,66.400
'13:48:10.072',-0.097,-,-,-0.028,66.400
'13:48:10.080',-0.097,-,-,-0.028,68.800
'13:48:10.088',-0.125,-,-,-0.028,73.600
'13:48:10.096',-0.125,-,-,-0.056,80.800
'13:48:10.104',-0.139,-,-,-0.070,90.400
'13:48:10.112',-0.153,-,-,-0.070,100.800
'13:48:10.120',-0.153,-,-,-0.113,111.200
'13:48:10.128',-0.153,-,-,-0.113,118.400
'13:48:10.136',-0.153,-,-,-0.113,122.400
'13:48:10.144',-0.167,-,-,-0.141,124.000
'13:48:10.152',-0.167,-,-,-0.155,123.200
'13:48:10.160',-0.153,-,-,-0.169,120.800
'13:48:10.168',-0.153,-,-,-0.169,117.600
'13:48:10.176',-0.139,-,-,-0.169,115.200
'13:48:10.184',-0.125,-,-,-0.169,112.800
'13:48:10.192',-0.083,-,-,-0.155,111.200
'13:48:10.200',-0.056,-,-,-0.141,109.600
'13:48:10.208',-0.042,-,-,-0.141,108.800
'13:48:10.216',-0.014,-,-,-0.113,107.200
'13:48:10.224',0.000,-,-,-0.070,106.400
'13:48:10.232',0.014,-,-,-0.028,104.800
'13:48:10.240',0.028,-,-,0.000,103.200
'13:48:10.248',0.042,-,-,0.000,100.800
'13:48:10.256',0.042,-,-,0.028,98.400
'13:48:10.264',0.042,-,-,0.014,95.200
'13:48:10.272',0.042,-,-,0.042,92.000
'13:48:10.280',0.042,-,-,0.028,88.800
'13:48:10.288',0.042,-,-,0.056,86.400
'13:48:10.296',0.042,-,-,0.085,84.000
'13:48:10.304',0.042,-,-,0.085,82.400
'13:48:10.312',0.056,-,-,0.085,81.600
'13:48:10.320',0.069,-,-,0.113,81.600
'13:48:10.328',0.069,-,-,0.113,81.600
'13:48:10.336',0.083,-,-,0.127,82.400
'13:48:10.344',0.069,-,-,0.113,82.400
'13:48:10.352',0.069,-,-,0.113,82.400
'13:48:10.360',0.069,-,-,0.085,82.400
'13:48:10.368',0.056,-,-,0.085,81.600
'13:48:10.376',0.056,-,-,0.085,80.800
'13:48:10.384',0.056,-,-,0.070,80.000
'13:48:10.392',0.056,-,-,0.085,79.200
'13:48:10.400',0.069,-,-,0.085,78.400
'13:48:10.408',0.069,-,-,0.085,77.600
'13:48:10.416',0.056,-,-,0.085,76.800
'13:48:10.424',0.056,-,-,0.085,76.000
'13:48:10.432',0.056,-,-,0.085,75.200
'13:48:10.440',0.056,-,-,0.085,74.400
'13:48:10.448',0.042,-,-,0.085,73.600
'13:48:10.456',0.042,-,-,0.056,73.600
'13:48:10.464',0.028,-,-,0.056,72.800
'13:48:10.472',0.028,-,-,0.056,72.000
'13:48:10.480',0.028,-,-,0.056,72.000
'13:48:10.488',0.028,-,-,0.056,71.200
'13:48:10.496',0.028,-,-,0.056,70.400
'13:48:10.504',0.028,-,-,0.056,70.400
'13:48:10.512',0.028,-,-,0.056,69.600
'13:48:10.520',0.042,-,-,0.056,69.600
'13:48:10.528',0.042,-,-,0.056,68.800
'13:48:10.536',0.042,-,-,0.056,68.000
'13:48:10.544',0.042,-,-,0.070,68.000
'13:48:10.552',0.042,-,-,0.056,67.200
'13:48:10.560',0.069,-,-,0.056,67.200
'13:48:10.568',0.194,-,-,0.183,66.400
'13:48:10.576',0.431,-,-,0.408,66.400
'13:48:10.584',0.569,-,-,0.521,65.600
'13:48:10.592',0.375,-,-,0.085,65.600
'13:48:10.600',0.097,-,-,-0.352,65.600
'13:48:10.608',-0.028,-,-,-0.394,64.800
'13:48:10.616',-0.069,-,-,-0.268,64.800
'13:48:10.624',-0.069,-,-,-0.141,64.800
'13:48:10.632',-0.028,-,-,-0.028,64.000
'13:48:10.640',-0.028,-,-,0.000,64.000
'13:48:10.648',-0.028,-,-,0.000,64.000
'13:48:10.656',-0.028,-,-,0.000,63.200
'13:48:10.664',-0.028,-,-,0.000,63.200
'13:48:10.672',-0.028,-,-,0.000,62.400
'13:48:10.680',-0.028,-,-,-0.014,63.200
'13:48:10.688',-0.042,-,-,-0.014,64.000
'13:48:10.696',-0.056,-,-,-0.028,68.000
'13:48:10.704',-0.056,-,-,-0.042,75.200
'13:48:10.712',-0.056,-,-,-0.056,85.600
'13:48:10.720',-0.056,-,-,-0.042,98.400
'13:48:10.728',-0.069,-,-,-0.070,110.400
'13:48:10.736',-0.069,-,-,-0.070,120.000
