'Elapsed time','I','II','III','MCL1','ABP','PAP'
'38:04:08.296',-0.087,-,-,0.069,103.920,23.200
'38:04:08.304',-0.077,-,-,0.030,100.680,20.800
'38:04:08.312',-0.058,-,-,0.069,98.280,19.200
'38:04:08.320',-0.048,-,-,0.030,96.720,19.200
'38:04:08.328',-0.048,-,-,0.030,95.880,19.200
'38:04:08.336',-0.019,-,-,0.069,95.160,20.400
'38:04:08.344',0.019,-,-,0.000,95.880,22.400
'38:04:08.352',0.038,-,-,0.000,97.560,24.800
'38:04:08.360',-0.010,-,-,-0.030,100.680,26.000
'38:04:08.368',-0.038,-,-,0.000,103.920,25.600
'38:04:08.376',-0.058,-,-,0.030,107.160,24.400
'38:04:08.384',-0.087,-,-,0.000,109.560,22.400
'38:04:08.392',-0.106,-,-,0.030,111.120,20.400
'38:04:08.400',-0.115,-,-,0.069,111.960,19.200
'38:04:08.408',-0.077,-,-,0.069,112.680,18.000
'38:04:08.416',-0.019,-,-,0.030,112.680,18.000
'38:04:08.424',0.038,-,-,0.000,113.520,18.400
'38:04:08.432',0.048,-,-,-0.030,114.360,19.600
'38:04:08.440',0.019,-,-,0.000,114.360,20.400
'38:04:08.448',-0.019,-,-,0.000,115.920,20.400
'38:04:08.456',-0.058,-,-,0.000,116.760,19.600
'38:04:08.464',-0.096,-,-,0.000,117.480,18.000
'38:04:08.472',-0.077,-,-,0.069,118.320,17.200
'38:04:08.480',-0.048,-,-,0.030,118.320,16.400
'38:04:08.488',-0.048,-,-,0.030,118.320,16.400
'38:04:08.496',-0.058,-,-,0.030,118.320,16.800
'38:04:08.504',-0.010,-,-,0.030,118.320,17.600
'38:04:08.512',0.000,-,-,0.000,118.320,18.400
'38:04:08.520',-0.048,-,-,0.000,117.480,18.800
'38:04:08.528',-0.058,-,-,0.030,115.920,19.200
'38:04:08.536',-0.038,-,-,0.000,115.080,18.800
'38:04:08.544',-0.029,-,-,0.000,113.520,18.400
'38:04:08.552',-0.010,-,-,0.000,112.680,18.000
'38:04:08.560',0.010,-,-,0.000,111.960,18.400
'38:04:08.568',-0.010,-,-,-0.030,111.120,19.200
'38:04:08.576',-0.019,-,-,0.000,110.280,20.800
'38:04:08.584',0.010,-,-,0.000,109.560,22.000
'38:04:08.592',-0.029,-,-,0.000,107.880,23.200
'38:04:08.600',-0.096,-,-,0.069,106.320,24.400
'38:04:08.608',-0.115,-,-,0.109,104.760,24.400
'38:04:08.616',-0.096,-,-,0.069,103.920,23.200
'38:04:08.624',-0.115,-,-,0.030,102.360,20.000
'38:04:08.632',-0.173,-,-,0.139,99.960,18.000
'38:04:08.640',-0.183,-,-,0.218,98.280,18.400
'38:04:08.648',-0.010,-,-,0.109,95.880,21.200
'38:04:08.656',0.202,-,-,-0.139,92.760,24.800
'38:04:08.664',0.250,-,-,-0.406,90.360,28.000
'38:04:08.672',0.077,-,-,-0.218,86.280,30.000
'38:04:08.680',-0.038,-,-,0.030,83.160,30.000
'38:04:08.688',-0.038,-,-,0.000,79.920,28.000
'38:04:08.696',-0.019,-,-,0.000,77.520,25.600
'38:04:08.704',-0.019,-,-,0.000,75.120,24.000
'38:04:08.712',-0.019,-,-,0.000,73.560,23.600
'38:04:08.720',-0.019,-,-,0.000,74.280,26.000
'38:04:08.728',0.000,-,-,0.000,75.960,32.800
'38:04:08.736',0.010,-,-,-0.030,79.920,42.000
'38:04:08.744',0.048,-,-,0.000,85.560,50.400
'38:04:08.752',0.048,-,-,-0.069,91.920,55.200
'38:04:08.760',-0.019,-,-,0.000,97.560,56.400
'38:04:08.768',-0.038,-,-,0.000,103.080,54.400
'38:04:08.776',-0.010,-,-,0.000,107.880,51.200
'38:04:08.784',0.019,-,-,-0.030,111.960,48.400
'38:04:08.792',0.010,-,-,-0.069,114.360,46.800
'38:04:08.800',0.000,-,-,0.000,115.080,48.000
'38:04:08.808',0.019,-,-,-0.069,115.080,52.000
'38:04:08.816',0.029,-,-,-0.030,114.360,57.200
'38:04:08.824',0.048,-,-,0.000,114.360,60.400
'38:04:08.832',0.067,-,-,-0.069,113.520,61.200
'38:04:08.840',0.067,-,-,-0.069,113.520,59.600
'38:04:08.848',0.067,-,-,-0.069,115.080,56.400
'38:04:08.856',0.058,-,-,-0.069,118.320,52.400
'38:04:08.864',0.019,-,-,-0.069,122.280,50.000
'38:04:08.872',0.000,-,-,0.030,126.360,50.400
'38:04:08.880',0.010,-,-,0.000,129.480,52.000
'38:04:08.888',0.019,-,-,0.000,130.320,53.200
'38:04:08.896',-0.010,-,-,0.000,129.480,52.400
'38:04:08.904',-0.038,-,-,0.030,127.080,50.400
'38:04:08.912',-0.058,-,-,0.000,123.120,48.400
'38:04:08.920',-0.077,-,-,0.069,119.160,47.600
'38:04:08.928',-0.087,-,-,0.069,114.360,46.800
'38:04:08.936',-0.087,-,-,0.069,109.560,45.200
'38:04:08.944',-0.087,-,-,0.069,106.320,43.600
'38:04:08.952',-0.087,-,-,0.069,103.920,43.600
'38:04:08.960',-0.096,-,-,0.069,102.360,43.600
'38:04:08.968',-0.087,-,-,0.069,101.520,42.400
'38:04:08.976',-0.058,-,-,0.030,100.680,40.000
'38:04:08.984',-0.038,-,-,0.000,100.680,37.200
'38:04:08.992',-0.038,-,-,0.000,100.680,34.000
'38:04:09.000',-0.048,-,-,0.000,101.520,30.800
'38:04:09.008',-0.048,-,-,0.030,103.080,29.200
'38:04:09.016',-0.029,-,-,0.000,106.320,32.000
'38:04:09.024',-0.029,-,-,0.000,108.720,37.200
'38:04:09.032',-0.029,-,-,0.000,111.120,42.000
'38:04:09.040',-0.038,-,-,0.000,113.520,44.000
'38:04:09.048',-0.048,-,-,0.030,114.360,43.200
'38:04:09.056',-0.029,-,-,0.069,115.080,40.400
'38:04:09.064',-0.010,-,-,0.000,115.920,36.800
'38:04:09.072',-0.019,-,-,0.000,115.920,34.000
'38:04:09.080',-0.048,-,-,0.030,116.760,33.200
'38:04:09.088',-0.048,-,-,0.069,117.480,34.400
'38:04:09.096',-0.019,-,-,0.030,118.320,37.600
'38:04:09.104',0.000,-,-,0.000,118.320,40.400
'38:04:09.112',0.000,-,-,0.000,119.160,42.000
'38:04:09.120',-0.019,-,-,0.000,119.880,41.200
'38:04:09.128',-0.038,-,-,0.030,120.720,38.800
'38:04:09.136',-0.038,-,-,0.069,122.280,36.000
'38:04:09.144',-0.010,-,-,0.030,123.120,33.200
'38:04:09.152',0.000,-,-,0.000,123.120,31.600
'38:04:09.160',0.000,-,-,0.030,123.120,30.800
'38:04:09.168',0.010,-,-,0.000,122.280,30.800
'38:04:09.176',-0.010,-,-,0.000,120.720,30.800
'38:04:09.184',-0.019,-,-,0.069,119.160,31.200
'38:04:09.192',0.038,-,-,0.000,117.480,31.200
'38:04:09.200',0.058,-,-,-0.069,116.760,30.800
'38:04:09.208',0.029,-,-,0.000,115.080,30.400
'38:04:09.216',-0.010,-,-,0.000,114.360,30.000
'38:04:09.224',-0.019,-,-,0.030,113.520,30.800
'38:04:09.232',-0.029,-,-,0.000,112.680,31.200
'38:04:09.240',-0.038,-,-,0.069,111.960,31.600
'38:04:09.248',-0.048,-,-,0.030,111.120,31.600
'38:04:09.256',-0.077,-,-,0.069,109.560,32.000
'38:04:09.264',-0.106,-,-,0.109,108.720,33.200
'38:04:09.272',-0.106,-,-,0.139,107.160,34.400
'38:04:09.280',-0.048,-,-,0.139,105.480,34.800
'38:04:09.288',0.096,-,-,0.030,103.920,34.800
'38:04:09.296',0.260,-,-,-0.257,101.520,33.600
'38:04:09.304',0.298,-,-,-0.406,99.120,32.800
'38:04:09.312',0.115,-,-,-0.178,95.160,31.600
'38:04:09.320',0.019,-,-,0.000,91.080,30.400
'38:04:09.328',0.010,-,-,0.030,87.960,30.000
'38:04:09.336',0.019,-,-,0.000,83.880,30.800
'38:04:09.344',0.010,-,-,0.000,81.480,32.000
'38:04:09.352',0.029,-,-,0.000,80.760,32.400
'38:04:09.360',0.038,-,-,-0.030,81.480,31.600
'38:04:09.368',0.029,-,-,0.000,83.880,31.200
'38:04:09.376',0.038,-,-,0.000,88.680,33.600
'38:04:09.384',0.048,-,-,0.000,95.160,37.600
'38:04:09.392',0.019,-,-,0.000,102.360,43.200
'38:04:09.400',0.019,-,-,0.000,108.720,50.400
'38:04:09.408',0.048,-,-,0.000,114.360,56.800
'38:04:09.416',0.058,-,-,-0.030,118.320,59.200
'38:04:09.424',0.038,-,-,0.000,120.720,57.600
'38:04:09.432',0.038,-,-,0.000,121.560,53.200
'38:04:09.440',0.058,-,-,0.000,121.560,48.800
'38:04:09.448',0.058,-,-,-0.030,121.560,47.200
'38:04:09.456',0.048,-,-,0.000,121.560,49.200
'38:04:09.464',0.087,-,-,-0.069,120.720,52.000
'38:04:09.472',0.096,-,-,-0.069,120.720,54.000
'38:04:09.480',0.067,-,-,-0.069,121.560,54.000
'38:04:09.488',0.048,-,-,0.000,122.280,53.600
'38:04:09.496',0.077,-,-,0.000,124.680,52.800
'38:04:09.504',0.096,-,-,-0.069,128.760,52.000
'38:04:09.512',0.058,-,-,-0.069,131.880,50.800
'38:04:09.520',0.010,-,-,0.000,134.280,50.400
'38:04:09.528',-0.010,-,-,0.030,135.120,50.400
'38:04:09.536',0.000,-,-,0.030,134.280,50.000
'38:04:09.544',-0.029,-,-,0.000,131.880,48.000
'38:04:09.552',-0.067,-,-,0.069,127.920,45.600
'38:04:09.560',-0.096,-,-,0.069,123.960,42.800
'38:04:09.568',-0.106,-,-,0.139,119.160,40.400
'38:04:09.576',-0.077,-,-,0.109,115.080,39.200
'38:04:09.584',-0.038,-,-,0.030,111.120,38.800
'38:04:09.592',-0.038,-,-,0.030,107.880,39.600
'38:04:09.600',-0.048,-,-,0.030,106.320,39.200
'38:04:09.608',-0.058,-,-,0.069,105.480,36.400
'38:04:09.616',-0.067,-,-,0.069,104.760,33.200
'38:04:09.624',-0.029,-,-,0.030,103.920,32.400
'38:04:09.632',-0.010,-,-,0.000,103.920,34.000
'38:04:09.640',-0.010,-,-,0.000,104.760,37.200
'38:04:09.648',-0.010,-,-,0.000,106.320,39.600
'38:04:09.656',-0.010,-,-,0.000,108.720,40.400
'38:04:09.664',-0.019,-,-,0.000,111.120,39.600
'38:04:09.672',-0.058,-,-,0.030,113.520,36.800
'38:04:09.680',-0.087,-,-,0.069,115.080,33.600
'38:04:09.688',-0.038,-,-,0.139,115.920,30.800
'38:04:09.696',0.019,-,-,0.000,116.760,28.800
'38:04:09.704',0.029,-,-,-0.030,116.760,28.000
'38:04:09.712',0.010,-,-,0.000,117.480,28.000
'38:04:09.720',-0.010,-,-,0.000,117.480,28.800
'38:04:09.728',-0.038,-,-,0.000,118.320,29.200
'38:04:09.736',-0.067,-,-,0.030,119.880,28.800
'38:04:09.744',-0.067,-,-,0.069,120.720,27.600
'38:04:09.752',-0.010,-,-,0.000,121.560,25.600
'38:04:09.760',0.029,-,-,-0.030,122.280,23.600
'38:04:09.768',0.019,-,-,-0.030,122.280,22.800
'38:04:09.776',0.010,-,-,0.000,122.280,22.400
'38:04:09.784',0.010,-,-,0.000,122.280,22.800
'38:04:09.792',-0.010,-,-,0.000,122.280,22.800
'38:04:09.800',-0.019,-,-,0.000,121.560,22.800
'38:04:09.808',-0.010,-,-,0.000,119.880,22.800
'38:04:09.816',0.010,-,-,0.000,119.160,22.800
'38:04:09.824',0.029,-,-,-0.030,118.320,22.800
'38:04:09.832',0.067,-,-,-0.069,116.760,22.400
'38:04:09.840',0.058,-,-,-0.109,115.920,22.000
'38:04:09.848',0.029,-,-,-0.069,115.080,20.800
'38:04:09.856',0.000,-,-,-0.030,114.360,18.800
'38:04:09.864',-0.029,-,-,0.000,113.520,17.200
'38:04:09.872',-0.048,-,-,0.000,111.960,16.000
'38:04:09.880',-0.038,-,-,0.030,110.280,16.000
'38:04:09.888',-0.029,-,-,0.000,107.880,16.800
'38:04:09.896',-0.087,-,-,-0.030,104.760,18.000
'38:04:09.904',-0.125,-,-,0.109,101.520,18.400
'38:04:09.912',-0.106,-,-,0.109,97.560,18.000
'38:04:09.920',-0.010,-,-,0.069,93.480,18.000
'38:04:09.928',0.163,-,-,-0.069,90.360,17.600
'38:04:09.936',0.288,-,-,-0.406,86.280,17.600
'38:04:09.944',0.288,-,-,-0.475,83.880,17.200
'38:04:09.952',0.106,-,-,-0.178,80.760,16.800
'38:04:09.960',0.048,-,-,-0.030,78.360,17.600
'38:04:09.968',0.038,-,-,-0.069,75.960,19.200
'38:04:09.976',0.038,-,-,-0.069,75.120,21.200
'38:04:09.984',0.038,-,-,-0.069,74.280,21.200
'38:04:09.992',0.029,-,-,-0.069,75.960,17.600
'38:04:10.000',0.019,-,-,-0.030,78.360,12.000
'38:04:10.008',0.029,-,-,-0.030,81.480,9.600
'38:04:10.016',0.038,-,-,-0.069,86.280,13.600
'38:04:10.024',0.038,-,-,-0.069,92.760,22.800
'38:04:10.032',0.038,-,-,-0.069,98.280,34.000
'38:04:10.040',0.029,-,-,-0.030,104.760,44.000
'38:04:10.048',0.038,-,-,-0.069,109.560,48.800
'38:04:10.056',0.038,-,-,-0.069,113.520,46.800
'38:04:10.064',0.058,-,-,-0.030,115.080,39.600
'38:04:10.072',0.067,-,-,-0.069,116.760,32.800
'38:04:10.080',0.067,-,-,-0.069,117.480,28.800
'38:04:10.088',0.067,-,-,-0.069,118.320,28.800
'38:04:10.096',0.077,-,-,-0.069,119.160,31.200
'38:04:10.104',0.087,-,-,-0.109,119.160,34.800
'38:04:10.112',0.087,-,-,-0.109,119.880,38.000
'38:04:10.120',0.077,-,-,-0.069,119.880,40.000
'38:04:10.128',0.077,-,-,-0.069,119.880,41.200
'38:04:10.136',0.067,-,-,-0.069,119.880,42.400
'38:04:10.144',0.067,-,-,-0.069,120.720,40.400
'38:04:10.152',0.048,-,-,-0.069,123.120,36.400
'38:04:10.160',0.019,-,-,-0.030,124.680,33.200
'38:04:10.168',0.000,-,-,0.000,126.360,32.800
'38:04:10.176',-0.019,-,-,0.000,126.360,32.000
'38:04:10.184',-0.038,-,-,0.000,124.680,30.000
'38:04:10.192',-0.058,-,-,0.030,122.280,26.800
'38:04:10.200',-0.077,-,-,0.069,118.320,23.600
'38:04:10.208',-0.087,-,-,0.069,113.520,20.800
'38:04:10.216',-0.077,-,-,0.069,108.720,18.400
'38:04:10.224',-0.077,-,-,0.069,103.920,17.600
'38:04:10.232',-0.058,-,-,0.030,100.680,18.800
'38:04:10.240',-0.048,-,-,0.030,98.280,20.800
'38:04:10.248',-0.038,-,-,0.000,96.720,22.400
'38:04:10.256',-0.029,-,-,0.000,96.720,23.200
'38:04:10.264',-0.029,-,-,0.000,97.560,23.600
'38:04:10.272',-0.029,-,-,0.000,99.960,24.400
'38:04:10.280',-0.019,-,-,0.000,103.080,24.800
'38:04:10.288',-0.019,-,-,0.000,106.320,25.200
'38:04:10.296',-0.019,-,-,0.000,110.280,25.600
'38:04:10.304',-0.019,-,-,0.000,112.680,24.400
'38:04:10.312',-0.019,-,-,0.000,114.360,23.200
'38:04:10.320',-0.019,-,-,0.000,115.080,22.000
'38:04:10.328',-0.019,-,-,0.000,115.080,20.800
'38:04:10.336',-0.019,-,-,0.000,115.080,19.600
'38:04:10.344',-0.019,-,-,0.000,115.080,19.200
'38:04:10.352',-0.019,-,-,0.030,115.920,20.000
'38:04:10.360',-0.010,-,-,0.000,116.760,20.000
'38:04:10.368',-0.010,-,-,0.000,117.480,18.400
'38:04:10.376',-0.019,-,-,0.000,118.320,16.400
'38:04:10.384',-0.019,-,-,0.000,119.880,15.200
'38:04:10.392',-0.019,-,-,0.000,120.720,14.800
'38:04:10.400',-0.019,-,-,0.000,121.560,14.400
'38:04:10.408',-0.019,-,-,0.000,121.560,15.200
'38:04:10.416',-0.010,-,-,0.000,121.560,17.200
'38:04:10.424',0.000,-,-,0.000,120.720,19.200
'38:04:10.432',0.000,-,-,0.000,119.880,20.800
'38:04:10.440',0.000,-,-,0.000,119.160,21.200
'38:04:10.448',0.010,-,-,0.000,117.480,20.400
'38:04:10.456',0.029,-,-,0.000,116.760,18.800
'38:04:10.464',0.048,-,-,-0.069,115.080,17.600
'38:04:10.472',0.048,-,-,-0.069,114.360,17.600
'38:04:10.480',0.038,-,-,-0.069,113.520,17.200
'38:04:10.488',0.029,-,-,-0.030,111.960,17.600
'38:04:10.496',0.000,-,-,-0.030,111.120,18.800
'38:04:10.504',-0.019,-,-,0.000,109.560,20.400
'38:04:10.512',-0.029,-,-,0.000,108.720,21.600
'38:04:10.520',-0.038,-,-,0.000,106.320,22.000
'38:04:10.528',-0.038,-,-,0.000,104.760,20.400
'38:04:10.536',-0.067,-,-,0.000,103.080,16.000
'38:04:10.544',-0.115,-,-,0.069,101.520,10.400
'38:04:10.552',-0.125,-,-,0.139,99.120,8.000
'38:04:10.560',-0.038,-,-,0.069,96.720,10.000
'38:04:10.568',0.115,-,-,0.000,93.480,14.800
'38:04:10.576',0.269,-,-,-0.287,90.360,19.600
'38:04:10.584',0.288,-,-,-0.406,87.120,23.200
'38:04:10.592',0.106,-,-,-0.178,83.880,24.400
'38:04:10.600',0.029,-,-,0.000,80.760,23.600
'38:04:10.608',0.029,-,-,-0.030,78.360,21.600
'38:04:10.616',0.029,-,-,0.000,75.960,18.800
'38:04:10.624',0.029,-,-,-0.030,74.280,16.400
'38:04:10.632',0.029,-,-,-0.030,74.280,17.200
'38:04:10.640',0.019,-,-,0.000,75.120,22.800
'38:04:10.648',0.029,-,-,0.000,78.360,31.600
'38:04:10.656',0.029,-,-,-0.030,83.160,40.400
'38:04:10.664',0.029,-,-,0.000,89.520,47.600
'38:04:10.672',0.029,-,-,-0.030,95.880,51.600
'38:04:10.680',0.029,-,-,0.000,102.360,51.600
'38:04:10.688',0.038,-,-,-0.030,107.880,48.800
'38:04:10.696',0.029,-,-,-0.030,111.960,46.800
'38:04:10.704',0.038,-,-,0.000,115.080,47.200
'38:04:10.712',0.048,-,-,-0.069,116.760,49.600
'38:04:10.720',0.058,-,-,-0.069,117.480,53.200
'38:04:10.728',0.058,-,-,-0.069,117.480,56.800
'38:04:10.736',0.067,-,-,-0.069,116.760,60.000
'38:04:10.744',0.067,-,-,-0.069,116.760,60.800
'38:04:10.752',0.058,-,-,-0.069,115.920,58.800
'38:04:10.760',0.058,-,-,-0.069,116.760,55.200
'38:04:10.768',0.067,-,-,-0.069,119.160,52.000
'38:04:10.776',0.058,-,-,-0.069,122.280,50.400
'38:04:10.784',0.048,-,-,-0.030,126.360,50.800
'38:04:10.792',0.038,-,-,-0.030,128.760,51.600
'38:04:10.800',0.038,-,-,-0.030,130.320,52.800
'38:04:10.808',0.010,-,-,0.000,129.480,52.400
'38:04:10.816',-0.010,-,-,0.000,127.920,51.200
'38:04:10.824',-0.019,-,-,0.000,124.680,49.200
'38:04:10.832',-0.019,-,-,0.030,121.560,47.200
'38:04:10.840',-0.019,-,-,0.000,117.480,45.600
'38:04:10.848',-0.029,-,-,0.030,113.520,44.400
'38:04:10.856',-0.038,-,-,0.030,109.560,43.600
'38:04:10.864',-0.048,-,-,0.069,107.160,42.800
'38:04:10.872',-0.048,-,-,0.030,104.760,42.000
'38:04:10.880',-0.058,-,-,0.069,103.080,40.800
'38:04:10.888',-0.067,-,-,0.069,102.360,38.800
'38:04:10.896',-0.067,-,-,0.069,102.360,36.800
'38:04:10.904',-0.058,-,-,0.030,102.360,35.600
'38:04:10.912',-0.048,-,-,0.030,103.080,33.200
'38:04:10.920',-0.048,-,-,0.030,104.760,29.200
'38:04:10.928',-0.038,-,-,0.030,107.160,26.800
'38:04:10.936',-0.038,-,-,0.000,109.560,29.600
'38:04:10.944',-0.067,-,-,0.000,112.680,36.400
'38:04:10.952',-0.106,-,-,0.069,114.360,42.800
'38:04:10.960',-0.115,-,-,0.139,115.920,46.000
'38:04:10.968',-0.019,-,-,0.069,116.760,45.600
'38:04:10.976',0.125,-,-,-0.030,117.480,41.200
'38:04:10.984',0.260,-,-,-0.287,117.480,36.000
'38:04:10.992',0.260,-,-,-0.406,118.320,32.800
'38:04:11.000',0.096,-,-,-0.139,119.160,33.600
'38:04:11.008',0.010,-,-,0.000,119.880,35.600
'38:04:11.016',0.010,-,-,0.000,120.720,36.400
'38:04:11.024',0.010,-,-,0.000,120.720,34.400
'38:04:11.032',0.010,-,-,0.000,119.880,31.200
'38:04:11.040',0.000,-,-,0.000,118.320,30.000
'38:04:11.048',0.000,-,-,0.000,115.080,31.200
'38:04:11.056',0.000,-,-,0.000,111.960,33.200
'38:04:11.064',0.010,-,-,0.000,107.880,34.400
'38:04:11.072',0.010,-,-,0.000,104.760,34.000
'38:04:11.080',0.019,-,-,0.000,102.360,34.400
'38:04:11.088',0.019,-,-,0.000,101.520,36.000
'38:04:11.096',0.029,-,-,0.000,102.360,37.600
'38:04:11.104',0.029,-,-,0.000,103.920,38.000
'38:04:11.112',0.029,-,-,-0.030,106.320,38.000
'38:04:11.120',0.038,-,-,0.000,110.280,37.600
'38:04:11.128',0.048,-,-,-0.030,113.520,37.600
'38:04:11.136',0.048,-,-,-0.030,116.760,38.400
'38:04:11.144',0.038,-,-,-0.030,119.160,39.600
'38:04:11.152',0.048,-,-,0.000,119.880,40.400
'38:04:11.160',0.048,-,-,-0.030,119.160,40.400
'38:04:11.168',0.048,-,-,-0.030,117.480,39.600
'38:04:11.176',0.029,-,-,0.000,115.080,38.000
'38:04:11.184',0.019,-,-,0.000,112.680,36.800
'38:04:11.192',0.000,-,-,0.000,111.120,36.400
'38:04:11.200',-0.019,-,-,0.000,110.280,36.800
'38:04:11.208',-0.029,-,-,0.000,110.280,36.800
'38:04:11.216',-0.048,-,-,0.030,109.560,36.800
'38:04:11.224',-0.067,-,-,0.069,108.720,36.000
'38:04:11.232',-0.067,-,-,0.069,107.160,34.400
'38:04:11.240',-0.067,-,-,0.069,103.920,32.000
'38:04:11.248',-0.067,-,-,0.069,100.680,29.600
'38:04:11.256',-0.067,-,-,0.069,97.560,27.200
'38:04:11.264',-0.058,-,-,0.030,94.320,27.200
'38:04:11.272',-0.058,-,-,0.030,91.920,28.800
'38:04:11.280',-0.058,-,-,0.030,90.360,30.800
'38:04:11.288',-0.048,-,-,0.030,89.520,32.400
'38:04:11.296',-0.048,-,-,0.030,89.520,33.200
'38:04:11.304',-0.048,-,-,0.000,89.520,33.600
'38:04:11.312',-0.038,-,-,0.030,89.520,32.800
'38:04:11.320',-0.029,-,-,0.000,90.360,32.000
'38:04:11.328',-0.038,-,-,0.000,91.920,31.200
'38:04:11.336',-0.048,-,-,0.030,93.480,30.400
'38:04:11.344',-0.038,-,-,0.000,95.880,30.000
'38:04:11.352',-0.038,-,-,0.030,98.280,29.600
'38:04:11.360',-0.038,-,-,0.000,100.680,29.600
'38:04:11.368',-0.029,-,-,0.030,103.080,29.600
'38:04:11.376',-0.029,-,-,0.000,104.760,29.600
'38:04:11.384',-0.038,-,-,0.000,106.320,29.200
'38:04:11.392',-0.038,-,-,0.030,107.160,28.400
'38:04:11.400',-0.038,-,-,0.030,107.160,28.000
'38:04:11.408',-0.038,-,-,0.030,108.720,28.000
'38:04:11.416',-0.029,-,-,0.000,109.560,28.400
'38:04:11.424',-0.029,-,-,0.030,110.280,28.400
'38:04:11.432',-0.029,-,-,0.000,111.120,28.400
'38:04:11.440',-0.038,-,-,0.000,111.960,28.400
'38:04:11.448',-0.038,-,-,0.000,113.520,27.600
'38:04:11.456',-0.038,-,-,0.000,114.360,27.200
'38:04:11.464',-0.038,-,-,0.030,114.360,26.800
'38:04:11.472',-0.029,-,-,0.000,115.080,26.800
'38:04:11.480',-0.029,-,-,0.000,115.080,27.200
'38:04:11.488',-0.019,-,-,0.000,115.080,27.200
'38:04:11.496',-0.029,-,-,0.000,114.360,27.600
'38:04:11.504',-0.038,-,-,0.030,113.520,28.000
'38:04:11.512',-0.038,-,-,0.000,113.520,28.000
'38:04:11.520',-0.029,-,-,0.000,111.960,27.600
'38:04:11.528',-0.029,-,-,0.000,111.120,27.200
'38:04:11.536',-0.029,-,-,0.000,110.280,26.800
'38:04:11.544',-0.019,-,-,0.000,108.720,26.400
'38:04:11.552',-0.019,-,-,0.000,107.880,26.400
