'Elapsed time','II','III','AVL','AVF','MCL1','ABP','PAP'
'32:59:28.544',0.288,-,-,-,-,69.160,35.600
'32:59:28.552',0.208,-,-,-,-,69.160,35.600
'32:59:28.560',0.200,-,-,-,-,69.160,35.600
'32:59:28.568',0.168,-,-,-,-,69.160,36.000
'32:59:28.576',0.104,-,-,-,-,69.160,36.400
'32:59:28.584',0.056,-,-,-,-,70.200,37.200
'32:59:28.592',0.032,-,-,-,-,70.200,37.600
'32:59:28.600',0.016,-,-,-,-,70.200,38.400
'32:59:28.608',0.000,-,-,-,-,70.200,39.200
'32:59:28.616',0.000,-,-,-,-,70.200,40.000
'32:59:28.624',-0.008,-,-,-,-,69.160,40.800
'32:59:28.632',-0.032,-,-,-,-,69.160,42.000
'32:59:28.640',-0.048,-,-,-,-,69.160,42.800
'32:59:28.648',-0.048,-,-,-,-,70.200,44.000
'32:59:28.656',-0.032,-,-,-,-,72.800,45.200
'32:59:28.664',-0.016,-,-,-,-,75.920,46.400
'32:59:28.672',-0.016,-,-,-,-,80.600,47.600
'32:59:28.680',-0.008,-,-,-,-,86.840,48.400
'32:59:28.688',0.000,-,-,-,-,94.120,49.200
'32:59:28.696',0.032,-,-,-,-,101.920,50.000
'32:59:28.704',0.080,-,-,-,-,110.240,51.200
'32:59:28.712',0.168,-,-,-,-,116.480,51.600
'32:59:28.720',0.264,-,-,-,-,122.720,52.000
'32:59:28.728',0.296,-,-,-,-,126.880,52.400
'32:59:28.736',0.248,-,-,-,-,130.000,52.800
'32:59:28.744',0.176,-,-,-,-,131.560,52.800
'32:59:28.752',0.112,-,-,-,-,132.600,52.800
'32:59:28.760',0.088,-,-,-,-,131.560,52.800
'32:59:28.768',0.080,-,-,-,-,131.040,52.800
'32:59:28.776',0.080,-,-,-,-,129.480,52.400
'32:59:28.784',0.088,-,-,-,-,126.880,52.000
'32:59:28.792',0.088,-,-,-,-,124.800,51.600
'32:59:28.800',0.104,-,-,-,-,121.160,50.800
'32:59:28.808',0.120,-,-,-,-,118.040,50.400
'32:59:28.816',0.152,-,-,-,-,114.400,49.600
'32:59:28.824',0.176,-,-,-,-,110.760,48.400
'32:59:28.832',0.184,-,-,-,-,107.640,47.200
'32:59:28.840',0.176,-,-,-,-,104.520,46.400
'32:59:28.848',0.168,-,-,-,-,101.400,45.200
'32:59:28.856',0.160,-,-,-,-,97.240,44.400
'32:59:28.864',0.168,-,-,-,-,94.120,43.600
'32:59:28.872',0.184,-,-,-,-,89.960,43.200
'32:59:28.880',0.192,-,-,-,-,86.840,42.800
'32:59:28.888',0.184,-,-,-,-,83.720,42.400
'32:59:28.896',0.176,-,-,-,-,81.120,42.400
'32:59:28.904',0.168,-,-,-,-,79.560,42.000
'32:59:28.912',0.160,-,-,-,-,79.040,42.000
'32:59:28.920',0.152,-,-,-,-,78.000,42.400
'32:59:28.928',0.128,-,-,-,-,78.000,42.400
'32:59:28.936',0.104,-,-,-,-,79.040,42.400
'32:59:28.944',0.080,-,-,-,-,79.560,42.800
'32:59:28.952',0.056,-,-,-,-,81.120,42.800
'32:59:28.960',0.040,-,-,-,-,83.200,42.800
'32:59:28.968',0.024,-,-,-,-,84.760,42.400
'32:59:28.976',0.000,-,-,-,-,85.280,42.400
'32:59:28.984',-0.016,-,-,-,-,86.840,42.000
'32:59:28.992',-0.040,-,-,-,-,87.880,42.000
'32:59:29.000',-0.056,-,-,-,-,88.400,41.600
'32:59:29.008',-0.072,-,-,-,-,88.400,41.600
'32:59:29.016',-0.072,-,-,-,-,89.440,41.200
'32:59:29.024',-0.072,-,-,-,-,89.440,40.800
'32:59:29.032',-0.072,-,-,-,-,89.440,40.800
'32:59:29.040',-0.064,-,-,-,-,88.400,40.400
'32:59:29.048',-0.040,-,-,-,-,88.400,40.400
'32:59:29.056',-0.008,-,-,-,-,87.880,40.400
'32:59:29.064',0.000,-,-,-,-,86.840,40.000
'32:59:29.072',-0.008,-,-,-,-,86.320,40.000
'32:59:29.080',-0.016,-,-,-,-,84.760,39.600
'32:59:29.088',-0.024,-,-,-,-,83.720,39.200
'32:59:29.096',-0.032,-,-,-,-,83.200,39.200
'32:59:29.104',-0.048,-,-,-,-,82.160,38.800
'32:59:29.112',-0.072,-,-,-,-,81.120,38.400
'32:59:29.120',-0.104,-,-,-,-,80.600,38.000
'32:59:29.128',-0.120,-,-,-,-,79.040,37.600
'32:59:29.136',-0.120,-,-,-,-,78.000,37.200
'32:59:29.144',-0.120,-,-,-,-,78.000,36.400
'32:59:29.152',-0.120,-,-,-,-,77.480,36.000
'32:59:29.160',-0.120,-,-,-,-,76.440,35.200
'32:59:29.168',-0.128,-,-,-,-,75.920,34.400
'32:59:29.176',-0.072,-,-,-,-,74.880,33.600
'32:59:29.184',0.096,-,-,-,-,74.880,33.200
'32:59:29.192',0.288,-,-,-,-,74.360,32.400
'32:59:29.200',0.312,-,-,-,-,73.320,31.200
'32:59:29.208',0.120,-,-,-,-,72.800,30.400
'32:59:29.216',0.064,-,-,-,-,71.760,29.600
'32:59:29.224',0.080,-,-,-,-,70.720,28.400
'32:59:29.232',0.056,-,-,-,-,70.200,28.000
'32:59:29.240',0.000,-,-,-,-,68.640,27.600
'32:59:29.248',-0.040,-,-,-,-,67.600,27.200
'32:59:29.256',-0.064,-,-,-,-,67.080,26.800
'32:59:29.264',-0.080,-,-,-,-,65.520,26.000
'32:59:29.272',-0.088,-,-,-,-,64.480,25.200
'32:59:29.280',-0.096,-,-,-,-,63.960,24.400
'32:59:29.288',-0.096,-,-,-,-,62.920,24.000
'32:59:29.296',-0.104,-,-,-,-,62.400,23.600
'32:59:29.304',-0.104,-,-,-,-,60.320,23.600
'32:59:29.312',-0.112,-,-,-,-,60.320,23.600
'32:59:29.320',-0.120,-,-,-,-,59.800,23.600
'32:59:29.328',-0.128,-,-,-,-,59.800,24.000
'32:59:29.336',-0.144,-,-,-,-,60.320,24.400
'32:59:29.344',-0.152,-,-,-,-,62.920,24.400
'32:59:29.352',-0.168,-,-,-,-,67.080,24.800
'32:59:29.360',-0.176,-,-,-,-,71.760,24.800
'32:59:29.368',-0.184,-,-,-,-,77.480,25.200
'32:59:29.376',-0.200,-,-,-,-,83.720,25.200
'32:59:29.384',-0.200,-,-,-,-,91.000,25.200
'32:59:29.392',-0.208,-,-,-,-,97.240,24.800
'32:59:29.400',-0.208,-,-,-,-,104.000,24.800
'32:59:29.408',-0.208,-,-,-,-,108.680,24.400
'32:59:29.416',-0.208,-,-,-,-,112.320,24.000
'32:59:29.424',-0.200,-,-,-,-,114.920,23.200
'32:59:29.432',-0.192,-,-,-,-,116.480,22.400
'32:59:29.440',-0.168,-,-,-,-,116.480,22.000
'32:59:29.448',-0.152,-,-,-,-,115.960,21.200
'32:59:29.456',-0.144,-,-,-,-,114.400,20.400
'32:59:29.464',-0.144,-,-,-,-,111.800,19.200
'32:59:29.472',-0.144,-,-,-,-,108.680,18.400
'32:59:29.480',-0.128,-,-,-,-,105.560,16.800
'32:59:29.488',-0.112,-,-,-,-,101.400,15.600
'32:59:29.496',-0.104,-,-,-,-,97.240,14.400
'32:59:29.504',-0.096,-,-,-,-,93.600,13.600
'32:59:29.512',-0.080,-,-,-,-,89.440,12.800
'32:59:29.520',-0.064,-,-,-,-,85.280,12.400
'32:59:29.528',-0.064,-,-,-,-,81.120,12.000
'32:59:29.536',-0.056,-,-,-,-,76.440,12.000
'32:59:29.544',-0.040,-,-,-,-,72.800,11.600
'32:59:29.552',-0.032,-,-,-,-,69.160,11.200
'32:59:29.560',-0.032,-,-,-,-,66.040,10.400
'32:59:29.568',-0.040,-,-,-,-,63.960,10.000
'32:59:29.576',-0.032,-,-,-,-,61.360,9.600
'32:59:29.584',-0.024,-,-,-,-,60.320,8.800
'32:59:29.592',-0.032,-,-,-,-,59.800,8.400
'32:59:29.600',-0.040,-,-,-,-,59.800,8.000
'32:59:29.608',-0.040,-,-,-,-,59.800,7.600
'32:59:29.616',-0.048,-,-,-,-,59.800,7.200
'32:59:29.624',-0.048,-,-,-,-,60.320,6.800
'32:59:29.632',-0.056,-,-,-,-,62.400,6.400
'32:59:29.640',-0.064,-,-,-,-,62.920,6.400
'32:59:29.648',-0.072,-,-,-,-,64.480,6.000
'32:59:29.656',-0.072,-,-,-,-,65.520,6.000
'32:59:29.664',-0.072,-,-,-,-,66.040,5.600
'32:59:29.672',-0.080,-,-,-,-,67.600,5.600
'32:59:29.680',-0.096,-,-,-,-,68.640,5.600
'32:59:29.688',-0.112,-,-,-,-,69.160,5.600
'32:59:29.696',-0.112,-,-,-,-,69.160,5.600
'32:59:29.704',-0.080,-,-,-,-,70.200,6.000
'32:59:29.712',-0.016,-,-,-,-,70.200,6.000
'32:59:29.720',0.056,-,-,-,-,70.200,6.400
'32:59:29.728',0.096,-,-,-,-,70.720,6.800
'32:59:29.736',0.120,-,-,-,-,70.200,7.200
'32:59:29.744',0.160,-,-,-,-,70.200,7.600
'32:59:29.752',0.216,-,-,-,-,69.160,8.400
'32:59:29.760',0.248,-,-,-,-,68.640,8.800
'32:59:29.768',0.280,-,-,-,-,68.640,10.000
'32:59:29.776',0.288,-,-,-,-,67.600,10.800
'32:59:29.784',0.272,-,-,-,-,67.080,11.600
'32:59:29.792',0.216,-,-,-,-,66.040,12.800
'32:59:29.800',0.144,-,-,-,-,65.520,13.600
'32:59:29.808',0.080,-,-,-,-,65.520,14.400
'32:59:29.816',0.048,-,-,-,-,64.480,15.200
'32:59:29.824',0.024,-,-,-,-,64.480,16.400
'32:59:29.832',0.016,-,-,-,-,64.480,17.200
'32:59:29.840',0.144,-,-,-,-,63.960,18.000
'32:59:29.848',0.304,-,-,-,-,63.960,18.800
'32:59:29.856',0.328,-,-,-,-,63.960,19.600
'32:59:29.864',0.136,-,-,-,-,64.480,20.800
'32:59:29.872',0.024,-,-,-,-,64.480,22.000
'32:59:29.880',0.000,-,-,-,-,64.480,23.600
'32:59:29.888',-0.032,-,-,-,-,63.960,25.200
'32:59:29.896',-0.088,-,-,-,-,64.480,27.600
'32:59:29.904',-0.144,-,-,-,-,64.480,29.600
'32:59:29.912',-0.192,-,-,-,-,64.480,31.200
'32:59:29.920',-0.248,-,-,-,-,64.480,31.200
'32:59:29.928',-0.304,-,-,-,-,64.480,31.200
'32:59:29.936',-0.376,-,-,-,-,63.960,31.600
'32:59:29.944',-0.432,-,-,-,-,63.960,32.400
'32:59:29.952',-0.440,-,-,-,-,63.960,33.600
'32:59:29.960',-0.376,-,-,-,-,62.920,34.800
'32:59:29.968',-0.304,-,-,-,-,62.920,36.000
'32:59:29.976',-0.256,-,-,-,-,63.960,38.000
'32:59:29.984',-0.216,-,-,-,-,63.960,39.200
'32:59:29.992',-0.168,-,-,-,-,64.480,40.800
'32:59:30.000',-0.128,-,-,-,-,65.520,42.400
'32:59:30.008',-0.096,-,-,-,-,67.600,44.000
'32:59:30.016',-0.072,-,-,-,-,70.720,45.200
'32:59:30.024',-0.048,-,-,-,-,74.880,46.400
'32:59:30.032',-0.040,-,-,-,-,79.560,47.600
'32:59:30.040',-0.040,-,-,-,-,85.280,48.400
'32:59:30.048',-0.032,-,-,-,-,91.520,49.200
'32:59:30.056',-0.016,-,-,-,-,97.240,50.000
'32:59:30.064',0.000,-,-,-,-,101.920,50.800
'32:59:30.072',0.000,-,-,-,-,106.080,51.200
'32:59:30.080',-0.016,-,-,-,-,109.200,51.200
'32:59:30.088',-0.032,-,-,-,-,110.760,51.600
'32:59:30.096',-0.024,-,-,-,-,111.800,51.600
'32:59:30.104',-0.016,-,-,-,-,111.800,51.600
'32:59:30.112',-0.008,-,-,-,-,110.240,51.200
'32:59:30.120',-0.024,-,-,-,-,108.680,51.200
'32:59:30.128',-0.024,-,-,-,-,105.560,50.400
'32:59:30.136',-0.016,-,-,-,-,101.920,50.000
'32:59:30.144',0.000,-,-,-,-,98.280,49.200
'32:59:30.152',0.024,-,-,-,-,94.120,48.400
'32:59:30.160',0.040,-,-,-,-,89.960,47.600
'32:59:30.168',0.064,-,-,-,-,85.280,46.800
'32:59:30.176',0.088,-,-,-,-,81.120,45.600
'32:59:30.184',0.088,-,-,-,-,77.480,44.800
'32:59:30.192',0.088,-,-,-,-,73.320,43.200
'32:59:30.200',0.064,-,-,-,-,70.200,42.000
'32:59:30.208',0.048,-,-,-,-,67.600,40.800
'32:59:30.216',0.040,-,-,-,-,66.040,40.000
'32:59:30.224',0.040,-,-,-,-,64.480,39.200
'32:59:30.232',0.056,-,-,-,-,63.960,38.400
'32:59:30.240',0.088,-,-,-,-,63.960,38.000
'32:59:30.248',0.128,-,-,-,-,63.960,37.600
'32:59:30.256',0.176,-,-,-,-,64.480,37.200
'32:59:30.264',0.224,-,-,-,-,65.520,37.200
'32:59:30.272',0.264,-,-,-,-,67.080,36.800
'32:59:30.280',0.264,-,-,-,-,68.640,36.800
'32:59:30.288',0.200,-,-,-,-,69.160,36.800
'32:59:30.296',0.104,-,-,-,-,70.720,36.400
'32:59:30.304',-0.008,-,-,-,-,72.800,36.400
'32:59:30.312',-0.096,-,-,-,-,73.320,36.400
'32:59:30.320',-0.128,-,-,-,-,74.360,36.400
'32:59:30.328',-0.128,-,-,-,-,74.880,36.000
'32:59:30.336',-0.120,-,-,-,-,75.920,36.000
'32:59:30.344',-0.112,-,-,-,-,75.920,35.600
'32:59:30.352',-0.104,-,-,-,-,75.920,35.600
'32:59:30.360',-0.080,-,-,-,-,75.920,35.600
'32:59:30.368',-0.040,-,-,-,-,75.920,35.200
'32:59:30.376',-0.016,-,-,-,-,75.920,35.200
'32:59:30.384',-0.008,-,-,-,-,75.920,35.200
'32:59:30.392',0.000,-,-,-,-,75.920,35.600
'32:59:30.400',0.032,-,-,-,-,74.880,35.600
'32:59:30.408',0.080,-,-,-,-,74.880,35.600
'32:59:30.416',0.160,-,-,-,-,74.880,35.600
'32:59:30.424',0.320,-,-,-,-,74.360,36.000
'32:59:30.432',0.520,-,-,-,-,74.360,36.000
'32:59:30.440',0.624,-,-,-,-,73.320,36.400
'32:59:30.448',0.536,-,-,-,-,73.320,36.800
'32:59:30.456',0.336,-,-,-,-,72.800,36.800
'32:59:30.464',0.136,-,-,-,-,71.760,36.800
'32:59:30.472',0.008,-,-,-,-,69.160,36.800
'32:59:30.480',-0.080,-,-,-,-,69.160,36.800
'32:59:30.488',-0.120,-,-,-,-,70.200,37.200
'32:59:30.496',-0.144,-,-,-,-,72.800,37.200
'32:59:30.504',-0.144,-,-,-,-,72.800,37.200
'32:59:30.512',-0.104,-,-,-,-,72.800,37.200
'32:59:30.520',0.032,-,-,-,-,72.800,37.200
'32:59:30.528',0.296,-,-,-,-,72.800,36.800
'32:59:30.536',0.504,-,-,-,-,70.720,36.800
'32:59:30.544',0.432,-,-,-,-,70.200,36.800
'32:59:30.552',0.248,-,-,-,-,69.160,36.400
'32:59:30.560',0.168,-,-,-,-,70.720,36.400
'32:59:30.568',0.136,-,-,-,-,72.800,36.400
'32:59:30.576',0.088,-,-,-,-,72.800,36.800
'32:59:30.584',0.024,-,-,-,-,70.720,37.200
'32:59:30.592',-0.008,-,-,-,-,69.160,38.000
'32:59:30.600',0.008,-,-,-,-,69.160,38.400
'32:59:30.608',0.024,-,-,-,-,70.200,39.200
'32:59:30.616',0.024,-,-,-,-,70.200,40.000
'32:59:30.624',-0.008,-,-,-,-,70.200,41.200
'32:59:30.632',0.032,-,-,-,-,70.200,42.000
'32:59:30.640',0.160,-,-,-,-,69.160,43.200
'32:59:30.648',0.248,-,-,-,-,70.200,44.400
'32:59:30.656',0.256,-,-,-,-,71.760,45.600
'32:59:30.664',0.136,-,-,-,-,74.360,46.800
'32:59:30.672',0.016,-,-,-,-,77.480,48.000
'32:59:30.680',-0.128,-,-,-,-,83.200,49.200
'32:59:30.688',-0.272,-,-,-,-,89.960,50.000
'32:59:30.696',-0.392,-,-,-,-,97.240,51.200
'32:59:30.704',-0.472,-,-,-,-,105.560,52.000
'32:59:30.712',-0.488,-,-,-,-,112.320,52.800
'32:59:30.720',-0.472,-,-,-,-,119.080,53.200
'32:59:30.728',-0.448,-,-,-,-,124.800,54.000
'32:59:30.736',-0.400,-,-,-,-,129.480,54.400
'32:59:30.744',-0.352,-,-,-,-,131.560,54.400
'32:59:30.752',-0.304,-,-,-,-,133.120,54.800
'32:59:30.760',-0.240,-,-,-,-,133.120,54.800
'32:59:30.768',-0.176,-,-,-,-,132.600,55.200
'32:59:30.776',-0.112,-,-,-,-,131.040,55.200
'32:59:30.784',-0.064,-,-,-,-,129.480,54.800
'32:59:30.792',-0.040,-,-,-,-,126.880,54.800
'32:59:30.800',-0.016,-,-,-,-,124.800,54.400
'32:59:30.808',0.000,-,-,-,-,121.160,54.000
'32:59:30.816',0.008,-,-,-,-,118.040,53.200
'32:59:30.824',0.008,-,-,-,-,114.920,52.400
'32:59:30.832',0.008,-,-,-,-,111.800,51.600
'32:59:30.840',0.008,-,-,-,-,107.640,50.400
