"","id","SampleN","lower","upper","filename"
"151719","a42042",5943295,5942670,5943920,"a42042_772"
"151720","a42042",5943544,5942919,5944169,"a42042_773"
"151721","a42042",5944044,5943419,5944669,"a42042_774"
"151722","a42042",5944544,5943919,5945169,"a42042_775"
"151723","a42042",5944545,5943920,5945170,"a42042_776"
"151724","a42042",5945169,5944544,5945794,"a42042_777"
"151725","a42042",5950544,5949919,5951169,"a42042_778"
"151727","a42042",5958669,5958044,5959294,"a42042_779"
"151728","a42042",5963544,5962919,5964169,"a42042_780"
"151729","a42042",5965169,5964544,5965794,"a42042_781"
"151732","a42042",5973794,5973169,5974419,"a42042_782"
"151733","a42042",5973919,5973294,5974544,"a42042_783"
"151735","a42042",5985169,5984544,5985794,"a42042_784"
"151736","a42042",5985419,5984794,5986044,"a42042_785"
"151737","a42042",5985544,5984919,5986169,"a42042_786"
"151738","a42042",5985794,5985169,5986419,"a42042_787"
"151739","a42042",5985919,5985294,5986544,"a42042_788"
"151740","a42042",5986044,5985419,5986669,"a42042_789"
"151741","a42042",5986294,5985669,5986919,"a42042_790"
"151742","a42042",5986544,5985919,5987169,"a42042_791"
"151743","a42042",5986669,5986044,5987294,"a42042_792"
"151744","a42042",5986670,5986045,5987295,"a42042_793"
"151745","a42042",5986919,5986294,5987544,"a42042_794"
"151746","a42042",5987294,5986669,5987919,"a42042_795"
"151747","a42042",5989044,5988419,5989669,"a42042_796"
"151748","a42042",5989169,5988544,5989794,"a42042_797"
"151750","a42042",5995169,5994544,5995794,"a42042_798"
"151751","a42042",5996669,5996044,5997294,"a42042_799"
"151752","a42042",5997044,5996419,5997669,"a42042_800"
"151753","a42042",5998294,5997669,5998919,"a42042_801"
"151754","a42042",5998419,5997794,5999044,"a42042_802"
"151755","a42042",5998669,5998044,5999294,"a42042_803"
"151756","a42042",5998919,5998294,5999544,"a42042_804"
"151757","a42042",5999044,5998419,5999669,"a42042_805"
"151758","a42042",6009794,6009169,6010419,"a42042_806"
"151759","a42042",6012419,6011794,6013044,"a42042_807"
"151760","a42042",6030294,6029669,6030919,"a42042_808"
"151761","a42042",6034544,6033919,6035169,"a42042_809"
"151762","a42042",6039544,6038919,6040169,"a42042_810"
"151763","a42042",6041919,6041294,6042544,"a42042_811"
"151764","a42042",6042169,6041544,6042794,"a42042_812"
"151765","a42042",6042419,6041794,6043044,"a42042_813"
"151766","a42042",6042669,6042044,6043294,"a42042_814"
"151767","a42042",6043044,6042419,6043669,"a42042_815"
"151770","a42042",6053795,6053170,6054420,"a42042_816"
"151771","a42042",6054294,6053669,6054919,"a42042_817"
"151772","a42042",6054419,6053794,6055044,"a42042_818"
"151773","a42042",6055419,6054794,6056044,"a42042_819"
"151774","a42042",6055669,6055044,6056294,"a42042_820"
"151775","a42042",6056294,6055669,6056919,"a42042_821"
"151776","a42042",6056544,6055919,6057169,"a42042_822"
"151777","a42042",6059044,6058419,6059669,"a42042_823"
"151778","a42042",6059294,6058669,6059919,"a42042_824"
"151779","a42042",6059544,6058919,6060169,"a42042_825"
"151780","a42042",6065794,6065169,6066419,"a42042_826"
"151781","a42042",6086169,6085544,6086794,"a42042_827"
"151783","a42042",6109169,6108544,6109794,"a42042_828"
"151784","a42042",6113169,6112544,6113794,"a42042_829"
"151785","a42042",6122544,6121919,6123169,"a42042_830"
"151786","a42042",6137044,6136419,6137669,"a42042_831"
"151787","a42042",6147919,6147294,6148544,"a42042_832"
"151789","a42042",6161544,6160919,6162169,"a42042_833"
"151791","a42042",6170544,6169919,6171169,"a42042_834"
"151792","a42042",6171294,6170669,6171919,"a42042_835"
"151793","a42042",6181294,6180669,6181919,"a42042_836"
"151794","a42042",6186794,6186169,6187419,"a42042_837"
"151796","a42042",6194544,6193919,6195169,"a42042_838"
"151797","a42042",6196919,6196294,6197544,"a42042_839"
"151798","a42042",6215919,6215294,6216544,"a42042_840"
"151800","a42042",6219795,6219170,6220420,"a42042_841"
"151801","a42042",6219919,6219294,6220544,"a42042_842"
"151802","a42042",6220169,6219544,6220794,"a42042_843"
"151803","a42042",6220170,6219545,6220795,"a42042_844"
"151804","a42042",6220669,6220044,6221294,"a42042_845"
"151805","a42042",6220919,6220294,6221544,"a42042_846"
"151806","a42042",6221294,6220669,6221919,"a42042_847"
"151807","a42042",6221419,6220794,6222044,"a42042_848"
"151808","a42042",6221669,6221044,6222294,"a42042_849"
"151809","a42042",6221794,6221169,6222419,"a42042_850"
"151810","a42042",6222169,6221544,6222794,"a42042_851"
"151811","a42042",6222669,6222044,6223294,"a42042_852"
"151812","a42042",6222919,6222294,6223544,"a42042_853"
"151813","a42042",6236794,6236169,6237419,"a42042_854"
"151814","a42042",6237169,6236544,6237794,"a42042_855"
"151815","a42042",6260169,6259544,6260794,"a42042_856"
"151816","a42042",6289794,6289169,6290419,"a42042_857"
"151817","a42042",6292919,6292294,6293544,"a42042_858"
"151818","a42042",6297544,6296919,6298169,"a42042_859"
"157195","a42061",81882856,81882231,81883481,"a42061_752"
"159182","a42086",17122229,17121604,17122854,"a42086_183"
"159183","a42086",17131604,17130979,17132229,"a42086_184"
"159184","a42086",17168854,17168229,17169479,"a42086_185"
"159185","a42086",17193354,17192729,17193979,"a42086_186"
"159186","a42086",17244854,17244229,17245479,"a42086_187"
"159187","a42086",17256729,17256104,17257354,"a42086_188"
"159188","a42086",17258854,17258229,17259479,"a42086_189"
"159189","a42086",17265229,17264604,17265854,"a42086_190"
"159190","a42086",17265230,17264605,17265855,"a42086_191"
"159191","a42086",17267979,17267354,17268604,"a42086_192"
"159192","a42086",17288229,17287604,17288854,"a42086_193"
"160823","a42126",25464130,25463505,25464755,"a42126_42"
"163194","a42153",6861617,6860992,6862242,"a42153_80"
"163195","a42153",6862492,6861867,6863117,"a42153_81"
"163196","a42153",6917617,6916992,6918242,"a42153_82"
"163197","a42153",6959867,6959242,6960492,"a42153_83"
"163198","a42153",6959868,6959243,6960493,"a42153_84"
"171401","a42261",3431597,3430972,3432222,"a42261_57"
"171402","a42261",3470472,3469847,3471097,"a42261_58"
"171403","a42261",3497347,3496722,3497972,"a42261_59"
"171404","a42261",3535722,3535097,3536347,"a42261_60"
"171405","a42261",3578972,3578347,3579597,"a42261_61"
"171406","a42261",3617347,3616722,3617972,"a42261_62"
"171407","a42261",3636472,3635847,3637097,"a42261_63"
"171408","a42261",3662597,3661972,3663222,"a42261_64"
"171409","a42261",3703722,3703097,3704347,"a42261_65"
"171410","a42261",3742097,3741472,3742722,"a42261_66"
"171411","a42261",3766597,3765972,3767222,"a42261_67"
"171412","a42261",3805597,3804972,3806222,"a42261_68"
"171413","a42261",3858222,3857597,3858847,"a42261_69"
