'Elapsed time','I','II','III','AVF','V','MCL1','ABP'
'14:36:01.968',0.000,0.025,-,-,-,-,48.000
'14:36:01.976',-0.024,0.000,-,-,-,-,48.000
'14:36:01.984',-0.040,-0.025,-,-,-,-,48.000
'14:36:01.992',-0.048,-0.033,-,-,-,-,48.000
'14:36:02.000',-0.056,-0.050,-,-,-,-,48.800
'14:36:02.008',-0.064,-0.058,-,-,-,-,50.400
'14:36:02.016',-0.072,-0.058,-,-,-,-,53.600
'14:36:02.024',-0.064,-0.058,-,-,-,-,58.400
'14:36:02.032',-0.072,-0.066,-,-,-,-,63.200
'14:36:02.040',-0.088,-0.058,-,-,-,-,68.000
'14:36:02.048',-0.096,-0.091,-,-,-,-,71.200
'14:36:02.056',-0.088,-0.099,-,-,-,-,72.000
'14:36:02.064',-0.112,-0.099,-,-,-,-,72.800
'14:36:02.072',-0.104,-0.116,-,-,-,-,72.000
'14:36:02.080',-0.128,-0.132,-,-,-,-,71.200
'14:36:02.088',-0.128,-0.140,-,-,-,-,70.400
'14:36:02.096',-0.112,-0.149,-,-,-,-,68.000
'14:36:02.104',-0.104,-0.149,-,-,-,-,66.400
'14:36:02.112',-0.096,-0.140,-,-,-,-,64.000
'14:36:02.120',-0.088,-0.157,-,-,-,-,62.400
'14:36:02.128',-0.072,-0.157,-,-,-,-,60.000
'14:36:02.136',-0.048,-0.157,-,-,-,-,57.600
'14:36:02.144',-0.040,-0.165,-,-,-,-,55.200
'14:36:02.152',-0.016,-0.140,-,-,-,-,53.600
'14:36:02.160',-0.016,-0.140,-,-,-,-,52.800
'14:36:02.168',-0.008,-0.140,-,-,-,-,52.800
'14:36:02.176',0.000,-0.124,-,-,-,-,54.400
'14:36:02.184',-0.008,-0.132,-,-,-,-,56.000
'14:36:02.192',0.000,-0.099,-,-,-,-,56.800
'14:36:02.200',-0.008,-0.099,-,-,-,-,56.800
'14:36:02.208',0.000,-0.091,-,-,-,-,56.800
'14:36:02.216',0.000,-0.074,-,-,-,-,56.000
'14:36:02.224',0.008,-0.058,-,-,-,-,55.200
'14:36:02.232',0.000,-0.058,-,-,-,-,54.400
'14:36:02.240',0.008,-0.058,-,-,-,-,54.400
'14:36:02.248',0.000,-0.058,-,-,-,-,53.600
'14:36:02.256',0.008,-0.041,-,-,-,-,53.600
'14:36:02.264',0.000,-0.041,-,-,-,-,53.600
'14:36:02.272',0.016,-0.033,-,-,-,-,52.800
'14:36:02.280',0.000,-0.033,-,-,-,-,52.800
'14:36:02.288',0.016,-0.017,-,-,-,-,52.000
'14:36:02.296',0.008,-0.025,-,-,-,-,52.000
'14:36:02.304',0.016,-0.017,-,-,-,-,52.000
'14:36:02.312',0.024,-0.017,-,-,-,-,52.000
'14:36:02.320',0.008,-0.017,-,-,-,-,51.200
'14:36:02.328',0.024,-0.017,-,-,-,-,51.200
'14:36:02.336',0.016,-0.008,-,-,-,-,51.200
'14:36:02.344',0.016,-0.017,-,-,-,-,51.200
'14:36:02.352',0.016,0.000,-,-,-,-,51.200
'14:36:02.360',0.016,0.008,-,-,-,-,51.200
'14:36:02.368',0.040,0.025,-,-,-,-,51.200
'14:36:02.376',0.056,0.033,-,-,-,-,50.400
'14:36:02.384',0.080,0.025,-,-,-,-,50.400
'14:36:02.392',0.088,0.066,-,-,-,-,50.400
'14:36:02.400',0.104,0.074,-,-,-,-,50.400
'14:36:02.408',0.104,0.058,-,-,-,-,50.400
'14:36:02.416',0.128,0.091,-,-,-,-,50.400
'14:36:02.424',0.152,0.116,-,-,-,-,49.600
'14:36:02.432',0.176,0.149,-,-,-,-,49.600
'14:36:02.440',0.208,0.231,-,-,-,-,49.600
'14:36:02.448',0.176,0.273,-,-,-,-,48.800
'14:36:02.456',0.160,0.256,-,-,-,-,48.800
'14:36:02.464',0.144,0.314,-,-,-,-,48.800
'14:36:02.472',0.120,0.256,-,-,-,-,48.800
'14:36:02.480',0.080,0.215,-,-,-,-,48.000
'14:36:02.488',0.032,0.157,-,-,-,-,48.000
'14:36:02.496',0.000,0.091,-,-,-,-,48.000
'14:36:02.504',0.000,0.025,-,-,-,-,48.000
'14:36:02.512',-0.016,0.000,-,-,-,-,48.000
'14:36:02.520',-0.024,-0.017,-,-,-,-,48.000
'14:36:02.528',-0.048,-0.041,-,-,-,-,48.000
'14:36:02.536',-0.048,-0.050,-,-,-,-,48.800
'14:36:02.544',-0.064,-0.058,-,-,-,-,50.400
'14:36:02.552',-0.056,-0.058,-,-,-,-,54.400
'14:36:02.560',-0.072,-0.058,-,-,-,-,59.200
'14:36:02.568',-0.064,-0.058,-,-,-,-,64.800
'14:36:02.576',-0.072,-0.066,-,-,-,-,70.400
'14:36:02.584',-0.088,-0.091,-,-,-,-,73.600
'14:36:02.592',-0.096,-0.091,-,-,-,-,75.200
'14:36:02.600',-0.088,-0.099,-,-,-,-,75.200
'14:36:02.608',-0.104,-0.099,-,-,-,-,74.400
'14:36:02.616',-0.112,-0.116,-,-,-,-,73.600
'14:36:02.624',-0.128,-0.132,-,-,-,-,72.800
'14:36:02.632',-0.112,-0.140,-,-,-,-,70.400
'14:36:02.640',-0.096,-0.140,-,-,-,-,68.800
'14:36:02.648',-0.096,-0.149,-,-,-,-,66.400
'14:36:02.656',-0.088,-0.157,-,-,-,-,64.000
'14:36:02.664',-0.072,-0.165,-,-,-,-,62.400
'14:36:02.672',-0.064,-0.157,-,-,-,-,60.000
'14:36:02.680',-0.056,-0.165,-,-,-,-,57.600
'14:36:02.688',-0.032,-0.149,-,-,-,-,56.000
'14:36:02.696',-0.024,-0.140,-,-,-,-,54.400
'14:36:02.704',-0.008,-0.132,-,-,-,-,54.400
'14:36:02.712',-0.016,-0.140,-,-,-,-,56.000
'14:36:02.720',0.000,-0.116,-,-,-,-,57.600
'14:36:02.728',-0.008,-0.099,-,-,-,-,58.400
'14:36:02.736',0.000,-0.091,-,-,-,-,58.400
'14:36:02.744',-0.008,-0.074,-,-,-,-,58.400
'14:36:02.752',0.000,-0.066,-,-,-,-,56.800
'14:36:02.760',0.000,-0.058,-,-,-,-,56.000
'14:36:02.768',0.000,-0.050,-,-,-,-,56.000
'14:36:02.776',-0.008,-0.058,-,-,-,-,55.200
'14:36:02.784',0.000,-0.041,-,-,-,-,55.200
'14:36:02.792',0.000,-0.033,-,-,-,-,54.400
'14:36:02.800',0.000,-0.025,-,-,-,-,54.400
'14:36:02.808',0.000,-0.025,-,-,-,-,53.600
'14:36:02.816',0.000,-0.017,-,-,-,-,53.600
'14:36:02.824',0.000,-0.017,-,-,-,-,52.800
'14:36:02.832',0.000,-0.008,-,-,-,-,52.800
'14:36:02.840',0.008,0.000,-,-,-,-,52.800
'14:36:02.848',0.000,0.000,-,-,-,-,52.000
'14:36:02.856',0.008,0.000,-,-,-,-,52.000
'14:36:02.864',0.000,0.000,-,-,-,-,52.000
'14:36:02.872',0.016,0.008,-,-,-,-,52.000
'14:36:02.880',0.000,0.000,-,-,-,-,51.200
'14:36:02.888',0.008,0.000,-,-,-,-,51.200
'14:36:02.896',0.000,0.017,-,-,-,-,51.200
'14:36:02.904',0.016,0.025,-,-,-,-,51.200
'14:36:02.912',0.016,0.050,-,-,-,-,51.200
'14:36:02.920',0.048,0.050,-,-,-,-,51.200
'14:36:02.928',0.056,0.058,-,-,-,-,50.400
'14:36:02.936',0.088,0.099,-,-,-,-,50.400
'14:36:02.944',0.088,0.116,-,-,-,-,50.400
'14:36:02.952',0.104,0.099,-,-,-,-,50.400
'14:36:02.960',0.104,0.099,-,-,-,-,50.400
'14:36:02.968',0.128,0.132,-,-,-,-,49.600
'14:36:02.976',0.160,0.165,-,-,-,-,49.600
'14:36:02.984',0.192,0.231,-,-,-,-,49.600
'14:36:02.992',0.200,0.289,-,-,-,-,48.800
'14:36:03.000',0.160,0.314,-,-,-,-,48.800
'14:36:03.008',0.152,0.331,-,-,-,-,48.800
'14:36:03.016',0.120,0.347,-,-,-,-,48.000
'14:36:03.024',0.088,0.256,-,-,-,-,48.000
'14:36:03.032',0.040,0.207,-,-,-,-,48.000
'14:36:03.040',0.000,0.149,-,-,-,-,48.000
'14:36:03.048',-0.008,0.074,-,-,-,-,48.000
'14:36:03.056',-0.016,0.041,-,-,-,-,48.000
'14:36:03.064',-0.048,0.008,-,-,-,-,48.000
'14:36:03.072',-0.040,-0.008,-,-,-,-,48.000
'14:36:03.080',-0.064,-0.017,-,-,-,-,48.000
'14:36:03.088',-0.056,-0.025,-,-,-,-,48.800
'14:36:03.096',-0.072,-0.033,-,-,-,-,51.200
'14:36:03.104',-0.072,-0.033,-,-,-,-,54.400
'14:36:03.112',-0.088,-0.033,-,-,-,-,60.000
'14:36:03.120',-0.088,-0.041,-,-,-,-,65.600
