'Elapsed time','II','III','AVR','V','MCL1','ABP','PAP'
'96:42:18.088',-0.024,-,-,-,-,55.200,25.200
'96:42:18.096',-0.024,-,-,-,-,56.000,24.400
'96:42:18.104',-0.024,-,-,-,-,56.000,24.000
'96:42:18.112',-0.008,-,-,-,-,56.000,23.200
'96:42:18.120',-0.024,-,-,-,-,56.000,22.800
'96:42:18.128',-0.024,-,-,-,-,56.800,22.800
'96:42:18.136',-0.024,-,-,-,-,56.000,22.800
'96:42:18.144',-0.024,-,-,-,-,56.000,22.800
'96:42:18.152',-0.024,-,-,-,-,56.000,22.800
'96:42:18.160',-0.024,-,-,-,-,56.000,23.200
'96:42:18.168',-0.032,-,-,-,-,55.200,23.600
'96:42:18.176',-0.024,-,-,-,-,55.200,23.600
'96:42:18.184',-0.032,-,-,-,-,54.400,23.600
'96:42:18.192',-0.024,-,-,-,-,54.400,23.600
'96:42:18.200',-0.024,-,-,-,-,54.400,23.600
'96:42:18.208',-0.008,-,-,-,-,53.600,23.600
'96:42:18.216',-0.032,-,-,-,-,52.800,23.600
'96:42:18.224',-0.024,-,-,-,-,52.000,23.200
'96:42:18.232',-0.024,-,-,-,-,51.200,23.200
'96:42:18.240',-0.024,-,-,-,-,50.400,23.200
'96:42:18.248',-0.024,-,-,-,-,50.400,23.200
'96:42:18.256',-0.024,-,-,-,-,49.600,23.200
'96:42:18.264',-0.024,-,-,-,-,48.800,23.200
'96:42:18.272',-0.008,-,-,-,-,48.800,23.200
'96:42:18.280',-0.024,-,-,-,-,48.800,22.800
'96:42:18.288',-0.256,-,-,-,-,48.000,22.400
'96:42:18.296',0.008,-,-,-,-,48.000,22.400
'96:42:18.304',0.000,-,-,-,-,48.000,22.000
'96:42:18.312',-0.008,-,-,-,-,48.000,21.600
'96:42:18.320',-0.024,-,-,-,-,48.000,21.600
'96:42:18.328',-0.048,-,-,-,-,47.200,21.200
'96:42:18.336',-0.056,-,-,-,-,47.200,21.200
'96:42:18.344',-0.080,-,-,-,-,47.200,21.200
'96:42:18.352',-0.072,-,-,-,-,47.200,21.200
'96:42:18.360',-0.096,-,-,-,-,47.200,21.200
'96:42:18.368',-0.120,-,-,-,-,47.200,21.200
'96:42:18.376',-0.128,-,-,-,-,47.200,21.200
'96:42:18.384',-0.104,-,-,-,-,47.200,20.800
'96:42:18.392',-0.128,-,-,-,-,47.200,20.800
'96:42:18.400',-0.128,-,-,-,-,47.200,20.400
'96:42:18.408',-0.192,-,-,-,-,47.200,20.000
'96:42:18.416',-0.256,-,-,-,-,46.400,19.600
'96:42:18.424',-0.264,-,-,-,-,46.400,19.600
'96:42:18.432',-0.256,-,-,-,-,46.400,20.800
'96:42:18.440',-0.176,-,-,-,-,45.600,22.400
'96:42:18.448',-0.128,-,-,-,-,45.600,25.600
'96:42:18.456',-0.104,-,-,-,-,45.600,28.800
'96:42:18.464',-0.120,-,-,-,-,45.600,31.600
'96:42:18.472',-0.128,-,-,-,-,45.600,32.800
'96:42:18.480',-0.104,-,-,-,-,45.600,31.600
'96:42:18.488',-0.072,-,-,-,-,45.600,29.600
'96:42:18.496',-0.056,-,-,-,-,45.600,28.400
'96:42:18.504',0.000,-,-,-,-,45.600,28.000
'96:42:18.512',0.024,-,-,-,-,45.600,28.800
'96:42:18.520',0.072,-,-,-,-,44.800,30.800
'96:42:18.528',0.096,-,-,-,-,44.800,34.000
'96:42:18.536',0.104,-,-,-,-,44.800,38.000
'96:42:18.544',0.104,-,-,-,-,44.800,42.000
'96:42:18.552',0.128,-,-,-,-,44.000,45.600
'96:42:18.560',0.128,-,-,-,-,44.000,48.400
'96:42:18.568',0.128,-,-,-,-,44.800,50.800
'96:42:18.576',0.152,-,-,-,-,45.600,52.400
'96:42:18.584',0.128,-,-,-,-,46.400,53.200
'96:42:18.592',0.152,-,-,-,-,48.800,53.200
'96:42:18.600',0.128,-,-,-,-,52.800,52.400
'96:42:18.608',0.152,-,-,-,-,57.600,51.600
'96:42:18.616',0.144,-,-,-,-,63.200,50.400
'96:42:18.624',0.152,-,-,-,-,68.000,49.200
'96:42:18.632',0.144,-,-,-,-,73.600,47.600
'96:42:18.640',0.128,-,-,-,-,78.400,46.400
'96:42:18.648',0.144,-,-,-,-,83.200,44.800
'96:42:18.656',0.128,-,-,-,-,86.400,43.600
'96:42:18.664',0.120,-,-,-,-,89.600,42.400
'96:42:18.672',0.128,-,-,-,-,92.000,41.200
'96:42:18.680',0.096,-,-,-,-,93.600,40.000
'96:42:18.688',0.096,-,-,-,-,94.400,38.800
'96:42:18.696',0.072,-,-,-,-,94.400,37.200
'96:42:18.704',0.056,-,-,-,-,93.600,35.600
'96:42:18.712',0.048,-,-,-,-,92.800,34.400
'96:42:18.720',0.048,-,-,-,-,91.200,34.400
'96:42:18.728',0.032,-,-,-,-,90.400,35.200
'96:42:18.736',0.024,-,-,-,-,88.000,36.800
'96:42:18.744',0.024,-,-,-,-,85.600,38.000
'96:42:18.752',0.008,-,-,-,-,83.200,38.800
'96:42:18.760',0.000,-,-,-,-,80.800,38.400
'96:42:18.768',0.000,-,-,-,-,78.400,37.200
'96:42:18.776',0.000,-,-,-,-,75.200,35.600
'96:42:18.784',0.000,-,-,-,-,72.800,34.800
'96:42:18.792',0.000,-,-,-,-,69.600,34.000
'96:42:18.800',0.000,-,-,-,-,67.200,34.000
'96:42:18.808',0.000,-,-,-,-,64.800,34.000
'96:42:18.816',0.000,-,-,-,-,61.600,34.400
'96:42:18.824',0.000,-,-,-,-,58.400,34.800
'96:42:18.832',-0.008,-,-,-,-,56.800,35.200
'96:42:18.840',0.000,-,-,-,-,54.400,35.600
'96:42:18.848',-0.008,-,-,-,-,53.600,35.600
'96:42:18.856',-0.024,-,-,-,-,52.800,35.600
'96:42:18.864',-0.008,-,-,-,-,52.800,35.600
'96:42:18.872',0.000,-,-,-,-,52.800,35.200
'96:42:18.880',-0.024,-,-,-,-,53.600,34.800
'96:42:18.888',-0.008,-,-,-,-,53.600,34.000
'96:42:18.896',-0.024,-,-,-,-,54.400,33.200
'96:42:18.904',-0.008,-,-,-,-,55.200,32.000
'96:42:18.912',-0.024,-,-,-,-,56.000,30.800
'96:42:18.920',-0.008,-,-,-,-,56.000,30.000
'96:42:18.928',0.000,-,-,-,-,56.800,28.800
'96:42:18.936',-0.008,-,-,-,-,56.800,28.000
'96:42:18.944',-0.024,-,-,-,-,57.600,27.600
'96:42:18.952',-0.024,-,-,-,-,57.600,27.200
'96:42:18.960',-0.024,-,-,-,-,56.800,27.200
'96:42:18.968',-0.024,-,-,-,-,56.800,26.800
'96:42:18.976',-0.024,-,-,-,-,56.800,26.400
'96:42:18.984',-0.024,-,-,-,-,56.000,26.000
'96:42:18.992',-0.024,-,-,-,-,56.000,25.600
'96:42:19.000',-0.024,-,-,-,-,55.200,24.800
'96:42:19.008',-0.008,-,-,-,-,55.200,24.400
'96:42:19.016',-0.024,-,-,-,-,54.400,23.600
'96:42:19.024',-0.008,-,-,-,-,54.400,23.200
'96:42:19.032',-0.024,-,-,-,-,53.600,22.400
'96:42:19.040',-0.008,-,-,-,-,53.600,22.000
'96:42:19.048',-0.024,-,-,-,-,53.600,21.600
'96:42:19.056',-0.008,-,-,-,-,52.800,21.600
'96:42:19.064',-0.024,-,-,-,-,52.800,21.600
'96:42:19.072',0.000,-,-,-,-,52.800,22.000
'96:42:19.080',-0.024,-,-,-,-,52.000,22.000
'96:42:19.088',0.000,-,-,-,-,52.000,22.400
'96:42:19.096',-0.024,-,-,-,-,52.000,22.400
'96:42:19.104',-0.008,-,-,-,-,51.200,22.400
'96:42:19.112',-0.008,-,-,-,-,51.200,22.400
'96:42:19.120',-0.008,-,-,-,-,50.400,22.400
'96:42:19.128',-0.008,-,-,-,-,50.400,22.400
'96:42:19.136',-0.008,-,-,-,-,50.400,22.400
'96:42:19.144',-0.240,-,-,-,-,49.600,22.000
'96:42:19.152',0.024,-,-,-,-,49.600,22.000
'96:42:19.160',0.000,-,-,-,-,48.800,21.600
'96:42:19.168',-0.008,-,-,-,-,48.800,21.600
'96:42:19.176',-0.024,-,-,-,-,48.800,21.600
'96:42:19.184',-0.048,-,-,-,-,48.000,21.200
'96:42:19.192',-0.056,-,-,-,-,48.000,21.200
'96:42:19.200',-0.056,-,-,-,-,48.000,21.200
'96:42:19.208',-0.056,-,-,-,-,47.200,20.800
'96:42:19.216',-0.104,-,-,-,-,48.000,20.800
'96:42:19.224',-0.104,-,-,-,-,48.000,20.400
'96:42:19.232',-0.096,-,-,-,-,47.200,20.000
'96:42:19.240',-0.080,-,-,-,-,47.200,19.600
'96:42:19.248',-0.120,-,-,-,-,47.200,19.200
'96:42:19.256',-0.144,-,-,-,-,46.400,19.200
'96:42:19.264',-0.216,-,-,-,-,46.400,18.800
'96:42:19.272',-0.264,-,-,-,-,46.400,18.800
'96:42:19.280',-0.256,-,-,-,-,46.400,19.200
'96:42:19.288',-0.264,-,-,-,-,46.400,20.000
'96:42:19.296',-0.176,-,-,-,-,46.400,22.000
'96:42:19.304',-0.128,-,-,-,-,45.600,24.000
'96:42:19.312',-0.104,-,-,-,-,45.600,26.800
'96:42:19.320',-0.128,-,-,-,-,45.600,29.600
'96:42:19.328',-0.104,-,-,-,-,45.600,32.000
'96:42:19.336',-0.056,-,-,-,-,46.400,34.000
'96:42:19.344',-0.032,-,-,-,-,45.600,34.400
'96:42:19.352',0.000,-,-,-,-,45.600,34.000
'96:42:19.360',0.024,-,-,-,-,45.600,33.600
'96:42:19.368',0.072,-,-,-,-,45.600,33.600
'96:42:19.376',0.096,-,-,-,-,45.600,34.800
'96:42:19.384',0.120,-,-,-,-,45.600,36.400
'96:42:19.392',0.128,-,-,-,-,45.600,38.000
'96:42:19.400',0.152,-,-,-,-,44.800,40.000
'96:42:19.408',0.152,-,-,-,-,44.800,42.000
'96:42:19.416',0.152,-,-,-,-,44.800,44.000
'96:42:19.424',0.144,-,-,-,-,45.600,46.000
'96:42:19.432',0.152,-,-,-,-,47.200,47.600
'96:42:19.440',0.168,-,-,-,-,49.600,48.800
'96:42:19.448',0.152,-,-,-,-,52.800,49.600
'96:42:19.456',0.168,-,-,-,-,57.600,49.600
'96:42:19.464',0.152,-,-,-,-,63.200,49.600
'96:42:19.472',0.168,-,-,-,-,68.800,48.800
'96:42:19.480',0.152,-,-,-,-,74.400,48.000
'96:42:19.488',0.152,-,-,-,-,80.000,46.800
'96:42:19.496',0.144,-,-,-,-,84.800,45.600
'96:42:19.504',0.152,-,-,-,-,88.800,44.400
'96:42:19.512',0.144,-,-,-,-,92.000,43.200
'96:42:19.520',0.128,-,-,-,-,94.400,42.400
'96:42:19.528',0.104,-,-,-,-,96.000,41.200
'96:42:19.536',0.104,-,-,-,-,96.000,39.600
'96:42:19.544',0.080,-,-,-,-,96.800,38.400
'96:42:19.552',0.080,-,-,-,-,96.000,37.200
'96:42:19.560',0.056,-,-,-,-,95.200,36.800
'96:42:19.568',0.048,-,-,-,-,93.600,36.800
'96:42:19.576',0.048,-,-,-,-,92.800,37.600
'96:42:19.584',0.048,-,-,-,-,90.400,38.000
'96:42:19.592',0.024,-,-,-,-,88.800,38.400
'96:42:19.600',0.024,-,-,-,-,86.400,38.000
'96:42:19.608',0.000,-,-,-,-,84.000,38.000
'96:42:19.616',0.000,-,-,-,-,81.600,37.600
'96:42:19.624',0.000,-,-,-,-,78.400,37.200
'96:42:19.632',0.000,-,-,-,-,76.000,36.800
'96:42:19.640',0.000,-,-,-,-,73.600,36.400
'96:42:19.648',0.000,-,-,-,-,70.400,36.000
'96:42:19.656',0.000,-,-,-,-,67.200,36.000
'96:42:19.664',0.000,-,-,-,-,64.000,36.400
'96:42:19.672',0.000,-,-,-,-,60.800,36.800
'96:42:19.680',0.000,-,-,-,-,58.400,37.200
'96:42:19.688',0.000,-,-,-,-,56.800,37.600
'96:42:19.696',-0.008,-,-,-,-,55.200,37.600
'96:42:19.704',-0.008,-,-,-,-,54.400,37.600
'96:42:19.712',0.000,-,-,-,-,54.400,37.600
'96:42:19.720',-0.008,-,-,-,-,53.600,37.200
'96:42:19.728',-0.024,-,-,-,-,54.400,36.000
'96:42:19.736',-0.008,-,-,-,-,54.400,34.800
'96:42:19.744',0.000,-,-,-,-,55.200,33.200
'96:42:19.752',-0.008,-,-,-,-,56.000,31.600
'96:42:19.760',-0.024,-,-,-,-,56.000,30.400
'96:42:19.768',-0.024,-,-,-,-,56.800,29.600
'96:42:19.776',-0.024,-,-,-,-,57.600,28.800
'96:42:19.784',-0.024,-,-,-,-,57.600,28.400
'96:42:19.792',0.000,-,-,-,-,58.400,28.000
'96:42:19.800',-0.008,-,-,-,-,58.400,28.000
'96:42:19.808',0.000,-,-,-,-,58.400,27.600
'96:42:19.816',-0.008,-,-,-,-,58.400,27.600
'96:42:19.824',-0.024,-,-,-,-,58.400,27.600
'96:42:19.832',-0.008,-,-,-,-,58.400,27.200
'96:42:19.840',-0.024,-,-,-,-,57.600,26.800
'96:42:19.848',-0.008,-,-,-,-,57.600,26.000
'96:42:19.856',0.000,-,-,-,-,56.800,25.200
'96:42:19.864',-0.008,-,-,-,-,56.800,24.400
'96:42:19.872',-0.024,-,-,-,-,56.000,23.600
'96:42:19.880',-0.024,-,-,-,-,56.000,22.800
'96:42:19.888',-0.008,-,-,-,-,55.200,22.400
'96:42:19.896',-0.024,-,-,-,-,55.200,22.000
'96:42:19.904',-0.008,-,-,-,-,54.400,22.000
'96:42:19.912',-0.024,-,-,-,-,54.400,22.000
'96:42:19.920',-0.008,-,-,-,-,53.600,22.000
'96:42:19.928',-0.024,-,-,-,-,53.600,22.000
'96:42:19.936',0.000,-,-,-,-,52.800,22.400
'96:42:19.944',-0.024,-,-,-,-,52.800,22.800
'96:42:19.952',-0.008,-,-,-,-,52.800,23.200
'96:42:19.960',-0.024,-,-,-,-,52.000,23.600
'96:42:19.968',-0.008,-,-,-,-,52.000,23.600
'96:42:19.976',-0.008,-,-,-,-,51.200,23.200
'96:42:19.984',-0.008,-,-,-,-,51.200,22.800
'96:42:19.992',-0.216,-,-,-,-,51.200,22.400
'96:42:20.000',0.032,-,-,-,-,50.400,22.000
'96:42:20.008',0.000,-,-,-,-,50.400,22.000
'96:42:20.016',0.000,-,-,-,-,50.400,21.600
'96:42:20.024',-0.008,-,-,-,-,49.600,21.600
'96:42:20.032',-0.048,-,-,-,-,49.600,21.200
'96:42:20.040',-0.056,-,-,-,-,49.600,21.200
'96:42:20.048',-0.080,-,-,-,-,49.600,21.200
'96:42:20.056',-0.056,-,-,-,-,49.600,21.200
'96:42:20.064',-0.096,-,-,-,-,48.800,21.200
'96:42:20.072',-0.104,-,-,-,-,48.800,20.800
'96:42:20.080',-0.120,-,-,-,-,48.000,20.800
'96:42:20.088',-0.080,-,-,-,-,48.000,21.200
'96:42:20.096',-0.128,-,-,-,-,48.000,21.200
'96:42:20.104',-0.120,-,-,-,-,47.200,20.800
'96:42:20.112',-0.176,-,-,-,-,47.200,20.800
'96:42:20.120',-0.256,-,-,-,-,47.200,20.400
'96:42:20.128',-0.280,-,-,-,-,47.200,20.000
'96:42:20.136',-0.264,-,-,-,-,46.400,20.000
'96:42:20.144',-0.216,-,-,-,-,46.400,20.800
'96:42:20.152',-0.152,-,-,-,-,46.400,22.400
'96:42:20.160',-0.128,-,-,-,-,46.400,24.400
'96:42:20.168',-0.120,-,-,-,-,46.400,26.800
'96:42:20.176',-0.128,-,-,-,-,46.400,29.600
'96:42:20.184',-0.080,-,-,-,-,46.400,31.600
'96:42:20.192',-0.056,-,-,-,-,46.400,32.800
'96:42:20.200',-0.032,-,-,-,-,46.400,33.600
'96:42:20.208',0.000,-,-,-,-,46.400,33.600
'96:42:20.216',0.048,-,-,-,-,46.400,34.400
'96:42:20.224',0.096,-,-,-,-,46.400,35.200
'96:42:20.232',0.104,-,-,-,-,46.400,36.400
'96:42:20.240',0.128,-,-,-,-,46.400,38.400
'96:42:20.248',0.128,-,-,-,-,46.400,40.400
'96:42:20.256',0.144,-,-,-,-,46.400,42.800
'96:42:20.264',0.128,-,-,-,-,46.400,44.800
'96:42:20.272',0.168,-,-,-,-,46.400,46.400
'96:42:20.280',0.152,-,-,-,-,47.200,48.000
'96:42:20.288',0.168,-,-,-,-,48.800,49.200
'96:42:20.296',0.168,-,-,-,-,52.000,49.600
'96:42:20.304',0.168,-,-,-,-,56.000,49.600
'96:42:20.312',0.152,-,-,-,-,60.800,49.200
'96:42:20.320',0.168,-,-,-,-,66.400,48.400
'96:42:20.328',0.152,-,-,-,-,72.000,47.200
'96:42:20.336',0.168,-,-,-,-,77.600,46.000
'96:42:20.344',0.152,-,-,-,-,82.400,44.800
'96:42:20.352',0.152,-,-,-,-,87.200,44.000
'96:42:20.360',0.128,-,-,-,-,90.400,42.800
'96:42:20.368',0.128,-,-,-,-,93.600,42.000
'96:42:20.376',0.128,-,-,-,-,95.200,40.800
'96:42:20.384',0.104,-,-,-,-,96.000,40.000
'96:42:20.392',0.096,-,-,-,-,96.800,38.800
'96:42:20.400',0.080,-,-,-,-,96.800,37.600
'96:42:20.408',0.072,-,-,-,-,96.000,36.800
'96:42:20.416',0.048,-,-,-,-,95.200,36.400
'96:42:20.424',0.048,-,-,-,-,93.600,36.400
'96:42:20.432',0.032,-,-,-,-,92.000,37.200
'96:42:20.440',0.024,-,-,-,-,89.600,37.600
'96:42:20.448',0.008,-,-,-,-,87.200,37.600
'96:42:20.456',0.024,-,-,-,-,85.600,37.600
'96:42:20.464',0.000,-,-,-,-,83.200,37.200
'96:42:20.472',0.000,-,-,-,-,80.800,36.800
'96:42:20.480',0.000,-,-,-,-,77.600,36.400
'96:42:20.488',0.000,-,-,-,-,74.400,36.400
'96:42:20.496',0.000,-,-,-,-,71.200,36.800
'96:42:20.504',0.000,-,-,-,-,67.200,36.800
'96:42:20.512',0.000,-,-,-,-,64.800,37.600
'96:42:20.520',0.000,-,-,-,-,61.600,38.000
'96:42:20.528',0.000,-,-,-,-,59.200,38.800
'96:42:20.536',-0.008,-,-,-,-,57.600,39.200
'96:42:20.544',0.000,-,-,-,-,56.000,39.600
'96:42:20.552',-0.024,-,-,-,-,55.200,39.600
'96:42:20.560',-0.008,-,-,-,-,54.400,39.200
'96:42:20.568',-0.024,-,-,-,-,54.400,38.400
'96:42:20.576',-0.008,-,-,-,-,55.200,37.200
'96:42:20.584',-0.024,-,-,-,-,55.200,35.600
'96:42:20.592',-0.008,-,-,-,-,56.000,34.000
'96:42:20.600',-0.008,-,-,-,-,56.000,32.400
'96:42:20.608',0.000,-,-,-,-,56.800,31.200
'96:42:20.616',-0.008,-,-,-,-,57.600,30.000
'96:42:20.624',-0.008,-,-,-,-,57.600,29.200
'96:42:20.632',-0.024,-,-,-,-,58.400,28.800
'96:42:20.640',-0.008,-,-,-,-,58.400,28.400
'96:42:20.648',0.000,-,-,-,-,58.400,28.400
'96:42:20.656',0.000,-,-,-,-,58.400,28.400
'96:42:20.664',-0.008,-,-,-,-,58.400,28.400
'96:42:20.672',0.000,-,-,-,-,58.400,28.400
'96:42:20.680',-0.024,-,-,-,-,58.400,28.400
'96:42:20.688',-0.008,-,-,-,-,57.600,28.000
'96:42:20.696',0.000,-,-,-,-,56.800,27.600
'96:42:20.704',-0.008,-,-,-,-,56.800,26.800
'96:42:20.712',-0.024,-,-,-,-,56.800,26.000
'96:42:20.720',-0.008,-,-,-,-,56.000,24.800
'96:42:20.728',-0.024,-,-,-,-,56.000,23.600
'96:42:20.736',-0.008,-,-,-,-,55.200,22.800
'96:42:20.744',0.000,-,-,-,-,55.200,22.000
'96:42:20.752',0.000,-,-,-,-,54.400,21.200
'96:42:20.760',-0.024,-,-,-,-,54.400,20.800
'96:42:20.768',-0.008,-,-,-,-,53.600,20.400
'96:42:20.776',-0.024,-,-,-,-,53.600,20.400
'96:42:20.784',-0.024,-,-,-,-,52.800,20.000
'96:42:20.792',-0.008,-,-,-,-,52.800,20.000
'96:42:20.800',-0.008,-,-,-,-,52.000,20.000
'96:42:20.808',0.000,-,-,-,-,51.200,19.600
'96:42:20.816',-0.024,-,-,-,-,51.200,19.600
'96:42:20.824',-0.008,-,-,-,-,50.400,19.200
'96:42:20.832',-0.024,-,-,-,-,49.600,18.800
'96:42:20.840',-0.008,-,-,-,-,49.600,18.400
'96:42:20.848',-0.216,-,-,-,-,48.800,17.600
'96:42:20.856',0.032,-,-,-,-,48.800,16.800
'96:42:20.864',0.000,-,-,-,-,48.000,16.400
'96:42:20.872',-0.024,-,-,-,-,48.000,16.000
'96:42:20.880',-0.008,-,-,-,-,47.200,15.600
'96:42:20.888',0.000,-,-,-,-,47.200,15.200
'96:42:20.896',0.048,-,-,-,-,46.400,14.800
'96:42:20.904',0.104,-,-,-,-,46.400,14.400
'96:42:20.912',0.192,-,-,-,-,46.400,14.000
'96:42:20.920',0.072,-,-,-,-,45.600,13.200
'96:42:20.928',-0.152,-,-,-,-,45.600,12.800
'96:42:20.936',-0.256,-,-,-,-,45.600,12.400
'96:42:20.944',-0.312,-,-,-,-,45.600,12.400
'96:42:20.952',-0.304,-,-,-,-,44.800,12.800
'96:42:20.960',-0.288,-,-,-,-,44.800,14.000
'96:42:20.968',-0.224,-,-,-,-,44.800,16.400
'96:42:20.976',-0.168,-,-,-,-,44.000,19.600
'96:42:20.984',-0.120,-,-,-,-,44.000,23.600
'96:42:20.992',-0.080,-,-,-,-,44.000,26.800
'96:42:21.000',-0.032,-,-,-,-,44.000,29.600
'96:42:21.008',-0.008,-,-,-,-,43.200,31.200
'96:42:21.016',0.000,-,-,-,-,43.200,31.600
'96:42:21.024',0.008,-,-,-,-,43.200,32.000
'96:42:21.032',0.024,-,-,-,-,43.200,32.000
'96:42:21.040',0.024,-,-,-,-,43.200,31.600
'96:42:21.048',0.024,-,-,-,-,43.200,31.200
'96:42:21.056',0.032,-,-,-,-,43.200,31.200
'96:42:21.064',0.024,-,-,-,-,44.800,31.600
'96:42:21.072',0.048,-,-,-,-,46.400,32.800
'96:42:21.080',0.048,-,-,-,-,49.600,33.600
'96:42:21.088',0.072,-,-,-,-,54.400,34.800
'96:42:21.096',0.056,-,-,-,-,60.000,36.000
'96:42:21.104',0.072,-,-,-,-,66.400,37.200
'96:42:21.112',0.072,-,-,-,-,73.600,37.600
'96:42:21.120',0.080,-,-,-,-,79.200,38.000
'96:42:21.128',0.080,-,-,-,-,85.600,38.000
'96:42:21.136',0.072,-,-,-,-,90.400,37.600
'96:42:21.144',0.080,-,-,-,-,93.600,37.200
'96:42:21.152',0.072,-,-,-,-,96.800,36.400
'96:42:21.160',0.096,-,-,-,-,98.400,35.600
'96:42:21.168',0.072,-,-,-,-,99.200,35.200
'96:42:21.176',0.056,-,-,-,-,99.200,34.400
'96:42:21.184',0.056,-,-,-,-,98.400,33.600
'96:42:21.192',0.048,-,-,-,-,97.600,32.800
'96:42:21.200',0.048,-,-,-,-,96.800,31.600
'96:42:21.208',0.048,-,-,-,-,95.200,30.400
'96:42:21.216',0.032,-,-,-,-,94.400,28.800
'96:42:21.224',0.024,-,-,-,-,92.800,27.200
'96:42:21.232',0.008,-,-,-,-,90.400,25.200
'96:42:21.240',0.000,-,-,-,-,88.800,24.000
'96:42:21.248',0.000,-,-,-,-,87.200,22.800
'96:42:21.256',0.000,-,-,-,-,84.800,22.800
'96:42:21.264',-0.008,-,-,-,-,82.400,22.800
'96:42:21.272',0.000,-,-,-,-,80.000,23.200
'96:42:21.280',0.000,-,-,-,-,76.800,23.600
'96:42:21.288',-0.024,-,-,-,-,73.600,24.000
'96:42:21.296',-0.008,-,-,-,-,70.400,24.000
'96:42:21.304',-0.024,-,-,-,-,66.400,24.400
