'Elapsed time','I','II','III','V','MCL1','ABP'
'218:21:30.576',-0.016,-0.043,-,-,-,64.000
'218:21:30.584',-0.016,-0.043,-,-,-,63.200
'218:21:30.592',-0.016,-0.043,-,-,-,63.200
'218:21:30.600',-0.016,-0.043,-,-,-,64.000
'218:21:30.608',-0.016,-0.043,-,-,-,64.800
'218:21:30.616',-0.032,-0.076,-,-,-,65.600
'218:21:30.624',-0.032,-0.076,-,-,-,66.400
'218:21:30.632',-0.032,-0.076,-,-,-,67.200
'218:21:30.640',-0.056,-0.076,-,-,-,68.000
'218:21:30.648',-0.056,-0.076,-,-,-,69.600
'218:21:30.656',-0.056,-0.076,-,-,-,69.600
'218:21:30.664',-0.056,-0.076,-,-,-,70.400
'218:21:30.672',-0.056,-0.076,-,-,-,70.400
'218:21:30.680',-0.056,-0.076,-,-,-,71.200
'218:21:30.688',-0.032,-0.043,-,-,-,71.200
'218:21:30.696',-0.056,-0.098,-,-,-,70.400
'218:21:30.704',-0.032,-0.098,-,-,-,70.400
'218:21:30.712',0.096,0.076,-,-,-,69.600
'218:21:30.720',0.360,0.467,-,-,-,69.600
'218:21:30.728',0.512,0.837,-,-,-,68.800
'218:21:30.736',0.384,0.891,-,-,-,68.000
'218:21:30.744',0.096,0.359,-,-,-,68.000
'218:21:30.752',-0.112,-0.043,-,-,-,67.200
'218:21:30.760',-0.192,-0.261,-,-,-,67.200
'218:21:30.768',-0.224,-0.283,-,-,-,66.400
'218:21:30.776',-0.192,-0.228,-,-,-,65.600
'218:21:30.784',-0.128,-0.152,-,-,-,65.600
'218:21:30.792',-0.096,-0.130,-,-,-,64.800
'218:21:30.800',-0.072,-0.130,-,-,-,64.000
'218:21:30.808',-0.072,-0.130,-,-,-,63.200
'218:21:30.816',-0.072,-0.098,-,-,-,63.200
'218:21:30.824',-0.056,-0.076,-,-,-,62.400
'218:21:30.832',-0.056,-0.043,-,-,-,61.600
'218:21:30.840',-0.032,-0.043,-,-,-,61.600
'218:21:30.848',-0.016,-0.022,-,-,-,61.600
'218:21:30.856',0.000,0.000,-,-,-,61.600
'218:21:30.864',0.016,0.022,-,-,-,63.200
'218:21:30.872',0.016,0.022,-,-,-,66.400
'218:21:30.880',0.032,0.043,-,-,-,72.000
'218:21:30.888',0.056,0.098,-,-,-,79.200
'218:21:30.896',0.072,0.130,-,-,-,88.000
'218:21:30.904',0.096,0.130,-,-,-,98.400
'218:21:30.912',0.112,0.152,-,-,-,108.000
'218:21:30.920',0.112,0.152,-,-,-,116.800
'218:21:30.928',0.112,0.130,-,-,-,123.200
'218:21:30.936',0.112,0.130,-,-,-,127.200
'218:21:30.944',0.096,0.130,-,-,-,129.600
'218:21:30.952',0.072,0.076,-,-,-,129.600
'218:21:30.960',0.032,0.043,-,-,-,128.800
'218:21:30.968',0.016,0.022,-,-,-,127.200
'218:21:30.976',0.016,0.022,-,-,-,124.000
'218:21:30.984',0.000,0.000,-,-,-,121.600
'218:21:30.992',-0.016,-0.022,-,-,-,119.200
'218:21:31.000',-0.032,-0.043,-,-,-,116.800
'218:21:31.008',-0.032,-0.043,-,-,-,114.400
'218:21:31.016',-0.032,-0.043,-,-,-,112.000
'218:21:31.024',-0.056,-0.076,-,-,-,109.600
'218:21:31.032',-0.056,-0.076,-,-,-,107.200
'218:21:31.040',-0.056,-0.076,-,-,-,104.800
'218:21:31.048',-0.056,-0.076,-,-,-,101.600
'218:21:31.056',-0.032,-0.076,-,-,-,99.200
'218:21:31.064',-0.032,-0.076,-,-,-,96.000
'218:21:31.072',-0.032,-0.076,-,-,-,93.600
'218:21:31.080',-0.032,-0.076,-,-,-,90.400
'218:21:31.088',-0.032,-0.043,-,-,-,87.200
'218:21:31.096',-0.032,-0.043,-,-,-,84.000
'218:21:31.104',-0.016,-0.043,-,-,-,81.600
'218:21:31.112',-0.016,-0.043,-,-,-,80.000
'218:21:31.120',-0.016,-0.043,-,-,-,78.400
'218:21:31.128',-0.016,-0.043,-,-,-,77.600
'218:21:31.136',-0.016,-0.022,-,-,-,77.600
'218:21:31.144',-0.016,-0.043,-,-,-,77.600
'218:21:31.152',0.000,-0.022,-,-,-,78.400
'218:21:31.160',0.000,-0.022,-,-,-,79.200
'218:21:31.168',0.000,-0.022,-,-,-,80.000
'218:21:31.176',0.000,0.000,-,-,-,80.000
'218:21:31.184',0.000,0.000,-,-,-,80.800
'218:21:31.192',0.000,-0.022,-,-,-,80.800
'218:21:31.200',0.000,-0.022,-,-,-,81.600
'218:21:31.208',0.000,-0.043,-,-,-,80.800
'218:21:31.216',0.000,-0.043,-,-,-,80.800
'218:21:31.224',0.000,-0.043,-,-,-,80.000
'218:21:31.232',-0.032,-0.076,-,-,-,80.000
'218:21:31.240',-0.032,-0.076,-,-,-,79.200
'218:21:31.248',0.128,0.130,-,-,-,78.400
'218:21:31.256',0.384,0.576,-,-,-,77.600
'218:21:31.264',0.496,0.913,-,-,-,76.800
'218:21:31.272',0.304,0.761,-,-,-,76.000
'218:21:31.280',0.016,0.261,-,-,-,75.200
'218:21:31.288',-0.128,-0.130,-,-,-,73.600
'218:21:31.296',-0.192,-0.261,-,-,-,72.800
'218:21:31.304',-0.192,-0.228,-,-,-,72.000
'218:21:31.312',-0.128,-0.152,-,-,-,71.200
'218:21:31.320',-0.072,-0.098,-,-,-,70.400
'218:21:31.328',-0.032,-0.076,-,-,-,69.600
'218:21:31.336',-0.016,-0.076,-,-,-,68.800
'218:21:31.344',-0.016,-0.043,-,-,-,68.000
'218:21:31.352',0.000,-0.022,-,-,-,68.000
'218:21:31.360',0.000,-0.022,-,-,-,67.200
'218:21:31.368',0.000,0.000,-,-,-,66.400
'218:21:31.376',0.000,0.000,-,-,-,66.400
'218:21:31.384',0.000,0.000,-,-,-,65.600
'218:21:31.392',0.016,0.022,-,-,-,65.600
'218:21:31.400',0.016,0.022,-,-,-,67.200
'218:21:31.408',0.032,0.043,-,-,-,68.800
'218:21:31.416',0.072,0.098,-,-,-,72.800
'218:21:31.424',0.096,0.130,-,-,-,79.200
'218:21:31.432',0.112,0.152,-,-,-,86.400
'218:21:31.440',0.128,0.152,-,-,-,95.200
'218:21:31.448',0.152,0.174,-,-,-,104.000
'218:21:31.456',0.168,0.174,-,-,-,112.800
'218:21:31.464',0.192,0.174,-,-,-,120.000
'218:21:31.472',0.168,0.174,-,-,-,125.600
'218:21:31.480',0.152,0.130,-,-,-,128.800
'218:21:31.488',0.112,0.098,-,-,-,130.400
'218:21:31.496',0.072,0.076,-,-,-,129.600
'218:21:31.504',0.056,0.022,-,-,-,128.000
'218:21:31.512',0.032,0.022,-,-,-,126.400
'218:21:31.520',0.016,0.000,-,-,-,124.000
'218:21:31.528',0.016,0.000,-,-,-,120.800
'218:21:31.536',0.000,-0.022,-,-,-,118.400
'218:21:31.544',0.000,-0.022,-,-,-,116.000
'218:21:31.552',0.000,-0.022,-,-,-,113.600
'218:21:31.560',0.000,-0.022,-,-,-,111.200
'218:21:31.568',0.000,-0.043,-,-,-,108.800
'218:21:31.576',0.000,-0.043,-,-,-,106.400
'218:21:31.584',0.000,-0.022,-,-,-,104.000
'218:21:31.592',0.000,-0.022,-,-,-,101.600
'218:21:31.600',0.000,-0.022,-,-,-,98.400
'218:21:31.608',-0.016,-0.043,-,-,-,95.200
'218:21:31.616',-0.016,-0.043,-,-,-,92.000
'218:21:31.624',-0.016,-0.022,-,-,-,88.800
'218:21:31.632',-0.016,-0.022,-,-,-,85.600
'218:21:31.640',-0.016,-0.022,-,-,-,83.200
'218:21:31.648',0.000,-0.022,-,-,-,80.800
'218:21:31.656',0.000,-0.022,-,-,-,78.400
'218:21:31.664',0.000,-0.022,-,-,-,77.600
'218:21:31.672',0.000,0.000,-,-,-,76.800
'218:21:31.680',0.000,-0.022,-,-,-,76.000
'218:21:31.688',0.000,-0.022,-,-,-,76.800
'218:21:31.696',0.000,-0.022,-,-,-,76.800
'218:21:31.704',0.000,-0.022,-,-,-,77.600
'218:21:31.712',0.000,-0.022,-,-,-,78.400
'218:21:31.720',0.000,-0.022,-,-,-,79.200
'218:21:31.728',0.000,-0.022,-,-,-,79.200
'218:21:31.736',0.000,-0.022,-,-,-,80.000
'218:21:31.744',0.000,-0.022,-,-,-,80.000
'218:21:31.752',0.000,-0.022,-,-,-,80.000
'218:21:31.760',0.000,-0.022,-,-,-,79.200
'218:21:31.768',0.000,-0.022,-,-,-,79.200
'218:21:31.776',0.000,-0.022,-,-,-,78.400
'218:21:31.784',0.000,-0.022,-,-,-,77.600
'218:21:31.792',0.000,0.000,-,-,-,76.800
'218:21:31.800',0.000,0.000,-,-,-,76.000
'218:21:31.808',0.000,0.000,-,-,-,75.200
'218:21:31.816',0.000,0.000,-,-,-,74.400
'218:21:31.824',0.000,-0.022,-,-,-,73.600
'218:21:31.832',0.000,-0.022,-,-,-,72.800
'218:21:31.840',0.000,-0.022,-,-,-,72.000
'218:21:31.848',0.000,0.000,-,-,-,71.200
'218:21:31.856',0.000,0.000,-,-,-,70.400
'218:21:31.864',0.000,-0.022,-,-,-,69.600
'218:21:31.872',0.000,0.000,-,-,-,68.800
'218:21:31.880',0.000,0.000,-,-,-,68.000
'218:21:31.888',0.000,0.000,-,-,-,67.200
'218:21:31.896',0.000,0.000,-,-,-,67.200
'218:21:31.904',0.000,0.000,-,-,-,66.400
'218:21:31.912',0.000,0.000,-,-,-,65.600
'218:21:31.920',0.000,0.000,-,-,-,65.600
'218:21:31.928',0.000,0.000,-,-,-,64.800
'218:21:31.936',0.000,0.000,-,-,-,64.800
'218:21:31.944',0.000,0.000,-,-,-,64.000
'218:21:31.952',0.016,0.000,-,-,-,63.200
'218:21:31.960',0.016,0.000,-,-,-,63.200
'218:21:31.968',0.000,0.000,-,-,-,63.200
'218:21:31.976',0.000,0.000,-,-,-,62.400
'218:21:31.984',0.000,-0.022,-,-,-,62.400
'218:21:31.992',0.000,0.000,-,-,-,62.400
'218:21:32.000',0.000,-0.022,-,-,-,61.600
'218:21:32.008',0.000,-0.043,-,-,-,61.600
'218:21:32.016',0.112,0.098,-,-,-,61.600
'218:21:32.024',0.384,0.489,-,-,-,60.800
'218:21:32.032',0.576,0.859,-,-,-,60.800
'218:21:32.040',0.480,0.891,-,-,-,60.800
'218:21:32.048',0.152,0.413,-,-,-,60.800
'218:21:32.056',-0.096,0.000,-,-,-,60.800
'218:21:32.064',-0.192,-0.207,-,-,-,60.000
'218:21:32.072',-0.208,-0.261,-,-,-,60.000
'218:21:32.080',-0.192,-0.174,-,-,-,60.000
'218:21:32.088',-0.112,-0.130,-,-,-,60.000
'218:21:32.096',-0.056,-0.076,-,-,-,60.000
'218:21:32.104',-0.032,-0.043,-,-,-,60.000
'218:21:32.112',-0.032,-0.043,-,-,-,59.200
'218:21:32.120',-0.016,-0.043,-,-,-,59.200
'218:21:32.128',-0.016,-0.022,-,-,-,59.200
'218:21:32.136',-0.016,-0.022,-,-,-,59.200
'218:21:32.144',0.000,0.000,-,-,-,59.200
'218:21:32.152',0.000,0.000,-,-,-,59.200
'218:21:32.160',0.000,0.000,-,-,-,60.000
'218:21:32.168',0.000,0.000,-,-,-,62.400
'218:21:32.176',0.016,0.000,-,-,-,66.400
'218:21:32.184',0.032,0.022,-,-,-,72.800
'218:21:32.192',0.056,0.043,-,-,-,81.600
'218:21:32.200',0.056,0.076,-,-,-,92.000
'218:21:32.208',0.072,0.076,-,-,-,103.200
'218:21:32.216',0.096,0.098,-,-,-,112.800
'218:21:32.224',0.112,0.130,-,-,-,121.600
'218:21:32.232',0.128,0.152,-,-,-,128.000
'218:21:32.240',0.128,0.152,-,-,-,131.200
'218:21:32.248',0.128,0.152,-,-,-,132.800
'218:21:32.256',0.112,0.130,-,-,-,132.000
'218:21:32.264',0.096,0.098,-,-,-,130.400
'218:21:32.272',0.072,0.098,-,-,-,128.000
'218:21:32.280',0.032,0.076,-,-,-,124.800
'218:21:32.288',0.016,0.022,-,-,-,121.600
'218:21:32.296',0.016,0.022,-,-,-,119.200
'218:21:32.304',0.000,0.000,-,-,-,116.000
'218:21:32.312',0.000,-0.022,-,-,-,113.600
'218:21:32.320',-0.016,-0.043,-,-,-,111.200
'218:21:32.328',-0.032,-0.043,-,-,-,108.800
'218:21:32.336',-0.032,-0.076,-,-,-,105.600
'218:21:32.344',-0.056,-0.076,-,-,-,103.200
'218:21:32.352',-0.056,-0.076,-,-,-,100.000
'218:21:32.360',-0.056,-0.043,-,-,-,97.600
'218:21:32.368',-0.056,-0.043,-,-,-,94.400
'218:21:32.376',-0.032,-0.043,-,-,-,91.200
'218:21:32.384',-0.016,-0.022,-,-,-,88.000
'218:21:32.392',-0.016,-0.022,-,-,-,85.600
'218:21:32.400',-0.016,-0.022,-,-,-,83.200
'218:21:32.408',0.000,0.000,-,-,-,80.800
'218:21:32.416',0.000,0.000,-,-,-,79.200
'218:21:32.424',0.016,0.000,-,-,-,78.400
'218:21:32.432',0.016,0.000,-,-,-,77.600
'218:21:32.440',0.016,0.000,-,-,-,78.400
'218:21:32.448',0.016,0.000,-,-,-,78.400
'218:21:32.456',0.016,0.000,-,-,-,79.200
'218:21:32.464',0.016,-0.022,-,-,-,80.000
'218:21:32.472',0.016,-0.022,-,-,-,80.800
'218:21:32.480',0.016,0.000,-,-,-,80.800
'218:21:32.488',0.016,0.000,-,-,-,81.600
'218:21:32.496',0.056,0.022,-,-,-,81.600
'218:21:32.504',0.112,0.098,-,-,-,81.600
'218:21:32.512',0.168,0.207,-,-,-,80.800
'218:21:32.520',0.264,0.359,-,-,-,80.800
'218:21:32.528',0.384,0.522,-,-,-,80.000
'218:21:32.536',0.536,0.728,-,-,-,79.200
'218:21:32.544',0.648,0.913,-,-,-,78.400
'218:21:32.552',0.672,1.043,-,-,-,77.600
'218:21:32.560',0.552,1.130,-,-,-,76.800
'218:21:32.568',0.416,1.152,-,-,-,76.000
'218:21:32.576',0.304,1.076,-,-,-,75.200
'218:21:32.584',0.208,0.783,-,-,-,74.400
'218:21:32.592',0.096,0.359,-,-,-,73.600
'218:21:32.600',-0.016,0.022,-,-,-,72.800
'218:21:32.608',-0.112,-0.174,-,-,-,71.200
'218:21:32.616',-0.152,-0.283,-,-,-,70.400
'218:21:32.624',-0.168,-0.337,-,-,-,69.600
'218:21:32.632',-0.192,-0.337,-,-,-,68.800
'218:21:32.640',-0.192,-0.337,-,-,-,68.000
'218:21:32.648',-0.192,-0.359,-,-,-,67.200
'218:21:32.656',-0.192,-0.337,-,-,-,67.200
'218:21:32.664',-0.192,-0.337,-,-,-,66.400
'218:21:32.672',-0.208,-0.337,-,-,-,65.600
'218:21:32.680',-0.208,-0.337,-,-,-,65.600
'218:21:32.688',-0.224,-0.337,-,-,-,64.800
'218:21:32.696',-0.224,-0.359,-,-,-,64.800
'218:21:32.704',-0.224,-0.359,-,-,-,64.800
'218:21:32.712',-0.224,-0.359,-,-,-,65.600
'218:21:32.720',-0.208,-0.359,-,-,-,66.400
'218:21:32.728',-0.208,-0.359,-,-,-,68.800
'218:21:32.736',-0.192,-0.359,-,-,-,72.000
'218:21:32.744',-0.168,-0.337,-,-,-,76.000
'218:21:32.752',-0.128,-0.315,-,-,-,81.600
'218:21:32.760',-0.096,-0.261,-,-,-,88.000
'218:21:32.768',-0.056,-0.228,-,-,-,95.200
'218:21:32.776',-0.016,-0.174,-,-,-,101.600
'218:21:32.784',0.000,-0.130,-,-,-,107.200
'218:21:32.792',0.000,-0.098,-,-,-,111.200
'218:21:32.800',0.000,-0.076,-,-,-,113.600
'218:21:32.808',0.000,-0.076,-,-,-,115.200
'218:21:32.816',0.000,-0.043,-,-,-,114.400
'218:21:32.824',0.000,-0.043,-,-,-,113.600
'218:21:32.832',0.000,-0.043,-,-,-,111.200
'218:21:32.840',-0.016,-0.043,-,-,-,108.800
'218:21:32.848',-0.016,-0.043,-,-,-,105.600
'218:21:32.856',-0.016,-0.043,-,-,-,101.600
'218:21:32.864',-0.016,-0.043,-,-,-,98.400
'218:21:32.872',-0.016,-0.043,-,-,-,94.400
'218:21:32.880',0.000,-0.043,-,-,-,90.400
'218:21:32.888',0.000,-0.043,-,-,-,86.400
'218:21:32.896',0.000,-0.022,-,-,-,83.200
'218:21:32.904',0.000,-0.022,-,-,-,79.200
'218:21:32.912',0.000,0.000,-,-,-,76.000
'218:21:32.920',0.000,0.000,-,-,-,72.800
'218:21:32.928',0.000,-0.022,-,-,-,69.600
'218:21:32.936',0.000,-0.022,-,-,-,68.000
'218:21:32.944',0.000,-0.022,-,-,-,66.400
'218:21:32.952',0.000,0.000,-,-,-,65.600
'218:21:32.960',0.000,0.000,-,-,-,64.800
'218:21:32.968',0.000,0.000,-,-,-,64.800
'218:21:32.976',0.000,0.000,-,-,-,65.600
'218:21:32.984',0.000,0.000,-,-,-,66.400
'218:21:32.992',0.016,0.000,-,-,-,68.000
'218:21:33.000',0.016,0.000,-,-,-,68.800
