'Elapsed time','II','III','AVR','V','MCL1','ABP','PAP'
'96:21:00.088',-0.008,-,-,-,-,56.800,24.800
'96:21:00.096',-0.048,-,-,-,-,56.800,24.400
'96:21:00.104',-0.056,-,-,-,-,56.000,24.400
'96:21:00.112',0.000,-,-,-,-,56.000,23.600
'96:21:00.120',0.000,-,-,-,-,55.200,23.200
'96:21:00.128',-0.024,-,-,-,-,54.400,22.800
'96:21:00.136',0.000,-,-,-,-,53.600,22.000
'96:21:00.144',0.000,-,-,-,-,52.800,21.600
'96:21:00.152',-0.008,-,-,-,-,52.800,21.200
'96:21:00.160',0.000,-,-,-,-,52.000,20.800
'96:21:00.168',0.000,-,-,-,-,52.000,20.400
'96:21:00.176',-0.056,-,-,-,-,51.200,20.000
'96:21:00.184',-0.048,-,-,-,-,51.200,19.600
'96:21:00.192',-0.080,-,-,-,-,51.200,19.600
'96:21:00.200',-0.008,-,-,-,-,51.200,19.200
'96:21:00.208',-0.024,-,-,-,-,50.400,19.200
'96:21:00.216',-0.008,-,-,-,-,50.400,19.200
'96:21:00.224',0.000,-,-,-,-,50.400,19.200
'96:21:00.232',0.000,-,-,-,-,50.400,19.200
'96:21:00.240',0.000,-,-,-,-,49.600,19.600
'96:21:00.248',0.000,-,-,-,-,49.600,19.600
'96:21:00.256',0.000,-,-,-,-,49.600,19.200
'96:21:00.264',0.000,-,-,-,-,48.800,19.200
'96:21:00.272',0.000,-,-,-,-,48.800,18.800
'96:21:00.280',-0.008,-,-,-,-,48.800,18.400
'96:21:00.288',-0.256,-,-,-,-,48.000,18.000
'96:21:00.296',0.008,-,-,-,-,48.000,17.200
'96:21:00.304',0.000,-,-,-,-,48.000,16.400
'96:21:00.312',-0.024,-,-,-,-,47.200,15.600
'96:21:00.320',-0.008,-,-,-,-,47.200,14.800
'96:21:00.328',-0.056,-,-,-,-,47.200,14.000
'96:21:00.336',-0.072,-,-,-,-,46.400,13.200
'96:21:00.344',-0.080,-,-,-,-,46.400,12.800
'96:21:00.352',-0.056,-,-,-,-,45.600,12.400
'96:21:00.360',-0.080,-,-,-,-,44.800,12.000
'96:21:00.368',-0.096,-,-,-,-,44.800,12.000
'96:21:00.376',-0.080,-,-,-,-,44.000,12.000
'96:21:00.384',-0.104,-,-,-,-,43.200,12.000
'96:21:00.392',-0.080,-,-,-,-,43.200,12.400
'96:21:00.400',-0.056,-,-,-,-,42.400,12.800
'96:21:00.408',-0.056,-,-,-,-,42.400,13.600
'96:21:00.416',-0.128,-,-,-,-,41.600,14.800
'96:21:00.424',-0.264,-,-,-,-,41.600,16.400
'96:21:00.432',-0.288,-,-,-,-,41.600,18.000
'96:21:00.440',-0.304,-,-,-,-,41.600,19.600
'96:21:00.448',-0.216,-,-,-,-,40.800,21.200
'96:21:00.456',-0.168,-,-,-,-,40.800,22.800
'96:21:00.464',-0.120,-,-,-,-,40.800,24.400
'96:21:00.472',-0.080,-,-,-,-,40.800,25.600
'96:21:00.480',-0.056,-,-,-,-,41.600,26.400
'96:21:00.488',-0.008,-,-,-,-,41.600,27.600
'96:21:00.496',0.024,-,-,-,-,41.600,28.000
'96:21:00.504',0.032,-,-,-,-,41.600,28.400
'96:21:00.512',0.048,-,-,-,-,41.600,28.400
'96:21:00.520',0.072,-,-,-,-,40.800,28.400
'96:21:00.528',0.104,-,-,-,-,40.800,29.200
'96:21:00.536',0.144,-,-,-,-,40.000,30.800
'96:21:00.544',0.168,-,-,-,-,40.000,32.800
'96:21:00.552',0.168,-,-,-,-,40.800,35.200
'96:21:00.560',0.168,-,-,-,-,41.600,37.600
'96:21:00.568',0.152,-,-,-,-,43.200,39.600
'96:21:00.576',0.152,-,-,-,-,45.600,41.200
'96:21:00.584',0.168,-,-,-,-,49.600,42.400
'96:21:00.592',0.128,-,-,-,-,55.200,42.800
'96:21:00.600',0.144,-,-,-,-,61.600,43.200
'96:21:00.608',0.128,-,-,-,-,68.800,43.200
'96:21:00.616',0.120,-,-,-,-,75.200,42.800
'96:21:00.624',0.104,-,-,-,-,81.600,42.400
'96:21:00.632',0.120,-,-,-,-,87.200,41.600
'96:21:00.640',0.104,-,-,-,-,91.200,40.800
'96:21:00.648',0.096,-,-,-,-,94.400,40.400
'96:21:00.656',0.096,-,-,-,-,96.000,39.600
'96:21:00.664',0.072,-,-,-,-,97.600,39.200
'96:21:00.672',0.056,-,-,-,-,97.600,38.800
'96:21:00.680',0.048,-,-,-,-,98.400,38.400
'96:21:00.688',0.032,-,-,-,-,97.600,37.600
'96:21:00.696',0.024,-,-,-,-,96.800,36.800
'96:21:00.704',0.008,-,-,-,-,95.200,35.600
'96:21:00.712',0.000,-,-,-,-,93.600,34.400
'96:21:00.720',0.000,-,-,-,-,92.000,32.800
'96:21:00.728',0.000,-,-,-,-,90.400,32.000
'96:21:00.736',-0.024,-,-,-,-,89.600,32.000
'96:21:00.744',-0.024,-,-,-,-,88.000,33.200
'96:21:00.752',-0.032,-,-,-,-,86.400,34.800
'96:21:00.760',-0.024,-,-,-,-,84.000,36.000
'96:21:00.768',-0.032,-,-,-,-,81.600,37.600
'96:21:00.776',-0.024,-,-,-,-,79.200,38.000
'96:21:00.784',-0.032,-,-,-,-,76.000,38.000
'96:21:00.792',-0.048,-,-,-,-,72.800,37.600
'96:21:00.800',-0.024,-,-,-,-,70.400,36.800
'96:21:00.808',0.000,-,-,-,-,67.200,36.400
'96:21:00.816',0.024,-,-,-,-,64.800,36.400
'96:21:00.824',0.024,-,-,-,-,62.400,36.800
'96:21:00.832',0.048,-,-,-,-,60.800,37.200
'96:21:00.840',0.072,-,-,-,-,59.200,38.000
'96:21:00.848',0.096,-,-,-,-,58.400,38.400
'96:21:00.856',0.080,-,-,-,-,57.600,38.400
'96:21:00.864',0.096,-,-,-,-,56.800,38.400
'96:21:00.872',0.080,-,-,-,-,56.800,38.400
'96:21:00.880',0.072,-,-,-,-,56.800,37.600
'96:21:00.888',0.072,-,-,-,-,56.800,36.400
'96:21:00.896',0.080,-,-,-,-,56.800,34.800
'96:21:00.904',0.056,-,-,-,-,56.800,33.200
'96:21:00.912',0.048,-,-,-,-,57.600,31.600
'96:21:00.920',0.008,-,-,-,-,57.600,30.400
'96:21:00.928',0.000,-,-,-,-,57.600,29.600
'96:21:00.936',-0.056,-,-,-,-,58.400,29.200
'96:21:00.944',-0.072,-,-,-,-,58.400,28.800
'96:21:00.952',-0.096,-,-,-,-,58.400,28.400
'96:21:00.960',-0.104,-,-,-,-,58.400,28.400
'96:21:00.968',-0.080,-,-,-,-,57.600,28.000
'96:21:00.976',-0.056,-,-,-,-,57.600,28.000
'96:21:00.984',-0.072,-,-,-,-,56.800,27.600
'96:21:00.992',-0.056,-,-,-,-,56.800,27.600
'96:21:01.000',-0.056,-,-,-,-,56.000,27.200
'96:21:01.008',-0.056,-,-,-,-,56.000,26.800
'96:21:01.016',-0.056,-,-,-,-,55.200,26.800
'96:21:01.024',-0.072,-,-,-,-,55.200,26.400
'96:21:01.032',-0.072,-,-,-,-,55.200,26.400
'96:21:01.040',-0.080,-,-,-,-,54.400,26.400
'96:21:01.048',-0.072,-,-,-,-,54.400,25.600
'96:21:01.056',-0.080,-,-,-,-,53.600,25.200
'96:21:01.064',-0.072,-,-,-,-,53.600,24.400
'96:21:01.072',-0.080,-,-,-,-,53.600,24.000
'96:21:01.080',-0.056,-,-,-,-,53.600,23.600
'96:21:01.088',-0.056,-,-,-,-,53.600,23.600
'96:21:01.096',-0.056,-,-,-,-,53.600,23.600
'96:21:01.104',-0.056,-,-,-,-,53.600,23.600
'96:21:01.112',-0.032,-,-,-,-,53.600,23.600
'96:21:01.120',-0.032,-,-,-,-,53.600,23.600
'96:21:01.128',-0.024,-,-,-,-,53.600,23.600
'96:21:01.136',-0.048,-,-,-,-,53.600,23.600
'96:21:01.144',-0.216,-,-,-,-,52.800,23.600
'96:21:01.152',0.000,-,-,-,-,52.800,23.600
'96:21:01.160',-0.008,-,-,-,-,52.000,23.600
'96:21:01.168',-0.024,-,-,-,-,51.200,23.200
'96:21:01.176',-0.056,-,-,-,-,50.400,22.800
'96:21:01.184',-0.056,-,-,-,-,49.600,22.400
'96:21:01.192',-0.072,-,-,-,-,49.600,21.600
'96:21:01.200',-0.080,-,-,-,-,48.800,21.200
'96:21:01.208',-0.072,-,-,-,-,48.000,20.800
'96:21:01.216',-0.056,-,-,-,-,48.000,20.400
'96:21:01.224',-0.104,-,-,-,-,48.000,20.000
'96:21:01.232',-0.104,-,-,-,-,48.000,19.600
'96:21:01.240',-0.120,-,-,-,-,47.200,19.600
'96:21:01.248',-0.152,-,-,-,-,47.200,19.200
'96:21:01.256',-0.192,-,-,-,-,47.200,18.800
'96:21:01.264',-0.264,-,-,-,-,46.400,18.400
'96:21:01.272',-0.352,-,-,-,-,46.400,18.000
'96:21:01.280',-0.360,-,-,-,-,46.400,18.000
'96:21:01.288',-0.352,-,-,-,-,46.400,18.400
'96:21:01.296',-0.312,-,-,-,-,46.400,19.600
'96:21:01.304',-0.256,-,-,-,-,46.400,22.000
'96:21:01.312',-0.192,-,-,-,-,46.400,24.800
'96:21:01.320',-0.152,-,-,-,-,46.400,28.000
'96:21:01.328',-0.128,-,-,-,-,45.600,30.400
'96:21:01.336',-0.104,-,-,-,-,45.600,32.400
'96:21:01.344',-0.072,-,-,-,-,45.600,33.600
'96:21:01.352',-0.048,-,-,-,-,45.600,33.600
'96:21:01.360',0.000,-,-,-,-,45.600,32.800
'96:21:01.368',0.048,-,-,-,-,44.800,32.000
'96:21:01.376',0.096,-,-,-,-,44.000,32.000
'96:21:01.384',0.104,-,-,-,-,44.000,32.400
'96:21:01.392',0.128,-,-,-,-,43.200,34.000
'96:21:01.400',0.144,-,-,-,-,43.200,36.000
'96:21:01.408',0.152,-,-,-,-,43.200,38.800
'96:21:01.416',0.224,-,-,-,-,43.200,41.600
'96:21:01.424',0.224,-,-,-,-,43.200,44.800
'96:21:01.432',0.152,-,-,-,-,44.000,47.200
'96:21:01.440',0.128,-,-,-,-,44.800,48.800
'96:21:01.448',0.128,-,-,-,-,45.600,50.000
'96:21:01.456',0.128,-,-,-,-,48.000,50.000
'96:21:01.464',0.144,-,-,-,-,51.200,49.600
'96:21:01.472',0.152,-,-,-,-,56.000,48.800
'96:21:01.480',0.152,-,-,-,-,60.800,47.600
'96:21:01.488',0.168,-,-,-,-,66.400,46.400
'96:21:01.496',0.152,-,-,-,-,72.800,45.200
'96:21:01.504',0.128,-,-,-,-,77.600,43.600
'96:21:01.512',0.144,-,-,-,-,82.400,42.400
'96:21:01.520',0.128,-,-,-,-,85.600,40.800
'96:21:01.528',0.128,-,-,-,-,88.800,39.600
'96:21:01.536',0.120,-,-,-,-,90.400,38.800
'96:21:01.544',0.128,-,-,-,-,92.000,37.600
'96:21:01.552',0.072,-,-,-,-,92.000,36.000
'96:21:01.560',0.072,-,-,-,-,92.000,34.400
'96:21:01.568',0.048,-,-,-,-,92.000,32.400
'96:21:01.576',0.048,-,-,-,-,91.200,30.800
'96:21:01.584',0.048,-,-,-,-,89.600,30.000
'96:21:01.592',0.024,-,-,-,-,88.800,29.600
'96:21:01.600',0.008,-,-,-,-,86.400,30.400
'96:21:01.608',0.008,-,-,-,-,84.000,31.600
'96:21:01.616',0.000,-,-,-,-,81.600,32.800
'96:21:01.624',0.000,-,-,-,-,78.400,33.600
'96:21:01.632',0.000,-,-,-,-,76.000,34.000
'96:21:01.640',0.000,-,-,-,-,73.600,33.600
'96:21:01.648',0.000,-,-,-,-,71.200,33.200
'96:21:01.656',0.008,-,-,-,-,68.800,32.400
'96:21:01.664',0.024,-,-,-,-,65.600,32.000
'96:21:01.672',0.008,-,-,-,-,62.400,31.600
'96:21:01.680',0.024,-,-,-,-,60.000,31.600
'96:21:01.688',0.000,-,-,-,-,58.400,32.000
'96:21:01.696',0.000,-,-,-,-,56.000,32.400
'96:21:01.704',-0.008,-,-,-,-,55.200,32.800
'96:21:01.712',0.000,-,-,-,-,53.600,33.200
'96:21:01.720',0.000,-,-,-,-,52.800,33.200
'96:21:01.728',-0.008,-,-,-,-,52.800,32.800
'96:21:01.736',-0.048,-,-,-,-,52.000,32.400
'96:21:01.744',-0.024,-,-,-,-,52.000,31.600
'96:21:01.752',-0.024,-,-,-,-,52.000,30.800
'96:21:01.760',-0.032,-,-,-,-,52.800,29.600
'96:21:01.768',-0.024,-,-,-,-,53.600,28.400
'96:21:01.776',-0.048,-,-,-,-,54.400,26.800
'96:21:01.784',-0.024,-,-,-,-,54.400,26.000
'96:21:01.792',-0.024,-,-,-,-,55.200,25.200
'96:21:01.800',-0.048,-,-,-,-,55.200,24.800
'96:21:01.808',-0.056,-,-,-,-,54.400,24.400
'96:21:01.816',-0.032,-,-,-,-,54.400,24.400
'96:21:01.824',-0.032,-,-,-,-,53.600,24.000
'96:21:01.832',-0.024,-,-,-,-,53.600,24.000
'96:21:01.840',-0.024,-,-,-,-,53.600,23.600
'96:21:01.848',-0.024,-,-,-,-,53.600,23.600
'96:21:01.856',-0.032,-,-,-,-,52.800,23.200
'96:21:01.864',-0.024,-,-,-,-,52.800,23.200
'96:21:01.872',-0.032,-,-,-,-,52.800,22.800
'96:21:01.880',-0.032,-,-,-,-,52.000,22.400
'96:21:01.888',-0.032,-,-,-,-,52.000,22.400
'96:21:01.896',-0.024,-,-,-,-,52.000,22.000
'96:21:01.904',-0.024,-,-,-,-,51.200,21.600
'96:21:01.912',-0.024,-,-,-,-,51.200,21.200
'96:21:01.920',-0.008,-,-,-,-,51.200,20.800
'96:21:01.928',-0.024,-,-,-,-,51.200,20.800
'96:21:01.936',-0.024,-,-,-,-,51.200,20.800
'96:21:01.944',-0.032,-,-,-,-,51.200,20.400
'96:21:01.952',-0.024,-,-,-,-,51.200,20.400
'96:21:01.960',-0.048,-,-,-,-,50.400,20.400
'96:21:01.968',-0.024,-,-,-,-,50.400,20.400
'96:21:01.976',-0.024,-,-,-,-,50.400,20.400
'96:21:01.984',-0.008,-,-,-,-,50.400,20.000
'96:21:01.992',-0.032,-,-,-,-,49.600,20.000
'96:21:02.000',-0.024,-,-,-,-,49.600,19.600
'96:21:02.008',-0.264,-,-,-,-,48.800,19.600
'96:21:02.016',0.024,-,-,-,-,47.200,19.600
'96:21:02.024',0.000,-,-,-,-,46.400,19.200
'96:21:02.032',-0.008,-,-,-,-,46.400,19.200
'96:21:02.040',-0.024,-,-,-,-,46.400,19.200
'96:21:02.048',-0.024,-,-,-,-,46.400,19.200
'96:21:02.056',-0.056,-,-,-,-,46.400,18.800
'96:21:02.064',-0.032,-,-,-,-,45.600,18.800
'96:21:02.072',-0.056,-,-,-,-,44.800,18.400
'96:21:02.080',-0.080,-,-,-,-,44.800,18.400
'96:21:02.088',-0.104,-,-,-,-,44.800,18.000
'96:21:02.096',-0.096,-,-,-,-,44.800,18.000
'96:21:02.104',-0.152,-,-,-,-,44.800,18.000
'96:21:02.112',-0.176,-,-,-,-,44.800,18.000
'96:21:02.120',-0.240,-,-,-,-,44.800,17.600
'96:21:02.128',-0.328,-,-,-,-,44.800,17.600
'96:21:02.136',-0.376,-,-,-,-,44.800,17.600
'96:21:02.144',-0.352,-,-,-,-,44.800,17.600
'96:21:02.152',-0.328,-,-,-,-,44.800,18.800
'96:21:02.160',-0.256,-,-,-,-,44.800,20.000
'96:21:02.168',-0.192,-,-,-,-,44.800,22.000
'96:21:02.176',-0.152,-,-,-,-,44.000,24.800
'96:21:02.184',-0.144,-,-,-,-,44.000,27.600
'96:21:02.192',-0.096,-,-,-,-,44.000,30.000
'96:21:02.200',-0.072,-,-,-,-,44.000,31.600
'96:21:02.208',-0.024,-,-,-,-,44.000,33.200
'96:21:02.216',0.000,-,-,-,-,44.000,34.000
'96:21:02.224',0.048,-,-,-,-,43.200,34.800
'96:21:02.232',0.080,-,-,-,-,43.200,35.600
'96:21:02.240',0.104,-,-,-,-,43.200,36.000
'96:21:02.248',0.120,-,-,-,-,43.200,36.400
'96:21:02.256',0.128,-,-,-,-,44.000,37.200
'96:21:02.264',0.144,-,-,-,-,44.000,38.400
'96:21:02.272',0.152,-,-,-,-,44.000,39.600
'96:21:02.280',0.168,-,-,-,-,43.200,41.600
'96:21:02.288',0.152,-,-,-,-,44.000,43.600
'96:21:02.296',0.176,-,-,-,-,44.800,45.200
'96:21:02.304',0.168,-,-,-,-,46.400,47.200
'96:21:02.312',0.176,-,-,-,-,48.800,48.400
'96:21:02.320',0.168,-,-,-,-,52.000,49.200
'96:21:02.328',0.168,-,-,-,-,56.000,49.200
'96:21:02.336',0.168,-,-,-,-,60.800,48.800
'96:21:02.344',0.176,-,-,-,-,65.600,47.600
'96:21:02.352',0.168,-,-,-,-,70.400,46.800
'96:21:02.360',0.152,-,-,-,-,76.000,45.600
'96:21:02.368',0.168,-,-,-,-,80.000,44.000
'96:21:02.376',0.144,-,-,-,-,84.000,42.800
'96:21:02.384',0.152,-,-,-,-,87.200,41.200
'96:21:02.392',0.104,-,-,-,-,90.400,40.000
'96:21:02.400',0.104,-,-,-,-,92.000,38.400
'96:21:02.408',0.096,-,-,-,-,92.000,37.200
'96:21:02.416',0.080,-,-,-,-,92.000,35.600
'96:21:02.424',0.048,-,-,-,-,91.200,34.400
'96:21:02.432',0.048,-,-,-,-,89.600,33.200
'96:21:02.440',0.032,-,-,-,-,88.800,32.800
'96:21:02.448',0.048,-,-,-,-,87.200,32.800
'96:21:02.456',0.024,-,-,-,-,85.600,33.600
'96:21:02.464',0.000,-,-,-,-,83.200,34.400
'96:21:02.472',0.000,-,-,-,-,81.600,35.200
'96:21:02.480',0.000,-,-,-,-,79.200,35.600
'96:21:02.488',0.000,-,-,-,-,76.800,35.600
'96:21:02.496',0.000,-,-,-,-,74.400,35.200
'96:21:02.504',0.000,-,-,-,-,72.000,34.400
'96:21:02.512',0.000,-,-,-,-,68.800,33.600
'96:21:02.520',0.000,-,-,-,-,65.600,32.800
'96:21:02.528',0.000,-,-,-,-,62.400,32.400
'96:21:02.536',-0.008,-,-,-,-,60.000,32.800
'96:21:02.544',0.000,-,-,-,-,57.600,32.800
'96:21:02.552',-0.008,-,-,-,-,56.000,33.200
'96:21:02.560',0.000,-,-,-,-,54.400,33.600
'96:21:02.568',-0.008,-,-,-,-,52.800,33.600
'96:21:02.576',-0.008,-,-,-,-,52.000,33.600
'96:21:02.584',0.000,-,-,-,-,52.000,33.200
'96:21:02.592',-0.024,-,-,-,-,52.000,32.400
'96:21:02.600',0.000,-,-,-,-,52.000,31.200
'96:21:02.608',-0.024,-,-,-,-,52.000,30.000
'96:21:02.616',-0.008,-,-,-,-,52.800,28.800
'96:21:02.624',-0.024,-,-,-,-,52.800,27.600
'96:21:02.632',-0.024,-,-,-,-,53.600,26.800
'96:21:02.640',-0.024,-,-,-,-,53.600,26.000
'96:21:02.648',-0.008,-,-,-,-,54.400,25.600
'96:21:02.656',-0.024,-,-,-,-,54.400,25.600
'96:21:02.664',-0.008,-,-,-,-,54.400,25.600
'96:21:02.672',-0.024,-,-,-,-,55.200,25.200
'96:21:02.680',-0.008,-,-,-,-,55.200,25.200
'96:21:02.688',-0.032,-,-,-,-,55.200,24.800
'96:21:02.696',-0.024,-,-,-,-,54.400,24.800
'96:21:02.704',-0.024,-,-,-,-,53.600,24.800
'96:21:02.712',-0.008,-,-,-,-,53.600,24.400
'96:21:02.720',-0.032,-,-,-,-,53.600,24.000
'96:21:02.728',-0.024,-,-,-,-,53.600,23.200
'96:21:02.736',-0.032,-,-,-,-,52.800,22.400
'96:21:02.744',-0.024,-,-,-,-,52.000,21.600
'96:21:02.752',-0.032,-,-,-,-,51.200,20.800
'96:21:02.760',-0.024,-,-,-,-,50.400,20.000
'96:21:02.768',-0.032,-,-,-,-,51.200,19.600
'96:21:02.776',-0.024,-,-,-,-,51.200,19.600
'96:21:02.784',-0.024,-,-,-,-,51.200,19.600
'96:21:02.792',-0.024,-,-,-,-,51.200,19.600
'96:21:02.800',-0.024,-,-,-,-,51.200,20.000
'96:21:02.808',-0.024,-,-,-,-,51.200,20.400
'96:21:02.816',-0.024,-,-,-,-,50.400,20.400
'96:21:02.824',-0.024,-,-,-,-,49.600,20.400
'96:21:02.832',-0.024,-,-,-,-,49.600,20.400
'96:21:02.840',-0.024,-,-,-,-,48.800,20.000
'96:21:02.848',-0.024,-,-,-,-,48.800,20.000
'96:21:02.856',-0.024,-,-,-,-,48.800,20.000
'96:21:02.864',-0.168,-,-,-,-,48.000,19.600
'96:21:02.872',0.024,-,-,-,-,48.000,19.600
'96:21:02.880',0.000,-,-,-,-,47.200,19.200
'96:21:02.888',-0.032,-,-,-,-,47.200,19.200
'96:21:02.896',-0.024,-,-,-,-,47.200,19.200
'96:21:02.904',-0.056,-,-,-,-,47.200,19.200
'96:21:02.912',-0.056,-,-,-,-,46.400,19.200
'96:21:02.920',-0.056,-,-,-,-,46.400,19.200
'96:21:02.928',-0.056,-,-,-,-,45.600,19.200
'96:21:02.936',-0.096,-,-,-,-,45.600,19.200
'96:21:02.944',-0.080,-,-,-,-,45.600,18.800
'96:21:02.952',-0.104,-,-,-,-,45.600,18.800
'96:21:02.960',-0.144,-,-,-,-,45.600,18.400
'96:21:02.968',-0.168,-,-,-,-,45.600,18.000
'96:21:02.976',-0.224,-,-,-,-,44.800,17.600
'96:21:02.984',-0.312,-,-,-,-,44.000,17.200
'96:21:02.992',-0.352,-,-,-,-,43.200,17.200
'96:21:03.000',-0.376,-,-,-,-,42.400,17.200
'96:21:03.008',-0.328,-,-,-,-,43.200,18.000
'96:21:03.016',-0.256,-,-,-,-,44.000,19.600
'96:21:03.024',-0.200,-,-,-,-,44.000,21.600
'96:21:03.032',-0.152,-,-,-,-,44.000,24.000
'96:21:03.040',-0.128,-,-,-,-,44.000,26.800
'96:21:03.048',-0.104,-,-,-,-,44.000,29.200
'96:21:03.056',-0.056,-,-,-,-,44.000,30.800
'96:21:03.064',-0.024,-,-,-,-,44.000,31.600
'96:21:03.072',0.000,-,-,-,-,44.000,32.400
'96:21:03.080',0.048,-,-,-,-,44.000,32.800
'96:21:03.088',0.080,-,-,-,-,44.000,33.600
'96:21:03.096',0.104,-,-,-,-,44.000,34.800
'96:21:03.104',0.096,-,-,-,-,44.000,36.000
'96:21:03.112',0.144,-,-,-,-,44.000,37.600
'96:21:03.120',0.128,-,-,-,-,43.200,39.200
'96:21:03.128',0.152,-,-,-,-,43.200,40.400
'96:21:03.136',0.168,-,-,-,-,43.200,41.600
'96:21:03.144',0.152,-,-,-,-,42.400,42.800
'96:21:03.152',0.152,-,-,-,-,43.200,43.600
'96:21:03.160',0.168,-,-,-,-,44.000,44.800
'96:21:03.168',0.168,-,-,-,-,46.400,46.000
'96:21:03.176',0.200,-,-,-,-,49.600,46.800
'96:21:03.184',0.216,-,-,-,-,53.600,46.800
'96:21:03.192',0.200,-,-,-,-,58.400,46.800
'96:21:03.200',0.168,-,-,-,-,64.000,46.000
'96:21:03.208',0.128,-,-,-,-,69.600,45.200
'96:21:03.216',0.144,-,-,-,-,75.200,44.000
'96:21:03.224',0.128,-,-,-,-,80.000,42.400
'96:21:03.232',0.096,-,-,-,-,84.800,41.200
'96:21:03.240',0.072,-,-,-,-,88.000,40.000
'96:21:03.248',0.096,-,-,-,-,89.600,38.400
'96:21:03.256',0.104,-,-,-,-,90.400,37.200
'96:21:03.264',0.096,-,-,-,-,91.200,36.000
'96:21:03.272',0.056,-,-,-,-,91.200,34.800
'96:21:03.280',0.048,-,-,-,-,90.400,33.600
'96:21:03.288',0.032,-,-,-,-,89.600,32.800
'96:21:03.296',0.048,-,-,-,-,88.800,32.000
'96:21:03.304',0.024,-,-,-,-,87.200,31.600
