'Elapsed time','I','II','III','AVF','V','MCL1','ABP'
'14:50:11.528',-0.016,-0.058,-,-,-,-,65.600
'14:50:11.536',-0.008,-0.058,-,-,-,-,65.600
'14:50:11.544',-0.008,-0.058,-,-,-,-,65.600
'14:50:11.552',0.000,-0.058,-,-,-,-,64.800
'14:50:11.560',-0.008,-0.050,-,-,-,-,64.800
'14:50:11.568',0.000,-0.058,-,-,-,-,64.800
'14:50:11.576',-0.008,-0.050,-,-,-,-,64.800
'14:50:11.584',0.000,-0.041,-,-,-,-,64.000
'14:50:11.592',0.000,-0.033,-,-,-,-,64.000
'14:50:11.600',0.000,-0.041,-,-,-,-,63.200
'14:50:11.608',0.000,-0.025,-,-,-,-,63.200
'14:50:11.616',0.000,-0.025,-,-,-,-,62.400
'14:50:11.624',0.000,-0.017,-,-,-,-,62.400
'14:50:11.632',-0.008,-0.025,-,-,-,-,62.400
'14:50:11.640',0.000,-0.017,-,-,-,-,62.400
'14:50:11.648',0.008,0.000,-,-,-,-,61.600
'14:50:11.656',0.016,0.000,-,-,-,-,61.600
'14:50:11.664',0.024,-0.008,-,-,-,-,61.600
'14:50:11.672',0.040,-0.041,-,-,-,-,61.600
'14:50:11.680',0.056,-0.099,-,-,-,-,60.800
'14:50:11.688',0.080,-0.140,-,-,-,-,60.800
'14:50:11.696',0.064,-0.198,-,-,-,-,60.800
'14:50:11.704',0.064,-0.215,-,-,-,-,60.800
'14:50:11.712',0.064,-0.190,-,-,-,-,60.800
'14:50:11.720',0.088,-0.182,-,-,-,-,60.000
'14:50:11.728',0.104,-0.190,-,-,-,-,60.000
'14:50:11.736',0.120,-0.149,-,-,-,-,59.200
'14:50:11.744',0.080,-0.124,-,-,-,-,59.200
'14:50:11.752',0.064,-0.066,-,-,-,-,59.200
'14:50:11.760',0.104,0.008,-,-,-,-,58.400
'14:50:11.768',0.048,0.050,-,-,-,-,58.400
'14:50:11.776',0.024,0.116,-,-,-,-,58.400
'14:50:11.784',0.000,0.140,-,-,-,-,58.400
'14:50:11.792',-0.016,0.132,-,-,-,-,58.400
'14:50:11.800',-0.008,0.116,-,-,-,-,59.200
'14:50:11.808',-0.008,0.116,-,-,-,-,60.000
'14:50:11.816',-0.024,0.099,-,-,-,-,63.200
'14:50:11.824',-0.032,0.099,-,-,-,-,68.800
'14:50:11.832',-0.024,0.116,-,-,-,-,76.800
'14:50:11.840',-0.040,0.124,-,-,-,-,85.600
'14:50:11.848',-0.032,0.132,-,-,-,-,91.200
'14:50:11.856',-0.048,0.140,-,-,-,-,93.600
'14:50:11.864',-0.056,0.149,-,-,-,-,94.400
'14:50:11.872',-0.064,0.157,-,-,-,-,93.600
'14:50:11.880',-0.088,0.165,-,-,-,-,92.800
'14:50:11.888',-0.072,0.149,-,-,-,-,90.400
'14:50:11.896',-0.088,0.157,-,-,-,-,88.000
'14:50:11.904',-0.088,0.140,-,-,-,-,85.600
'14:50:11.912',-0.072,0.132,-,-,-,-,84.000
'14:50:11.920',-0.072,0.116,-,-,-,-,81.600
'14:50:11.928',-0.072,0.099,-,-,-,-,78.400
'14:50:11.936',-0.056,0.091,-,-,-,-,76.000
'14:50:11.944',-0.040,0.058,-,-,-,-,73.600
'14:50:11.952',-0.048,0.041,-,-,-,-,72.000
'14:50:11.960',-0.024,0.017,-,-,-,-,70.400
'14:50:11.968',0.000,0.008,-,-,-,-,70.400
'14:50:11.976',0.000,0.000,-,-,-,-,71.200
'14:50:11.984',0.000,-0.017,-,-,-,-,72.000
'14:50:11.992',0.016,-0.017,-,-,-,-,72.000
'14:50:12.000',0.008,-0.033,-,-,-,-,71.200
'14:50:12.008',0.016,-0.041,-,-,-,-,69.600
'14:50:12.016',0.000,-0.050,-,-,-,-,68.800
'14:50:12.024',0.008,-0.041,-,-,-,-,68.000
'14:50:12.032',0.000,-0.058,-,-,-,-,67.200
'14:50:12.040',0.000,-0.050,-,-,-,-,66.400
'14:50:12.048',0.000,-0.058,-,-,-,-,66.400
'14:50:12.056',0.000,-0.050,-,-,-,-,65.600
'14:50:12.064',0.000,-0.058,-,-,-,-,65.600
'14:50:12.072',0.000,-0.058,-,-,-,-,65.600
'14:50:12.080',0.000,-0.058,-,-,-,-,65.600
'14:50:12.088',0.008,-0.050,-,-,-,-,64.800
'14:50:12.096',0.000,-0.058,-,-,-,-,64.800
'14:50:12.104',0.000,-0.050,-,-,-,-,64.800
'14:50:12.112',0.000,-0.058,-,-,-,-,64.000
'14:50:12.120',0.000,-0.050,-,-,-,-,64.000
'14:50:12.128',0.000,-0.041,-,-,-,-,63.200
'14:50:12.136',0.000,-0.050,-,-,-,-,63.200
'14:50:12.144',0.000,-0.033,-,-,-,-,62.400
'14:50:12.152',0.000,-0.033,-,-,-,-,62.400
'14:50:12.160',0.008,-0.033,-,-,-,-,62.400
'14:50:12.168',0.000,-0.025,-,-,-,-,61.600
'14:50:12.176',0.016,-0.017,-,-,-,-,61.600
'14:50:12.184',0.008,-0.008,-,-,-,-,61.600
'14:50:12.192',0.032,0.000,-,-,-,-,61.600
'14:50:12.200',0.048,-0.050,-,-,-,-,60.800
'14:50:12.208',0.064,-0.099,-,-,-,-,60.800
'14:50:12.216',0.080,-0.149,-,-,-,-,60.800
'14:50:12.224',0.064,-0.190,-,-,-,-,60.800
'14:50:12.232',0.064,-0.215,-,-,-,-,60.800
'14:50:12.240',0.080,-0.190,-,-,-,-,60.000
'14:50:12.248',0.088,-0.182,-,-,-,-,60.000
'14:50:12.256',0.104,-0.182,-,-,-,-,60.000
'14:50:12.264',0.120,-0.149,-,-,-,-,59.200
'14:50:12.272',0.088,-0.124,-,-,-,-,59.200
'14:50:12.280',0.080,-0.074,-,-,-,-,59.200
'14:50:12.288',0.088,0.008,-,-,-,-,59.200
'14:50:12.296',0.048,0.050,-,-,-,-,58.400
'14:50:12.304',0.016,0.116,-,-,-,-,58.400
'14:50:12.312',-0.016,0.140,-,-,-,-,58.400
'14:50:12.320',-0.024,0.140,-,-,-,-,58.400
'14:50:12.328',-0.032,0.124,-,-,-,-,59.200
'14:50:12.336',-0.040,0.116,-,-,-,-,60.000
'14:50:12.344',-0.032,0.116,-,-,-,-,63.200
'14:50:12.352',-0.056,0.116,-,-,-,-,68.800
'14:50:12.360',-0.072,0.116,-,-,-,-,76.800
'14:50:12.368',-0.064,0.124,-,-,-,-,84.800
'14:50:12.376',-0.048,0.132,-,-,-,-,91.200
'14:50:12.384',-0.064,0.140,-,-,-,-,93.600
'14:50:12.392',-0.056,0.157,-,-,-,-,94.400
'14:50:12.400',-0.072,0.149,-,-,-,-,93.600
'14:50:12.408',-0.064,0.157,-,-,-,-,92.800
'14:50:12.416',-0.088,0.132,-,-,-,-,91.200
'14:50:12.424',-0.088,0.132,-,-,-,-,88.800
'14:50:12.432',-0.088,0.132,-,-,-,-,86.400
'14:50:12.440',-0.088,0.124,-,-,-,-,84.000
'14:50:12.448',-0.096,0.099,-,-,-,-,81.600
'14:50:12.456',-0.088,0.091,-,-,-,-,79.200
'14:50:12.464',-0.088,0.066,-,-,-,-,76.800
'14:50:12.472',-0.072,0.050,-,-,-,-,74.400
'14:50:12.480',-0.056,0.033,-,-,-,-,72.800
'14:50:12.488',-0.040,0.017,-,-,-,-,72.000
'14:50:12.496',-0.048,-0.008,-,-,-,-,72.000
'14:50:12.504',-0.032,-0.025,-,-,-,-,72.000
'14:50:12.512',-0.024,-0.033,-,-,-,-,72.800
'14:50:12.520',-0.008,-0.041,-,-,-,-,72.000
'14:50:12.528',-0.008,-0.050,-,-,-,-,71.200
'14:50:12.536',0.000,-0.058,-,-,-,-,70.400
'14:50:12.544',-0.008,-0.066,-,-,-,-,68.800
'14:50:12.552',0.000,-0.058,-,-,-,-,68.000
'14:50:12.560',-0.016,-0.066,-,-,-,-,67.200
'14:50:12.568',-0.008,-0.066,-,-,-,-,67.200
'14:50:12.576',-0.016,-0.058,-,-,-,-,66.400
'14:50:12.584',-0.008,-0.058,-,-,-,-,66.400
'14:50:12.592',-0.016,-0.058,-,-,-,-,66.400
'14:50:12.600',-0.024,-0.066,-,-,-,-,65.600
'14:50:12.608',-0.008,-0.058,-,-,-,-,65.600
'14:50:12.616',-0.016,-0.058,-,-,-,-,65.600
'14:50:12.624',0.000,-0.050,-,-,-,-,64.800
'14:50:12.632',-0.008,-0.058,-,-,-,-,64.800
'14:50:12.640',0.000,-0.041,-,-,-,-,64.800
'14:50:12.648',0.000,-0.041,-,-,-,-,64.000
'14:50:12.656',0.008,-0.033,-,-,-,-,64.000
'14:50:12.664',0.000,-0.025,-,-,-,-,63.200
'14:50:12.672',0.008,-0.017,-,-,-,-,63.200
'14:50:12.680',0.000,-0.008,-,-,-,-,63.200
'14:50:12.688',0.008,-0.008,-,-,-,-,62.400
'14:50:12.696',0.000,0.000,-,-,-,-,62.400
'14:50:12.704',0.008,0.008,-,-,-,-,62.400
'14:50:12.712',0.000,0.017,-,-,-,-,62.400
'14:50:12.720',0.024,0.008,-,-,-,-,61.600
'14:50:12.728',0.040,-0.017,-,-,-,-,61.600
'14:50:12.736',0.056,-0.066,-,-,-,-,61.600
'14:50:12.744',0.064,-0.124,-,-,-,-,61.600
'14:50:12.752',0.080,-0.165,-,-,-,-,61.600
'14:50:12.760',0.064,-0.198,-,-,-,-,61.600
'14:50:12.768',0.088,-0.182,-,-,-,-,61.600
'14:50:12.776',0.104,-0.157,-,-,-,-,60.800
'14:50:12.784',0.104,-0.165,-,-,-,-,60.800
'14:50:12.792',0.120,-0.132,-,-,-,-,60.000
'14:50:12.800',0.088,-0.099,-,-,-,-,60.000
'14:50:12.808',0.088,-0.058,-,-,-,-,60.000
'14:50:12.816',0.104,0.008,-,-,-,-,59.200
'14:50:12.824',0.064,0.050,-,-,-,-,59.200
'14:50:12.832',0.032,0.116,-,-,-,-,59.200
'14:50:12.840',0.008,0.149,-,-,-,-,59.200
'14:50:12.848',-0.008,0.140,-,-,-,-,59.200
'14:50:12.856',0.000,0.124,-,-,-,-,60.000
'14:50:12.864',-0.016,0.116,-,-,-,-,60.800
'14:50:12.872',-0.008,0.116,-,-,-,-,63.200
'14:50:12.880',-0.024,0.116,-,-,-,-,68.800
'14:50:12.888',-0.032,0.116,-,-,-,-,76.800
'14:50:12.896',-0.040,0.116,-,-,-,-,85.600
'14:50:12.904',-0.024,0.132,-,-,-,-,91.200
'14:50:12.912',-0.040,0.132,-,-,-,-,94.400
'14:50:12.920',-0.032,0.132,-,-,-,-,95.200
'14:50:12.928',-0.048,0.149,-,-,-,-,95.200
'14:50:12.936',-0.048,0.140,-,-,-,-,94.400
'14:50:12.944',-0.056,0.149,-,-,-,-,92.800
'14:50:12.952',-0.056,0.132,-,-,-,-,90.400
'14:50:12.960',-0.064,0.116,-,-,-,-,88.000
'14:50:12.968',-0.072,0.116,-,-,-,-,85.600
'14:50:12.976',-0.064,0.099,-,-,-,-,83.200
'14:50:12.984',-0.072,0.074,-,-,-,-,80.800
'14:50:12.992',-0.056,0.050,-,-,-,-,77.600
'14:50:13.000',-0.048,0.041,-,-,-,-,75.200
'14:50:13.008',-0.032,0.017,-,-,-,-,73.600
'14:50:13.016',-0.032,0.000,-,-,-,-,72.800
'14:50:13.024',-0.016,-0.017,-,-,-,-,72.800
'14:50:13.032',0.000,-0.033,-,-,-,-,72.800
'14:50:13.040',0.000,-0.025,-,-,-,-,73.600
'14:50:13.048',0.000,-0.050,-,-,-,-,72.800
'14:50:13.056',0.008,-0.058,-,-,-,-,72.000
'14:50:13.064',0.000,-0.074,-,-,-,-,71.200
'14:50:13.072',0.000,-0.091,-,-,-,-,69.600
'14:50:13.080',0.000,-0.066,-,-,-,-,68.800
'14:50:13.088',-0.008,-0.066,-,-,-,-,68.000
'14:50:13.096',0.000,-0.066,-,-,-,-,68.000
'14:50:13.104',-0.016,-0.074,-,-,-,-,67.200
