'Elapsed time','I','II','III','V','MCL1','ABP'
'218:29:17.320',0.112,0.152,-,-,-,65.600
'218:29:17.328',0.128,0.152,-,-,-,68.800
'218:29:17.336',0.128,0.152,-,-,-,72.000
'218:29:17.344',0.128,0.152,-,-,-,76.800
'218:29:17.352',0.112,0.130,-,-,-,81.600
'218:29:17.360',0.096,0.130,-,-,-,87.200
'218:29:17.368',0.072,0.098,-,-,-,91.200
'218:29:17.376',0.056,0.043,-,-,-,95.200
'218:29:17.384',0.016,0.022,-,-,-,97.600
'218:29:17.392',0.016,0.000,-,-,-,100.000
'218:29:17.400',0.000,-0.022,-,-,-,100.800
'218:29:17.408',-0.016,-0.043,-,-,-,100.800
'218:29:17.416',-0.016,-0.043,-,-,-,100.000
'218:29:17.424',-0.016,-0.043,-,-,-,98.400
'218:29:17.432',-0.016,-0.076,-,-,-,96.800
'218:29:17.440',-0.032,-0.076,-,-,-,95.200
'218:29:17.448',-0.032,-0.076,-,-,-,93.600
'218:29:17.456',0.000,-0.043,-,-,-,92.000
'218:29:17.464',0.056,0.043,-,-,-,90.400
'218:29:17.472',0.192,0.207,-,-,-,88.800
'218:29:17.480',0.456,0.543,-,-,-,86.400
'218:29:17.488',0.880,1.098,-,-,-,84.800
'218:29:17.496',1.224,1.522,-,-,-,82.400
'218:29:17.504',1.056,1.522,-,-,-,80.000
'218:29:17.512',0.440,0.783,-,-,-,77.600
'218:29:17.520',-0.016,0.207,-,-,-,75.200
'218:29:17.528',-0.152,-0.098,-,-,-,72.800
'218:29:17.536',-0.168,-0.174,-,-,-,71.200
'218:29:17.544',-0.168,-0.207,-,-,-,69.600
'218:29:17.552',-0.192,-0.228,-,-,-,68.000
'218:29:17.560',-0.192,-0.261,-,-,-,67.200
'218:29:17.568',-0.208,-0.261,-,-,-,67.200
'218:29:17.576',-0.208,-0.283,-,-,-,67.200
'218:29:17.584',-0.208,-0.283,-,-,-,67.200
'218:29:17.592',-0.192,-0.283,-,-,-,68.000
'218:29:17.600',-0.192,-0.283,-,-,-,68.000
'218:29:17.608',-0.208,-0.261,-,-,-,68.800
'218:29:17.616',-0.192,-0.261,-,-,-,69.600
'218:29:17.624',-0.192,-0.228,-,-,-,70.400
'218:29:17.632',-0.168,-0.207,-,-,-,70.400
'218:29:17.640',-0.168,-0.207,-,-,-,70.400
'218:29:17.648',-0.152,-0.174,-,-,-,71.200
'218:29:17.656',-0.128,-0.152,-,-,-,71.200
'218:29:17.664',-0.112,-0.130,-,-,-,71.200
'218:29:17.672',-0.096,-0.098,-,-,-,70.400
'218:29:17.680',-0.096,-0.098,-,-,-,70.400
'218:29:17.688',-0.096,-0.098,-,-,-,70.400
'218:29:17.696',-0.096,-0.098,-,-,-,69.600
'218:29:17.704',-0.072,-0.076,-,-,-,68.800
'218:29:17.712',-0.072,-0.076,-,-,-,68.800
'218:29:17.720',-0.056,-0.076,-,-,-,68.000
'218:29:17.728',-0.056,-0.076,-,-,-,67.200
'218:29:17.736',-0.056,-0.076,-,-,-,67.200
'218:29:17.744',-0.032,-0.076,-,-,-,66.400
'218:29:17.752',-0.032,-0.076,-,-,-,65.600
'218:29:17.760',-0.056,-0.076,-,-,-,64.800
'218:29:17.768',-0.056,-0.076,-,-,-,64.000
'218:29:17.776',-0.056,-0.076,-,-,-,64.000
'218:29:17.784',-0.056,-0.098,-,-,-,63.200
'218:29:17.792',-0.072,-0.098,-,-,-,62.400
'218:29:17.800',-0.056,-0.098,-,-,-,62.400
'218:29:17.808',-0.056,-0.076,-,-,-,61.600
'218:29:17.816',-0.056,-0.098,-,-,-,60.800
'218:29:17.824',-0.056,-0.098,-,-,-,60.800
'218:29:17.832',-0.056,-0.098,-,-,-,60.000
'218:29:17.840',-0.032,-0.098,-,-,-,60.000
'218:29:17.848',-0.032,-0.098,-,-,-,59.200
'218:29:17.856',-0.056,-0.098,-,-,-,59.200
'218:29:17.864',-0.056,-0.098,-,-,-,59.200
'218:29:17.872',-0.032,-0.076,-,-,-,59.200
'218:29:17.880',-0.032,-0.076,-,-,-,58.400
'218:29:17.888',-0.032,-0.043,-,-,-,58.400
'218:29:17.896',-0.032,-0.043,-,-,-,58.400
'218:29:17.904',-0.032,-0.043,-,-,-,58.400
'218:29:17.912',-0.032,-0.043,-,-,-,58.400
'218:29:17.920',-0.032,-0.043,-,-,-,58.400
'218:29:17.928',-0.032,-0.043,-,-,-,58.400
'218:29:17.936',-0.032,-0.076,-,-,-,57.600
'218:29:17.944',-0.032,-0.076,-,-,-,57.600
'218:29:17.952',-0.032,-0.076,-,-,-,57.600
'218:29:17.960',-0.032,-0.076,-,-,-,57.600
'218:29:17.968',-0.032,-0.098,-,-,-,57.600
'218:29:17.976',-0.056,-0.098,-,-,-,57.600
'218:29:17.984',-0.032,-0.098,-,-,-,56.800
'218:29:17.992',-0.032,-0.076,-,-,-,56.800
'218:29:18.000',-0.032,-0.076,-,-,-,56.800
'218:29:18.008',-0.032,-0.076,-,-,-,56.800
'218:29:18.016',-0.032,-0.043,-,-,-,56.000
'218:29:18.024',-0.032,-0.076,-,-,-,56.000
'218:29:18.032',-0.056,-0.130,-,-,-,56.000
'218:29:18.040',0.016,-0.022,-,-,-,56.000
'218:29:18.048',0.224,0.337,-,-,-,55.200
'218:29:18.056',0.416,0.783,-,-,-,55.200
'218:29:18.064',0.440,0.913,-,-,-,55.200
'218:29:18.072',0.128,0.543,-,-,-,55.200
'218:29:18.080',-0.056,0.076,-,-,-,54.400
'218:29:18.088',-0.152,-0.207,-,-,-,54.400
'218:29:18.096',-0.192,-0.261,-,-,-,54.400
'218:29:18.104',-0.168,-0.207,-,-,-,54.400
'218:29:18.112',-0.112,-0.152,-,-,-,54.400
'218:29:18.120',-0.056,-0.098,-,-,-,53.600
'218:29:18.128',-0.032,-0.098,-,-,-,53.600
'218:29:18.136',-0.032,-0.076,-,-,-,53.600
'218:29:18.144',-0.016,-0.043,-,-,-,53.600
'218:29:18.152',-0.016,-0.043,-,-,-,53.600
'218:29:18.160',-0.016,-0.043,-,-,-,52.800
'218:29:18.168',-0.016,-0.043,-,-,-,52.800
'218:29:18.176',-0.016,-0.022,-,-,-,52.800
'218:29:18.184',-0.016,-0.022,-,-,-,53.600
'218:29:18.192',0.000,0.000,-,-,-,53.600
'218:29:18.200',0.000,0.000,-,-,-,56.000
'218:29:18.208',0.016,0.000,-,-,-,59.200
'218:29:18.216',0.032,0.043,-,-,-,64.000
'218:29:18.224',0.056,0.076,-,-,-,71.200
'218:29:18.232',0.072,0.098,-,-,-,79.200
'218:29:18.240',0.112,0.130,-,-,-,87.200
'218:29:18.248',0.128,0.152,-,-,-,95.200
'218:29:18.256',0.152,0.174,-,-,-,101.600
'218:29:18.264',0.152,0.174,-,-,-,106.400
'218:29:18.272',0.152,0.174,-,-,-,109.600
'218:29:18.280',0.128,0.152,-,-,-,111.200
'218:29:18.288',0.112,0.130,-,-,-,112.000
'218:29:18.296',0.096,0.098,-,-,-,111.200
'218:29:18.304',0.056,0.076,-,-,-,109.600
'218:29:18.312',0.032,0.022,-,-,-,108.000
'218:29:18.320',0.016,0.022,-,-,-,105.600
'218:29:18.328',0.000,0.000,-,-,-,104.000
'218:29:18.336',0.000,-0.022,-,-,-,101.600
'218:29:18.344',-0.016,-0.043,-,-,-,100.000
'218:29:18.352',-0.016,-0.043,-,-,-,98.400
'218:29:18.360',-0.016,-0.043,-,-,-,96.800
'218:29:18.368',-0.016,-0.043,-,-,-,94.400
'218:29:18.376',-0.016,-0.043,-,-,-,92.800
'218:29:18.384',-0.016,-0.043,-,-,-,91.200
'218:29:18.392',-0.032,-0.076,-,-,-,88.800
'218:29:18.400',-0.032,-0.076,-,-,-,86.400
'218:29:18.408',-0.032,-0.043,-,-,-,84.000
'218:29:18.416',-0.032,-0.043,-,-,-,81.600
'218:29:18.424',-0.032,-0.043,-,-,-,79.200
'218:29:18.432',-0.016,-0.043,-,-,-,76.800
'218:29:18.440',0.000,-0.022,-,-,-,75.200
'218:29:18.448',0.000,-0.022,-,-,-,74.400
'218:29:18.456',0.000,0.000,-,-,-,72.800
'218:29:18.464',0.016,0.000,-,-,-,72.800
'218:29:18.472',0.000,-0.022,-,-,-,72.800
'218:29:18.480',0.000,-0.022,-,-,-,72.800
'218:29:18.488',0.000,-0.022,-,-,-,72.800
'218:29:18.496',0.000,-0.043,-,-,-,72.800
'218:29:18.504',-0.016,-0.076,-,-,-,73.600
'218:29:18.512',-0.032,-0.098,-,-,-,74.400
'218:29:18.520',-0.032,-0.130,-,-,-,74.400
'218:29:18.528',0.096,0.043,-,-,-,74.400
'218:29:18.536',0.344,0.489,-,-,-,74.400
'218:29:18.544',0.512,0.859,-,-,-,74.400
'218:29:18.552',0.384,0.859,-,-,-,74.400
'218:29:18.560',0.096,0.283,-,-,-,74.400
'218:29:18.568',-0.112,-0.130,-,-,-,73.600
'218:29:18.576',-0.192,-0.261,-,-,-,72.800
'218:29:18.584',-0.208,-0.207,-,-,-,72.800
'218:29:18.592',-0.112,-0.130,-,-,-,72.000
'218:29:18.600',-0.056,-0.076,-,-,-,71.200
'218:29:18.608',-0.032,-0.076,-,-,-,70.400
'218:29:18.616',-0.056,-0.098,-,-,-,69.600
'218:29:18.624',-0.056,-0.098,-,-,-,68.800
'218:29:18.632',-0.056,-0.076,-,-,-,68.000
'218:29:18.640',-0.056,-0.076,-,-,-,67.200
'218:29:18.648',-0.056,-0.076,-,-,-,66.400
'218:29:18.656',-0.032,-0.076,-,-,-,65.600
'218:29:18.664',-0.032,-0.043,-,-,-,65.600
'218:29:18.672',-0.016,-0.022,-,-,-,64.800
'218:29:18.680',0.000,0.000,-,-,-,64.000
'218:29:18.688',0.016,0.022,-,-,-,64.000
'218:29:18.696',0.032,0.043,-,-,-,64.000
'218:29:18.704',0.056,0.076,-,-,-,64.800
'218:29:18.712',0.072,0.098,-,-,-,67.200
'218:29:18.720',0.072,0.130,-,-,-,69.600
'218:29:18.728',0.096,0.130,-,-,-,73.600
'218:29:18.736',0.096,0.152,-,-,-,78.400
'218:29:18.744',0.096,0.152,-,-,-,84.000
'218:29:18.752',0.096,0.130,-,-,-,89.600
'218:29:18.760',0.096,0.098,-,-,-,95.200
'218:29:18.768',0.072,0.076,-,-,-,99.200
'218:29:18.776',0.056,0.022,-,-,-,102.400
'218:29:18.784',0.016,0.000,-,-,-,104.800
'218:29:18.792',0.000,-0.022,-,-,-,105.600
'218:29:18.800',0.000,-0.043,-,-,-,105.600
'218:29:18.808',-0.016,-0.076,-,-,-,104.800
'218:29:18.816',-0.016,-0.076,-,-,-,103.200
'218:29:18.824',-0.032,-0.098,-,-,-,101.600
'218:29:18.832',-0.032,-0.098,-,-,-,100.000
'218:29:18.840',-0.032,-0.098,-,-,-,97.600
'218:29:18.848',-0.032,-0.076,-,-,-,95.200
'218:29:18.856',-0.032,-0.076,-,-,-,93.600
'218:29:18.864',-0.032,-0.076,-,-,-,91.200
'218:29:18.872',-0.032,-0.076,-,-,-,88.800
'218:29:18.880',-0.032,-0.076,-,-,-,86.400
'218:29:18.888',-0.032,-0.076,-,-,-,84.000
'218:29:18.896',-0.056,-0.098,-,-,-,81.600
'218:29:18.904',-0.056,-0.098,-,-,-,79.200
'218:29:18.912',-0.056,-0.098,-,-,-,76.800
'218:29:18.920',-0.056,-0.098,-,-,-,74.400
'218:29:18.928',-0.032,-0.098,-,-,-,72.800
'218:29:18.936',-0.032,-0.098,-,-,-,71.200
'218:29:18.944',-0.032,-0.076,-,-,-,70.400
'218:29:18.952',-0.016,-0.076,-,-,-,69.600
'218:29:18.960',-0.016,-0.076,-,-,-,68.800
'218:29:18.968',-0.016,-0.076,-,-,-,68.800
'218:29:18.976',-0.016,-0.043,-,-,-,69.600
'218:29:18.984',-0.016,-0.043,-,-,-,69.600
'218:29:18.992',-0.016,-0.043,-,-,-,70.400
'218:29:19.000',-0.032,-0.043,-,-,-,71.200
'218:29:19.008',-0.032,-0.043,-,-,-,71.200
'218:29:19.016',-0.032,-0.043,-,-,-,72.000
'218:29:19.024',-0.032,-0.043,-,-,-,72.000
'218:29:19.032',-0.032,-0.043,-,-,-,72.000
'218:29:19.040',-0.032,-0.043,-,-,-,72.000
'218:29:19.048',-0.032,-0.076,-,-,-,72.000
'218:29:19.056',-0.032,-0.076,-,-,-,72.000
'218:29:19.064',-0.032,-0.076,-,-,-,71.200
'218:29:19.072',-0.032,-0.076,-,-,-,71.200
'218:29:19.080',-0.032,-0.076,-,-,-,70.400
'218:29:19.088',-0.032,-0.076,-,-,-,69.600
'218:29:19.096',-0.016,-0.043,-,-,-,68.800
'218:29:19.104',-0.016,-0.043,-,-,-,68.000
'218:29:19.112',-0.016,-0.043,-,-,-,67.200
'218:29:19.120',-0.016,-0.043,-,-,-,66.400
'218:29:19.128',-0.016,-0.043,-,-,-,66.400
'218:29:19.136',-0.016,-0.043,-,-,-,65.600
'218:29:19.144',-0.016,-0.043,-,-,-,64.800
'218:29:19.152',-0.016,-0.043,-,-,-,64.800
'218:29:19.160',-0.016,-0.043,-,-,-,64.000
'218:29:19.168',-0.032,-0.076,-,-,-,63.200
'218:29:19.176',-0.032,-0.130,-,-,-,63.200
'218:29:19.184',0.000,-0.076,-,-,-,62.400
'218:29:19.192',0.192,0.228,-,-,-,62.400
'218:29:19.200',0.416,0.728,-,-,-,61.600
'218:29:19.208',0.480,0.946,-,-,-,60.800
'218:29:19.216',0.224,0.674,-,-,-,60.800
'218:29:19.224',0.000,0.174,-,-,-,60.800
'218:29:19.232',-0.112,-0.152,-,-,-,60.000
'218:29:19.240',-0.168,-0.261,-,-,-,60.000
'218:29:19.248',-0.192,-0.207,-,-,-,59.200
'218:29:19.256',-0.112,-0.130,-,-,-,59.200
'218:29:19.264',-0.056,-0.076,-,-,-,59.200
'218:29:19.272',-0.032,-0.076,-,-,-,58.400
'218:29:19.280',-0.032,-0.076,-,-,-,58.400
'218:29:19.288',-0.032,-0.076,-,-,-,58.400
'218:29:19.296',-0.032,-0.076,-,-,-,58.400
'218:29:19.304',-0.032,-0.043,-,-,-,57.600
'218:29:19.312',-0.016,-0.043,-,-,-,57.600
'218:29:19.320',-0.016,-0.043,-,-,-,57.600
'218:29:19.328',0.000,-0.022,-,-,-,58.400
'218:29:19.336',0.000,0.000,-,-,-,59.200
'218:29:19.344',0.016,0.000,-,-,-,61.600
'218:29:19.352',0.032,0.022,-,-,-,65.600
'218:29:19.360',0.056,0.076,-,-,-,72.000
'218:29:19.368',0.072,0.076,-,-,-,79.200
'218:29:19.376',0.096,0.098,-,-,-,88.000
'218:29:19.384',0.112,0.130,-,-,-,96.800
'218:29:19.392',0.112,0.152,-,-,-,104.800
'218:29:19.400',0.128,0.152,-,-,-,111.200
'218:29:19.408',0.128,0.152,-,-,-,115.200
'218:29:19.416',0.128,0.152,-,-,-,118.400
'218:29:19.424',0.112,0.152,-,-,-,119.200
'218:29:19.432',0.112,0.152,-,-,-,119.200
'218:29:19.440',0.096,0.130,-,-,-,117.600
'218:29:19.448',0.072,0.098,-,-,-,116.000
'218:29:19.456',0.056,0.076,-,-,-,114.400
'218:29:19.464',0.032,0.043,-,-,-,112.000
'218:29:19.472',0.032,0.022,-,-,-,109.600
'218:29:19.480',0.016,0.000,-,-,-,108.000
'218:29:19.488',0.016,-0.022,-,-,-,105.600
'218:29:19.496',0.000,-0.022,-,-,-,104.000
'218:29:19.504',0.000,-0.043,-,-,-,101.600
'218:29:19.512',-0.016,-0.043,-,-,-,100.000
'218:29:19.520',-0.016,-0.043,-,-,-,97.600
'218:29:19.528',-0.016,-0.043,-,-,-,95.200
'218:29:19.536',-0.032,-0.076,-,-,-,92.800
'218:29:19.544',-0.016,-0.043,-,-,-,90.400
'218:29:19.552',-0.016,-0.022,-,-,-,88.000
'218:29:19.560',-0.016,-0.022,-,-,-,84.800
'218:29:19.568',0.000,-0.022,-,-,-,82.400
'218:29:19.576',0.000,-0.022,-,-,-,80.000
'218:29:19.584',0.000,-0.022,-,-,-,78.400
'218:29:19.592',0.000,-0.022,-,-,-,76.800
'218:29:19.600',0.000,-0.022,-,-,-,76.000
'218:29:19.608',0.000,-0.022,-,-,-,75.200
'218:29:19.616',0.000,-0.022,-,-,-,75.200
'218:29:19.624',0.000,-0.022,-,-,-,75.200
'218:29:19.632',0.000,-0.022,-,-,-,75.200
'218:29:19.640',0.000,-0.022,-,-,-,76.000
'218:29:19.648',0.000,-0.022,-,-,-,76.000
'218:29:19.656',0.000,-0.022,-,-,-,76.000
'218:29:19.664',0.000,-0.043,-,-,-,76.800
'218:29:19.672',0.000,-0.022,-,-,-,76.800
'218:29:19.680',0.000,-0.022,-,-,-,76.000
'218:29:19.688',0.000,-0.022,-,-,-,76.000
'218:29:19.696',0.000,-0.022,-,-,-,76.000
'218:29:19.704',0.000,-0.022,-,-,-,75.200
'218:29:19.712',0.000,-0.043,-,-,-,74.400
'218:29:19.720',-0.032,-0.098,-,-,-,74.400
'218:29:19.728',-0.032,-0.130,-,-,-,73.600
'218:29:19.736',0.096,0.076,-,-,-,72.800
'218:29:19.744',0.384,0.522,-,-,-,72.000
'218:29:19.752',0.512,0.859,-,-,-,71.200
'218:29:19.760',0.344,0.728,-,-,-,70.400
'218:29:19.768',0.056,0.228,-,-,-,69.600
'218:29:19.776',-0.128,-0.152,-,-,-,68.800
'218:29:19.784',-0.208,-0.283,-,-,-,68.000
'218:29:19.792',-0.224,-0.261,-,-,-,67.200
'218:29:19.800',-0.152,-0.174,-,-,-,66.400
'218:29:19.808',-0.096,-0.098,-,-,-,66.400
'218:29:19.816',-0.056,-0.076,-,-,-,65.600
'218:29:19.824',-0.032,-0.076,-,-,-,64.800
'218:29:19.832',-0.032,-0.043,-,-,-,64.000
'218:29:19.840',-0.032,-0.043,-,-,-,64.000
'218:29:19.848',-0.016,-0.043,-,-,-,63.200
'218:29:19.856',-0.016,-0.043,-,-,-,62.400
'218:29:19.864',0.000,-0.022,-,-,-,62.400
'218:29:19.872',0.000,-0.022,-,-,-,61.600
'218:29:19.880',0.000,-0.022,-,-,-,61.600
'218:29:19.888',0.016,0.000,-,-,-,61.600
'218:29:19.896',0.032,0.022,-,-,-,61.600
'218:29:19.904',0.056,0.043,-,-,-,62.400
'218:29:19.912',0.072,0.076,-,-,-,64.000
'218:29:19.920',0.072,0.098,-,-,-,66.400
'218:29:19.928',0.096,0.130,-,-,-,70.400
'218:29:19.936',0.112,0.152,-,-,-,75.200
'218:29:19.944',0.128,0.152,-,-,-,80.800
'218:29:19.952',0.128,0.174,-,-,-,86.400
'218:29:19.960',0.152,0.174,-,-,-,92.000
'218:29:19.968',0.128,0.152,-,-,-,96.800
'218:29:19.976',0.112,0.130,-,-,-,100.800
'218:29:19.984',0.096,0.098,-,-,-,104.000
'218:29:19.992',0.056,0.043,-,-,-,105.600
'218:29:20.000',0.032,0.022,-,-,-,106.400
'218:29:20.008',0.016,0.000,-,-,-,105.600
'218:29:20.016',0.000,-0.022,-,-,-,104.800
'218:29:20.024',0.000,-0.043,-,-,-,103.200
'218:29:20.032',-0.016,-0.076,-,-,-,101.600
'218:29:20.040',-0.016,-0.076,-,-,-,99.200
'218:29:20.048',-0.016,-0.076,-,-,-,97.600
'218:29:20.056',-0.032,-0.076,-,-,-,95.200
'218:29:20.064',-0.032,-0.076,-,-,-,93.600
'218:29:20.072',-0.016,-0.043,-,-,-,91.200
'218:29:20.080',0.000,-0.043,-,-,-,88.800
'218:29:20.088',0.056,-0.022,-,-,-,87.200
'218:29:20.096',0.096,0.022,-,-,-,84.800
'218:29:20.104',0.152,0.098,-,-,-,81.600
'218:29:20.112',0.224,0.283,-,-,-,79.200
'218:29:20.120',0.360,0.543,-,-,-,76.800
'218:29:20.128',0.512,0.859,-,-,-,74.400
'218:29:20.136',0.608,1.207,-,-,-,72.000
'218:29:20.144',0.632,1.359,-,-,-,70.400
'218:29:20.152',0.440,1.391,-,-,-,68.800
'218:29:20.160',0.248,1.315,-,-,-,68.000
'218:29:20.168',0.112,1.283,-,-,-,67.200
'218:29:20.176',0.032,1.207,-,-,-,67.200
'218:29:20.184',-0.016,0.967,-,-,-,67.200
'218:29:20.192',-0.056,0.630,-,-,-,68.000
'218:29:20.200',-0.072,0.207,-,-,-,68.000
'218:29:20.208',-0.128,-0.174,-,-,-,68.800
'218:29:20.216',-0.168,-0.391,-,-,-,69.600
'218:29:20.224',-0.192,-0.489,-,-,-,69.600
'218:29:20.232',-0.192,-0.522,-,-,-,70.400
'218:29:20.240',-0.192,-0.543,-,-,-,70.400
'218:29:20.248',-0.192,-0.576,-,-,-,70.400
'218:29:20.256',-0.192,-0.598,-,-,-,70.400
'218:29:20.264',-0.192,-0.598,-,-,-,70.400
'218:29:20.272',-0.192,-0.598,-,-,-,70.400
'218:29:20.280',-0.168,-0.598,-,-,-,70.400
'218:29:20.288',-0.168,-0.630,-,-,-,69.600
'218:29:20.296',-0.152,-0.630,-,-,-,69.600
'218:29:20.304',-0.152,-0.630,-,-,-,68.800
'218:29:20.312',-0.128,-0.598,-,-,-,68.000
'218:29:20.320',-0.096,-0.543,-,-,-,68.000
'218:29:20.328',-0.056,-0.522,-,-,-,67.200
'218:29:20.336',-0.056,-0.489,-,-,-,66.400
'218:29:20.344',-0.056,-0.467,-,-,-,65.600
'218:29:20.352',-0.032,-0.446,-,-,-,64.800
'218:29:20.360',0.000,-0.391,-,-,-,64.800
'218:29:20.368',0.016,-0.337,-,-,-,64.000
'218:29:20.376',0.016,-0.261,-,-,-,64.000
'218:29:20.384',0.016,-0.207,-,-,-,63.200
'218:29:20.392',0.016,-0.174,-,-,-,63.200
'218:29:20.400',0.000,-0.130,-,-,-,62.400
'218:29:20.408',0.000,-0.098,-,-,-,62.400
'218:29:20.416',-0.016,-0.076,-,-,-,62.400
'218:29:20.424',-0.016,-0.076,-,-,-,61.600
'218:29:20.432',-0.032,-0.076,-,-,-,61.600
'218:29:20.440',-0.032,-0.076,-,-,-,60.800
'218:29:20.448',-0.032,-0.076,-,-,-,60.800
'218:29:20.456',-0.032,-0.043,-,-,-,60.000
'218:29:20.464',-0.032,-0.043,-,-,-,60.000
'218:29:20.472',-0.032,-0.043,-,-,-,60.000
'218:29:20.480',-0.032,-0.043,-,-,-,59.200
'218:29:20.488',-0.016,-0.022,-,-,-,59.200
'218:29:20.496',-0.016,-0.022,-,-,-,58.400
'218:29:20.504',-0.032,-0.043,-,-,-,58.400
'218:29:20.512',-0.032,-0.043,-,-,-,57.600
'218:29:20.520',-0.032,-0.043,-,-,-,57.600
'218:29:20.528',-0.032,-0.043,-,-,-,57.600
'218:29:20.536',-0.032,-0.043,-,-,-,56.800
'218:29:20.544',-0.032,-0.043,-,-,-,56.800
'218:29:20.552',-0.032,-0.043,-,-,-,56.800
'218:29:20.560',-0.032,-0.043,-,-,-,56.800
'218:29:20.568',-0.032,-0.076,-,-,-,56.800
'218:29:20.576',-0.032,-0.043,-,-,-,56.000
'218:29:20.584',-0.016,-0.022,-,-,-,56.000
'218:29:20.592',0.000,0.000,-,-,-,56.000
'218:29:20.600',-0.016,-0.022,-,-,-,56.000
'218:29:20.608',-0.016,-0.022,-,-,-,56.000
'218:29:20.616',-0.016,-0.022,-,-,-,56.000
'218:29:20.624',-0.016,-0.022,-,-,-,55.200
'218:29:20.632',-0.016,-0.022,-,-,-,55.200
'218:29:20.640',-0.016,-0.022,-,-,-,55.200
'218:29:20.648',-0.016,-0.022,-,-,-,55.200
'218:29:20.656',-0.016,-0.022,-,-,-,55.200
'218:29:20.664',-0.016,-0.022,-,-,-,55.200
'218:29:20.672',-0.016,-0.022,-,-,-,54.400
'218:29:20.680',-0.016,-0.043,-,-,-,54.400
'218:29:20.688',-0.032,-0.043,-,-,-,54.400
'218:29:20.696',-0.032,-0.043,-,-,-,53.600
'218:29:20.704',-0.032,-0.076,-,-,-,53.600
'218:29:20.712',-0.032,-0.076,-,-,-,53.600
'218:29:20.720',0.016,-0.022,-,-,-,52.800
'218:29:20.728',0.192,0.261,-,-,-,52.800
'218:29:20.736',0.440,0.707,-,-,-,52.800
'218:29:20.744',0.496,0.946,-,-,-,52.000
'218:29:20.752',0.264,0.707,-,-,-,52.000
'218:29:20.760',0.000,0.207,-,-,-,52.000
'218:29:20.768',-0.152,-0.130,-,-,-,52.000
'218:29:20.776',-0.208,-0.228,-,-,-,52.000
'218:29:20.784',-0.192,-0.207,-,-,-,51.200
'218:29:20.792',-0.128,-0.130,-,-,-,51.200
'218:29:20.800',-0.072,-0.098,-,-,-,51.200
'218:29:20.808',-0.056,-0.076,-,-,-,51.200
'218:29:20.816',-0.056,-0.076,-,-,-,51.200
'218:29:20.824',-0.056,-0.076,-,-,-,51.200
'218:29:20.832',-0.032,-0.043,-,-,-,50.400
'218:29:20.840',-0.016,-0.022,-,-,-,50.400
'218:29:20.848',0.000,0.000,-,-,-,50.400
'218:29:20.856',0.000,0.022,-,-,-,50.400
'218:29:20.864',0.000,0.022,-,-,-,50.400
'218:29:20.872',0.016,0.022,-,-,-,50.400
'218:29:20.880',0.016,0.043,-,-,-,52.000
'218:29:20.888',0.032,0.076,-,-,-,54.400
'218:29:20.896',0.032,0.076,-,-,-,59.200
'218:29:20.904',0.072,0.098,-,-,-,65.600
'218:29:20.912',0.096,0.130,-,-,-,72.800
'218:29:20.920',0.112,0.152,-,-,-,80.800
'218:29:20.928',0.128,0.152,-,-,-,88.800
'218:29:20.936',0.128,0.174,-,-,-,95.200
'218:29:20.944',0.128,0.174,-,-,-,100.800
'218:29:20.952',0.128,0.152,-,-,-,104.800
'218:29:20.960',0.128,0.174,-,-,-,107.200
