'Elapsed time','I','II','III','AVR','AVL','AVF','V','MCL1','ABP'
'142:08:01.408',-,0.069,-,-,-,-,-,-,-
'142:08:01.416',-,0.080,-,-,-,-,-,-,-
'142:08:01.424',-,0.103,-,-,-,-,-,-,-
'142:08:01.432',-,0.103,-,-,-,-,-,-,-
'142:08:01.440',-,0.103,-,-,-,-,-,-,-
'142:08:01.448',-,0.103,-,-,-,-,-,-,-
'142:08:01.456',-,0.080,-,-,-,-,-,-,-
'142:08:01.464',-,0.069,-,-,-,-,-,-,-
'142:08:01.472',-,0.034,-,-,-,-,-,-,-
'142:08:01.480',-,0.023,-,-,-,-,-,-,-
'142:08:01.488',-,0.011,-,-,-,-,-,-,-
'142:08:01.496',-,0.011,-,-,-,-,-,-,-
'142:08:01.504',-,0.000,-,-,-,-,-,-,-
'142:08:01.512',-,-0.011,-,-,-,-,-,-,-
'142:08:01.520',-,-0.023,-,-,-,-,-,-,-
'142:08:01.528',-,-0.011,-,-,-,-,-,-,-
'142:08:01.536',-,-0.011,-,-,-,-,-,-,-
'142:08:01.544',-,-0.011,-,-,-,-,-,-,-
'142:08:01.552',-,-0.011,-,-,-,-,-,-,-
'142:08:01.560',-,-0.023,-,-,-,-,-,-,-
'142:08:01.568',-,-0.011,-,-,-,-,-,-,-
'142:08:01.576',-,-0.011,-,-,-,-,-,-,-
'142:08:01.584',-,-0.011,-,-,-,-,-,-,-
'142:08:01.592',-,-0.011,-,-,-,-,-,-,-
'142:08:01.600',-,-0.011,-,-,-,-,-,-,-
'142:08:01.608',-,-0.011,-,-,-,-,-,-,-
'142:08:01.616',-,-0.011,-,-,-,-,-,-,-
'142:08:01.624',-,-0.023,-,-,-,-,-,-,-
'142:08:01.632',-,-0.023,-,-,-,-,-,-,-
'142:08:01.640',-,-0.023,-,-,-,-,-,-,-
'142:08:01.648',-,-0.011,-,-,-,-,-,-,-
'142:08:01.656',-,-0.011,-,-,-,-,-,-,-
'142:08:01.664',-,-0.011,-,-,-,-,-,-,-
'142:08:01.672',-,-0.011,-,-,-,-,-,-,-
'142:08:01.680',-,-0.011,-,-,-,-,-,-,-
'142:08:01.688',-,-0.011,-,-,-,-,-,-,-
'142:08:01.696',-,0.000,-,-,-,-,-,-,-
'142:08:01.704',-,-0.011,-,-,-,-,-,-,-
'142:08:01.712',-,-0.011,-,-,-,-,-,-,-
'142:08:01.720',-,-0.011,-,-,-,-,-,-,-
'142:08:01.728',-,-0.011,-,-,-,-,-,-,-
'142:08:01.736',-,-0.011,-,-,-,-,-,-,-
'142:08:01.744',-,-0.011,-,-,-,-,-,-,-
'142:08:01.752',-,-0.011,-,-,-,-,-,-,-
'142:08:01.760',-,-0.011,-,-,-,-,-,-,-
'142:08:01.768',-,-0.011,-,-,-,-,-,-,-
'142:08:01.776',-,-0.011,-,-,-,-,-,-,-
'142:08:01.784',-,-0.011,-,-,-,-,-,-,-
'142:08:01.792',-,-0.011,-,-,-,-,-,-,-
'142:08:01.800',-,0.000,-,-,-,-,-,-,-
'142:08:01.808',-,-0.011,-,-,-,-,-,-,-
'142:08:01.816',-,-0.011,-,-,-,-,-,-,-
'142:08:01.824',-,-0.011,-,-,-,-,-,-,-
'142:08:01.832',-,-0.011,-,-,-,-,-,-,-
'142:08:01.840',-,-0.011,-,-,-,-,-,-,-
'142:08:01.848',-,0.000,-,-,-,-,-,-,-
'142:08:01.856',-,0.000,-,-,-,-,-,-,-
'142:08:01.864',-,0.000,-,-,-,-,-,-,-
'142:08:01.872',-,-0.011,-,-,-,-,-,-,-
'142:08:01.880',-,0.000,-,-,-,-,-,-,-
'142:08:01.888',-,0.000,-,-,-,-,-,-,-
'142:08:01.896',-,0.000,-,-,-,-,-,-,-
'142:08:01.904',-,0.000,-,-,-,-,-,-,-
'142:08:01.912',-,0.000,-,-,-,-,-,-,-
'142:08:01.920',-,0.000,-,-,-,-,-,-,-
'142:08:01.928',-,0.000,-,-,-,-,-,-,-
'142:08:01.936',-,0.000,-,-,-,-,-,-,-
'142:08:01.944',-,0.000,-,-,-,-,-,-,-
'142:08:01.952',-,0.000,-,-,-,-,-,-,-
'142:08:01.960',-,0.000,-,-,-,-,-,-,-
'142:08:01.968',-,0.000,-,-,-,-,-,-,-
'142:08:01.976',-,0.000,-,-,-,-,-,-,-
'142:08:01.984',-,0.000,-,-,-,-,-,-,-
'142:08:01.992',-,0.000,-,-,-,-,-,-,-
'142:08:02.000',-,0.000,-,-,-,-,-,-,-
'142:08:02.008',-,0.000,-,-,-,-,-,-,-
'142:08:02.016',-,0.000,-,-,-,-,-,-,-
'142:08:02.024',-,0.000,-,-,-,-,-,-,-
'142:08:02.032',-,0.011,-,-,-,-,-,-,-
'142:08:02.040',-,0.011,-,-,-,-,-,-,-
'142:08:02.048',-,0.011,-,-,-,-,-,-,-
'142:08:02.056',-,0.023,-,-,-,-,-,-,-
'142:08:02.064',-,0.023,-,-,-,-,-,-,-
'142:08:02.072',-,0.034,-,-,-,-,-,-,-
'142:08:02.080',-,0.034,-,-,-,-,-,-,-
'142:08:02.088',-,0.011,-,-,-,-,-,-,-
'142:08:02.096',-,0.011,-,-,-,-,-,-,-
'142:08:02.104',-,0.000,-,-,-,-,-,-,-
'142:08:02.112',-,-0.011,-,-,-,-,-,-,-
'142:08:02.120',-,-0.011,-,-,-,-,-,-,-
'142:08:02.128',-,-0.011,-,-,-,-,-,-,-
'142:08:02.136',-,-0.011,-,-,-,-,-,-,-
'142:08:02.144',-,-0.011,-,-,-,-,-,-,-
'142:08:02.152',-,-0.011,-,-,-,-,-,-,-
'142:08:02.160',-,-0.011,-,-,-,-,-,-,-
'142:08:02.168',-,-0.011,-,-,-,-,-,-,-
'142:08:02.176',-,-0.011,-,-,-,-,-,-,-
'142:08:02.184',-,0.000,-,-,-,-,-,-,-
'142:08:02.192',-,0.000,-,-,-,-,-,-,-
'142:08:02.200',-,0.000,-,-,-,-,-,-,-
'142:08:02.208',-,0.023,-,-,-,-,-,-,-
'142:08:02.216',-,0.080,-,-,-,-,-,-,-
'142:08:02.224',-,0.241,-,-,-,-,-,-,-
'142:08:02.232',-,0.414,-,-,-,-,-,-,-
'142:08:02.240',-,0.448,-,-,-,-,-,-,-
'142:08:02.248',-,0.287,-,-,-,-,-,-,-
'142:08:02.256',-,0.161,-,-,-,-,-,-,-
'142:08:02.264',-,0.103,-,-,-,-,-,-,-
'142:08:02.272',-,0.069,-,-,-,-,-,-,-
'142:08:02.280',-,0.011,-,-,-,-,-,-,-
'142:08:02.288',-,-0.069,-,-,-,-,-,-,-
'142:08:02.296',-,-0.115,-,-,-,-,-,-,-
'142:08:02.304',-,-0.115,-,-,-,-,-,-,-
'142:08:02.312',-,-0.069,-,-,-,-,-,-,-
'142:08:02.320',-,-0.057,-,-,-,-,-,-,-
'142:08:02.328',-,-0.034,-,-,-,-,-,-,-
'142:08:02.336',-,-0.034,-,-,-,-,-,-,-
'142:08:02.344',-,-0.034,-,-,-,-,-,-,-
'142:08:02.352',-,-0.023,-,-,-,-,-,-,-
'142:08:02.360',-,-0.023,-,-,-,-,-,-,-
'142:08:02.368',-,-0.011,-,-,-,-,-,-,-
'142:08:02.376',-,-0.011,-,-,-,-,-,-,-
'142:08:02.384',-,-0.011,-,-,-,-,-,-,-
'142:08:02.392',-,-0.011,-,-,-,-,-,-,-
'142:08:02.400',-,-0.011,-,-,-,-,-,-,-
'142:08:02.408',-,-0.011,-,-,-,-,-,-,-
'142:08:02.416',-,0.000,-,-,-,-,-,-,-
'142:08:02.424',-,0.000,-,-,-,-,-,-,-
'142:08:02.432',-,0.000,-,-,-,-,-,-,-
'142:08:02.440',-,0.011,-,-,-,-,-,-,-
'142:08:02.448',-,0.011,-,-,-,-,-,-,-
'142:08:02.456',-,0.023,-,-,-,-,-,-,-
'142:08:02.464',-,0.034,-,-,-,-,-,-,-
'142:08:02.472',-,0.057,-,-,-,-,-,-,-
'142:08:02.480',-,0.069,-,-,-,-,-,-,-
'142:08:02.488',-,0.080,-,-,-,-,-,-,-
'142:08:02.496',-,0.103,-,-,-,-,-,-,-
'142:08:02.504',-,0.103,-,-,-,-,-,-,-
'142:08:02.512',-,0.103,-,-,-,-,-,-,-
'142:08:02.520',-,0.080,-,-,-,-,-,-,-
'142:08:02.528',-,0.069,-,-,-,-,-,-,-
'142:08:02.536',-,0.057,-,-,-,-,-,-,-
'142:08:02.544',-,0.023,-,-,-,-,-,-,-
'142:08:02.552',-,0.011,-,-,-,-,-,-,-
'142:08:02.560',-,0.000,-,-,-,-,-,-,-
'142:08:02.568',-,0.000,-,-,-,-,-,-,-
'142:08:02.576',-,0.000,-,-,-,-,-,-,-
'142:08:02.584',-,-0.011,-,-,-,-,-,-,-
'142:08:02.592',-,-0.011,-,-,-,-,-,-,-
'142:08:02.600',-,-0.011,-,-,-,-,-,-,-
'142:08:02.608',-,-0.011,-,-,-,-,-,-,-
'142:08:02.616',-,-0.011,-,-,-,-,-,-,-
'142:08:02.624',-,-0.011,-,-,-,-,-,-,-
'142:08:02.632',-,-0.023,-,-,-,-,-,-,-
'142:08:02.640',-,-0.023,-,-,-,-,-,-,-
'142:08:02.648',-,-0.023,-,-,-,-,-,-,-
'142:08:02.656',-,-0.023,-,-,-,-,-,-,-
'142:08:02.664',-,-0.023,-,-,-,-,-,-,-
'142:08:02.672',-,-0.011,-,-,-,-,-,-,-
'142:08:02.680',-,-0.011,-,-,-,-,-,-,-
'142:08:02.688',-,-0.023,-,-,-,-,-,-,-
'142:08:02.696',-,-0.023,-,-,-,-,-,-,-
'142:08:02.704',-,-0.023,-,-,-,-,-,-,-
'142:08:02.712',-,-0.011,-,-,-,-,-,-,-
'142:08:02.720',-,-0.023,-,-,-,-,-,-,-
'142:08:02.728',-,-0.023,-,-,-,-,-,-,-
'142:08:02.736',-,-0.011,-,-,-,-,-,-,-
'142:08:02.744',-,-0.011,-,-,-,-,-,-,-
'142:08:02.752',-,-0.011,-,-,-,-,-,-,-
'142:08:02.760',-,-0.011,-,-,-,-,-,-,-
'142:08:02.768',-,-0.023,-,-,-,-,-,-,-
'142:08:02.776',-,-0.011,-,-,-,-,-,-,-
'142:08:02.784',-,-0.011,-,-,-,-,-,-,-
'142:08:02.792',-,-0.011,-,-,-,-,-,-,-
'142:08:02.800',-,-0.011,-,-,-,-,-,-,-
'142:08:02.808',-,-0.011,-,-,-,-,-,-,-
'142:08:02.816',-,-0.011,-,-,-,-,-,-,-
'142:08:02.824',-,-0.011,-,-,-,-,-,-,-
'142:08:02.832',-,-0.011,-,-,-,-,-,-,-
'142:08:02.840',-,-0.011,-,-,-,-,-,-,-
'142:08:02.848',-,-0.011,-,-,-,-,-,-,-
'142:08:02.856',-,0.000,-,-,-,-,-,-,-
'142:08:02.864',-,0.000,-,-,-,-,-,-,-
'142:08:02.872',-,-0.011,-,-,-,-,-,-,-
'142:08:02.880',-,-0.011,-,-,-,-,-,-,-
'142:08:02.888',-,0.000,-,-,-,-,-,-,-
'142:08:02.896',-,0.000,-,-,-,-,-,-,-
'142:08:02.904',-,0.000,-,-,-,-,-,-,-
'142:08:02.912',-,0.000,-,-,-,-,-,-,-
'142:08:02.920',-,0.000,-,-,-,-,-,-,-
'142:08:02.928',-,-0.011,-,-,-,-,-,-,-
'142:08:02.936',-,0.000,-,-,-,-,-,-,-
'142:08:02.944',-,0.000,-,-,-,-,-,-,-
'142:08:02.952',-,0.000,-,-,-,-,-,-,-
'142:08:02.960',-,-0.011,-,-,-,-,-,-,-
'142:08:02.968',-,0.000,-,-,-,-,-,-,-
'142:08:02.976',-,0.000,-,-,-,-,-,-,-
'142:08:02.984',-,0.000,-,-,-,-,-,-,-
'142:08:02.992',-,0.000,-,-,-,-,-,-,-
'142:08:03.000',-,0.000,-,-,-,-,-,-,-
'142:08:03.008',-,-0.011,-,-,-,-,-,-,-
'142:08:03.016',-,0.000,-,-,-,-,-,-,-
'142:08:03.024',-,0.000,-,-,-,-,-,-,-
'142:08:03.032',-,0.000,-,-,-,-,-,-,-
'142:08:03.040',-,0.000,-,-,-,-,-,-,-
'142:08:03.048',-,0.000,-,-,-,-,-,-,-
'142:08:03.056',-,0.000,-,-,-,-,-,-,-
'142:08:03.064',-,0.000,-,-,-,-,-,-,-
'142:08:03.072',-,0.000,-,-,-,-,-,-,-
'142:08:03.080',-,0.011,-,-,-,-,-,-,-
'142:08:03.088',-,0.011,-,-,-,-,-,-,-
'142:08:03.096',-,0.011,-,-,-,-,-,-,-
'142:08:03.104',-,0.011,-,-,-,-,-,-,-
'142:08:03.112',-,0.023,-,-,-,-,-,-,-
'142:08:03.120',-,0.034,-,-,-,-,-,-,-
'142:08:03.128',-,0.034,-,-,-,-,-,-,-
'142:08:03.136',-,0.023,-,-,-,-,-,-,-
'142:08:03.144',-,0.011,-,-,-,-,-,-,-
'142:08:03.152',-,0.000,-,-,-,-,-,-,-
'142:08:03.160',-,0.000,-,-,-,-,-,-,-
'142:08:03.168',-,-0.011,-,-,-,-,-,-,-
'142:08:03.176',-,-0.011,-,-,-,-,-,-,-
'142:08:03.184',-,-0.011,-,-,-,-,-,-,-
'142:08:03.192',-,-0.011,-,-,-,-,-,-,-
'142:08:03.200',-,-0.011,-,-,-,-,-,-,-
'142:08:03.208',-,-0.011,-,-,-,-,-,-,-
'142:08:03.216',-,-0.011,-,-,-,-,-,-,-
'142:08:03.224',-,-0.011,-,-,-,-,-,-,-
'142:08:03.232',-,-0.011,-,-,-,-,-,-,-
'142:08:03.240',-,0.000,-,-,-,-,-,-,-
'142:08:03.248',-,0.000,-,-,-,-,-,-,-
'142:08:03.256',-,0.000,-,-,-,-,-,-,-
'142:08:03.264',-,0.023,-,-,-,-,-,-,-
'142:08:03.272',-,0.080,-,-,-,-,-,-,-
'142:08:03.280',-,0.264,-,-,-,-,-,-,-
'142:08:03.288',-,0.437,-,-,-,-,-,-,-
'142:08:03.296',-,0.460,-,-,-,-,-,-,-
'142:08:03.304',-,0.264,-,-,-,-,-,-,-
'142:08:03.312',-,0.149,-,-,-,-,-,-,-
'142:08:03.320',-,0.103,-,-,-,-,-,-,-
'142:08:03.328',-,0.069,-,-,-,-,-,-,-
'142:08:03.336',-,0.000,-,-,-,-,-,-,-
'142:08:03.344',-,-0.069,-,-,-,-,-,-,-
'142:08:03.352',-,-0.115,-,-,-,-,-,-,-
'142:08:03.360',-,-0.115,-,-,-,-,-,-,-
'142:08:03.368',-,-0.069,-,-,-,-,-,-,-
'142:08:03.376',-,-0.034,-,-,-,-,-,-,-
'142:08:03.384',-,-0.034,-,-,-,-,-,-,-
'142:08:03.392',-,-0.023,-,-,-,-,-,-,-
'142:08:03.400',-,-0.023,-,-,-,-,-,-,-
'142:08:03.408',-,-0.023,-,-,-,-,-,-,-
'142:08:03.416',-,-0.023,-,-,-,-,-,-,-
'142:08:03.424',-,-0.023,-,-,-,-,-,-,-
'142:08:03.432',-,-0.011,-,-,-,-,-,-,-
'142:08:03.440',-,-0.011,-,-,-,-,-,-,-
'142:08:03.448',-,-0.011,-,-,-,-,-,-,-
'142:08:03.456',-,-0.011,-,-,-,-,-,-,-
'142:08:03.464',-,-0.011,-,-,-,-,-,-,-
'142:08:03.472',-,-0.011,-,-,-,-,-,-,-
'142:08:03.480',-,0.000,-,-,-,-,-,-,-
'142:08:03.488',-,0.000,-,-,-,-,-,-,-
'142:08:03.496',-,0.011,-,-,-,-,-,-,-
'142:08:03.504',-,0.011,-,-,-,-,-,-,-
'142:08:03.512',-,0.023,-,-,-,-,-,-,-
'142:08:03.520',-,0.034,-,-,-,-,-,-,-
'142:08:03.528',-,0.057,-,-,-,-,-,-,-
'142:08:03.536',-,0.069,-,-,-,-,-,-,-
'142:08:03.544',-,0.103,-,-,-,-,-,-,-
'142:08:03.552',-,0.115,-,-,-,-,-,-,-
'142:08:03.560',-,0.115,-,-,-,-,-,-,-
'142:08:03.568',-,0.103,-,-,-,-,-,-,-
'142:08:03.576',-,0.080,-,-,-,-,-,-,-
'142:08:03.584',-,0.069,-,-,-,-,-,-,-
'142:08:03.592',-,0.057,-,-,-,-,-,-,-
'142:08:03.600',-,0.034,-,-,-,-,-,-,-
'142:08:03.608',-,0.011,-,-,-,-,-,-,-
'142:08:03.616',-,0.011,-,-,-,-,-,-,-
'142:08:03.624',-,0.000,-,-,-,-,-,-,-
'142:08:03.632',-,-0.011,-,-,-,-,-,-,-
'142:08:03.640',-,-0.011,-,-,-,-,-,-,-
'142:08:03.648',-,-0.011,-,-,-,-,-,-,-
'142:08:03.656',-,-0.011,-,-,-,-,-,-,-
'142:08:03.664',-,-0.011,-,-,-,-,-,-,-
'142:08:03.672',-,-0.023,-,-,-,-,-,-,-
'142:08:03.680',-,-0.023,-,-,-,-,-,-,-
'142:08:03.688',-,-0.023,-,-,-,-,-,-,-
'142:08:03.696',-,-0.023,-,-,-,-,-,-,-
'142:08:03.704',-,-0.023,-,-,-,-,-,-,-
'142:08:03.712',-,-0.011,-,-,-,-,-,-,-
'142:08:03.720',-,-0.023,-,-,-,-,-,-,-
'142:08:03.728',-,-0.023,-,-,-,-,-,-,-
'142:08:03.736',-,-0.023,-,-,-,-,-,-,-
'142:08:03.744',-,-0.023,-,-,-,-,-,-,-
'142:08:03.752',-,-0.011,-,-,-,-,-,-,-
'142:08:03.760',-,-0.023,-,-,-,-,-,-,-
'142:08:03.768',-,-0.011,-,-,-,-,-,-,-
'142:08:03.776',-,-0.011,-,-,-,-,-,-,-
'142:08:03.784',-,-0.011,-,-,-,-,-,-,-
'142:08:03.792',-,-0.011,-,-,-,-,-,-,-
'142:08:03.800',-,-0.011,-,-,-,-,-,-,-
'142:08:03.808',-,-0.011,-,-,-,-,-,-,-
'142:08:03.816',-,-0.011,-,-,-,-,-,-,-
'142:08:03.824',-,-0.011,-,-,-,-,-,-,-
'142:08:03.832',-,-0.011,-,-,-,-,-,-,-
'142:08:03.840',-,-0.011,-,-,-,-,-,-,-
'142:08:03.848',-,-0.011,-,-,-,-,-,-,-
'142:08:03.856',-,0.000,-,-,-,-,-,-,-
'142:08:03.864',-,-0.011,-,-,-,-,-,-,-
'142:08:03.872',-,-0.011,-,-,-,-,-,-,-
