'Elapsed time','I','II','III','AVR','AVL','AVF','V','MCL1','ABP'
'142:11:13.288',-,-0.011,-,-,-,-,-,-,-
'142:11:13.296',-,-0.011,-,-,-,-,-,-,-
'142:11:13.304',-,0.000,-,-,-,-,-,-,-
'142:11:13.312',-,0.000,-,-,-,-,-,-,-
'142:11:13.320',-,0.000,-,-,-,-,-,-,-
'142:11:13.328',-,0.000,-,-,-,-,-,-,-
'142:11:13.336',-,0.000,-,-,-,-,-,-,-
'142:11:13.344',-,0.000,-,-,-,-,-,-,-
'142:11:13.352',-,0.000,-,-,-,-,-,-,-
'142:11:13.360',-,0.000,-,-,-,-,-,-,-
'142:11:13.368',-,0.000,-,-,-,-,-,-,-
'142:11:13.376',-,0.000,-,-,-,-,-,-,-
'142:11:13.384',-,0.000,-,-,-,-,-,-,-
'142:11:13.392',-,0.000,-,-,-,-,-,-,-
'142:11:13.400',-,0.000,-,-,-,-,-,-,-
'142:11:13.408',-,0.000,-,-,-,-,-,-,-
'142:11:13.416',-,0.000,-,-,-,-,-,-,-
'142:11:13.424',-,0.000,-,-,-,-,-,-,-
'142:11:13.432',-,0.000,-,-,-,-,-,-,-
'142:11:13.440',-,0.000,-,-,-,-,-,-,-
'142:11:13.448',-,0.000,-,-,-,-,-,-,-
'142:11:13.456',-,0.000,-,-,-,-,-,-,-
'142:11:13.464',-,0.000,-,-,-,-,-,-,-
'142:11:13.472',-,0.000,-,-,-,-,-,-,-
'142:11:13.480',-,0.000,-,-,-,-,-,-,-
'142:11:13.488',-,0.000,-,-,-,-,-,-,-
'142:11:13.496',-,0.000,-,-,-,-,-,-,-
'142:11:13.504',-,0.000,-,-,-,-,-,-,-
'142:11:13.512',-,0.000,-,-,-,-,-,-,-
'142:11:13.520',-,0.000,-,-,-,-,-,-,-
'142:11:13.528',-,0.000,-,-,-,-,-,-,-
'142:11:13.536',-,0.000,-,-,-,-,-,-,-
'142:11:13.544',-,0.000,-,-,-,-,-,-,-
'142:11:13.552',-,0.000,-,-,-,-,-,-,-
'142:11:13.560',-,0.000,-,-,-,-,-,-,-
'142:11:13.568',-,0.000,-,-,-,-,-,-,-
'142:11:13.576',-,-0.011,-,-,-,-,-,-,-
'142:11:13.584',-,-0.023,-,-,-,-,-,-,-
'142:11:13.592',-,-0.023,-,-,-,-,-,-,-
'142:11:13.600',-,-0.034,-,-,-,-,-,-,-
'142:11:13.608',-,-0.034,-,-,-,-,-,-,-
'142:11:13.616',-,-0.034,-,-,-,-,-,-,-
'142:11:13.624',-,-0.034,-,-,-,-,-,-,-
'142:11:13.632',-,-0.011,-,-,-,-,-,-,-
'142:11:13.640',-,0.000,-,-,-,-,-,-,-
'142:11:13.648',-,0.000,-,-,-,-,-,-,-
'142:11:13.656',-,0.000,-,-,-,-,-,-,-
'142:11:13.664',-,0.011,-,-,-,-,-,-,-
'142:11:13.672',-,0.011,-,-,-,-,-,-,-
'142:11:13.680',-,0.023,-,-,-,-,-,-,-
'142:11:13.688',-,0.034,-,-,-,-,-,-,-
'142:11:13.696',-,0.126,-,-,-,-,-,-,-
'142:11:13.704',-,0.299,-,-,-,-,-,-,-
'142:11:13.712',-,0.483,-,-,-,-,-,-,-
'142:11:13.720',-,0.506,-,-,-,-,-,-,-
'142:11:13.728',-,0.299,-,-,-,-,-,-,-
'142:11:13.736',-,0.161,-,-,-,-,-,-,-
'142:11:13.744',-,0.103,-,-,-,-,-,-,-
'142:11:13.752',-,0.080,-,-,-,-,-,-,-
'142:11:13.760',-,0.023,-,-,-,-,-,-,-
'142:11:13.768',-,-0.034,-,-,-,-,-,-,-
'142:11:13.776',-,-0.103,-,-,-,-,-,-,-
'142:11:13.784',-,-0.115,-,-,-,-,-,-,-
'142:11:13.792',-,-0.080,-,-,-,-,-,-,-
'142:11:13.800',-,-0.034,-,-,-,-,-,-,-
'142:11:13.808',-,-0.023,-,-,-,-,-,-,-
'142:11:13.816',-,-0.023,-,-,-,-,-,-,-
'142:11:13.824',-,-0.023,-,-,-,-,-,-,-
'142:11:13.832',-,-0.011,-,-,-,-,-,-,-
'142:11:13.840',-,-0.011,-,-,-,-,-,-,-
'142:11:13.848',-,-0.011,-,-,-,-,-,-,-
'142:11:13.856',-,-0.011,-,-,-,-,-,-,-
'142:11:13.864',-,-0.011,-,-,-,-,-,-,-
'142:11:13.872',-,-0.011,-,-,-,-,-,-,-
'142:11:13.880',-,0.000,-,-,-,-,-,-,-
'142:11:13.888',-,0.000,-,-,-,-,-,-,-
'142:11:13.896',-,0.000,-,-,-,-,-,-,-
'142:11:13.904',-,0.000,-,-,-,-,-,-,-
'142:11:13.912',-,0.000,-,-,-,-,-,-,-
'142:11:13.920',-,0.000,-,-,-,-,-,-,-
'142:11:13.928',-,0.011,-,-,-,-,-,-,-
'142:11:13.936',-,0.023,-,-,-,-,-,-,-
'142:11:13.944',-,0.023,-,-,-,-,-,-,-
'142:11:13.952',-,0.057,-,-,-,-,-,-,-
'142:11:13.960',-,0.069,-,-,-,-,-,-,-
'142:11:13.968',-,0.080,-,-,-,-,-,-,-
'142:11:13.976',-,0.103,-,-,-,-,-,-,-
'142:11:13.984',-,0.103,-,-,-,-,-,-,-
'142:11:13.992',-,0.103,-,-,-,-,-,-,-
'142:11:14.000',-,0.080,-,-,-,-,-,-,-
'142:11:14.008',-,0.069,-,-,-,-,-,-,-
'142:11:14.016',-,0.057,-,-,-,-,-,-,-
'142:11:14.024',-,0.034,-,-,-,-,-,-,-
'142:11:14.032',-,0.023,-,-,-,-,-,-,-
'142:11:14.040',-,0.011,-,-,-,-,-,-,-
'142:11:14.048',-,0.000,-,-,-,-,-,-,-
'142:11:14.056',-,-0.011,-,-,-,-,-,-,-
'142:11:14.064',-,-0.011,-,-,-,-,-,-,-
'142:11:14.072',-,-0.023,-,-,-,-,-,-,-
'142:11:14.080',-,-0.023,-,-,-,-,-,-,-
'142:11:14.088',-,-0.023,-,-,-,-,-,-,-
'142:11:14.096',-,-0.011,-,-,-,-,-,-,-
'142:11:14.104',-,-0.023,-,-,-,-,-,-,-
'142:11:14.112',-,-0.023,-,-,-,-,-,-,-
'142:11:14.120',-,-0.034,-,-,-,-,-,-,-
'142:11:14.128',-,-0.034,-,-,-,-,-,-,-
'142:11:14.136',-,-0.034,-,-,-,-,-,-,-
'142:11:14.144',-,-0.023,-,-,-,-,-,-,-
'142:11:14.152',-,-0.023,-,-,-,-,-,-,-
'142:11:14.160',-,-0.023,-,-,-,-,-,-,-
'142:11:14.168',-,-0.023,-,-,-,-,-,-,-
'142:11:14.176',-,-0.023,-,-,-,-,-,-,-
'142:11:14.184',-,-0.023,-,-,-,-,-,-,-
'142:11:14.192',-,-0.023,-,-,-,-,-,-,-
'142:11:14.200',-,-0.023,-,-,-,-,-,-,-
'142:11:14.208',-,-0.023,-,-,-,-,-,-,-
'142:11:14.216',-,-0.011,-,-,-,-,-,-,-
'142:11:14.224',-,-0.023,-,-,-,-,-,-,-
'142:11:14.232',-,-0.023,-,-,-,-,-,-,-
'142:11:14.240',-,-0.011,-,-,-,-,-,-,-
'142:11:14.248',-,-0.011,-,-,-,-,-,-,-
'142:11:14.256',-,-0.011,-,-,-,-,-,-,-
'142:11:14.264',-,-0.011,-,-,-,-,-,-,-
'142:11:14.272',-,-0.011,-,-,-,-,-,-,-
'142:11:14.280',-,-0.011,-,-,-,-,-,-,-
'142:11:14.288',-,-0.011,-,-,-,-,-,-,-
'142:11:14.296',-,-0.011,-,-,-,-,-,-,-
'142:11:14.304',-,-0.011,-,-,-,-,-,-,-
'142:11:14.312',-,-0.011,-,-,-,-,-,-,-
'142:11:14.320',-,-0.011,-,-,-,-,-,-,-
'142:11:14.328',-,0.000,-,-,-,-,-,-,-
'142:11:14.336',-,-0.011,-,-,-,-,-,-,-
'142:11:14.344',-,-0.011,-,-,-,-,-,-,-
'142:11:14.352',-,-0.011,-,-,-,-,-,-,-
'142:11:14.360',-,-0.011,-,-,-,-,-,-,-
'142:11:14.368',-,-0.011,-,-,-,-,-,-,-
'142:11:14.376',-,0.000,-,-,-,-,-,-,-
'142:11:14.384',-,0.000,-,-,-,-,-,-,-
'142:11:14.392',-,0.000,-,-,-,-,-,-,-
'142:11:14.400',-,-0.011,-,-,-,-,-,-,-
'142:11:14.408',-,0.000,-,-,-,-,-,-,-
'142:11:14.416',-,0.000,-,-,-,-,-,-,-
'142:11:14.424',-,0.000,-,-,-,-,-,-,-
'142:11:14.432',-,-0.011,-,-,-,-,-,-,-
'142:11:14.440',-,0.000,-,-,-,-,-,-,-
'142:11:14.448',-,0.000,-,-,-,-,-,-,-
'142:11:14.456',-,0.000,-,-,-,-,-,-,-
'142:11:14.464',-,0.000,-,-,-,-,-,-,-
'142:11:14.472',-,0.000,-,-,-,-,-,-,-
'142:11:14.480',-,0.000,-,-,-,-,-,-,-
'142:11:14.488',-,0.000,-,-,-,-,-,-,-
'142:11:14.496',-,0.000,-,-,-,-,-,-,-
'142:11:14.504',-,0.000,-,-,-,-,-,-,-
'142:11:14.512',-,0.000,-,-,-,-,-,-,-
'142:11:14.520',-,0.000,-,-,-,-,-,-,-
'142:11:14.528',-,0.000,-,-,-,-,-,-,-
'142:11:14.536',-,0.000,-,-,-,-,-,-,-
'142:11:14.544',-,0.000,-,-,-,-,-,-,-
'142:11:14.552',-,0.000,-,-,-,-,-,-,-
'142:11:14.560',-,0.000,-,-,-,-,-,-,-
'142:11:14.568',-,0.000,-,-,-,-,-,-,-
'142:11:14.576',-,0.000,-,-,-,-,-,-,-
'142:11:14.584',-,0.000,-,-,-,-,-,-,-
'142:11:14.592',-,0.000,-,-,-,-,-,-,-
'142:11:14.600',-,0.000,-,-,-,-,-,-,-
'142:11:14.608',-,0.000,-,-,-,-,-,-,-
'142:11:14.616',-,0.000,-,-,-,-,-,-,-
'142:11:14.624',-,0.000,-,-,-,-,-,-,-
'142:11:14.632',-,0.000,-,-,-,-,-,-,-
'142:11:14.640',-,0.000,-,-,-,-,-,-,-
'142:11:14.648',-,0.011,-,-,-,-,-,-,-
'142:11:14.656',-,0.023,-,-,-,-,-,-,-
'142:11:14.664',-,0.023,-,-,-,-,-,-,-
'142:11:14.672',-,0.023,-,-,-,-,-,-,-
'142:11:14.680',-,0.011,-,-,-,-,-,-,-
'142:11:14.688',-,0.000,-,-,-,-,-,-,-
'142:11:14.696',-,0.000,-,-,-,-,-,-,-
'142:11:14.704',-,-0.011,-,-,-,-,-,-,-
'142:11:14.712',-,0.000,-,-,-,-,-,-,-
'142:11:14.720',-,0.000,-,-,-,-,-,-,-
'142:11:14.728',-,-0.011,-,-,-,-,-,-,-
'142:11:14.736',-,-0.011,-,-,-,-,-,-,-
'142:11:14.744',-,-0.011,-,-,-,-,-,-,-
'142:11:14.752',-,-0.011,-,-,-,-,-,-,-
'142:11:14.760',-,0.000,-,-,-,-,-,-,-
'142:11:14.768',-,-0.011,-,-,-,-,-,-,-
'142:11:14.776',-,-0.011,-,-,-,-,-,-,-
'142:11:14.784',-,0.000,-,-,-,-,-,-,-
'142:11:14.792',-,0.011,-,-,-,-,-,-,-
'142:11:14.800',-,0.080,-,-,-,-,-,-,-
'142:11:14.808',-,0.241,-,-,-,-,-,-,-
'142:11:14.816',-,0.437,-,-,-,-,-,-,-
'142:11:14.824',-,0.483,-,-,-,-,-,-,-
'142:11:14.832',-,0.310,-,-,-,-,-,-,-
'142:11:14.840',-,0.161,-,-,-,-,-,-,-
'142:11:14.848',-,0.103,-,-,-,-,-,-,-
'142:11:14.856',-,0.069,-,-,-,-,-,-,-
'142:11:14.864',-,0.023,-,-,-,-,-,-,-
'142:11:14.872',-,-0.034,-,-,-,-,-,-,-
'142:11:14.880',-,-0.103,-,-,-,-,-,-,-
'142:11:14.888',-,-0.126,-,-,-,-,-,-,-
'142:11:14.896',-,-0.103,-,-,-,-,-,-,-
'142:11:14.904',-,-0.069,-,-,-,-,-,-,-
'142:11:14.912',-,-0.034,-,-,-,-,-,-,-
'142:11:14.920',-,-0.023,-,-,-,-,-,-,-
'142:11:14.928',-,-0.023,-,-,-,-,-,-,-
'142:11:14.936',-,-0.011,-,-,-,-,-,-,-
'142:11:14.944',-,-0.011,-,-,-,-,-,-,-
'142:11:14.952',-,-0.011,-,-,-,-,-,-,-
'142:11:14.960',-,-0.011,-,-,-,-,-,-,-
'142:11:14.968',-,-0.011,-,-,-,-,-,-,-
'142:11:14.976',-,0.000,-,-,-,-,-,-,-
'142:11:14.984',-,0.000,-,-,-,-,-,-,-
'142:11:14.992',-,0.000,-,-,-,-,-,-,-
'142:11:15.000',-,0.000,-,-,-,-,-,-,-
'142:11:15.008',-,0.000,-,-,-,-,-,-,-
'142:11:15.016',-,0.000,-,-,-,-,-,-,-
'142:11:15.024',-,0.000,-,-,-,-,-,-,-
'142:11:15.032',-,0.011,-,-,-,-,-,-,-
'142:11:15.040',-,0.011,-,-,-,-,-,-,-
'142:11:15.048',-,0.023,-,-,-,-,-,-,-
'142:11:15.056',-,0.034,-,-,-,-,-,-,-
'142:11:15.064',-,0.057,-,-,-,-,-,-,-
'142:11:15.072',-,0.069,-,-,-,-,-,-,-
'142:11:15.080',-,0.080,-,-,-,-,-,-,-
'142:11:15.088',-,0.103,-,-,-,-,-,-,-
'142:11:15.096',-,0.115,-,-,-,-,-,-,-
'142:11:15.104',-,0.103,-,-,-,-,-,-,-
'142:11:15.112',-,0.080,-,-,-,-,-,-,-
'142:11:15.120',-,0.069,-,-,-,-,-,-,-
'142:11:15.128',-,0.057,-,-,-,-,-,-,-
'142:11:15.136',-,0.023,-,-,-,-,-,-,-
'142:11:15.144',-,0.011,-,-,-,-,-,-,-
'142:11:15.152',-,0.000,-,-,-,-,-,-,-
'142:11:15.160',-,0.000,-,-,-,-,-,-,-
'142:11:15.168',-,-0.011,-,-,-,-,-,-,-
'142:11:15.176',-,-0.011,-,-,-,-,-,-,-
'142:11:15.184',-,-0.011,-,-,-,-,-,-,-
'142:11:15.192',-,-0.011,-,-,-,-,-,-,-
'142:11:15.200',-,-0.011,-,-,-,-,-,-,-
'142:11:15.208',-,-0.023,-,-,-,-,-,-,-
'142:11:15.216',-,-0.023,-,-,-,-,-,-,-
'142:11:15.224',-,-0.023,-,-,-,-,-,-,-
'142:11:15.232',-,-0.023,-,-,-,-,-,-,-
'142:11:15.240',-,-0.023,-,-,-,-,-,-,-
'142:11:15.248',-,-0.023,-,-,-,-,-,-,-
'142:11:15.256',-,-0.023,-,-,-,-,-,-,-
'142:11:15.264',-,-0.023,-,-,-,-,-,-,-
'142:11:15.272',-,-0.023,-,-,-,-,-,-,-
'142:11:15.280',-,-0.023,-,-,-,-,-,-,-
'142:11:15.288',-,-0.023,-,-,-,-,-,-,-
'142:11:15.296',-,-0.023,-,-,-,-,-,-,-
'142:11:15.304',-,-0.011,-,-,-,-,-,-,-
'142:11:15.312',-,-0.023,-,-,-,-,-,-,-
'142:11:15.320',-,-0.011,-,-,-,-,-,-,-
'142:11:15.328',-,-0.011,-,-,-,-,-,-,-
'142:11:15.336',-,-0.011,-,-,-,-,-,-,-
'142:11:15.344',-,-0.011,-,-,-,-,-,-,-
'142:11:15.352',-,-0.011,-,-,-,-,-,-,-
'142:11:15.360',-,-0.011,-,-,-,-,-,-,-
'142:11:15.368',-,-0.011,-,-,-,-,-,-,-
'142:11:15.376',-,-0.011,-,-,-,-,-,-,-
'142:11:15.384',-,-0.011,-,-,-,-,-,-,-
'142:11:15.392',-,-0.011,-,-,-,-,-,-,-
'142:11:15.400',-,-0.011,-,-,-,-,-,-,-
'142:11:15.408',-,-0.011,-,-,-,-,-,-,-
'142:11:15.416',-,-0.011,-,-,-,-,-,-,-
'142:11:15.424',-,-0.011,-,-,-,-,-,-,-
'142:11:15.432',-,-0.011,-,-,-,-,-,-,-
'142:11:15.440',-,-0.011,-,-,-,-,-,-,-
'142:11:15.448',-,-0.011,-,-,-,-,-,-,-
'142:11:15.456',-,0.000,-,-,-,-,-,-,-
'142:11:15.464',-,0.000,-,-,-,-,-,-,-
'142:11:15.472',-,0.000,-,-,-,-,-,-,-
'142:11:15.480',-,0.011,-,-,-,-,-,-,-
'142:11:15.488',-,0.011,-,-,-,-,-,-,-
'142:11:15.496',-,0.023,-,-,-,-,-,-,-
'142:11:15.504',-,0.023,-,-,-,-,-,-,-
'142:11:15.512',-,0.011,-,-,-,-,-,-,-
'142:11:15.520',-,0.011,-,-,-,-,-,-,-
'142:11:15.528',-,0.011,-,-,-,-,-,-,-
'142:11:15.536',-,0.011,-,-,-,-,-,-,-
'142:11:15.544',-,0.011,-,-,-,-,-,-,-
'142:11:15.552',-,0.000,-,-,-,-,-,-,-
'142:11:15.560',-,0.000,-,-,-,-,-,-,-
'142:11:15.568',-,0.000,-,-,-,-,-,-,-
'142:11:15.576',-,-0.011,-,-,-,-,-,-,-
'142:11:15.584',-,-0.023,-,-,-,-,-,-,-
'142:11:15.592',-,-0.023,-,-,-,-,-,-,-
'142:11:15.600',-,-0.023,-,-,-,-,-,-,-
'142:11:15.608',-,-0.023,-,-,-,-,-,-,-
'142:11:15.616',-,-0.023,-,-,-,-,-,-,-
'142:11:15.624',-,-0.023,-,-,-,-,-,-,-
'142:11:15.632',-,-0.011,-,-,-,-,-,-,-
'142:11:15.640',-,-0.011,-,-,-,-,-,-,-
'142:11:15.648',-,-0.011,-,-,-,-,-,-,-
'142:11:15.656',-,-0.011,-,-,-,-,-,-,-
'142:11:15.664',-,0.000,-,-,-,-,-,-,-
'142:11:15.672',-,0.034,-,-,-,-,-,-,-
'142:11:15.680',-,0.161,-,-,-,-,-,-,-
'142:11:15.688',-,0.356,-,-,-,-,-,-,-
'142:11:15.696',-,0.448,-,-,-,-,-,-,-
'142:11:15.704',-,0.310,-,-,-,-,-,-,-
'142:11:15.712',-,0.172,-,-,-,-,-,-,-
'142:11:15.720',-,0.103,-,-,-,-,-,-,-
'142:11:15.728',-,0.069,-,-,-,-,-,-,-
'142:11:15.736',-,0.023,-,-,-,-,-,-,-
'142:11:15.744',-,-0.034,-,-,-,-,-,-,-
'142:11:15.752',-,-0.115,-,-,-,-,-,-,-
'142:11:15.760',-,-0.126,-,-,-,-,-,-,-
'142:11:15.768',-,-0.103,-,-,-,-,-,-,-
'142:11:15.776',-,-0.069,-,-,-,-,-,-,-
'142:11:15.784',-,-0.069,-,-,-,-,-,-,-
'142:11:15.792',-,-0.057,-,-,-,-,-,-,-
'142:11:15.800',-,-0.057,-,-,-,-,-,-,-
'142:11:15.808',-,-0.034,-,-,-,-,-,-,-
'142:11:15.816',-,-0.034,-,-,-,-,-,-,-
'142:11:15.824',-,-0.023,-,-,-,-,-,-,-
'142:11:15.832',-,-0.023,-,-,-,-,-,-,-
'142:11:15.840',-,-0.034,-,-,-,-,-,-,-
'142:11:15.848',-,-0.023,-,-,-,-,-,-,-
'142:11:15.856',-,-0.023,-,-,-,-,-,-,-
'142:11:15.864',-,-0.023,-,-,-,-,-,-,-
'142:11:15.872',-,-0.011,-,-,-,-,-,-,-
