'Elapsed time','I','II','III','AVF','V','MCL1','ABP'
'14:58:06.776',0.000,-0.091,-,-,-,-,55.200
'14:58:06.784',0.032,-0.066,-,-,-,-,55.200
'14:58:06.792',0.064,-0.017,-,-,-,-,54.400
'14:58:06.800',0.024,-0.074,-,-,-,-,53.600
'14:58:06.808',0.000,-0.107,-,-,-,-,53.600
'14:58:06.816',0.024,-0.091,-,-,-,-,52.800
'14:58:06.824',0.000,-0.074,-,-,-,-,52.000
'14:58:06.832',0.000,-0.099,-,-,-,-,52.000
'14:58:06.840',0.000,-0.091,-,-,-,-,52.000
'14:58:06.848',0.008,-0.074,-,-,-,-,51.200
'14:58:06.856',0.000,-0.058,-,-,-,-,51.200
'14:58:06.864',0.000,-0.066,-,-,-,-,50.400
'14:58:06.872',-0.008,-0.050,-,-,-,-,50.400
'14:58:06.880',0.000,-0.058,-,-,-,-,50.400
'14:58:06.888',-0.008,-0.058,-,-,-,-,50.400
'14:58:06.896',0.000,-0.041,-,-,-,-,49.600
'14:58:06.904',0.000,-0.058,-,-,-,-,49.600
'14:58:06.912',-0.008,-0.058,-,-,-,-,48.800
'14:58:06.920',-0.008,-0.058,-,-,-,-,48.800
'14:58:06.928',0.000,-0.050,-,-,-,-,48.800
'14:58:06.936',0.000,-0.041,-,-,-,-,48.000
'14:58:06.944',0.008,-0.033,-,-,-,-,48.000
'14:58:06.952',0.008,-0.025,-,-,-,-,48.000
'14:58:06.960',0.024,0.000,-,-,-,-,48.000
'14:58:06.968',0.080,0.041,-,-,-,-,48.000
'14:58:06.976',0.120,0.074,-,-,-,-,48.000
'14:58:06.984',0.192,0.132,-,-,-,-,48.000
'14:58:06.992',0.104,0.058,-,-,-,-,48.000
'14:58:07.000',0.040,0.017,-,-,-,-,48.000
'14:58:07.008',0.064,0.000,-,-,-,-,47.200
'14:58:07.016',0.104,0.017,-,-,-,-,47.200
'14:58:07.024',0.088,0.050,-,-,-,-,47.200
'14:58:07.032',0.136,0.099,-,-,-,-,46.400
'14:58:07.040',0.200,0.190,-,-,-,-,46.400
'14:58:07.048',0.208,0.231,-,-,-,-,45.600
'14:58:07.056',0.152,0.248,-,-,-,-,45.600
'14:58:07.064',0.160,0.281,-,-,-,-,45.600
'14:58:07.072',0.128,0.240,-,-,-,-,45.600
'14:58:07.080',0.104,0.182,-,-,-,-,45.600
'14:58:07.088',0.040,0.116,-,-,-,-,45.600
'14:58:07.096',0.008,0.041,-,-,-,-,45.600
'14:58:07.104',-0.008,0.000,-,-,-,-,46.400
'14:58:07.112',0.000,-0.041,-,-,-,-,46.400
'14:58:07.120',-0.048,-0.066,-,-,-,-,46.400
'14:58:07.128',-0.048,-0.099,-,-,-,-,47.200
'14:58:07.136',-0.064,-0.116,-,-,-,-,48.800
'14:58:07.144',-0.056,-0.124,-,-,-,-,52.000
'14:58:07.152',-0.072,-0.140,-,-,-,-,56.800
'14:58:07.160',-0.072,-0.132,-,-,-,-,62.400
'14:58:07.168',-0.072,-0.140,-,-,-,-,68.000
'14:58:07.176',-0.088,-0.140,-,-,-,-,72.000
'14:58:07.184',-0.096,-0.157,-,-,-,-,73.600
'14:58:07.192',-0.112,-0.182,-,-,-,-,74.400
'14:58:07.200',-0.112,-0.182,-,-,-,-,74.400
'14:58:07.208',-0.128,-0.215,-,-,-,-,73.600
'14:58:07.216',-0.128,-0.215,-,-,-,-,72.000
'14:58:07.224',-0.128,-0.231,-,-,-,-,70.400
'14:58:07.232',-0.128,-0.223,-,-,-,-,68.800
'14:58:07.240',-0.128,-0.231,-,-,-,-,66.400
'14:58:07.248',-0.104,-0.240,-,-,-,-,64.800
'14:58:07.256',-0.112,-0.248,-,-,-,-,62.400
'14:58:07.264',-0.072,-0.215,-,-,-,-,60.800
'14:58:07.272',-0.072,-0.207,-,-,-,-,58.400
'14:58:07.280',-0.048,-0.215,-,-,-,-,56.800
'14:58:07.288',-0.032,-0.190,-,-,-,-,55.200
'14:58:07.296',-0.024,-0.182,-,-,-,-,54.400
'14:58:07.304',-0.008,-0.182,-,-,-,-,54.400
'14:58:07.312',-0.016,-0.165,-,-,-,-,55.200
'14:58:07.320',-0.008,-0.149,-,-,-,-,56.800
'14:58:07.328',-0.016,-0.140,-,-,-,-,56.800
'14:58:07.336',-0.008,-0.124,-,-,-,-,56.800
'14:58:07.344',-0.024,-0.107,-,-,-,-,56.000
'14:58:07.352',0.016,-0.099,-,-,-,-,55.200
'14:58:07.360',0.024,-0.107,-,-,-,-,54.400
'14:58:07.368',0.008,-0.107,-,-,-,-,54.400
'14:58:07.376',0.008,-0.099,-,-,-,-,53.600
'14:58:07.384',0.016,-0.099,-,-,-,-,53.600
'14:58:07.392',0.000,-0.091,-,-,-,-,52.800
'14:58:07.400',0.016,-0.091,-,-,-,-,52.800
'14:58:07.408',0.000,-0.099,-,-,-,-,52.000
'14:58:07.416',0.000,-0.066,-,-,-,-,52.000
'14:58:07.424',0.008,-0.050,-,-,-,-,52.000
'14:58:07.432',0.024,-0.041,-,-,-,-,52.000
'14:58:07.440',0.008,-0.033,-,-,-,-,51.200
'14:58:07.448',0.016,-0.041,-,-,-,-,51.200
'14:58:07.456',0.000,-0.025,-,-,-,-,51.200
'14:58:07.464',0.008,-0.033,-,-,-,-,50.400
'14:58:07.472',0.000,-0.041,-,-,-,-,50.400
'14:58:07.480',0.008,-0.025,-,-,-,-,50.400
'14:58:07.488',0.016,-0.025,-,-,-,-,50.400
'14:58:07.496',0.000,-0.025,-,-,-,-,50.400
'14:58:07.504',0.000,-0.033,-,-,-,-,50.400
'14:58:07.512',0.000,-0.025,-,-,-,-,50.400
'14:58:07.520',0.008,-0.008,-,-,-,-,50.400
'14:58:07.528',0.000,0.000,-,-,-,-,50.400
'14:58:07.536',0.040,0.025,-,-,-,-,50.400
'14:58:07.544',0.064,0.041,-,-,-,-,49.600
'14:58:07.552',0.104,0.058,-,-,-,-,49.600
'14:58:07.560',0.120,0.091,-,-,-,-,49.600
'14:58:07.568',0.088,0.050,-,-,-,-,49.600
'14:58:07.576',0.136,0.050,-,-,-,-,48.800
'14:58:07.584',0.152,0.091,-,-,-,-,48.800
'14:58:07.592',0.128,0.099,-,-,-,-,48.800
'14:58:07.600',0.200,0.157,-,-,-,-,48.000
'14:58:07.608',0.208,0.231,-,-,-,-,48.000
'14:58:07.616',0.160,0.256,-,-,-,-,48.000
'14:58:07.624',0.144,0.248,-,-,-,-,47.200
'14:58:07.632',0.152,0.298,-,-,-,-,47.200
'14:58:07.640',0.104,0.240,-,-,-,-,47.200
'14:58:07.648',0.064,0.190,-,-,-,-,47.200
'14:58:07.656',0.024,0.132,-,-,-,-,46.400
'14:58:07.664',0.000,0.074,-,-,-,-,46.400
'14:58:07.672',-0.024,0.017,-,-,-,-,46.400
'14:58:07.680',-0.032,0.000,-,-,-,-,46.400
'14:58:07.688',-0.056,-0.033,-,-,-,-,46.400
'14:58:07.696',-0.072,-0.058,-,-,-,-,47.200
'14:58:07.704',-0.088,-0.058,-,-,-,-,48.800
'14:58:07.712',-0.064,-0.058,-,-,-,-,52.000
'14:58:07.720',-0.072,-0.066,-,-,-,-,57.600
'14:58:07.728',-0.072,-0.058,-,-,-,-,63.200
'14:58:07.736',-0.088,-0.091,-,-,-,-,68.800
'14:58:07.744',-0.088,-0.091,-,-,-,-,72.800
'14:58:07.752',-0.112,-0.107,-,-,-,-,74.400
'14:58:07.760',-0.088,-0.099,-,-,-,-,75.200
'14:58:07.768',-0.088,-0.091,-,-,-,-,74.400
'14:58:07.776',-0.104,-0.107,-,-,-,-,73.600
'14:58:07.784',-0.096,-0.132,-,-,-,-,72.000
'14:58:07.792',-0.160,-0.165,-,-,-,-,69.600
'14:58:07.800',-0.168,-0.182,-,-,-,-,68.000
'14:58:07.808',-0.160,-0.182,-,-,-,-,65.600
'14:58:07.816',-0.136,-0.157,-,-,-,-,63.200
'14:58:07.824',-0.152,-0.149,-,-,-,-,61.600
'14:58:07.832',-0.112,-0.157,-,-,-,-,59.200
'14:58:07.840',-0.072,-0.140,-,-,-,-,56.800
'14:58:07.848',-0.048,-0.149,-,-,-,-,55.200
'14:58:07.856',-0.032,-0.140,-,-,-,-,53.600
'14:58:07.864',-0.008,-0.124,-,-,-,-,53.600
'14:58:07.872',-0.016,-0.132,-,-,-,-,53.600
'14:58:07.880',-0.024,-0.107,-,-,-,-,55.200
'14:58:07.888',-0.008,-0.116,-,-,-,-,56.800
'14:58:07.896',-0.016,-0.091,-,-,-,-,58.400
'14:58:07.904',0.016,-0.099,-,-,-,-,57.600
'14:58:07.912',-0.016,-0.041,-,-,-,-,56.800
'14:58:07.920',0.024,-0.033,-,-,-,-,56.000
'14:58:07.928',0.000,-0.058,-,-,-,-,56.000
'14:58:07.936',0.000,-0.041,-,-,-,-,55.200
'14:58:07.944',0.056,0.017,-,-,-,-,55.200
'14:58:07.952',0.000,0.017,-,-,-,-,54.400
'14:58:07.960',-0.032,-0.033,-,-,-,-,53.600
'14:58:07.968',0.000,-0.008,-,-,-,-,53.600
'14:58:07.976',-0.032,-0.025,-,-,-,-,53.600
'14:58:07.984',-0.040,-0.050,-,-,-,-,52.800
'14:58:07.992',0.008,-0.017,-,-,-,-,52.800
'14:58:08.000',0.040,0.017,-,-,-,-,52.800
'14:58:08.008',0.008,0.017,-,-,-,-,52.000
'14:58:08.016',-0.024,-0.017,-,-,-,-,52.000
'14:58:08.024',-0.048,-0.033,-,-,-,-,52.000
'14:58:08.032',-0.024,-0.017,-,-,-,-,52.000
'14:58:08.040',0.000,0.008,-,-,-,-,52.000
'14:58:08.048',0.016,0.017,-,-,-,-,52.000
'14:58:08.056',-0.016,0.000,-,-,-,-,51.200
'14:58:08.064',-0.024,-0.017,-,-,-,-,51.200
'14:58:08.072',0.000,0.000,-,-,-,-,51.200
'14:58:08.080',-0.008,0.000,-,-,-,-,51.200
'14:58:08.088',-0.024,0.017,-,-,-,-,51.200
'14:58:08.096',0.000,0.050,-,-,-,-,51.200
'14:58:08.104',0.000,0.058,-,-,-,-,50.400
'14:58:08.112',0.016,0.050,-,-,-,-,50.400
'14:58:08.120',0.064,0.099,-,-,-,-,50.400
'14:58:08.128',0.120,0.140,-,-,-,-,50.400
'14:58:08.136',0.088,0.099,-,-,-,-,50.400
'14:58:08.144',0.080,0.074,-,-,-,-,49.600
'14:58:08.152',0.120,0.116,-,-,-,-,49.600
'14:58:08.160',0.152,0.149,-,-,-,-,49.600
'14:58:08.168',0.192,0.215,-,-,-,-,48.800
'14:58:08.176',0.208,0.289,-,-,-,-,48.800
'14:58:08.184',0.152,0.289,-,-,-,-,48.800
'14:58:08.192',0.144,0.322,-,-,-,-,48.000
'14:58:08.200',0.152,0.364,-,-,-,-,48.000
'14:58:08.208',0.104,0.289,-,-,-,-,48.000
'14:58:08.216',0.032,0.231,-,-,-,-,47.200
'14:58:08.224',0.000,0.165,-,-,-,-,47.200
'14:58:08.232',0.016,0.116,-,-,-,-,47.200
'14:58:08.240',-0.024,0.033,-,-,-,-,47.200
'14:58:08.248',-0.040,0.008,-,-,-,-,47.200
'14:58:08.256',-0.024,-0.008,-,-,-,-,47.200
'14:58:08.264',-0.072,-0.041,-,-,-,-,48.000
'14:58:08.272',-0.064,-0.025,-,-,-,-,49.600
'14:58:08.280',-0.088,-0.041,-,-,-,-,52.000
'14:58:08.288',-0.072,-0.033,-,-,-,-,56.800
'14:58:08.296',-0.088,-0.041,-,-,-,-,62.400
'14:58:08.304',-0.088,-0.050,-,-,-,-,68.000
'14:58:08.312',-0.096,-0.058,-,-,-,-,72.000
'14:58:08.320',-0.112,-0.066,-,-,-,-,74.400
'14:58:08.328',-0.128,-0.074,-,-,-,-,74.400
'14:58:08.336',-0.104,-0.099,-,-,-,-,73.600
'14:58:08.344',-0.136,-0.099,-,-,-,-,72.800
'14:58:08.352',-0.112,-0.091,-,-,-,-,72.000
'14:58:08.360',-0.136,-0.124,-,-,-,-,69.600
'14:58:08.368',-0.136,-0.140,-,-,-,-,68.000
'14:58:08.376',-0.112,-0.132,-,-,-,-,65.600
'14:58:08.384',-0.072,-0.116,-,-,-,-,63.200
'14:58:08.392',-0.056,-0.124,-,-,-,-,61.600
'14:58:08.400',-0.064,-0.107,-,-,-,-,59.200
'14:58:08.408',-0.088,-0.140,-,-,-,-,56.800
'14:58:08.416',-0.064,-0.132,-,-,-,-,54.400
'14:58:08.424',-0.072,-0.140,-,-,-,-,52.800
'14:58:08.432',0.000,-0.074,-,-,-,-,52.000
'14:58:08.440',-0.016,-0.066,-,-,-,-,52.000
'14:58:08.448',-0.016,-0.099,-,-,-,-,52.800
'14:58:08.456',-0.024,-0.091,-,-,-,-,54.400
'14:58:08.464',-0.008,-0.066,-,-,-,-,55.200
'14:58:08.472',-0.016,-0.058,-,-,-,-,55.200
'14:58:08.480',0.000,-0.050,-,-,-,-,54.400
'14:58:08.488',0.000,-0.033,-,-,-,-,53.600
'14:58:08.496',0.000,-0.041,-,-,-,-,52.800
'14:58:08.504',0.000,-0.033,-,-,-,-,52.000
'14:58:08.512',0.000,-0.041,-,-,-,-,51.200
'14:58:08.520',0.000,-0.017,-,-,-,-,51.200
'14:58:08.528',0.000,-0.033,-,-,-,-,50.400
'14:58:08.536',0.000,-0.017,-,-,-,-,50.400
'14:58:08.544',0.008,-0.017,-,-,-,-,50.400
'14:58:08.552',0.000,-0.025,-,-,-,-,49.600
'14:58:08.560',0.016,-0.008,-,-,-,-,49.600
'14:58:08.568',0.024,0.017,-,-,-,-,49.600
'14:58:08.576',0.032,0.017,-,-,-,-,49.600
'14:58:08.584',0.016,0.017,-,-,-,-,48.800
'14:58:08.592',0.008,0.017,-,-,-,-,48.800
'14:58:08.600',0.024,0.017,-,-,-,-,48.800
'14:58:08.608',0.008,0.025,-,-,-,-,48.800
'14:58:08.616',0.048,0.041,-,-,-,-,48.800
'14:58:08.624',0.024,0.025,-,-,-,-,48.800
'14:58:08.632',0.008,0.017,-,-,-,-,49.600
'14:58:08.640',0.024,0.033,-,-,-,-,49.600
'14:58:08.648',-0.008,0.000,-,-,-,-,48.800
'14:58:08.656',-0.032,-0.008,-,-,-,-,48.800
'14:58:08.664',0.008,0.017,-,-,-,-,48.800
'14:58:08.672',0.000,0.033,-,-,-,-,48.000
'14:58:08.680',0.040,0.017,-,-,-,-,48.000
'14:58:08.688',0.056,0.033,-,-,-,-,48.000
'14:58:08.696',0.024,0.008,-,-,-,-,48.800
'14:58:08.704',0.048,0.033,-,-,-,-,48.000
'14:58:08.712',0.032,0.017,-,-,-,-,48.000
'14:58:08.720',0.000,0.017,-,-,-,-,47.200
'14:58:08.728',0.008,0.017,-,-,-,-,47.200
'14:58:08.736',0.000,0.025,-,-,-,-,46.400
'14:58:08.744',0.008,0.008,-,-,-,-,46.400
'14:58:08.752',-0.016,0.000,-,-,-,-,46.400
'14:58:08.760',0.000,0.008,-,-,-,-,45.600
'14:58:08.768',0.008,0.000,-,-,-,-,45.600
'14:58:08.776',0.000,0.017,-,-,-,-,45.600
'14:58:08.784',0.016,0.017,-,-,-,-,44.800
'14:58:08.792',-0.008,0.000,-,-,-,-,44.800
'14:58:08.800',0.008,0.017,-,-,-,-,44.800
'14:58:08.808',0.000,0.000,-,-,-,-,44.800
'14:58:08.816',0.016,0.017,-,-,-,-,44.000
'14:58:08.824',0.000,0.008,-,-,-,-,44.000
'14:58:08.832',0.016,0.017,-,-,-,-,44.000
'14:58:08.840',0.000,0.008,-,-,-,-,44.000
'14:58:08.848',0.016,0.017,-,-,-,-,44.000
'14:58:08.856',0.008,0.017,-,-,-,-,44.000
'14:58:08.864',0.000,0.017,-,-,-,-,44.000
'14:58:08.872',0.032,0.041,-,-,-,-,43.200
'14:58:08.880',0.040,0.050,-,-,-,-,43.200
'14:58:08.888',0.008,0.017,-,-,-,-,43.200
'14:58:08.896',0.000,0.033,-,-,-,-,43.200
'14:58:08.904',0.024,0.050,-,-,-,-,43.200
'14:58:08.912',-0.008,0.033,-,-,-,-,42.400
'14:58:08.920',-0.048,0.008,-,-,-,-,42.400
'14:58:08.928',-0.016,0.017,-,-,-,-,42.400
'14:58:08.936',-0.016,0.025,-,-,-,-,42.400
'14:58:08.944',-0.008,0.033,-,-,-,-,41.600
'14:58:08.952',0.000,0.041,-,-,-,-,41.600
'14:58:08.960',0.024,0.041,-,-,-,-,41.600
'14:58:08.968',0.016,0.033,-,-,-,-,41.600
'14:58:08.976',0.008,0.041,-,-,-,-,41.600
'14:58:08.984',0.024,-0.165,-,-,-,-,41.600
'14:58:08.992',-0.032,0.025,-,-,-,-,41.600
'14:58:09.000',0.048,0.058,-,-,-,-,40.800
'14:58:09.008',0.040,0.050,-,-,-,-,40.800
'14:58:09.016',0.048,0.017,-,-,-,-,40.800
'14:58:09.024',0.040,-0.050,-,-,-,-,40.800
'14:58:09.032',0.024,-0.099,-,-,-,-,40.800
'14:58:09.040',0.008,-0.140,-,-,-,-,40.800
'14:58:09.048',0.056,-0.165,-,-,-,-,40.800
'14:58:09.056',0.048,-0.198,-,-,-,-,40.800
'14:58:09.064',0.064,-0.248,-,-,-,-,40.800
'14:58:09.072',0.104,-0.256,-,-,-,-,40.800
'14:58:09.080',0.144,-0.256,-,-,-,-,40.000
'14:58:09.088',0.168,-0.215,-,-,-,-,40.000
'14:58:09.096',0.208,-0.107,-,-,-,-,40.000
'14:58:09.104',0.208,-0.033,-,-,-,-,40.000
'14:58:09.112',0.224,0.000,-,-,-,-,40.800
'14:58:09.120',0.136,-0.041,-,-,-,-,40.800
'14:58:09.128',0.104,-0.058,-,-,-,-,40.800
'14:58:09.136',0.064,-0.050,-,-,-,-,40.800
'14:58:09.144',0.048,-0.025,-,-,-,-,41.600
'14:58:09.152',0.056,0.000,-,-,-,-,41.600
'14:58:09.160',0.040,0.017,-,-,-,-,41.600
'14:58:09.168',0.048,0.025,-,-,-,-,40.800
'14:58:09.176',0.000,0.050,-,-,-,-,40.800
'14:58:09.184',-0.024,0.099,-,-,-,-,40.800
'14:58:09.192',-0.064,0.140,-,-,-,-,41.600
'14:58:09.200',-0.088,0.190,-,-,-,-,42.400
'14:58:09.208',-0.096,0.198,-,-,-,-,44.800
'14:58:09.216',-0.112,0.207,-,-,-,-,48.800
'14:58:09.224',-0.128,0.198,-,-,-,-,52.800
'14:58:09.232',-0.112,0.215,-,-,-,-,56.800
'14:58:09.240',-0.128,0.215,-,-,-,-,60.800
'14:58:09.248',-0.112,0.231,-,-,-,-,63.200
'14:58:09.256',-0.128,0.215,-,-,-,-,66.400
'14:58:09.264',-0.128,0.231,-,-,-,-,68.800
'14:58:09.272',-0.144,0.207,-,-,-,-,71.200
'14:58:09.280',-0.112,0.231,-,-,-,-,72.800
'14:58:09.288',-0.104,0.215,-,-,-,-,72.800
'14:58:09.296',-0.136,0.182,-,-,-,-,72.800
'14:58:09.304',-0.128,0.165,-,-,-,-,72.000
'14:58:09.312',-0.096,0.190,-,-,-,-,71.200
'14:58:09.320',-0.088,0.140,-,-,-,-,69.600
'14:58:09.328',-0.128,0.099,-,-,-,-,68.000
'14:58:09.336',-0.128,0.066,-,-,-,-,66.400
'14:58:09.344',-0.096,0.050,-,-,-,-,64.800
'14:58:09.352',-0.088,0.050,-,-,-,-,63.200
'14:58:09.360',-0.112,0.017,-,-,-,-,61.600
'14:58:09.368',-0.072,0.017,-,-,-,-,60.000
'14:58:09.376',-0.064,0.000,-,-,-,-,57.600
'14:58:09.384',-0.056,-0.017,-,-,-,-,56.000
'14:58:09.392',-0.032,-0.008,-,-,-,-,54.400
'14:58:09.400',-0.024,-0.041,-,-,-,-,53.600
'14:58:09.408',-0.032,-0.033,-,-,-,-,53.600
'14:58:09.416',-0.008,-0.025,-,-,-,-,54.400
'14:58:09.424',-0.040,-0.058,-,-,-,-,56.000
'14:58:09.432',-0.016,-0.041,-,-,-,-,56.000
'14:58:09.440',-0.016,-0.050,-,-,-,-,56.000
'14:58:09.448',-0.008,-0.058,-,-,-,-,55.200
'14:58:09.456',-0.016,-0.050,-,-,-,-,55.200
'14:58:09.464',0.000,-0.025,-,-,-,-,54.400
'14:58:09.472',-0.008,-0.033,-,-,-,-,54.400
'14:58:09.480',0.000,-0.017,-,-,-,-,54.400
'14:58:09.488',0.000,-0.025,-,-,-,-,54.400
'14:58:09.496',0.008,0.000,-,-,-,-,53.600
'14:58:09.504',0.008,0.000,-,-,-,-,53.600
'14:58:09.512',0.000,-0.017,-,-,-,-,53.600
'14:58:09.520',0.008,-0.008,-,-,-,-,52.800
'14:58:09.528',0.024,-0.017,-,-,-,-,52.800
'14:58:09.536',0.032,-0.017,-,-,-,-,52.800
'14:58:09.544',0.000,-0.025,-,-,-,-,52.000
'14:58:09.552',0.024,-0.033,-,-,-,-,51.200
'14:58:09.560',0.040,-0.017,-,-,-,-,51.200
'14:58:09.568',0.008,-0.041,-,-,-,-,50.400
'14:58:09.576',0.000,-0.058,-,-,-,-,50.400
'14:58:09.584',0.024,-0.041,-,-,-,-,50.400
'14:58:09.592',0.000,-0.050,-,-,-,-,50.400
'14:58:09.600',0.000,-0.058,-,-,-,-,49.600
'14:58:09.608',0.008,-0.041,-,-,-,-,49.600
'14:58:09.616',0.008,-0.050,-,-,-,-,49.600
'14:58:09.624',0.000,-0.041,-,-,-,-,49.600
'14:58:09.632',-0.008,-0.033,-,-,-,-,48.800
'14:58:09.640',0.000,-0.033,-,-,-,-,48.800
'14:58:09.648',0.008,-0.033,-,-,-,-,48.000
'14:58:09.656',-0.008,-0.025,-,-,-,-,48.000
'14:58:09.664',0.000,-0.041,-,-,-,-,48.000
'14:58:09.672',0.000,-0.025,-,-,-,-,47.200
'14:58:09.680',0.000,-0.017,-,-,-,-,47.200
'14:58:09.688',0.000,-0.025,-,-,-,-,47.200
'14:58:09.696',0.000,-0.025,-,-,-,-,46.400
'14:58:09.704',0.000,-0.017,-,-,-,-,46.400
'14:58:09.712',-0.008,-0.017,-,-,-,-,46.400
'14:58:09.720',0.000,-0.017,-,-,-,-,45.600
'14:58:09.728',0.000,-0.025,-,-,-,-,45.600
'14:58:09.736',0.000,-0.008,-,-,-,-,45.600
'14:58:09.744',0.016,0.008,-,-,-,-,45.600
'14:58:09.752',0.024,0.017,-,-,-,-,45.600
'14:58:09.760',-0.016,-0.182,-,-,-,-,45.600
'14:58:09.768',0.064,0.058,-,-,-,-,44.800
'14:58:09.776',0.104,0.099,-,-,-,-,44.800
'14:58:09.784',0.104,0.124,-,-,-,-,44.800
'14:58:09.792',0.120,0.017,-,-,-,-,44.800
'14:58:09.800',0.152,-0.017,-,-,-,-,44.800
'14:58:09.808',0.200,-0.033,-,-,-,-,44.800
'14:58:09.816',0.240,-0.041,-,-,-,-,44.800
'14:58:09.824',0.272,-0.017,-,-,-,-,44.800
'14:58:09.832',0.240,0.000,-,-,-,-,44.800
'14:58:09.840',0.208,0.000,-,-,-,-,44.000
'14:58:09.848',0.192,0.099,-,-,-,-,44.000
'14:58:09.856',0.128,0.149,-,-,-,-,44.000
'14:58:09.864',0.104,0.182,-,-,-,-,44.000
'14:58:09.872',0.064,0.190,-,-,-,-,44.000
'14:58:09.880',0.000,0.099,-,-,-,-,44.000
'14:58:09.888',-0.040,0.050,-,-,-,-,44.000
'14:58:09.896',-0.016,0.050,-,-,-,-,44.000
'14:58:09.904',-0.040,0.025,-,-,-,-,44.800
'14:58:09.912',-0.072,0.000,-,-,-,-,44.800
'14:58:09.920',-0.096,-0.017,-,-,-,-,47.200
'14:58:09.928',-0.096,-0.017,-,-,-,-,50.400
'14:58:09.936',-0.104,-0.017,-,-,-,-,55.200
'14:58:09.944',-0.096,0.000,-,-,-,-,60.800
'14:58:09.952',-0.112,0.000,-,-,-,-,65.600
'14:58:09.960',-0.128,-0.008,-,-,-,-,68.800
'14:58:09.968',-0.128,0.000,-,-,-,-,70.400
'14:58:09.976',-0.144,0.000,-,-,-,-,71.200
'14:58:09.984',-0.152,0.008,-,-,-,-,71.200
'14:58:09.992',-0.144,0.008,-,-,-,-,71.200
'14:58:10.000',-0.168,-0.017,-,-,-,-,70.400
'14:58:10.008',-0.192,-0.033,-,-,-,-,69.600
'14:58:10.016',-0.184,-0.033,-,-,-,-,68.000
'14:58:10.024',-0.168,-0.041,-,-,-,-,66.400
'14:58:10.032',-0.152,-0.058,-,-,-,-,64.800
'14:58:10.040',-0.128,-0.066,-,-,-,-,62.400
'14:58:10.048',-0.104,-0.074,-,-,-,-,60.800
'14:58:10.056',-0.040,-0.033,-,-,-,-,58.400
'14:58:10.064',-0.032,-0.041,-,-,-,-,56.800
'14:58:10.072',-0.064,-0.091,-,-,-,-,54.400
'14:58:10.080',0.016,-0.041,-,-,-,-,52.800
'14:58:10.088',0.024,-0.066,-,-,-,-,52.000
'14:58:10.096',0.000,-0.099,-,-,-,-,52.800
'14:58:10.104',0.064,-0.025,-,-,-,-,53.600
'14:58:10.112',-0.008,-0.124,-,-,-,-,55.200
