'Elapsed time','I','II','V','MCL1','ABP','CVP'
'172:40:50.888',-,-0.072,-,-0.138,85.000,-
'172:40:50.896',-,-0.072,-,-0.092,85.000,-
'172:40:50.904',-,-0.072,-,-0.046,84.000,-
'172:40:50.912',-,-0.072,-,0.000,84.000,-
'172:40:50.920',-,-0.056,-,0.046,84.000,-
'172:40:50.928',-,0.000,-,0.138,82.000,-
'172:40:50.936',-,0.104,-,0.184,82.000,-
'172:40:50.944',-,0.144,-,0.230,81.000,-
'172:40:50.952',-,0.024,-,0.276,81.000,-
'172:40:50.960',-,-0.176,-,0.276,80.000,-
'172:40:50.968',-,-0.328,-,0.333,79.000,-
'172:40:50.976',-,-0.344,-,0.333,79.000,-
'172:40:50.984',-,-0.280,-,0.379,78.000,-
'172:40:50.992',-,-0.240,-,0.379,78.000,-
'172:40:51.000',-,-0.224,-,0.379,76.000,-
'172:40:51.008',-,-0.240,-,0.379,76.000,-
'172:40:51.016',-,-0.240,-,0.425,75.000,-
'172:40:51.024',-,-0.176,-,0.425,75.000,-
'172:40:51.032',-,-0.104,-,0.425,74.000,-
'172:40:51.040',-,-0.040,-,0.425,74.000,-
'172:40:51.048',-,-0.008,-,0.471,74.000,-
'172:40:51.056',-,0.000,-,0.471,73.000,-
'172:40:51.064',-,0.000,-,0.471,73.000,-
'172:40:51.072',-,0.000,-,0.471,73.000,-
'172:40:51.080',-,0.000,-,0.517,73.000,-
'172:40:51.088',-,0.008,-,0.517,72.000,-
'172:40:51.096',-,0.008,-,0.563,72.000,-
'172:40:51.104',-,0.024,-,0.609,72.000,-
'172:40:51.112',-,0.040,-,0.713,73.000,-
'172:40:51.120',-,0.056,-,0.805,74.000,-
'172:40:51.128',-,0.072,-,0.897,75.000,-
'172:40:51.136',-,0.088,-,1.000,79.000,-
'172:40:51.144',-,0.088,-,1.092,82.000,-
'172:40:51.152',-,0.104,-,1.230,87.000,-
'172:40:51.160',-,0.120,-,1.333,92.000,-
'172:40:51.168',-,0.120,-,1.425,97.000,-
'172:40:51.176',-,0.136,-,1.517,100.000,-
'172:40:51.184',-,0.144,-,1.609,105.000,-
'172:40:51.192',-,0.144,-,1.713,110.000,-
'172:40:51.200',-,0.160,-,1.759,114.000,-
'172:40:51.208',-,0.144,-,1.851,117.000,-
'172:40:51.216',-,0.136,-,1.943,121.000,-
'172:40:51.224',-,0.120,-,2.046,123.000,-
'172:40:51.232',-,0.088,-,2.138,126.000,-
'172:40:51.240',-,0.056,-,2.230,127.000,-
'172:40:51.248',-,0.024,-,2.333,128.000,-
'172:40:51.256',-,0.008,-,2.471,128.000,-
'172:40:51.264',-,-0.008,-,2.563,128.000,-
'172:40:51.272',-,-0.024,-,2.713,128.000,-
'172:40:51.280',-,-0.024,-,2.805,128.000,-
'172:40:51.288',-,-0.040,-,2.897,127.000,-
'172:40:51.296',-,-0.040,-,3.000,124.000,-
'172:40:51.304',-,-0.056,-,3.092,123.000,-
'172:40:51.312',-,-0.056,-,3.138,121.000,-
'172:40:51.320',-,-0.056,-,3.184,118.000,-
'172:40:51.328',-,-0.056,-,3.184,115.000,-
'172:40:51.336',-,-0.040,-,3.184,111.000,-
'172:40:51.344',-,-0.040,-,3.184,109.000,-
'172:40:51.352',-,-0.040,-,3.184,105.000,-
'172:40:51.360',-,-0.040,-,3.184,102.000,-
'172:40:51.368',-,-0.024,-,3.184,99.000,-
'172:40:51.376',-,0.000,-,3.230,97.000,-
'172:40:51.384',-,0.008,-,3.230,96.000,-
'172:40:51.392',-,0.024,-,3.333,93.000,-
'172:40:51.400',-,0.040,-,3.379,92.000,-
'172:40:51.408',-,0.040,-,3.471,91.000,-
'172:40:51.416',-,0.040,-,3.563,91.000,-
'172:40:51.424',-,0.040,-,3.713,90.000,-
'172:40:51.432',-,0.024,-,3.805,88.000,-
'172:40:51.440',-,0.024,-,3.943,88.000,-
'172:40:51.448',-,0.000,-,4.046,88.000,-
'172:40:51.456',-,-0.040,-,4.138,87.000,-
'172:40:51.464',-,-0.072,-,4.230,87.000,-
'172:40:51.472',-,-0.072,-,4.333,87.000,-
'172:40:51.480',-,-0.072,-,4.425,87.000,-
'172:40:51.488',-,-0.072,-,4.517,86.000,-
'172:40:51.496',-,-0.072,-,4.609,86.000,-
'172:40:51.504',-,-0.072,-,4.713,86.000,-
'172:40:51.512',-,-0.072,-,4.805,85.000,-
'172:40:51.520',-,-0.072,-,4.897,85.000,-
'172:40:51.528',-,-0.024,-,5.000,85.000,-
'172:40:51.536',-,0.056,-,5.092,84.000,-
'172:40:51.544',-,0.160,-,5.184,84.000,-
'172:40:51.552',-,0.176,-,5.276,82.000,-
'172:40:51.560',-,-0.040,-,5.379,82.000,-
'172:40:51.568',-,-0.240,-,5.517,81.000,-
'172:40:51.576',-,-0.328,-,5.609,81.000,-
'172:40:51.584',-,-0.312,-,5.713,80.000,-
'172:40:51.592',-,-0.280,-,5.851,80.000,-
'172:40:51.600',-,-0.256,-,5.943,79.000,-
'172:40:51.608',-,-0.256,-,6.046,79.000,-
'172:40:51.616',-,-0.256,-,6.046,78.000,-
'172:40:51.624',-,-0.224,-,6.046,78.000,-
'172:40:51.632',-,-0.160,-,6.046,76.000,-
'172:40:51.640',-,-0.088,-,6.046,76.000,-
'172:40:51.648',-,-0.024,-,6.046,75.000,-
'172:40:51.656',-,0.000,-,6.046,75.000,-
'172:40:51.664',-,0.008,-,6.046,75.000,-
'172:40:51.672',-,0.024,-,6.046,74.000,-
'172:40:51.680',-,0.024,-,6.046,74.000,-
'172:40:51.688',-,0.024,-,6.046,74.000,-
'172:40:51.696',-,0.024,-,6.046,74.000,-
'172:40:51.704',-,0.040,-,6.046,73.000,-
'172:40:51.712',-,0.056,-,6.046,74.000,-
'172:40:51.720',-,0.072,-,6.046,74.000,-
'172:40:51.728',-,0.088,-,6.046,76.000,-
'172:40:51.736',-,0.088,-,6.046,79.000,-
'172:40:51.744',-,0.104,-,6.046,84.000,-
'172:40:51.752',-,0.104,-,6.046,87.000,-
'172:40:51.760',-,0.120,-,6.046,92.000,-
'172:40:51.768',-,0.144,-,6.046,97.000,-
'172:40:51.776',-,0.160,-,6.046,102.000,-
'172:40:51.784',-,0.176,-,6.046,106.000,-
'172:40:51.792',-,0.176,-,6.046,111.000,-
'172:40:51.800',-,0.176,-,6.046,116.000,-
'172:40:51.808',-,0.176,-,6.046,120.000,-
'172:40:51.816',-,0.160,-,6.046,123.000,-
'172:40:51.824',-,0.144,-,6.046,126.000,-
'172:40:51.832',-,0.120,-,6.046,128.000,-
'172:40:51.840',-,0.088,-,6.046,129.000,-
'172:40:51.848',-,0.056,-,6.046,130.000,-
'172:40:51.856',-,0.040,-,6.046,130.000,-
'172:40:51.864',-,0.008,-,6.046,132.000,-
'172:40:51.872',-,0.000,-,6.046,130.000,-
'172:40:51.880',-,-0.008,-,6.046,130.000,-
'172:40:51.888',-,-0.024,-,6.046,129.000,-
'172:40:51.896',-,-0.024,-,6.046,128.000,-
'172:40:51.904',-,-0.040,-,6.046,126.000,-
'172:40:51.912',-,-0.040,-,6.046,123.000,-
'172:40:51.920',-,-0.040,-,6.046,121.000,-
'172:40:51.928',-,-0.040,-,6.046,118.000,-
'172:40:51.936',-,-0.040,-,6.046,115.000,-
'172:40:51.944',-,-0.024,-,6.046,111.000,-
'172:40:51.952',-,-0.024,-,6.046,108.000,-
'172:40:51.960',-,-0.024,-,6.046,104.000,-
'172:40:51.968',-,-0.024,-,6.046,102.000,-
'172:40:51.976',-,0.000,-,6.046,99.000,-
'172:40:51.984',-,0.024,-,6.046,98.000,-
'172:40:51.992',-,0.056,-,6.046,96.000,-
'172:40:52.000',-,0.056,-,6.046,94.000,-
'172:40:52.008',-,0.072,-,6.046,93.000,-
'172:40:52.016',-,0.072,-,6.046,93.000,-
'172:40:52.024',-,0.072,-,6.046,92.000,-
'172:40:52.032',-,0.088,-,6.046,91.000,-
'172:40:52.040',-,0.104,-,6.046,91.000,-
'172:40:52.048',-,0.056,-,6.046,91.000,-
'172:40:52.056',-,-0.024,-,6.046,90.000,-
'172:40:52.064',-,-0.056,-,6.046,90.000,-
'172:40:52.072',-,-0.072,-,6.046,88.000,-
'172:40:52.080',-,-0.072,-,6.046,88.000,-
'172:40:52.088',-,-0.072,-,6.046,87.000,-
'172:40:52.096',-,-0.072,-,6.046,87.000,-
'172:40:52.104',-,-0.072,-,6.046,86.000,-
'172:40:52.112',-,-0.072,-,6.046,86.000,-
'172:40:52.120',-,-0.072,-,6.046,86.000,-
'172:40:52.128',-,-0.040,-,6.046,85.000,-
'172:40:52.136',-,0.008,-,6.046,85.000,-
'172:40:52.144',-,0.136,-,6.046,84.000,-
'172:40:52.152',-,0.176,-,6.046,84.000,-
'172:40:52.160',-,0.056,-,6.000,82.000,-
'172:40:52.168',-,-0.144,-,5.943,81.000,-
'172:40:52.176',-,-0.296,-,5.897,81.000,-
'172:40:52.184',-,-0.312,-,5.805,80.000,-
'172:40:52.192',-,-0.280,-,5.759,80.000,-
'172:40:52.200',-,-0.256,-,5.713,79.000,-
'172:40:52.208',-,-0.256,-,5.667,79.000,-
'172:40:52.216',-,-0.256,-,5.609,78.000,-
'172:40:52.224',-,-0.240,-,5.517,78.000,-
'172:40:52.232',-,-0.176,-,5.471,76.000,-
'172:40:52.240',-,-0.104,-,5.425,76.000,-
'172:40:52.248',-,-0.024,-,5.379,75.000,-
'172:40:52.256',-,0.000,-,5.333,75.000,-
'172:40:52.264',-,0.000,-,5.230,74.000,-
'172:40:52.272',-,0.024,-,5.184,74.000,-
'172:40:52.280',-,0.040,-,5.092,74.000,-
'172:40:52.288',-,0.040,-,5.046,73.000,-
'172:40:52.296',-,0.024,-,4.943,73.000,-
'172:40:52.304',-,0.024,-,4.805,73.000,-
'172:40:52.312',-,0.024,-,4.713,73.000,-
'172:40:52.320',-,0.056,-,4.563,73.000,-
'172:40:52.328',-,0.088,-,4.379,73.000,-
'172:40:52.336',-,0.104,-,4.230,75.000,-
'172:40:52.344',-,0.072,-,4.046,78.000,-
'172:40:52.352',-,0.072,-,3.851,81.000,-
'172:40:52.360',-,0.088,-,3.667,85.000,-
'172:40:52.368',-,0.120,-,3.517,90.000,-
'172:40:52.376',-,0.136,-,3.333,94.000,-
'172:40:52.384',-,0.144,-,3.184,98.000,-
'172:40:52.392',-,0.144,-,3.000,103.000,-
'172:40:52.400',-,0.160,-,2.851,108.000,-
'172:40:52.408',-,0.160,-,2.713,111.000,-
'172:40:52.416',-,0.160,-,2.609,115.000,-
'172:40:52.424',-,0.144,-,2.471,118.000,-
'172:40:52.432',-,0.120,-,2.379,121.000,-
'172:40:52.440',-,0.104,-,2.276,123.000,-
'172:40:52.448',-,0.072,-,2.138,124.000,-
'172:40:52.456',-,0.040,-,2.046,126.000,-
'172:40:52.464',-,0.008,-,1.943,126.000,-
'172:40:52.472',-,0.000,-,1.851,126.000,-
'172:40:52.480',-,-0.008,-,1.759,126.000,-
'172:40:52.488',-,-0.024,-,1.667,124.000,-
'172:40:52.496',-,-0.024,-,1.563,123.000,-
'172:40:52.504',-,-0.040,-,1.471,122.000,-
'172:40:52.512',-,-0.040,-,1.379,120.000,-
'172:40:52.520',-,-0.040,-,1.276,117.000,-
'172:40:52.528',-,-0.040,-,1.230,114.000,-
'172:40:52.536',-,-0.040,-,1.138,111.000,-
'172:40:52.544',-,-0.040,-,1.092,108.000,-
'172:40:52.552',-,-0.040,-,1.046,104.000,-
'172:40:52.560',-,-0.040,-,1.000,100.000,-
'172:40:52.568',-,-0.024,-,0.943,98.000,-
'172:40:52.576',-,-0.024,-,0.943,96.000,-
'172:40:52.584',-,0.000,-,0.897,94.000,-
'172:40:52.592',-,0.008,-,0.851,92.000,-
'172:40:52.600',-,0.024,-,0.851,91.000,-
'172:40:52.608',-,0.040,-,0.805,90.000,-
'172:40:52.616',-,0.040,-,0.805,88.000,-
'172:40:52.624',-,0.056,-,0.759,88.000,-
'172:40:52.632',-,0.056,-,0.713,87.000,-
'172:40:52.640',-,0.056,-,0.713,87.000,-
'172:40:52.648',-,0.056,-,0.667,87.000,-
'172:40:52.656',-,0.024,-,0.609,86.000,-
'172:40:52.664',-,-0.008,-,0.563,86.000,-
'172:40:52.672',-,-0.040,-,0.517,86.000,-
'172:40:52.680',-,-0.056,-,0.425,86.000,-
'172:40:52.688',-,-0.072,-,0.379,85.000,-
'172:40:52.696',-,-0.072,-,0.276,85.000,-
'172:40:52.704',-,-0.072,-,0.184,85.000,-
'172:40:52.712',-,-0.072,-,0.046,84.000,-
'172:40:52.720',-,-0.072,-,-0.046,84.000,-
'172:40:52.728',-,-0.072,-,-0.184,84.000,-
'172:40:52.736',-,-0.040,-,-0.276,82.000,-
'172:40:52.744',-,0.024,-,-0.425,82.000,-
'172:40:52.752',-,0.136,-,-0.563,81.000,-
'172:40:52.760',-,0.176,-,-0.667,81.000,-
'172:40:52.768',-,0.056,-,-0.759,81.000,-
'172:40:52.776',-,-0.144,-,-0.851,80.000,-
'172:40:52.784',-,-0.280,-,-0.943,80.000,-
'172:40:52.792',-,-0.328,-,-1.046,79.000,-
'172:40:52.800',-,-0.296,-,-1.092,79.000,-
'172:40:52.808',-,-0.280,-,-1.138,78.000,-
'172:40:52.816',-,-0.280,-,-1.184,78.000,-
'172:40:52.824',-,-0.280,-,-1.230,76.000,-
'172:40:52.832',-,-0.240,-,-1.276,76.000,-
'172:40:52.840',-,-0.176,-,-1.333,75.000,-
'172:40:52.848',-,-0.088,-,-1.379,75.000,-
'172:40:52.856',-,-0.024,-,-1.425,75.000,-
'172:40:52.864',-,0.000,-,-1.471,74.000,-
'172:40:52.872',-,0.008,-,-1.563,74.000,-
'172:40:52.880',-,0.008,-,-1.609,74.000,-
'172:40:52.888',-,0.008,-,-1.713,73.000,-
'172:40:52.896',-,0.024,-,-1.805,73.000,-
'172:40:52.904',-,0.024,-,-1.897,73.000,-
'172:40:52.912',-,0.040,-,-1.943,72.000,-
'172:40:52.920',-,0.040,-,-2.000,72.000,-
'172:40:52.928',-,0.056,-,-2.046,72.000,-
'172:40:52.936',-,0.072,-,-2.092,73.000,-
'172:40:52.944',-,0.072,-,-2.138,74.000,-
'172:40:52.952',-,0.088,-,-2.138,76.000,-
'172:40:52.960',-,0.104,-,-2.184,81.000,-
'172:40:52.968',-,0.120,-,-2.184,85.000,-
'172:40:52.976',-,0.144,-,-2.184,90.000,-
'172:40:52.984',-,0.160,-,-2.184,94.000,-
'172:40:52.992',-,0.176,-,-2.184,99.000,-
'172:40:53.000',-,0.192,-,-2.184,104.000,-
'172:40:53.008',-,0.192,-,-2.184,108.000,-
'172:40:53.016',-,0.192,-,-2.184,112.000,-
'172:40:53.024',-,0.192,-,-2.230,116.000,-
'172:40:53.032',-,0.176,-,-2.230,120.000,-
'172:40:53.040',-,0.144,-,-2.230,122.000,-
'172:40:53.048',-,0.120,-,-2.230,124.000,-
'172:40:53.056',-,0.104,-,-2.230,126.000,-
'172:40:53.064',-,0.056,-,-2.230,127.000,-
'172:40:53.072',-,0.024,-,-2.230,127.000,-
'172:40:53.080',-,0.008,-,-2.230,127.000,-
'172:40:53.088',-,0.000,-,-2.230,126.000,-
'172:40:53.096',-,0.000,-,-2.230,124.000,-
'172:40:53.104',-,0.000,-,-2.184,123.000,-
'172:40:53.112',-,-0.008,-,-2.184,122.000,-
'172:40:53.120',-,-0.008,-,-2.138,118.000,-
'172:40:53.128',-,-0.008,-,-2.138,116.000,-
'172:40:53.136',-,0.000,-,-2.092,112.000,-
'172:40:53.144',-,0.000,-,-2.092,110.000,-
'172:40:53.152',-,0.000,-,-2.046,106.000,-
'172:40:53.160',-,0.000,-,-2.000,103.000,-
'172:40:53.168',-,0.008,-,-2.000,100.000,-
'172:40:53.176',-,0.056,-,-1.943,98.000,-
'172:40:53.184',-,0.104,-,-1.897,96.000,-
'172:40:53.192',-,0.120,-,-1.851,93.000,-
'172:40:53.200',-,0.160,-,-1.805,92.000,-
'172:40:53.208',-,0.176,-,-1.759,91.000,-
'172:40:53.216',-,0.144,-,-1.713,90.000,-
'172:40:53.224',-,0.072,-,-1.667,88.000,-
'172:40:53.232',-,-0.104,-,-1.609,88.000,-
'172:40:53.240',-,-0.280,-,-1.563,88.000,-
'172:40:53.248',-,-0.312,-,-1.517,87.000,-
'172:40:53.256',-,-0.192,-,-1.517,87.000,-
'172:40:53.264',-,-0.120,-,-1.471,87.000,-
'172:40:53.272',-,-0.072,-,-1.471,86.000,-
'172:40:53.280',-,-0.056,-,-1.425,86.000,-
'172:40:53.288',-,-0.088,-,-1.425,86.000,-
'172:40:53.296',-,-0.136,-,-1.425,86.000,-
'172:40:53.304',-,-0.192,-,-1.379,85.000,-
'172:40:53.312',-,-0.192,-,-1.379,85.000,-
'172:40:53.320',-,-0.104,-,-1.379,84.000,-
'172:40:53.328',-,-0.008,-,-1.333,84.000,-
'172:40:53.336',-,0.024,-,-1.276,84.000,-
'172:40:53.344',-,0.040,-,-1.230,82.000,-
'172:40:53.352',-,0.056,-,-1.184,82.000,-
'172:40:53.360',-,0.072,-,-1.138,82.000,-
'172:40:53.368',-,0.088,-,-1.092,81.000,-
'172:40:53.376',-,0.104,-,-1.000,81.000,-
'172:40:53.384',-,0.104,-,-0.943,80.000,-
'172:40:53.392',-,0.120,-,-0.897,80.000,-
'172:40:53.400',-,0.144,-,-0.805,79.000,-
'172:40:53.408',-,0.176,-,-0.759,79.000,-
'172:40:53.416',-,0.192,-,-0.713,79.000,-
'172:40:53.424',-,0.208,-,-0.667,79.000,-
'172:40:53.432',-,0.224,-,-0.609,79.000,-
'172:40:53.440',-,0.224,-,-0.563,79.000,-
'172:40:53.448',-,0.240,-,-0.517,79.000,-
'172:40:53.456',-,0.256,-,-0.471,79.000,-
'172:40:53.464',-,0.256,-,-0.425,80.000,-
'172:40:53.472',-,0.256,-,-0.379,80.000,-
'172:40:53.480',-,0.240,-,-0.333,80.000,-
'172:40:53.488',-,0.208,-,-0.276,80.000,-
'172:40:53.496',-,0.160,-,-0.230,79.000,-
'172:40:53.504',-,0.136,-,-0.184,79.000,-
'172:40:53.512',-,0.120,-,-0.138,78.000,-
'172:40:53.520',-,0.088,-,-0.092,78.000,-
'172:40:53.528',-,0.072,-,-0.046,76.000,-
'172:40:53.536',-,0.056,-,0.000,76.000,-
'172:40:53.544',-,0.040,-,0.000,75.000,-
'172:40:53.552',-,0.024,-,0.046,74.000,-
'172:40:53.560',-,0.024,-,0.092,74.000,-
'172:40:53.568',-,0.024,-,0.092,73.000,-
'172:40:53.576',-,0.024,-,0.092,73.000,-
'172:40:53.584',-,0.024,-,0.092,72.000,-
'172:40:53.592',-,0.024,-,0.092,72.000,-
'172:40:53.600',-,0.008,-,0.092,72.000,-
'172:40:53.608',-,-0.008,-,0.046,70.000,-
'172:40:53.616',-,-0.008,-,0.046,70.000,-
'172:40:53.624',-,0.000,-,0.000,70.000,-
'172:40:53.632',-,0.000,-,-0.046,70.000,-
'172:40:53.640',-,0.008,-,-0.092,69.000,-
'172:40:53.648',-,0.000,-,-0.138,69.000,-
'172:40:53.656',-,0.008,-,-0.184,69.000,-
'172:40:53.664',-,0.008,-,-0.230,69.000,-
'172:40:53.672',-,0.000,-,-0.276,68.000,-
'172:40:53.680',-,0.000,-,-0.276,68.000,-
'172:40:53.688',-,0.008,-,-0.333,68.000,-
'172:40:53.696',-,0.000,-,-0.333,68.000,-
'172:40:53.704',-,0.000,-,-0.333,68.000,-
'172:40:53.712',-,0.008,-,-0.333,67.000,-
'172:40:53.720',-,0.008,-,-0.276,67.000,-
'172:40:53.728',-,0.008,-,-0.276,67.000,-
'172:40:53.736',-,0.008,-,-0.276,67.000,-
'172:40:53.744',-,0.008,-,-0.276,66.000,-
'172:40:53.752',-,0.008,-,-0.276,66.000,-
'172:40:53.760',-,0.008,-,-0.276,66.000,-
'172:40:53.768',-,0.008,-,-0.333,66.000,-
'172:40:53.776',-,0.008,-,-0.333,66.000,-
'172:40:53.784',-,0.024,-,-0.379,64.000,-
'172:40:53.792',-,0.040,-,-0.425,64.000,-
'172:40:53.800',-,0.072,-,-0.471,64.000,-
'172:40:53.808',-,0.072,-,-0.517,64.000,-
'172:40:53.816',-,0.088,-,-0.517,64.000,-
'172:40:53.824',-,0.120,-,-0.563,64.000,-
'172:40:53.832',-,0.136,-,-0.609,63.000,-
'172:40:53.840',-,0.120,-,-0.667,63.000,-
'172:40:53.848',-,0.104,-,-0.713,63.000,-
'172:40:53.856',-,0.072,-,-0.713,63.000,-
'172:40:53.864',-,0.024,-,-0.805,63.000,-
'172:40:53.872',-,0.000,-,-0.851,63.000,-
'172:40:53.880',-,-0.008,-,-0.897,63.000,-
'172:40:53.888',-,-0.040,-,-1.000,62.000,-
'172:40:53.896',-,-0.040,-,-1.092,62.000,-
'172:40:53.904',-,0.000,-,-1.184,62.000,-
'172:40:53.912',-,0.000,-,-1.333,62.000,-
'172:40:53.920',-,-0.040,-,-1.425,62.000,-
'172:40:53.928',-,-0.072,-,-1.563,62.000,-
'172:40:53.936',-,-0.056,-,-1.713,62.000,-
'172:40:53.944',-,-0.008,-,-1.851,62.000,-
'172:40:53.952',-,0.040,-,-1.943,62.000,-
'172:40:53.960',-,0.144,-,-2.092,62.000,-
'172:40:53.968',-,0.176,-,-2.184,61.000,-
'172:40:53.976',-,0.040,-,-2.333,61.000,-
'172:40:53.984',-,-0.160,-,-2.379,61.000,-
'172:40:53.992',-,-0.280,-,-2.471,61.000,-
'172:40:54.000',-,-0.280,-,-2.517,61.000,-
'172:40:54.008',-,-0.224,-,-2.563,61.000,-
'172:40:54.016',-,-0.192,-,-2.609,61.000,-
'172:40:54.024',-,-0.192,-,-2.667,61.000,-
'172:40:54.032',-,-0.208,-,-2.667,60.000,-
'172:40:54.040',-,-0.192,-,-2.667,60.000,-
'172:40:54.048',-,-0.136,-,-2.667,60.000,-
'172:40:54.056',-,-0.072,-,-2.713,60.000,-
'172:40:54.064',-,-0.008,-,-2.713,60.000,-
'172:40:54.072',-,0.000,-,-2.713,60.000,-
'172:40:54.080',-,0.000,-,-2.759,60.000,-
'172:40:54.088',-,0.008,-,-2.759,58.000,-
'172:40:54.096',-,0.008,-,-2.805,58.000,-
'172:40:54.104',-,0.008,-,-2.851,58.000,-
'172:40:54.112',-,0.024,-,-2.897,58.000,-
'172:40:54.120',-,0.024,-,-2.943,58.000,-
'172:40:54.128',-,0.040,-,-3.046,60.000,-
'172:40:54.136',-,0.056,-,-3.092,61.000,-
'172:40:54.144',-,0.056,-,-3.138,63.000,-
'172:40:54.152',-,0.072,-,-3.184,67.000,-
'172:40:54.160',-,0.072,-,-3.184,72.000,-
'172:40:54.168',-,0.088,-,-3.230,76.000,-
'172:40:54.176',-,0.088,-,-3.230,81.000,-
'172:40:54.184',-,0.104,-,-3.276,86.000,-
'172:40:54.192',-,0.120,-,-3.276,92.000,-
'172:40:54.200',-,0.136,-,-3.276,97.000,-
'172:40:54.208',-,0.144,-,-3.276,102.000,-
'172:40:54.216',-,0.160,-,-3.276,106.000,-
'172:40:54.224',-,0.160,-,-3.230,111.000,-
'172:40:54.232',-,0.176,-,-3.230,115.000,-
'172:40:54.240',-,0.160,-,-3.184,118.000,-
'172:40:54.248',-,0.144,-,-3.138,122.000,-
'172:40:54.256',-,0.136,-,-3.092,124.000,-
'172:40:54.264',-,0.120,-,-3.000,126.000,-
'172:40:54.272',-,0.088,-,-2.943,127.000,-
'172:40:54.280',-,0.072,-,-2.851,127.000,-
'172:40:54.288',-,0.040,-,-2.759,126.000,-
'172:40:54.296',-,0.024,-,-2.667,126.000,-
'172:40:54.304',-,0.008,-,-2.563,123.000,-
'172:40:54.312',-,0.008,-,-2.471,121.000,-
'172:40:54.320',-,0.000,-,-2.425,118.000,-
'172:40:54.328',-,0.000,-,-2.379,115.000,-
'172:40:54.336',-,0.000,-,-2.276,112.000,-
'172:40:54.344',-,0.000,-,-2.276,109.000,-
'172:40:54.352',-,0.000,-,-2.230,105.000,-
'172:40:54.360',-,0.000,-,-2.230,102.000,-
'172:40:54.368',-,0.000,-,-2.230,99.000,-
'172:40:54.376',-,0.000,-,-2.230,97.000,-
'172:40:54.384',-,0.000,-,-2.230,94.000,-
'172:40:54.392',-,0.008,-,-2.230,93.000,-
'172:40:54.400',-,0.040,-,-2.230,91.000,-
'172:40:54.408',-,0.056,-,-2.230,90.000,-
'172:40:54.416',-,0.072,-,-2.230,88.000,-
'172:40:54.424',-,0.088,-,-2.230,88.000,-
'172:40:54.432',-,0.104,-,-2.230,87.000,-
