'Elapsed time','I','II','V','ABP','PAP'
'47:39:14.392',-,-0.360,-,110.400,27.600
'47:39:14.400',-,-0.344,-,108.000,28.800
'47:39:14.408',-,-0.304,-,104.800,30.400
'47:39:14.416',-,-0.264,-,100.800,32.000
'47:39:14.424',-,-0.176,-,96.000,33.600
'47:39:14.432',-,-0.120,-,91.200,34.800
'47:39:14.440',-,-0.056,-,85.600,35.600
'47:39:14.448',-,-0.016,-,80.800,36.000
'47:39:14.456',-,0.000,-,75.200,35.600
'47:39:14.464',-,0.016,-,70.400,35.200
'47:39:14.472',-,0.040,-,65.600,34.800
'47:39:14.480',-,0.056,-,60.800,34.400
'47:39:14.488',-,0.056,-,56.000,33.600
'47:39:14.496',-,0.080,-,52.000,32.400
'47:39:14.504',-,0.080,-,48.800,30.800
'47:39:14.512',-,0.080,-,44.800,28.800
'47:39:14.520',-,0.096,-,42.400,26.800
'47:39:14.528',-,0.136,-,40.000,25.200
'47:39:14.536',-,0.224,-,37.600,24.400
'47:39:14.544',-,0.344,-,36.000,24.000
'47:39:14.552',-,0.488,-,34.400,24.800
'47:39:14.560',-,0.584,-,34.400,25.600
'47:39:14.568',-,0.648,-,33.600,26.400
'47:39:14.576',-,0.608,-,33.600,27.200
'47:39:14.584',-,0.488,-,33.600,27.600
'47:39:14.592',-,0.264,-,34.400,28.400
'47:39:14.600',-,0.080,-,35.200,28.400
'47:39:14.608',-,-0.016,-,35.200,29.200
'47:39:14.616',-,-0.056,-,36.000,30.000
'47:39:14.624',-,-0.080,-,37.600,31.200
'47:39:14.632',-,-0.056,-,38.400,31.600
'47:39:14.640',-,-0.056,-,39.200,32.000
'47:39:14.648',-,-0.040,-,40.800,31.200
'47:39:14.656',-,-0.040,-,42.400,30.000
'47:39:14.664',-,-0.040,-,44.800,29.200
'47:39:14.672',-,-0.056,-,48.800,28.000
'47:39:14.680',-,-0.056,-,56.000,27.200
'47:39:14.688',-,-0.056,-,65.600,26.400
'47:39:14.696',-,-0.080,-,78.400,26.800
'47:39:14.704',-,-0.080,-,91.200,27.600
'47:39:14.712',-,-0.096,-,102.400,29.200
'47:39:14.720',-,-0.120,-,111.200,31.600
'47:39:14.728',-,-0.136,-,116.000,34.400
'47:39:14.736',-,-0.160,-,119.200,37.600
'47:39:14.744',-,-0.176,-,120.000,41.200
'47:39:14.752',-,-0.224,-,120.000,44.800
'47:39:14.760',-,-0.240,-,118.400,48.400
'47:39:14.768',-,-0.224,-,116.000,51.200
'47:39:14.776',-,-0.200,-,112.800,54.000
'47:39:14.784',-,-0.176,-,108.800,56.000
'47:39:14.792',-,-0.160,-,104.800,57.200
'47:39:14.800',-,-0.120,-,100.800,57.200
'47:39:14.808',-,-0.080,-,96.800,56.800
'47:39:14.816',-,-0.040,-,92.000,55.600
'47:39:14.824',-,0.000,-,87.200,54.000
'47:39:14.832',-,0.016,-,82.400,51.600
'47:39:14.840',-,0.040,-,77.600,48.800
'47:39:14.848',-,0.056,-,72.800,46.000
'47:39:14.856',-,0.056,-,68.000,42.800
'47:39:14.864',-,0.056,-,64.000,40.000
'47:39:14.872',-,0.080,-,60.000,37.200
'47:39:14.880',-,0.080,-,56.000,35.600
'47:39:14.888',-,0.080,-,52.000,34.000
'47:39:14.896',-,0.080,-,48.800,32.400
'47:39:14.904',-,0.080,-,46.400,31.200
'47:39:14.912',-,0.080,-,44.000,30.000
'47:39:14.920',-,0.120,-,41.600,29.200
'47:39:14.928',-,0.200,-,40.800,29.200
'47:39:14.936',-,0.304,-,40.000,29.600
'47:39:14.944',-,0.448,-,39.200,30.400
'47:39:14.952',-,0.568,-,39.200,31.200
'47:39:14.960',-,0.632,-,38.400,31.600
'47:39:14.968',-,0.608,-,38.400,32.400
'47:39:14.976',-,0.448,-,39.200,32.800
'47:39:14.984',-,0.224,-,39.200,32.800
'47:39:14.992',-,0.040,-,40.000,32.800
'47:39:15.000',-,-0.040,-,40.000,32.800
'47:39:15.008',-,-0.080,-,40.800,33.600
'47:39:15.016',-,-0.080,-,41.600,34.400
'47:39:15.024',-,-0.080,-,42.400,35.600
'47:39:15.032',-,-0.056,-,43.200,36.000
'47:39:15.040',-,-0.056,-,44.000,35.600
'47:39:15.048',-,-0.056,-,44.800,34.800
'47:39:15.056',-,-0.056,-,47.200,34.000
'47:39:15.064',-,-0.056,-,51.200,32.800
'47:39:15.072',-,-0.056,-,58.400,32.000
'47:39:15.080',-,-0.080,-,68.800,31.200
'47:39:15.088',-,-0.080,-,81.600,30.800
'47:39:15.096',-,-0.096,-,95.200,31.200
'47:39:15.104',-,-0.096,-,107.200,32.400
'47:39:15.112',-,-0.120,-,116.000,34.400
'47:39:15.120',-,-0.136,-,121.600,36.800
'47:39:15.128',-,-0.176,-,124.000,39.600
'47:39:15.136',-,-0.200,-,124.800,42.800
'47:39:15.144',-,-0.224,-,124.000,46.400
'47:39:15.152',-,-0.240,-,122.400,50.000
'47:39:15.160',-,-0.240,-,119.200,53.200
'47:39:15.168',-,-0.240,-,116.000,56.400
'47:39:15.176',-,-0.224,-,112.000,58.400
'47:39:15.184',-,-0.176,-,107.200,60.000
'47:39:15.192',-,-0.136,-,103.200,60.800
'47:39:15.200',-,-0.080,-,98.400,60.800
'47:39:15.208',-,-0.040,-,93.600,60.000
'47:39:15.216',-,0.000,-,88.800,58.400
'47:39:15.224',-,0.016,-,84.000,56.400
'47:39:15.232',-,0.040,-,79.200,54.000
'47:39:15.240',-,0.040,-,74.400,51.200
'47:39:15.248',-,0.056,-,70.400,48.000
'47:39:15.256',-,0.056,-,65.600,45.600
'47:39:15.264',-,0.056,-,61.600,43.200
'47:39:15.272',-,0.056,-,57.600,41.600
'47:39:15.280',-,0.056,-,54.400,40.000
'47:39:15.288',-,0.056,-,51.200,38.800
'47:39:15.296',-,0.056,-,48.800,38.000
'47:39:15.304',-,0.056,-,46.400,37.600
'47:39:15.312',-,0.096,-,44.800,37.600
'47:39:15.320',-,0.176,-,43.200,38.000
'47:39:15.328',-,0.304,-,42.400,38.400
'47:39:15.336',-,0.424,-,42.400,39.200
'47:39:15.344',-,0.544,-,42.400,39.600
'47:39:15.352',-,0.608,-,42.400,40.000
'47:39:15.360',-,0.608,-,41.600,40.400
'47:39:15.368',-,0.448,-,42.400,40.400
'47:39:15.376',-,0.224,-,42.400,40.000
'47:39:15.384',-,0.040,-,42.400,39.600
'47:39:15.392',-,-0.056,-,43.200,38.800
'47:39:15.400',-,-0.096,-,43.200,38.400
'47:39:15.408',-,-0.120,-,44.000,38.000
'47:39:15.416',-,-0.096,-,44.800,38.000
'47:39:15.424',-,-0.096,-,45.600,38.000
'47:39:15.432',-,-0.080,-,46.400,38.000
'47:39:15.440',-,-0.080,-,47.200,38.000
'47:39:15.448',-,-0.080,-,49.600,38.000
'47:39:15.456',-,-0.080,-,53.600,38.400
'47:39:15.464',-,-0.096,-,60.800,38.800
'47:39:15.472',-,-0.096,-,72.000,38.800
'47:39:15.480',-,-0.120,-,85.600,38.400
'47:39:15.488',-,-0.120,-,99.200,38.000
'47:39:15.496',-,-0.136,-,111.200,37.600
'47:39:15.504',-,-0.160,-,120.800,37.200
'47:39:15.512',-,-0.176,-,126.400,37.600
'47:39:15.520',-,-0.200,-,129.600,38.800
'47:39:15.528',-,-0.224,-,130.400,40.800
'47:39:15.536',-,-0.240,-,129.600,43.200
'47:39:15.544',-,-0.264,-,127.200,46.000
'47:39:15.552',-,-0.264,-,124.000,48.800
'47:39:15.560',-,-0.264,-,120.000,52.000
'47:39:15.568',-,-0.240,-,115.200,54.400
'47:39:15.576',-,-0.200,-,110.400,56.800
'47:39:15.584',-,-0.160,-,105.600,58.400
'47:39:15.592',-,-0.120,-,100.800,59.600
'47:39:15.600',-,-0.056,-,96.000,59.600
'47:39:15.608',-,-0.016,-,91.200,58.800
'47:39:15.616',-,0.000,-,86.400,57.200
'47:39:15.624',-,0.016,-,81.600,54.800
'47:39:15.632',-,0.016,-,76.800,52.000
'47:39:15.640',-,0.016,-,72.000,49.600
'47:39:15.648',-,0.040,-,67.200,47.200
'47:39:15.656',-,0.040,-,63.200,45.200
'47:39:15.664',-,0.040,-,59.200,43.600
'47:39:15.672',-,0.040,-,56.000,41.600
'47:39:15.680',-,0.040,-,52.800,40.400
'47:39:15.688',-,0.040,-,50.400,39.200
'47:39:15.696',-,0.040,-,48.000,38.400
'47:39:15.704',-,0.080,-,46.400,38.400
'47:39:15.712',-,0.136,-,44.800,39.200
'47:39:15.720',-,0.264,-,44.000,40.000
'47:39:15.728',-,0.408,-,43.200,40.400
'47:39:15.736',-,0.504,-,42.400,40.400
'47:39:15.744',-,0.584,-,42.400,40.800
'47:39:15.752',-,0.584,-,43.200,40.800
'47:39:15.760',-,0.464,-,43.200,40.800
'47:39:15.768',-,0.240,-,43.200,40.400
'47:39:15.776',-,0.040,-,43.200,39.600
'47:39:15.784',-,-0.040,-,43.200,38.800
'47:39:15.792',-,-0.080,-,44.000,38.000
'47:39:15.800',-,-0.096,-,44.800,37.600
'47:39:15.808',-,-0.096,-,44.800,37.600
'47:39:15.816',-,-0.080,-,45.600,37.600
'47:39:15.824',-,-0.080,-,46.400,37.200
'47:39:15.832',-,-0.056,-,48.000,36.800
'47:39:15.840',-,-0.080,-,50.400,36.400
'47:39:15.848',-,-0.080,-,55.200,37.200
'47:39:15.856',-,-0.096,-,63.200,37.600
'47:39:15.864',-,-0.096,-,73.600,38.000
'47:39:15.872',-,-0.096,-,87.200,37.200
'47:39:15.880',-,-0.120,-,101.600,36.000
'47:39:15.888',-,-0.120,-,113.600,35.200
'47:39:15.896',-,-0.136,-,122.400,35.200
'47:39:15.904',-,-0.160,-,128.000,35.600
'47:39:15.912',-,-0.176,-,131.200,37.200
'47:39:15.920',-,-0.200,-,131.200,38.800
'47:39:15.928',-,-0.224,-,130.400,41.200
'47:39:15.936',-,-0.240,-,128.000,44.000
'47:39:15.944',-,-0.240,-,124.800,46.800
'47:39:15.952',-,-0.224,-,120.800,49.600
'47:39:15.960',-,-0.200,-,116.000,52.000
'47:39:15.968',-,-0.176,-,111.200,54.400
'47:39:15.976',-,-0.136,-,106.400,56.000
'47:39:15.984',-,-0.096,-,101.600,57.200
'47:39:15.992',-,-0.056,-,96.800,57.600
'47:39:16.000',-,-0.016,-,92.000,56.800
'47:39:16.008',-,0.000,-,87.200,55.200
'47:39:16.016',-,0.016,-,82.400,52.800
'47:39:16.024',-,0.040,-,77.600,50.000
'47:39:16.032',-,0.040,-,72.800,47.200
'47:39:16.040',-,0.040,-,68.000,45.200
'47:39:16.048',-,0.056,-,64.000,43.200
'47:39:16.056',-,0.056,-,60.000,41.600
'47:39:16.064',-,0.056,-,56.800,40.000
'47:39:16.072',-,0.056,-,53.600,38.800
'47:39:16.080',-,0.056,-,50.400,38.000
'47:39:16.088',-,0.056,-,48.800,37.600
'47:39:16.096',-,0.080,-,46.400,37.600
'47:39:16.104',-,0.120,-,44.800,37.600
'47:39:16.112',-,0.224,-,44.000,38.000
'47:39:16.120',-,0.344,-,42.400,38.400
'47:39:16.128',-,0.488,-,42.400,38.800
'47:39:16.136',-,0.568,-,41.600,39.200
'47:39:16.144',-,0.584,-,42.400,39.200
'47:39:16.152',-,0.528,-,42.400,39.200
'47:39:16.160',-,0.320,-,43.200,38.800
'47:39:16.168',-,0.096,-,43.200,38.400
'47:39:16.176',-,-0.016,-,43.200,38.000
'47:39:16.184',-,-0.080,-,44.000,37.600
'47:39:16.192',-,-0.080,-,44.000,37.200
'47:39:16.200',-,-0.096,-,44.800,37.600
'47:39:16.208',-,-0.080,-,45.600,37.600
'47:39:16.216',-,-0.056,-,46.400,37.200
'47:39:16.224',-,-0.056,-,48.000,36.800
'47:39:16.232',-,-0.056,-,49.600,36.400
'47:39:16.240',-,-0.056,-,54.400,36.400
'47:39:16.248',-,-0.080,-,61.600,36.400
'47:39:16.256',-,-0.080,-,72.000,36.000
'47:39:16.264',-,-0.080,-,85.600,35.200
'47:39:16.272',-,-0.080,-,99.200,34.400
'47:39:16.280',-,-0.096,-,112.000,34.000
'47:39:16.288',-,-0.120,-,122.400,34.000
'47:39:16.296',-,-0.136,-,128.800,35.200
'47:39:16.304',-,-0.160,-,132.800,37.200
'47:39:16.312',-,-0.176,-,133.600,39.200
'47:39:16.320',-,-0.200,-,132.800,42.000
'47:39:16.328',-,-0.224,-,130.400,45.200
'47:39:16.336',-,-0.224,-,127.200,48.000
'47:39:16.344',-,-0.224,-,123.200,51.200
'47:39:16.352',-,-0.200,-,118.400,54.000
'47:39:16.360',-,-0.176,-,113.600,56.000
'47:39:16.368',-,-0.136,-,108.800,58.000
'47:39:16.376',-,-0.096,-,104.000,58.800
'47:39:16.384',-,-0.056,-,99.200,59.200
'47:39:16.392',-,-0.016,-,94.400,58.800
'47:39:16.400',-,0.000,-,89.600,57.200
'47:39:16.408',-,0.016,-,84.800,54.400
'47:39:16.416',-,0.040,-,80.800,51.600
'47:39:16.424',-,0.040,-,76.000,48.400
'47:39:16.432',-,0.056,-,71.200,46.000
'47:39:16.440',-,0.056,-,67.200,44.000
'47:39:16.448',-,0.056,-,63.200,42.000
'47:39:16.456',-,0.056,-,59.200,40.400
'47:39:16.464',-,0.056,-,56.000,39.200
'47:39:16.472',-,0.056,-,52.800,38.000
'47:39:16.480',-,0.056,-,50.400,37.600
'47:39:16.488',-,0.056,-,48.000,37.200
'47:39:16.496',-,0.096,-,46.400,37.600
'47:39:16.504',-,0.176,-,44.800,38.000
'47:39:16.512',-,0.304,-,44.000,38.400
'47:39:16.520',-,0.424,-,43.200,38.800
'47:39:16.528',-,0.544,-,42.400,39.200
'47:39:16.536',-,0.608,-,42.400,39.200
'47:39:16.544',-,0.608,-,43.200,39.200
'47:39:16.552',-,0.448,-,43.200,39.200
'47:39:16.560',-,0.224,-,43.200,38.800
'47:39:16.568',-,0.040,-,43.200,38.400
'47:39:16.576',-,-0.040,-,44.000,38.000
'47:39:16.584',-,-0.080,-,44.000,37.600
'47:39:16.592',-,-0.080,-,44.800,37.600
'47:39:16.600',-,-0.080,-,45.600,37.600
'47:39:16.608',-,-0.056,-,45.600,37.600
'47:39:16.616',-,-0.056,-,47.200,37.200
'47:39:16.624',-,-0.056,-,48.800,36.400
'47:39:16.632',-,-0.056,-,51.200,36.000
'47:39:16.640',-,-0.080,-,56.800,36.000
'47:39:16.648',-,-0.080,-,65.600,36.000
'47:39:16.656',-,-0.080,-,77.600,35.600
'47:39:16.664',-,-0.096,-,91.200,34.800
'47:39:16.672',-,-0.096,-,104.800,34.000
'47:39:16.680',-,-0.120,-,116.800,33.600
'47:39:16.688',-,-0.136,-,124.800,34.000
'47:39:16.696',-,-0.136,-,129.600,35.600
'47:39:16.704',-,-0.176,-,132.000,37.600
'47:39:16.712',-,-0.200,-,132.000,40.000
'47:39:16.720',-,-0.224,-,130.400,42.400
'47:39:16.728',-,-0.240,-,127.200,45.600
'47:39:16.736',-,-0.240,-,124.000,48.400
'47:39:16.744',-,-0.224,-,120.000,51.200
'47:39:16.752',-,-0.200,-,115.200,54.000
'47:39:16.760',-,-0.176,-,110.400,56.000
'47:39:16.768',-,-0.136,-,105.600,57.600
'47:39:16.776',-,-0.096,-,100.800,58.400
'47:39:16.784',-,-0.056,-,96.000,58.000
'47:39:16.792',-,-0.016,-,91.200,56.800
'47:39:16.800',-,0.016,-,86.400,54.800
'47:39:16.808',-,0.016,-,81.600,52.000
'47:39:16.816',-,0.040,-,77.600,49.200
'47:39:16.824',-,0.040,-,72.800,46.400
'47:39:16.832',-,0.056,-,68.000,44.000
'47:39:16.840',-,0.056,-,64.000,42.000
'47:39:16.848',-,0.056,-,60.000,40.400
'47:39:16.856',-,0.056,-,56.800,38.800
'47:39:16.864',-,0.056,-,53.600,38.000
'47:39:16.872',-,0.056,-,51.200,37.200
'47:39:16.880',-,0.056,-,48.800,36.800
'47:39:16.888',-,0.080,-,47.200,36.800
'47:39:16.896',-,0.120,-,45.600,37.200
'47:39:16.904',-,0.224,-,44.000,37.600
'47:39:16.912',-,0.344,-,43.200,38.000
'47:39:16.920',-,0.464,-,42.400,38.400
'47:39:16.928',-,0.568,-,42.400,38.800
'47:39:16.936',-,0.608,-,42.400,38.800
'47:39:16.944',-,0.544,-,43.200,38.800
'47:39:16.952',-,0.344,-,43.200,38.400
'47:39:16.960',-,0.136,-,43.200,38.000
'47:39:16.968',-,0.000,-,43.200,37.600
'47:39:16.976',-,-0.056,-,44.000,37.200
'47:39:16.984',-,-0.080,-,44.000,37.200
'47:39:16.992',-,-0.080,-,44.800,37.200
'47:39:17.000',-,-0.056,-,45.600,37.600
'47:39:17.008',-,-0.056,-,46.400,37.200
'47:39:17.016',-,-0.056,-,47.200,36.400
'47:39:17.024',-,-0.056,-,49.600,36.000
'47:39:17.032',-,-0.056,-,52.800,36.000
'47:39:17.040',-,-0.056,-,60.000,36.000
'47:39:17.048',-,-0.080,-,70.400,35.600
'47:39:17.056',-,-0.080,-,83.200,34.800
'47:39:17.064',-,-0.080,-,97.600,33.600
'47:39:17.072',-,-0.096,-,110.400,33.200
'47:39:17.080',-,-0.120,-,120.800,33.600
'47:39:17.088',-,-0.136,-,127.200,34.800
'47:39:17.096',-,-0.160,-,131.200,36.400
'47:39:17.104',-,-0.176,-,132.000,38.800
'47:39:17.112',-,-0.200,-,131.200,41.600
'47:39:17.120',-,-0.224,-,129.600,44.400
'47:39:17.128',-,-0.224,-,126.400,47.600
'47:39:17.136',-,-0.224,-,122.400,50.800
'47:39:17.144',-,-0.200,-,117.600,53.600
'47:39:17.152',-,-0.176,-,113.600,56.400
'47:39:17.160',-,-0.160,-,108.800,58.000
'47:39:17.168',-,-0.120,-,104.000,59.200
'47:39:17.176',-,-0.080,-,99.200,59.600
'47:39:17.184',-,-0.040,-,94.400,58.800
'47:39:17.192',-,0.000,-,89.600,57.200
'47:39:17.200',-,0.016,-,84.800,54.800
'47:39:17.208',-,0.040,-,80.000,51.600
'47:39:17.216',-,0.040,-,75.200,48.400
'47:39:17.224',-,0.056,-,70.400,46.000
'47:39:17.232',-,0.056,-,66.400,43.600
'47:39:17.240',-,0.056,-,62.400,41.600
'47:39:17.248',-,0.056,-,58.400,40.000
'47:39:17.256',-,0.056,-,55.200,38.800
'47:39:17.264',-,0.056,-,52.000,37.600
'47:39:17.272',-,0.056,-,49.600,37.200
'47:39:17.280',-,0.056,-,48.000,37.200
'47:39:17.288',-,0.080,-,46.400,37.200
'47:39:17.296',-,0.136,-,44.800,37.600
'47:39:17.304',-,0.264,-,43.200,38.000
'47:39:17.312',-,0.384,-,42.400,38.400
'47:39:17.320',-,0.528,-,42.400,38.800
'47:39:17.328',-,0.584,-,42.400,39.200
'47:39:17.336',-,0.608,-,42.400,39.200
'47:39:17.344',-,0.488,-,43.200,39.200
'47:39:17.352',-,0.280,-,43.200,38.800
'47:39:17.360',-,0.080,-,43.200,38.400
'47:39:17.368',-,-0.016,-,44.000,37.600
'47:39:17.376',-,-0.056,-,44.000,37.200
'47:39:17.384',-,-0.080,-,44.800,37.200
'47:39:17.392',-,-0.080,-,45.600,37.200
'47:39:17.400',-,-0.056,-,45.600,37.600
'47:39:17.408',-,-0.056,-,46.400,37.200
'47:39:17.416',-,-0.056,-,48.000,36.400
'47:39:17.424',-,-0.056,-,50.400,36.000
'47:39:17.432',-,-0.080,-,54.400,36.000
'47:39:17.440',-,-0.080,-,62.400,36.000
'47:39:17.448',-,-0.080,-,73.600,35.600
'47:39:17.456',-,-0.080,-,86.400,34.800
'47:39:17.464',-,-0.096,-,100.800,33.600
'47:39:17.472',-,-0.120,-,112.800,33.600
'47:39:17.480',-,-0.120,-,122.400,34.000
'47:39:17.488',-,-0.136,-,128.800,35.200
'47:39:17.496',-,-0.160,-,131.200,36.800
'47:39:17.504',-,-0.176,-,132.000,39.200
'47:39:17.512',-,-0.200,-,130.400,42.000
'47:39:17.520',-,-0.224,-,128.000,45.200
'47:39:17.528',-,-0.240,-,124.800,48.000
'47:39:17.536',-,-0.224,-,120.000,51.200
'47:39:17.544',-,-0.200,-,116.000,53.600
'47:39:17.552',-,-0.176,-,111.200,56.000
'47:39:17.560',-,-0.136,-,106.400,57.600
'47:39:17.568',-,-0.096,-,101.600,58.400
'47:39:17.576',-,-0.056,-,96.800,58.400
'47:39:17.584',-,-0.016,-,92.000,57.600
'47:39:17.592',-,0.000,-,87.200,55.600
'47:39:17.600',-,0.016,-,82.400,53.200
'47:39:17.608',-,0.040,-,77.600,50.000
'47:39:17.616',-,0.040,-,72.800,47.200
'47:39:17.624',-,0.040,-,68.800,44.800
'47:39:17.632',-,0.056,-,64.800,42.800
'47:39:17.640',-,0.056,-,60.800,40.800
'47:39:17.648',-,0.056,-,56.800,39.200
'47:39:17.656',-,0.056,-,53.600,38.000
'47:39:17.664',-,0.056,-,51.200,37.200
'47:39:17.672',-,0.056,-,48.800,36.800
'47:39:17.680',-,0.056,-,47.200,36.800
'47:39:17.688',-,0.096,-,45.600,37.200
'47:39:17.696',-,0.160,-,44.000,37.600
'47:39:17.704',-,0.280,-,43.200,38.000
'47:39:17.712',-,0.424,-,42.400,38.400
'47:39:17.720',-,0.528,-,42.400,38.800
'47:39:17.728',-,0.608,-,42.400,38.800
'47:39:17.736',-,0.608,-,43.200,38.800
'47:39:17.744',-,0.448,-,43.200,38.800
'47:39:17.752',-,0.224,-,43.200,38.400
'47:39:17.760',-,0.040,-,44.000,38.000
'47:39:17.768',-,-0.040,-,44.000,37.200
'47:39:17.776',-,-0.080,-,44.800,37.200
'47:39:17.784',-,-0.080,-,44.800,37.200
'47:39:17.792',-,-0.080,-,45.600,37.600
