'Elapsed time','II','AVR','AVL','V','ABP'
'58:43:32.152',-0.179,-,-,-,54.400
'58:43:32.160',-0.259,-,-,-,54.400
'58:43:32.168',-0.179,-,-,-,54.400
'58:43:32.176',0.152,-,-,-,54.400
'58:43:32.184',0.438,-,-,-,54.400
'58:43:32.192',0.473,-,-,-,53.600
'58:43:32.200',0.348,-,-,-,53.600
'58:43:32.208',0.116,-,-,-,53.600
'58:43:32.216',0.000,-,-,-,53.600
'58:43:32.224',-0.027,-,-,-,52.800
'58:43:32.232',-0.071,-,-,-,52.800
'58:43:32.240',-0.089,-,-,-,52.800
'58:43:32.248',-0.089,-,-,-,52.000
'58:43:32.256',-0.089,-,-,-,52.000
'58:43:32.264',-0.089,-,-,-,51.200
'58:43:32.272',-0.089,-,-,-,51.200
'58:43:32.280',-0.071,-,-,-,51.200
'58:43:32.288',-0.089,-,-,-,50.400
'58:43:32.296',-0.071,-,-,-,50.400
'58:43:32.304',-0.054,-,-,-,51.200
'58:43:32.312',-0.045,-,-,-,52.000
'58:43:32.320',-0.045,-,-,-,54.400
'58:43:32.328',-0.027,-,-,-,57.600
'58:43:32.336',-0.027,-,-,-,61.600
'58:43:32.344',-0.009,-,-,-,65.600
'58:43:32.352',0.000,-,-,-,70.400
'58:43:32.360',0.009,-,-,-,75.200
'58:43:32.368',0.027,-,-,-,80.000
'58:43:32.376',0.027,-,-,-,84.000
'58:43:32.384',0.054,-,-,-,88.000
'58:43:32.392',0.054,-,-,-,91.200
'58:43:32.400',0.054,-,-,-,93.600
'58:43:32.408',0.054,-,-,-,95.200
'58:43:32.416',0.054,-,-,-,96.800
'58:43:32.424',0.045,-,-,-,96.800
'58:43:32.432',0.027,-,-,-,96.800
'58:43:32.440',0.027,-,-,-,96.800
'58:43:32.448',0.027,-,-,-,96.000
'58:43:32.456',0.009,-,-,-,95.200
'58:43:32.464',0.000,-,-,-,93.600
'58:43:32.472',0.000,-,-,-,92.800
'58:43:32.480',0.000,-,-,-,91.200
'58:43:32.488',0.000,-,-,-,89.600
'58:43:32.496',0.000,-,-,-,88.000
'58:43:32.504',0.000,-,-,-,86.400
'58:43:32.512',0.000,-,-,-,84.000
'58:43:32.520',0.000,-,-,-,81.600
'58:43:32.528',0.000,-,-,-,79.200
'58:43:32.536',-0.009,-,-,-,76.800
'58:43:32.544',0.000,-,-,-,74.400
'58:43:32.552',0.000,-,-,-,72.000
'58:43:32.560',0.000,-,-,-,69.600
'58:43:32.568',0.000,-,-,-,68.000
'58:43:32.576',0.000,-,-,-,65.600
'58:43:32.584',0.000,-,-,-,64.800
'58:43:32.592',0.000,-,-,-,63.200
'58:43:32.600',-0.027,-,-,-,62.400
'58:43:32.608',-0.009,-,-,-,61.600
'58:43:32.616',0.000,-,-,-,60.800
'58:43:32.624',0.000,-,-,-,60.800
'58:43:32.632',0.000,-,-,-,60.800
'58:43:32.640',0.000,-,-,-,60.000
'58:43:32.648',-0.045,-,-,-,60.000
'58:43:32.656',-0.152,-,-,-,60.000
'58:43:32.664',-0.179,-,-,-,60.000
'58:43:32.672',0.027,-,-,-,60.000
'58:43:32.680',0.384,-,-,-,60.000
'58:43:32.688',0.518,-,-,-,60.000
'58:43:32.696',0.429,-,-,-,60.000
'58:43:32.704',0.259,-,-,-,60.000
'58:43:32.712',0.116,-,-,-,59.200
'58:43:32.720',0.054,-,-,-,59.200
'58:43:32.728',0.009,-,-,-,59.200
'58:43:32.736',0.000,-,-,-,58.400
'58:43:32.744',-0.009,-,-,-,58.400
'58:43:32.752',-0.009,-,-,-,58.400
'58:43:32.760',-0.027,-,-,-,57.600
'58:43:32.768',-0.009,-,-,-,57.600
'58:43:32.776',-0.009,-,-,-,56.800
'58:43:32.784',0.000,-,-,-,56.000
'58:43:32.792',-0.009,-,-,-,56.000
'58:43:32.800',0.000,-,-,-,56.000
'58:43:32.808',0.000,-,-,-,56.000
'58:43:32.816',0.000,-,-,-,56.800
'58:43:32.824',0.000,-,-,-,59.200
'58:43:32.832',0.000,-,-,-,61.600
'58:43:32.840',0.009,-,-,-,64.800
'58:43:32.848',0.027,-,-,-,68.800
'58:43:32.856',0.027,-,-,-,72.800
'58:43:32.864',0.027,-,-,-,76.800
'58:43:32.872',0.045,-,-,-,80.800
'58:43:32.880',0.054,-,-,-,84.000
'58:43:32.888',0.054,-,-,-,87.200
'58:43:32.896',0.054,-,-,-,89.600
'58:43:32.904',0.054,-,-,-,92.000
'58:43:32.912',0.054,-,-,-,92.800
'58:43:32.920',0.045,-,-,-,93.600
'58:43:32.928',0.027,-,-,-,94.400
'58:43:32.936',0.027,-,-,-,93.600
'58:43:32.944',0.009,-,-,-,93.600
'58:43:32.952',0.009,-,-,-,92.000
'58:43:32.960',0.000,-,-,-,91.200
'58:43:32.968',0.000,-,-,-,89.600
'58:43:32.976',0.000,-,-,-,88.000
'58:43:32.984',0.000,-,-,-,86.400
'58:43:32.992',0.000,-,-,-,84.800
'58:43:33.000',0.000,-,-,-,82.400
'58:43:33.008',0.000,-,-,-,80.800
'58:43:33.016',0.000,-,-,-,77.600
'58:43:33.024',-0.009,-,-,-,75.200
'58:43:33.032',0.000,-,-,-,72.000
'58:43:33.040',-0.009,-,-,-,69.600
'58:43:33.048',-0.009,-,-,-,67.200
'58:43:33.056',-0.009,-,-,-,65.600
'58:43:33.064',-0.009,-,-,-,64.000
'58:43:33.072',-0.027,-,-,-,62.400
'58:43:33.080',-0.009,-,-,-,60.800
'58:43:33.088',-0.009,-,-,-,60.000
'58:43:33.096',-0.027,-,-,-,59.200
'58:43:33.104',0.000,-,-,-,58.400
'58:43:33.112',-0.009,-,-,-,58.400
'58:43:33.120',-0.009,-,-,-,57.600
'58:43:33.128',-0.009,-,-,-,57.600
'58:43:33.136',0.000,-,-,-,57.600
'58:43:33.144',0.000,-,-,-,57.600
'58:43:33.152',-0.009,-,-,-,57.600
'58:43:33.160',0.000,-,-,-,57.600
'58:43:33.168',0.000,-,-,-,57.600
'58:43:33.176',-0.009,-,-,-,57.600
'58:43:33.184',0.000,-,-,-,56.800
'58:43:33.192',0.000,-,-,-,56.800
'58:43:33.200',0.000,-,-,-,56.800
'58:43:33.208',0.000,-,-,-,56.800
'58:43:33.216',0.000,-,-,-,56.800
'58:43:33.224',0.000,-,-,-,56.800
'58:43:33.232',0.000,-,-,-,56.000
'58:43:33.240',0.000,-,-,-,56.000
'58:43:33.248',0.000,-,-,-,56.000
'58:43:33.256',0.000,-,-,-,55.200
'58:43:33.264',0.000,-,-,-,55.200
'58:43:33.272',0.000,-,-,-,54.400
'58:43:33.280',0.000,-,-,-,54.400
'58:43:33.288',0.000,-,-,-,53.600
'58:43:33.296',0.009,-,-,-,53.600
'58:43:33.304',0.009,-,-,-,52.800
'58:43:33.312',0.027,-,-,-,52.800
'58:43:33.320',0.027,-,-,-,52.000
'58:43:33.328',0.027,-,-,-,52.000
'58:43:33.336',0.027,-,-,-,52.000
'58:43:33.344',0.027,-,-,-,51.200
'58:43:33.352',0.027,-,-,-,51.200
'58:43:33.360',0.009,-,-,-,50.400
'58:43:33.368',0.000,-,-,-,50.400
'58:43:33.376',0.000,-,-,-,49.600
'58:43:33.384',0.000,-,-,-,49.600
'58:43:33.392',-0.009,-,-,-,49.600
'58:43:33.400',0.000,-,-,-,48.800
'58:43:33.408',-0.071,-,-,-,48.800
'58:43:33.416',-0.161,-,-,-,48.800
'58:43:33.424',-0.179,-,-,-,48.800
'58:43:33.432',0.089,-,-,-,48.800
'58:43:33.440',0.438,-,-,-,48.800
'58:43:33.448',0.518,-,-,-,48.000
'58:43:33.456',0.429,-,-,-,48.000
'58:43:33.464',0.259,-,-,-,48.000
'58:43:33.472',0.089,-,-,-,47.200
'58:43:33.480',0.027,-,-,-,47.200
'58:43:33.488',0.000,-,-,-,46.400
'58:43:33.496',-0.027,-,-,-,46.400
'58:43:33.504',-0.027,-,-,-,46.400
'58:43:33.512',-0.045,-,-,-,45.600
'58:43:33.520',-0.045,-,-,-,45.600
'58:43:33.528',-0.045,-,-,-,45.600
'58:43:33.536',-0.045,-,-,-,45.600
'58:43:33.544',-0.027,-,-,-,44.800
'58:43:33.552',-0.027,-,-,-,45.600
'58:43:33.560',-0.027,-,-,-,46.400
'58:43:33.568',-0.027,-,-,-,48.800
'58:43:33.576',-0.009,-,-,-,52.000
'58:43:33.584',0.000,-,-,-,56.800
'58:43:33.592',-0.009,-,-,-,61.600
'58:43:33.600',0.000,-,-,-,67.200
'58:43:33.608',0.009,-,-,-,72.000
'58:43:33.616',0.000,-,-,-,76.800
'58:43:33.624',0.027,-,-,-,81.600
'58:43:33.632',0.027,-,-,-,85.600
'58:43:33.640',0.045,-,-,-,89.600
'58:43:33.648',0.054,-,-,-,92.000
'58:43:33.656',0.054,-,-,-,94.400
'58:43:33.664',0.054,-,-,-,96.000
'58:43:33.672',0.045,-,-,-,96.800
'58:43:33.680',0.027,-,-,-,96.800
'58:43:33.688',0.027,-,-,-,96.800
'58:43:33.696',0.009,-,-,-,96.800
'58:43:33.704',0.000,-,-,-,96.000
'58:43:33.712',0.000,-,-,-,94.400
'58:43:33.720',0.000,-,-,-,93.600
'58:43:33.728',-0.027,-,-,-,92.000
'58:43:33.736',-0.027,-,-,-,90.400
'58:43:33.744',-0.027,-,-,-,88.800
'58:43:33.752',-0.045,-,-,-,87.200
'58:43:33.760',-0.045,-,-,-,84.800
'58:43:33.768',-0.045,-,-,-,82.400
'58:43:33.776',-0.054,-,-,-,80.000
'58:43:33.784',-0.045,-,-,-,77.600
'58:43:33.792',-0.054,-,-,-,75.200
'58:43:33.800',-0.054,-,-,-,72.000
'58:43:33.808',-0.054,-,-,-,69.600
'58:43:33.816',-0.054,-,-,-,67.200
'58:43:33.824',-0.054,-,-,-,65.600
'58:43:33.832',-0.071,-,-,-,64.000
'58:43:33.840',-0.071,-,-,-,62.400
'58:43:33.848',-0.071,-,-,-,60.800
'58:43:33.856',-0.054,-,-,-,60.000
'58:43:33.864',-0.054,-,-,-,59.200
'58:43:33.872',-0.071,-,-,-,58.400
'58:43:33.880',-0.071,-,-,-,58.400
'58:43:33.888',-0.071,-,-,-,57.600
'58:43:33.896',-0.071,-,-,-,57.600
'58:43:33.904',-0.071,-,-,-,57.600
'58:43:33.912',-0.071,-,-,-,56.800
'58:43:33.920',-0.054,-,-,-,56.800
'58:43:33.928',-0.045,-,-,-,56.800
'58:43:33.936',-0.027,-,-,-,56.800
'58:43:33.944',-0.027,-,-,-,56.800
'58:43:33.952',-0.027,-,-,-,56.800
'58:43:33.960',-0.009,-,-,-,56.000
'58:43:33.968',0.000,-,-,-,56.000
'58:43:33.976',-0.027,-,-,-,56.000
'58:43:33.984',-0.027,-,-,-,56.000
'58:43:33.992',-0.045,-,-,-,56.000
'58:43:34.000',-0.045,-,-,-,55.200
'58:43:34.008',-0.054,-,-,-,55.200
'58:43:34.016',-0.071,-,-,-,55.200
'58:43:34.024',-0.071,-,-,-,54.400
'58:43:34.032',-0.071,-,-,-,54.400
'58:43:34.040',-0.071,-,-,-,54.400
'58:43:34.048',-0.134,-,-,-,54.400
'58:43:34.056',-0.223,-,-,-,53.600
'58:43:34.064',-0.241,-,-,-,53.600
'58:43:34.072',0.009,-,-,-,53.600
'58:43:34.080',0.384,-,-,-,53.600
'58:43:34.088',0.455,-,-,-,52.800
'58:43:34.096',0.384,-,-,-,52.800
'58:43:34.104',0.196,-,-,-,52.000
'58:43:34.112',0.009,-,-,-,52.000
'58:43:34.120',-0.027,-,-,-,51.200
'58:43:34.128',-0.071,-,-,-,51.200
'58:43:34.136',-0.107,-,-,-,50.400
'58:43:34.144',-0.116,-,-,-,50.400
'58:43:34.152',-0.107,-,-,-,49.600
'58:43:34.160',-0.116,-,-,-,49.600
'58:43:34.168',-0.107,-,-,-,48.800
'58:43:34.176',-0.116,-,-,-,48.800
'58:43:34.184',-0.107,-,-,-,48.000
'58:43:34.192',-0.107,-,-,-,48.000
'58:43:34.200',-0.107,-,-,-,48.000
'58:43:34.208',-0.089,-,-,-,48.000
'58:43:34.216',-0.089,-,-,-,49.600
'58:43:34.224',-0.071,-,-,-,52.000
'58:43:34.232',-0.071,-,-,-,55.200
'58:43:34.240',-0.071,-,-,-,58.400
'58:43:34.248',-0.071,-,-,-,63.200
'58:43:34.256',-0.045,-,-,-,68.000
'58:43:34.264',-0.027,-,-,-,72.000
'58:43:34.272',-0.009,-,-,-,76.000
'58:43:34.280',0.000,-,-,-,80.000
'58:43:34.288',0.000,-,-,-,84.000
'58:43:34.296',0.000,-,-,-,87.200
'58:43:34.304',0.000,-,-,-,89.600
'58:43:34.312',0.000,-,-,-,91.200
'58:43:34.320',-0.009,-,-,-,92.000
'58:43:34.328',-0.027,-,-,-,92.800
'58:43:34.336',-0.027,-,-,-,92.800
'58:43:34.344',-0.045,-,-,-,92.800
'58:43:34.352',-0.071,-,-,-,92.000
'58:43:34.360',-0.071,-,-,-,91.200
'58:43:34.368',-0.071,-,-,-,89.600
'58:43:34.376',-0.089,-,-,-,88.000
'58:43:34.384',-0.089,-,-,-,87.200
'58:43:34.392',-0.089,-,-,-,85.600
'58:43:34.400',-0.089,-,-,-,84.000
'58:43:34.408',-0.089,-,-,-,82.400
'58:43:34.416',-0.089,-,-,-,80.000
'58:43:34.424',-0.089,-,-,-,77.600
'58:43:34.432',-0.089,-,-,-,75.200
'58:43:34.440',-0.089,-,-,-,72.800
'58:43:34.448',-0.071,-,-,-,70.400
'58:43:34.456',-0.071,-,-,-,68.800
'58:43:34.464',-0.071,-,-,-,66.400
'58:43:34.472',-0.071,-,-,-,65.600
'58:43:34.480',-0.071,-,-,-,64.000
'58:43:34.488',-0.054,-,-,-,63.200
'58:43:34.496',-0.054,-,-,-,62.400
'58:43:34.504',-0.045,-,-,-,61.600
'58:43:34.512',-0.045,-,-,-,60.800
'58:43:34.520',-0.045,-,-,-,60.800
'58:43:34.528',-0.045,-,-,-,60.800
'58:43:34.536',-0.027,-,-,-,60.000
'58:43:34.544',-0.027,-,-,-,60.000
'58:43:34.552',-0.027,-,-,-,60.000
'58:43:34.560',-0.027,-,-,-,60.000
'58:43:34.568',0.000,-,-,-,60.000
'58:43:34.576',0.000,-,-,-,59.200
'58:43:34.584',0.000,-,-,-,59.200
'58:43:34.592',0.009,-,-,-,59.200
'58:43:34.600',0.027,-,-,-,59.200
'58:43:34.608',0.009,-,-,-,59.200
'58:43:34.616',0.027,-,-,-,58.400
'58:43:34.624',0.009,-,-,-,58.400
'58:43:34.632',0.000,-,-,-,58.400
'58:43:34.640',0.000,-,-,-,58.400
'58:43:34.648',0.000,-,-,-,57.600
'58:43:34.656',0.000,-,-,-,57.600
'58:43:34.664',0.000,-,-,-,57.600
'58:43:34.672',0.000,-,-,-,56.800
'58:43:34.680',-0.045,-,-,-,56.800
'58:43:34.688',-0.152,-,-,-,56.800
'58:43:34.696',-0.179,-,-,-,56.800
'58:43:34.704',0.027,-,-,-,56.000
'58:43:34.712',0.429,-,-,-,56.000
'58:43:34.720',0.536,-,-,-,56.000
'58:43:34.728',0.491,-,-,-,55.200
'58:43:34.736',0.321,-,-,-,55.200
'58:43:34.744',0.116,-,-,-,54.400
'58:43:34.752',0.054,-,-,-,53.600
'58:43:34.760',0.009,-,-,-,53.600
'58:43:34.768',0.000,-,-,-,52.800
'58:43:34.776',-0.027,-,-,-,52.800
'58:43:34.784',-0.027,-,-,-,52.000
'58:43:34.792',-0.027,-,-,-,52.000
'58:43:34.800',-0.027,-,-,-,51.200
'58:43:34.808',-0.027,-,-,-,51.200
'58:43:34.816',-0.027,-,-,-,50.400
'58:43:34.824',-0.009,-,-,-,50.400
'58:43:34.832',-0.009,-,-,-,50.400
'58:43:34.840',0.000,-,-,-,51.200
'58:43:34.848',0.000,-,-,-,53.600
'58:43:34.856',0.000,-,-,-,56.000
'58:43:34.864',0.000,-,-,-,60.000
'58:43:34.872',0.009,-,-,-,64.800
'58:43:34.880',0.027,-,-,-,69.600
'58:43:34.888',0.027,-,-,-,74.400
'58:43:34.896',0.045,-,-,-,78.400
'58:43:34.904',0.054,-,-,-,82.400
'58:43:34.912',0.054,-,-,-,86.400
'58:43:34.920',0.071,-,-,-,89.600
'58:43:34.928',0.071,-,-,-,92.800
'58:43:34.936',0.071,-,-,-,94.400
'58:43:34.944',0.054,-,-,-,96.000
'58:43:34.952',0.054,-,-,-,96.800
'58:43:34.960',0.054,-,-,-,97.600
'58:43:34.968',0.027,-,-,-,97.600
'58:43:34.976',0.027,-,-,-,96.800
'58:43:34.984',0.009,-,-,-,96.000
'58:43:34.992',0.009,-,-,-,95.200
'58:43:35.000',0.000,-,-,-,93.600
'58:43:35.008',0.000,-,-,-,92.800
'58:43:35.016',0.000,-,-,-,91.200
'58:43:35.024',0.000,-,-,-,89.600
'58:43:35.032',0.000,-,-,-,88.000
'58:43:35.040',-0.009,-,-,-,85.600
'58:43:35.048',0.000,-,-,-,84.000
'58:43:35.056',-0.009,-,-,-,81.600
'58:43:35.064',0.000,-,-,-,78.400
'58:43:35.072',-0.009,-,-,-,76.000
'58:43:35.080',-0.009,-,-,-,73.600
'58:43:35.088',-0.009,-,-,-,70.400
'58:43:35.096',0.000,-,-,-,68.800
'58:43:35.104',0.000,-,-,-,66.400
'58:43:35.112',0.000,-,-,-,64.800
'58:43:35.120',0.000,-,-,-,64.000
'58:43:35.128',0.000,-,-,-,62.400
'58:43:35.136',-0.027,-,-,-,61.600
'58:43:35.144',-0.027,-,-,-,60.800
'58:43:35.152',-0.027,-,-,-,60.800
'58:43:35.160',-0.027,-,-,-,60.000
'58:43:35.168',-0.009,-,-,-,60.000
'58:43:35.176',-0.027,-,-,-,59.200
'58:43:35.184',-0.009,-,-,-,59.200
'58:43:35.192',-0.054,-,-,-,59.200
'58:43:35.200',-0.161,-,-,-,59.200
'58:43:35.208',-0.196,-,-,-,59.200
'58:43:35.216',0.000,-,-,-,59.200
'58:43:35.224',0.366,-,-,-,59.200
'58:43:35.232',0.518,-,-,-,59.200
'58:43:35.240',0.455,-,-,-,59.200
'58:43:35.248',0.277,-,-,-,59.200
'58:43:35.256',0.116,-,-,-,59.200
'58:43:35.264',0.045,-,-,-,58.400
'58:43:35.272',0.009,-,-,-,58.400
'58:43:35.280',0.000,-,-,-,58.400
'58:43:35.288',-0.009,-,-,-,58.400
'58:43:35.296',-0.027,-,-,-,57.600
'58:43:35.304',-0.027,-,-,-,56.800
'58:43:35.312',-0.009,-,-,-,56.800
'58:43:35.320',-0.027,-,-,-,56.000
'58:43:35.328',-0.009,-,-,-,56.000
'58:43:35.336',0.000,-,-,-,55.200
'58:43:35.344',-0.009,-,-,-,55.200
'58:43:35.352',0.000,-,-,-,55.200
'58:43:35.360',0.000,-,-,-,56.800
'58:43:35.368',0.000,-,-,-,58.400
'58:43:35.376',0.000,-,-,-,60.800
'58:43:35.384',0.000,-,-,-,64.000
'58:43:35.392',0.009,-,-,-,68.000
'58:43:35.400',0.027,-,-,-,72.000
'58:43:35.408',0.027,-,-,-,76.000
'58:43:35.416',0.027,-,-,-,80.000
'58:43:35.424',0.045,-,-,-,84.000
'58:43:35.432',0.054,-,-,-,87.200
'58:43:35.440',0.045,-,-,-,89.600
'58:43:35.448',0.027,-,-,-,92.000
'58:43:35.456',0.045,-,-,-,93.600
'58:43:35.464',0.027,-,-,-,94.400
'58:43:35.472',0.009,-,-,-,94.400
'58:43:35.480',0.000,-,-,-,94.400
'58:43:35.488',0.000,-,-,-,93.600
'58:43:35.496',0.000,-,-,-,92.800
'58:43:35.504',0.000,-,-,-,92.000
'58:43:35.512',-0.009,-,-,-,90.400
'58:43:35.520',-0.027,-,-,-,88.800
'58:43:35.528',-0.009,-,-,-,87.200
'58:43:35.536',-0.027,-,-,-,85.600
'58:43:35.544',-0.027,-,-,-,84.000
'58:43:35.552',-0.027,-,-,-,81.600
'58:43:35.560',-0.027,-,-,-,78.400
'58:43:35.568',-0.027,-,-,-,76.000
'58:43:35.576',-0.027,-,-,-,72.800
'58:43:35.584',-0.027,-,-,-,70.400
'58:43:35.592',-0.027,-,-,-,68.000
'58:43:35.600',-0.027,-,-,-,66.400
'58:43:35.608',-0.027,-,-,-,64.000
'58:43:35.616',-0.027,-,-,-,62.400
'58:43:35.624',-0.027,-,-,-,61.600
'58:43:35.632',-0.027,-,-,-,60.800
'58:43:35.640',-0.027,-,-,-,60.000
'58:43:35.648',-0.027,-,-,-,59.200
'58:43:35.656',-0.027,-,-,-,58.400
'58:43:35.664',-0.027,-,-,-,58.400
'58:43:35.672',-0.027,-,-,-,57.600
'58:43:35.680',-0.027,-,-,-,57.600
'58:43:35.688',-0.027,-,-,-,57.600
'58:43:35.696',-0.027,-,-,-,57.600
'58:43:35.704',-0.027,-,-,-,57.600
'58:43:35.712',-0.027,-,-,-,57.600
'58:43:35.720',-0.027,-,-,-,57.600
'58:43:35.728',-0.027,-,-,-,57.600
'58:43:35.736',-0.009,-,-,-,57.600
'58:43:35.744',-0.027,-,-,-,57.600
'58:43:35.752',-0.009,-,-,-,56.800
'58:43:35.760',-0.027,-,-,-,56.800
'58:43:35.768',-0.027,-,-,-,56.800
'58:43:35.776',-0.027,-,-,-,56.800
'58:43:35.784',-0.027,-,-,-,56.000
'58:43:35.792',-0.027,-,-,-,56.000
'58:43:35.800',-0.027,-,-,-,56.000
'58:43:35.808',-0.027,-,-,-,55.200
'58:43:35.816',-0.027,-,-,-,55.200
'58:43:35.824',-0.009,-,-,-,54.400
'58:43:35.832',0.000,-,-,-,54.400
'58:43:35.840',0.000,-,-,-,53.600
'58:43:35.848',0.000,-,-,-,53.600
'58:43:35.856',0.009,-,-,-,52.800
'58:43:35.864',0.009,-,-,-,52.800
'58:43:35.872',0.000,-,-,-,52.000
'58:43:35.880',0.000,-,-,-,52.000
'58:43:35.888',0.000,-,-,-,51.200
'58:43:35.896',-0.027,-,-,-,51.200
'58:43:35.904',-0.027,-,-,-,50.400
'58:43:35.912',-0.027,-,-,-,50.400
'58:43:35.920',-0.027,-,-,-,49.600
'58:43:35.928',-0.027,-,-,-,49.600
'58:43:35.936',-0.045,-,-,-,49.600
'58:43:35.944',-0.134,-,-,-,48.800
'58:43:35.952',-0.196,-,-,-,48.800
'58:43:35.960',-0.134,-,-,-,48.800
'58:43:35.968',0.161,-,-,-,48.000
'58:43:35.976',0.455,-,-,-,48.000
'58:43:35.984',0.491,-,-,-,48.000
'58:43:35.992',0.366,-,-,-,47.200
'58:43:36.000',0.161,-,-,-,47.200
'58:43:36.008',0.027,-,-,-,47.200
'58:43:36.016',0.000,-,-,-,46.400
'58:43:36.024',-0.045,-,-,-,46.400
'58:43:36.032',-0.071,-,-,-,45.600
'58:43:36.040',-0.071,-,-,-,45.600
'58:43:36.048',-0.071,-,-,-,44.800
'58:43:36.056',-0.089,-,-,-,44.800
'58:43:36.064',-0.071,-,-,-,44.800
'58:43:36.072',-0.071,-,-,-,44.000
'58:43:36.080',-0.071,-,-,-,44.000
'58:43:36.088',-0.071,-,-,-,44.000
'58:43:36.096',-0.054,-,-,-,44.800
'58:43:36.104',-0.045,-,-,-,47.200
'58:43:36.112',-0.045,-,-,-,50.400
'58:43:36.120',-0.045,-,-,-,54.400
'58:43:36.128',-0.027,-,-,-,60.000
'58:43:36.136',-0.027,-,-,-,64.800
'58:43:36.144',-0.027,-,-,-,69.600
'58:43:36.152',0.000,-,-,-,75.200
'58:43:36.160',-0.009,-,-,-,79.200
'58:43:36.168',0.000,-,-,-,84.000
